step,mean,std,n,ci95_low,ci95_high
10000,0.0,0.0,3,0.0,0.0
20000,0.0,0.0,3,0.0,0.0
30000,0.0,0.0,3,0.0,0.0
40000,0.0,0.0,3,0.0,0.0
50000,0.0,0.0,3,0.0,0.0
60000,2.0,3.4641016151377544,3,-1.92,5.92
70000,0.0,0.0,3,0.0,0.0
80000,2.0,3.4641016151377544,3,-1.92,5.92
90000,0.0,0.0,3,0.0,0.0
100000,0.0,0.0,3,0.0,0.0
110000,0.0,0.0,3,0.0,0.0
120000,0.0,0.0,3,0.0,0.0
130000,0.0,0.0,3,0.0,0.0
140000,0.0,0.0,3,0.0,0.0
150000,0.0,0.0,3,0.0,0.0
160000,0.0,0.0,3,0.0,0.0
170000,0.0,0.0,3,0.0,0.0
180000,0.0,0.0,3,0.0,0.0
190000,0.0,0.0,3,0.0,0.0
200000,0.0,0.0,3,0.0,0.0
210000,0.0,0.0,3,0.0,0.0
220000,4.666666666666667,8.082903768654761,3,-4.4799999999999995,13.813333333333333
230000,0.0,0.0,3,0.0,0.0
240000,4.666666666666667,8.082903768654761,3,-4.4799999999999995,13.813333333333333
250000,0.0,0.0,3,0.0,0.0
260000,0.0,0.0,3,0.0,0.0
270000,0.0,0.0,3,0.0,0.0
280000,0.0,0.0,3,0.0,0.0
290000,0.0,0.0,3,0.0,0.0
300000,0.6666666666666666,1.1547005383792517,3,-0.6400000000000002,1.9733333333333336
310000,0.0,0.0,3,0.0,0.0
320000,3.0,5.196152422706632,3,-2.880000000000001,8.88
330000,0.0,0.0,3,0.0,0.0
340000,5.0,8.660254037844387,3,-4.800000000000001,14.8
350000,0.0,0.0,3,0.0,0.0
360000,0.0,0.0,3,0.0,0.0
370000,0.0,0.0,3,0.0,0.0
380000,0.0,0.0,3,0.0,0.0
390000,0.0,0.0,3,0.0,0.0
400000,0.0,0.0,3,0.0,0.0
410000,0.0,0.0,3,0.0,0.0
420000,3.0,5.196152422706632,3,-2.880000000000001,8.88
430000,0.0,0.0,3,0.0,0.0
440000,0.6666666666666666,1.1547005383792517,3,-0.6400000000000002,1.9733333333333336
450000,0.0,0.0,3,0.0,0.0
460000,0.0,0.0,3,0.0,0.0
470000,0.0,0.0,3,0.0,0.0
480000,5.0,8.660254037844387,3,-4.800000000000001,14.8
490000,0.0,0.0,3,0.0,0.0
500000,3.0,5.196152422706632,3,-2.880000000000001,8.88
510000,0.0,0.0,3,0.0,0.0
520000,0.0,0.0,3,0.0,0.0
530000,0.0,0.0,3,0.0,0.0
540000,0.0,0.0,3,0.0,0.0
550000,0.0,0.0,3,0.0,0.0
560000,0.0,0.0,3,0.0,0.0
570000,0.0,0.0,3,0.0,0.0
580000,0.0,0.0,3,0.0,0.0
590000,0.0,0.0,3,0.0,0.0
600000,0.0,0.0,3,0.0,0.0
610000,0.0,0.0,3,0.0,0.0
620000,0.0,0.0,3,0.0,0.0
630000,0.0,0.0,3,0.0,0.0
640000,0.0,0.0,3,0.0,0.0
650000,0.0,0.0,3,0.0,0.0
660000,0.0,0.0,3,0.0,0.0
670000,0.0,0.0,3,0.0,0.0
680000,0.0,0.0,3,0.0,0.0
690000,0.0,0.0,3,0.0,0.0
700000,4.333333333333333,7.505553499465135,3,-4.160000000000001,12.826666666666668
710000,1.6666666666666667,2.886751345948129,3,-1.6000000000000003,4.933333333333334
720000,0.0,0.0,3,0.0,0.0
730000,0.0,0.0,3,0.0,0.0
740000,2.3333333333333335,4.041451884327381,3,-2.2399999999999998,6.906666666666666
750000,0.0,0.0,3,0.0,0.0
760000,0.0,0.0,3,0.0,0.0
770000,0.0,0.0,3,0.0,0.0
780000,0.0,0.0,3,0.0,0.0
790000,0.0,0.0,3,0.0,0.0
800000,0.0,0.0,3,0.0,0.0
810000,0.0,0.0,3,0.0,0.0
820000,0.0,0.0,3,0.0,0.0
830000,0.0,0.0,3,0.0,0.0
840000,0.0,0.0,3,0.0,0.0
850000,0.0,0.0,3,0.0,0.0
860000,0.0,0.0,3,0.0,0.0
870000,4.333333333333333,7.505553499465135,3,-4.160000000000001,12.826666666666668
880000,0.0,0.0,3,0.0,0.0
890000,2.0,3.4641016151377544,3,-1.92,5.92
900000,0.0,0.0,3,0.0,0.0
910000,0.0,0.0,3,0.0,0.0
920000,0.0,0.0,3,0.0,0.0
930000,0.0,0.0,3,0.0,0.0
940000,5.0,8.660254037844387,3,-4.800000000000001,14.8
950000,0.0,0.0,3,0.0,0.0
960000,0.6666666666666666,1.1547005383792517,3,-0.6400000000000002,1.9733333333333336
970000,0.0,0.0,3,0.0,0.0
980000,0.3333333333333333,0.5773502691896258,3,-0.3200000000000001,0.9866666666666668
990000,3.0,5.196152422706632,3,-2.880000000000001,8.88
1000000,0.0,0.0,3,0.0,0.0
