step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,0.0,1.0,0.07,13.177608324945396,0.204081729054451,-6.444657802581787,-7.023138046264648,0.49161966323852546
2000,0.0,1.0,0.07,14.10329915890304,0.14526328444480896,-5.961111545562744,-8.369453430175781,0.5858617401123047
3000,3.0,1.0,0.07,14.453654571267805,0.1668158769607544,-6.398027420043945,-7.067244529724121,0.49470711708068854
4000,0.0,1.0,0.07,14.624833787845516,0.15120777487754822,-6.2295122146606445,-7.751153945922852,0.5425807762145997
5000,0.0,1.0,0.07,14.718297393364573,0.15708088874816895,-6.261721611022949,-6.119358539581299,0.428355097770691
6000,0.0,1.0,0.07,14.760676302916362,0.16280576586723328,-6.415444850921631,-6.566148281097412,0.4596303796768189
7000,0.0,1.0,0.07,14.786714556826675,0.16036798059940338,-6.350020408630371,-6.121954917907715,0.4285368442535401
8000,0.0,1.0,0.07,14.81565918886978,0.16024860739707947,-6.396480083465576,-6.651629447937012,0.46561406135559086
9000,0.0,1.0,0.07,14.826147082999562,0.1630559116601944,-6.40302848815918,-5.945760250091553,0.4162032175064087
10000,0.0,1.0,0.07,14.84401000209541,0.16520090401172638,-6.450077533721924,-5.953462600708008,0.4167423820495606
11000,0.0,1.0,0.07,14.860349226794757,0.16810056567192078,-6.650508403778076,-7.967925548553467,0.5577547883987427
12000,0.0,1.0,0.07,14.864515249782054,0.17199279367923737,-6.628506183624268,-6.627026557922363,0.4638918590545655
13000,0.0,1.0,0.07,14.870732291683469,0.18042363226413727,-6.761361122131348,-6.354622840881348,0.44482359886169437
14000,0.0,1.0,0.07,14.880940281958905,0.19628983736038208,-7.018760681152344,-6.08311653137207,0.425818157196045
15000,0.0,1.0,0.07,14.880640507106097,0.2259473353624344,-7.536286354064941,-6.61335563659668,0.4629348945617676
16000,0.0,1.0,0.07,14.894777707957052,0.2820890247821808,-8.334216117858887,-6.047056198120117,0.42329393386840825
17000,0.0,1.0,0.07,14.902717025401648,0.38533419370651245,-9.718994140625,-6.686991214752197,0.46808938503265385
18000,0.0,1.0,0.07,14.907961415196008,0.5425962805747986,-11.465054512023926,-6.909722805023193,0.4836805963516236
19000,0.0,1.0,0.07,14.915411885133409,0.8335297107696533,-14.038407325744629,-6.01367712020874,0.4209573984146119
20000,0.0,1.0,0.07,14.917139715942312,1.161742091178894,-16.56682777404785,-6.97880744934082,0.4885165214538575
21000,0.0,1.0,0.07,14.917916576717035,1.4914534091949463,-18.628355026245117,-5.854825973510742,0.409837818145752
22000,0.0,1.0,0.07,14.924097407338614,1.8459604978561401,-20.74297523498535,-6.65976619720459,0.4661836338043213
23000,0.0,1.0,0.07,14.924882333111448,2.2372934818267822,-22.78975486755371,-6.65333890914917,0.46573372364044197
24000,0.0,1.0,0.07,14.92600115841074,2.5900559425354004,-24.465839385986328,-6.349342346191406,0.4444539642333985
25000,0.0,1.0,0.07,14.929733001070321,2.9057679176330566,-25.985435485839844,-7.6534743309021,0.535743203163147
26000,0.0,1.0,0.07,14.93046881569841,3.1917166709899902,-27.09419822692871,-6.005064010620117,0.42035448074340825
27000,0.0,1.0,0.07,14.93420657352453,3.4544122219085693,-28.178958892822266,-6.030985355377197,0.42216897487640387
28000,0.0,1.0,0.07,14.938534455892366,3.7088446617126465,-29.421966552734375,-9.325695037841797,0.6527986526489259
29000,0.0,1.0,0.07,14.942368209557745,3.9440877437591553,-30.097496032714844,-6.033695220947266,0.4223586654663086
30000,0.0,1.0,0.07,14.941314336211258,4.176296234130859,-31.024227142333984,-7.002443790435791,0.4901710653305054
31000,0.0,1.0,0.07,14.942206710518953,4.375441551208496,-31.672927856445312,-5.964025497436523,0.4174817848205567
32000,0.0,1.0,0.07,14.940974291618618,4.590292453765869,-32.52804946899414,-7.386561870574951,0.5170593309402466
33000,0.0,1.0,0.07,14.94450878400648,4.772441387176514,-33.14628601074219,-7.123352527618408,0.4986346769332886
34000,0.0,1.0,0.07,14.943743591283678,4.903589725494385,-33.57211685180664,-6.865901470184326,0.4806131029129029
35000,0.0,1.0,0.07,14.944415120364386,5.148265838623047,-34.33018493652344,-6.023128509521484,0.42161899566650396
