step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,0.0,0.0001,700.0,132129.07795773374,8.243288274201177e-10,-4919.990234375,-7.023138046264648,4916.196632385254
2000,0.0,0.0001,700.0,141197.70060634412,6.933302265643704e-10,-5862.3349609375,-8.369453430175781,5858.617401123047
3000,0.0,0.0001,700.0,144317.89159109525,6.692297271904124e-10,-4950.8046875,-7.067244529724121,4947.071170806885
4000,0.0,0.0001,700.0,146086.4487976786,6.288347065286359e-10,-5429.47119140625,-7.751153945922852,5425.807762145996
5000,0.0,0.0001,700.0,147054.30445416228,6.433700239227846e-10,-4287.28076171875,-6.119358539581299,4283.550977706909
6000,0.0,0.0001,700.0,147499.85457526942,6.494390580868981e-10,-4600.0625,-6.566148281097412,4596.3037967681885
7000,0.0,0.0001,700.0,147775.70700686233,6.517542616713001e-10,-4289.14111328125,-6.121954917907715,4285.3684425354
8000,0.0,0.0001,700.0,148076.74968927784,6.460814661046754e-10,-4659.904296875,-6.651629447937012,4656.140613555908
9000,0.0,0.0001,700.0,148190.55471372503,6.646383998720751e-10,-4165.8525390625,-5.945760250091553,4162.032175064087
10000,0.0,0.0001,700.0,148376.35129552786,6.610223479697197e-10,-4171.23876953125,-5.953462600708008,4167.4238204956055
11000,0.0,0.0001,700.0,148545.60148646776,6.708560928991858e-10,-5581.39599609375,-7.967926025390625,5577.5482177734375
12000,0.0,0.0001,700.0,148592.09972508025,6.938797314504086e-10,-4642.83251953125,-6.627026557922363,4638.918590545654
13000,0.0,0.0001,700.0,148658.36723749535,7.480231434264795e-10,-4452.3017578125,-6.354622840881348,4448.235988616943
14000,0.0,0.0001,700.0,148763.97761031447,7.884009556313742e-10,-4262.35888671875,-6.08311653137207,4258.181571960449
15000,0.0,0.0001,700.0,148764.01071521407,1.1032220692541728e-09,-4634.29052734375,-6.61335563659668,4629.348945617676
16000,0.0,0.0001,700.0,148908.07053526342,1.4652312696483705e-09,-4238.6396484375,-6.047056198120117,4232.939338684082
17000,0.0,0.0001,700.0,148989.81988134913,2.462359649513246e-09,-4688.287109375,-6.6869916915893555,4680.894184112549
18000,0.0,0.0001,700.0,149045.59787250523,3.818417582124312e-09,-4846.01611328125,-6.909722805023193,4836.805963516235
19000,0.0,0.0001,700.0,149121.90979615817,5.721711993089684e-09,-4220.85400390625,-6.01367712020874,4209.573984146118
20000,0.0,0.0001,700.0,149140.8016931206,8.093731018732342e-09,-4898.58251953125,-6.97880744934082,4885.165214538574
21000,0.0,0.0001,700.0,149150.03046088034,1.0574630948667618e-08,-4113.7158203125,-5.854825973510742,4098.3781814575195
22000,0.0,0.0001,700.0,149213.1731289273,1.5000304998125102e-08,-4680.111328125,-6.65976619720459,4661.836338043213
23000,0.0,0.0001,700.0,149222.22190687733,1.9181404908863442e-08,-4678.00439453125,-6.653339385986328,4657.33757019043
24000,0.0,0.0001,700.0,149234.5219952776,2.5895834809830376e-08,-4468.5546875,-6.349342346191406,4444.539642333984
25000,0.0,0.0001,700.0,149272.86640493976,3.282318772335202e-08,-5384.47607421875,-7.653474807739258,5357.4323654174805
26000,0.0,0.0001,700.0,149281.1564194038,4.0852462745988305e-08,-4233.7177734375,-6.005064010620117,4203.544807434082
27000,0.0,0.0001,700.0,149319.40962719626,4.993925273311106e-08,-4255.05859375,-6.0309858322143555,4221.690082550049
28000,0.0,0.0001,700.0,149363.5055158731,6.011196518329598e-08,-6564.60693359375,-9.325695037841797,6527.986526489258
29000,0.0,0.0001,700.0,149402.60295704263,7.09924208308621e-08,-4263.39404296875,-6.033695220947266,4223.586654663086
30000,0.0,0.0001,700.0,149392.76787140677,8.32569639896974e-08,-4944.81689453125,-7.002443313598633,4901.710319519043
31000,0.0,0.0001,700.0,149402.35171494252,9.662772981755552e-08,-4221.259765625,-5.964025497436523,4174.817848205566
32000,0.0,0.0001,700.0,149390.6418331369,1.1113815645558134e-07,-5220.39599609375,-7.386561870574951,5170.593309402466
33000,0.0,0.0001,700.0,149426.5675110654,1.2653970316023333e-07,-5039.50146484375,-7.123352527618408,4986.346769332886
34000,0.0,0.0001,700.0,149419.46331970664,1.4323909169888793e-07,-4862.681640625,-6.865901470184326,4806.131029129028
35000,0.0,0.0001,700.0,149426.86443389987,1.611196722706154e-07,-4276.16943359375,-6.023128509521484,4216.189956665039
36000,0.0,0.0001,700.0,149472.87348706005,1.7955596831598086e-07,-5280.2412109375,-7.452718734741211,5216.903114318848
37000,0.0,0.0001,700.0,149471.2794221039,2.0004839029752475e-07,-4305.69384765625,-6.05548620223999,4238.840341567993
38000,0.0,0.0001,700.0,149486.96964761204,2.2077138339682278e-07,-5307.3388671875,-7.481572151184082,5237.100505828857
39000,0.0,0.0001,700.0,149496.26111243066,2.4317432689713314e-07,-4455.26708984375,-6.25935173034668,4381.546211242676
