step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,5.0,0.07056897321046962,0.9919373460518879,65172.51122702215,1.1596483773246291e-09,-8.200092315673828,-6.029345512390137,5.980732985990132
2000,0.0,0.04994994993740611,1.4014028059631543,46095.93079052423,2.216391514764382e-09,-10.577384948730469,-5.999170303344727,8.407254096558127
3000,0.0,0.04079759433418479,1.7157874414508352,37640.8349092327,3.4283187400063753e-09,-12.572879791259766,-6.0432538986206055,10.368939144752034
4000,0.0,0.03533765254543451,1.9808899278184722,32599.86177972274,4.435329881147254e-09,-13.882040023803711,-5.911961555480957,11.710945098902256
5000,0.0,0.031610122428867515,2.2144805088155386,29159.640202265986,5.496603616705897e-09,-16.708454132080078,-6.56884765625,14.546585100144258
6000,0.0,0.02885788774615617,2.425679960215519,26620.205496345592,6.6696155265333346e-09,-16.70899200439453,-5.99212646484375,14.534981084848544
7000,0.0,0.026718485973255282,2.61990893009689,24646.62668201399,8.135401685649413e-09,-23.5130615234375,-8.126245498657227,21.29002315009172
8000,0.0,0.024993748437011513,2.800700350186043,23055.928463691427,8.69715233164925e-09,-18.5703125,-5.862873077392578,16.420150680949718
9000,0.0,0.023564987047257565,2.970508740769558,21738.49392235229,9.606808681894563e-09,-24.5764102935791,-7.556189060211182,22.445725650264627
10000,0.0,0.022356206744392027,3.131121518079504,20624.09827088493,1.1453717085885273e-08,-24.38809585571289,-7.083999156951904,22.180862194389174
11000,0.0,0.021316194553944047,3.2838882110431946,19665.459781587517,1.1895547658014038e-08,-28.780479431152344,-8.111004829406738,26.635633139003204
12000,0.0,0.02040901188697626,3.4298573780864703,18829.439112620912,1.4221523514379442e-08,-24.08927345275879,-6.368715286254883,21.843785113493396
13000,0.0,0.01960859587823906,3.5698629537101927,18091.992505643364,1.5989934709637055e-08,-25.00579833984375,-6.363842010498047,22.71804383654157
14000,0.0,0.018895523518478643,3.704581136984343,17435.177086683587,1.813097227909566e-08,-30.012496948242188,-7.467734336853027,27.664827760316008
15000,0.0,0.018254983936397292,3.8345692466171974,16845.312377232545,2.095898210541236e-08,-26.897933959960938,-6.378604888916016,24.45920214335946
16000,0.0,0.017675459544715718,3.9602930731680646,16311.762367856512,2.596353176897992e-08,-29.9796142578125,-6.906374454498291,27.351266912854452
17000,0.0,0.01714784064643425,4.082146635445666,15826.144194788329,3.468520048954815e-08,-29.81163787841797,-6.580896377563477,26.864184005887314
18000,0.0,0.016664814609024917,4.200466770394862,15381.679798996469,5.244242018420664e-08,-36.95880889892578,-7.960152626037598,33.43635659294233
19000,0.0,0.016220434339399237,4.3155441177041025,14972.882146580554,8.849627164408957e-08,-36.37284469604492,-7.3962082862854,31.9186631631933
20000,0.0,0.015809807003878164,4.427631531670749,14595.29026425547,1.658507784441099e-07,-31.792606353759766,-5.838044166564941,25.848708435169414
21000,0.0,0.015428865300520922,4.536950620577173,14245.11434165698,3.088446476340323e-07,-36.30510711669922,-6.25718879699707,28.388556595604392
22000,0.0,0.015074196598170865,4.643696899143133,13919.196587800554,5.450129378914426e-07,-39.172489166259766,-6.222767353057861,28.89664546148391
23000,0.0,0.014742913400023766,4.748043897476001,13614.875359601474,8.936064546105627e-07,-43.595035552978516,-6.471041679382324,30.724789956104097
24000,0.0,0.014432553816435018,4.850146473750734,13329.891361754531,1.370894324281835e-06,-47.3724250793457,-6.549306392669678,31.765095305919978
25000,0.0,0.014141004162362391,4.9501435114708165,13062.295599702942,1.9821345631498843e-06,-50.157379150390625,-6.417428970336914,31.76719437783812
26000,0.0,0.013866438092420044,5.0481601355336405,12810.374820571955,2.748319957390777e-06,-52.032142639160156,-6.100248336791992,30.79503047064873
27000,0.0,0.013607268253650079,5.144309548040465,12572.679769398424,3.6820001696469262e-06,-55.6223258972168,-6.122724533081055,31.49719027555047
28000,0.0,0.013362107523000858,5.238694560682553,12347.904024467909,4.809373422176577e-06,-67.0694580078125,-7.633610248565674,39.99015248753158
29000,0.0,0.013129737661908432,5.331408882835621,12135.007537133526,6.120644684415311e-06,-76.33074951171875,-8.686037063598633,46.30881515750919
30000,0.0,0.012909083767009935,5.422538211339979,11932.877772219768,7.660177288926207e-06,-68.24000549316406,-6.4938859939575195,35.21334494232015
31000,0.0,0.01269919329149511,5.512161158054058,11740.72974864015,9.41230700846063e-06,-70.04827880859375,-6.173318862915039,34.02832845244272
32000,0.0,0.0124992187011681,5.600350043755793,11557.738849478055,1.1438983165135141e-05,-79.99266052246094,-7.303575038909912,40.902576788732844
33000,0.0,0.012308403043680952,5.687171581201797,11383.223865284688,1.3708997357753105e-05,-87.21064758300781,-7.923711776733398,45.06350843427218
34000,0.0,0.01212606786977877,5.772687465691803,11216.555113475744,1.6259138647001237e-05,-79.87728881835938,-6.002264976501465,34.64919979561091
35000,0.0,0.011951603066536537,5.856954888001092,11057.172977432885,1.9133227397105657e-05,-83.34646606445312,-5.972503662109375,34.98068451739593
36000,0.0,0.011784458254898393,5.940026981800663,10904.549673622865,2.2268150132731535e-05,-87.29017639160156,-6.032387733459473,35.83254590143261
37000,0.0,0.01162413547479914,6.021953215510814,10758.246098746433,2.5757872208487242e-05,-90.81551361083984,-6.0138349533081055,36.215032734625076
38000,0.0,0.011470182936135548,6.102779736796761,10617.842744822681,2.9609464036184363e-05,-96.40311431884766,-6.329339981079102,38.626567783827134
39000,0.0,0.011322189656777597,6.1825496765192565,10482.941656321498,3.382546128705144e-05,-98.47801208496094,-6.067008972167969,37.5095843583165
40000,0.0,0.01117978084255201,6.2613034178245215,10353.202886246208,3.839969213004224e-05,-104.08769989013672,-6.377506256103516,39.93150171853821
41000,0.0,0.011042613890834408,6.339078835138972,10228.341158094576,4.3387717596488073e-05,-107.05625915527344,-6.260032653808594,39.68284050303691
42000,0.0,0.010910374920651592,6.4159115070831545,10108.001099282863,4.876935054198839e-05,-111.35855102539062,-6.354400157928467,40.76926909386427
43000,0.0,0.010782775749232367,6.491834906701399,9991.994363789125,5.463798515847884e-05,-122.09695434570312,-7.430659294128418,48.238613385428046
44000,0.0,0.0106595512486718,6.566880571892943,9880.026318408494,6.092052717576735e-05,-117.29695129394531,-6.118850231170654,40.181758705397215
45000,0.0,0.010540457027492612,6.641078258506194,9771.926778400733,6.767056765966117e-05,-119.45930480957031,-5.883587837219238,39.07336726776816
46000,0.0,0.01042526739093986,6.714456078204183,9667.408771475286,7.494771125493571e-05,-122.99462890625,-5.853280067443848,39.301591926279734
47000,0.0,0.010313773541252284,6.787040622912563,9566.367655262598,8.27063704491593e-05,-145.0064697265625,-8.546730041503906,58.007003984754185
48000,0.0,0.010205781985240695,6.8588570774127815,9468.567670816396,9.105329081648961e-05,-149.6729278564453,-8.648978233337402,59.32210556811534
49000,0.0,0.010101113121531391,6.929929321431812,9373.858983621023,9.997153392760083e-05,-146.3165283203125,-7.58900785446167,52.591288051210256
50000,0.0,0.00999959998399924,7.000280022401877,9282.073015360045,0.00010947079135803506,-147.0150146484375,-7.128037929534912,49.89826151704608
51000,0.0,0.009901087121384747,7.069930719911688,9193.054670719335,0.00011954021465498954,-144.01820373535156,-6.1537299156188965,43.50644417247359
52000,0.0,0.0098054295959892,7.138901902740979,9106.69131492186,0.0001303006283706054,-151.582763671875,-6.671965599060059,47.630507910152204
