step,mean,std,n,ci95_low,ci95_high
10000,0.0,0.0,3,0.0,0.0
20000,0.0,0.0,3,0.0,0.0
30000,0.0,0.0,3,0.0,0.0
40000,0.0,0.0,3,0.0,0.0
50000,5.333333333333333,9.237604307034013,3,-5.120000000000002,15.786666666666669
60000,0.0,0.0,3,0.0,0.0
70000,4.0,6.928203230275509,3,-3.84,11.84
80000,0.0,0.0,3,0.0,0.0
90000,0.0,0.0,3,0.0,0.0
100000,0.0,0.0,3,0.0,0.0
110000,0.0,0.0,3,0.0,0.0
120000,2.0,3.4641016151377544,3,-1.92,5.92
130000,0.0,0.0,3,0.0,0.0
140000,0.0,0.0,3,0.0,0.0
150000,0.0,0.0,3,0.0,0.0
160000,0.0,0.0,3,0.0,0.0
170000,0.0,0.0,3,0.0,0.0
180000,2.0,3.4641016151377544,3,-1.92,5.92
190000,0.0,0.0,3,0.0,0.0
200000,0.0,0.0,3,0.0,0.0
210000,0.0,0.0,3,0.0,0.0
220000,1.3333333333333333,2.3094010767585034,3,-1.2800000000000005,3.946666666666667
230000,0.0,0.0,3,0.0,0.0
240000,0.0,0.0,3,0.0,0.0
250000,2.0,2.0,3,-0.2632130552233334,4.263213055223334
260000,0.0,0.0,3,0.0,0.0
270000,0.0,0.0,3,0.0,0.0
280000,0.0,0.0,3,0.0,0.0
290000,0.0,0.0,3,0.0,0.0
300000,1.0,1.7320508075688772,3,-0.96,2.96
310000,5.0,8.660254037844387,3,-4.800000000000001,14.8
320000,0.0,0.0,3,0.0,0.0
330000,2.0,3.4641016151377544,3,-1.92,5.92
340000,0.0,0.0,3,0.0,0.0
350000,0.0,0.0,3,0.0,0.0
360000,0.0,0.0,3,0.0,0.0
370000,0.0,0.0,3,0.0,0.0
380000,0.0,0.0,3,0.0,0.0
390000,0.0,0.0,3,0.0,0.0
400000,0.0,0.0,3,0.0,0.0
410000,0.0,0.0,3,0.0,0.0
420000,0.0,0.0,3,0.0,0.0
430000,0.0,0.0,3,0.0,0.0
440000,0.0,0.0,3,0.0,0.0
450000,0.0,0.0,3,0.0,0.0
460000,0.0,0.0,3,0.0,0.0
470000,0.0,0.0,3,0.0,0.0
480000,0.0,0.0,3,0.0,0.0
490000,0.0,0.0,3,0.0,0.0
500000,0.0,0.0,3,0.0,0.0
510000,2.6666666666666665,4.618802153517007,3,-2.560000000000001,7.893333333333334
520000,0.0,0.0,3,0.0,0.0
530000,0.0,0.0,3,0.0,0.0
540000,0.0,0.0,3,0.0,0.0
550000,0.0,0.0,3,0.0,0.0
560000,0.0,0.0,3,0.0,0.0
570000,0.0,0.0,3,0.0,0.0
580000,0.0,0.0,3,0.0,0.0
590000,0.0,0.0,3,0.0,0.0
600000,0.0,0.0,3,0.0,0.0
610000,0.0,0.0,3,0.0,0.0
620000,0.0,0.0,3,0.0,0.0
630000,0.0,0.0,3,0.0,0.0
640000,0.0,0.0,3,0.0,0.0
650000,0.0,0.0,3,0.0,0.0
660000,0.0,0.0,3,0.0,0.0
670000,0.0,0.0,3,0.0,0.0
680000,0.0,0.0,3,0.0,0.0
690000,0.0,0.0,3,0.0,0.0
700000,0.0,0.0,3,0.0,0.0
710000,0.0,0.0,3,0.0,0.0
720000,0.0,0.0,3,0.0,0.0
730000,0.0,0.0,3,0.0,0.0
740000,0.0,0.0,3,0.0,0.0
750000,0.0,0.0,3,0.0,0.0
760000,0.0,0.0,3,0.0,0.0
770000,0.0,0.0,3,0.0,0.0
780000,0.0,0.0,3,0.0,0.0
790000,0.0,0.0,3,0.0,0.0
800000,0.0,0.0,3,0.0,0.0
810000,0.0,0.0,3,0.0,0.0
820000,0.0,0.0,3,0.0,0.0
830000,0.0,0.0,3,0.0,0.0
840000,0.0,0.0,3,0.0,0.0
850000,0.0,0.0,3,0.0,0.0
860000,0.0,0.0,3,0.0,0.0
870000,0.0,0.0,3,0.0,0.0
880000,0.0,0.0,3,0.0,0.0
890000,0.0,0.0,3,0.0,0.0
900000,0.0,0.0,3,0.0,0.0
910000,0.0,0.0,3,0.0,0.0
920000,0.0,0.0,3,0.0,0.0
930000,0.0,0.0,3,0.0,0.0
940000,0.0,0.0,3,0.0,0.0
950000,0.0,0.0,3,0.0,0.0
960000,0.0,0.0,3,0.0,0.0
970000,0.0,0.0,3,0.0,0.0
980000,0.0,0.0,3,0.0,0.0
990000,0.0,0.0,3,0.0,0.0
1000000,0.0,0.0,3,0.0,0.0
