step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,0.0,0.0001,0.07,13.162171995443952,0.201510950922966,-6.330549716949463,-6.029345512390137,0.4220541858673096
2000,1.0,0.0223606797749979,0.07,14.795632351305391,0.1496175080537796,-6.1429548263549805,-5.999170303344727,0.4199419212341309
3000,0.0,0.018257418583505537,0.07,14.888239143440964,0.1595899760723114,-6.370687961578369,-6.0432538986206055,0.4230277729034424
4000,0.0,0.015811388300841892,0.07,14.889900320615448,0.15523076057434082,-6.280359268188477,-5.911961555480957,0.41383730888366704
5000,0.0,0.014142135623730944,0.07,14.929208832760658,0.15857337415218353,-6.404820442199707,-6.56884765625,0.4598193359375
6000,6.0,0.03413941718194882,0.07,16.318063253650873,0.13220562040805817,-6.3527116775512695,-5.99212646484375,0.41944885253906256
7000,0.0,0.031609219140566934,0.07,16.120846854601474,0.136729434132576,-6.529833793640137,-8.126245498657227,0.5688371849060059
8000,0.0,0.029569302797977766,0.07,15.988190169082225,0.13928119838237762,-6.377256393432617,-5.862873077392578,0.41040111541748053
9000,0.0,0.02787936874535879,0.07,15.893582900471861,0.1423606127500534,-6.525694370269775,-7.556189060211182,0.5289332342147828
10000,0.0,0.026449573871724294,0.07,15.801499744926938,0.1441856324672699,-6.495991230010986,-7.083998680114746,0.4958799076080323
11000,0.0,0.025219367505302952,0.07,15.726200333537374,0.14862503111362457,-6.63052225112915,-8.111004829406738,0.5677703380584718
12000,0.0,0.02414625524504962,0.07,15.666651437250971,0.1550082117319107,-6.613940238952637,-6.368715286254883,0.44581007003784184
13000,0.0,0.023199418066689338,0.07,15.622285175407589,0.1658090353012085,-6.806809425354004,-6.363841533660889,0.44546890735626227
14000,0.0,0.022355887344914303,0.07,15.584346588339919,0.18354931473731995,-7.199489593505859,-7.467734336853027,0.522741403579712
15000,0.0,0.021598147780648384,0.07,15.548001161055828,0.22577884793281555,-7.834320068359375,-6.378604888916016,0.44650234222412116
16000,0.0,0.020912578206559163,0.07,15.511252690115827,0.2988702654838562,-8.963296890258789,-6.906374454498291,0.4834462118148804
17000,0.0,0.02028840478237211,0.07,15.482205280152032,0.4250398874282837,-10.554299354553223,-6.580896377563477,0.4606627464294434
18000,0.0,0.019716978776100902,0.07,15.451308315807308,0.6306451559066772,-12.827584266662598,-7.960152626037598,0.5572106838226318
19000,0.0,0.019191266321366335,0.07,15.417758742308154,0.8882769346237183,-15.04873275756836,-7.396208763122559,0.5177346134185792
20000,0.0,0.018705480339989606,0.07,15.398554208804565,1.1835386753082275,-17.160837173461914,-5.838044166564941,0.40866309165954595
21000,0.0,0.018254810070300147,0.07,15.381741947266624,1.5239052772521973,-19.42623519897461,-6.25718879699707,0.43800321578979495
22000,0.0,0.017835219016814237,0.07,15.365167719853337,1.8994344472885132,-21.61186408996582,-6.222766876220703,0.43559368133544923
