step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,7.0,1.0,0.07,13.443215303983054,0.19511821866035461,-6.375097751617432,-6.241934776306152,0.43693543434143073
2000,0.0,1.0,0.07,14.272142768182313,0.12807099521160126,-5.587449550628662,-6.855388641357422,0.47987720489501956
3000,0.0,1.0,0.07,14.46373603545042,0.1418789029121399,-5.871127128601074,-6.044266223907471,0.423098635673523
4000,0.0,1.0,0.07,14.61355676023767,0.13803055882453918,-5.8634796142578125,-6.202617168426514,0.434183201789856
5000,0.0,1.0,0.07,14.693538059555387,0.15962494909763336,-6.281095504760742,-5.865326404571533,0.41057284832000734
6000,0.0,1.0,0.07,14.737627847712739,0.16224446892738342,-6.457180976867676,-7.441799640655518,0.5209259748458863
7000,4.0,1.0,0.07,14.778660017652163,0.15971489250659943,-6.31674861907959,-5.86505651473999,0.41055395603179934
8000,0.0,1.0,0.07,14.812434847454274,0.15831801295280457,-6.313899517059326,-6.0021538734436035,0.42015077114105226
9000,10.0,1.0,0.07,14.858978046738322,0.18736854195594788,-6.918535232543945,-6.9523515701293945,0.4866646099090577
10000,0.0,1.0,0.07,14.870541415107862,0.16946399211883545,-6.533074855804443,-5.878100872039795,0.4114670610427857
11000,0.0,1.0,0.07,14.891564819337658,0.17601732909679413,-6.870879173278809,-8.90300178527832,0.6232101249694825
12000,0.0,1.0,0.07,14.899837035315638,0.20760005712509155,-7.4126877784729,-8.91218376159668,0.6238528633117676
13000,0.0,1.0,0.07,14.898781529758681,0.22166693210601807,-7.434185981750488,-5.994479656219482,0.4196135759353638
14000,9.0,1.0,0.07,14.918712593201352,0.23743751645088196,-7.72067928314209,-6.445065021514893,0.4511545515060425
15000,0.0,1.0,0.07,14.920473889081578,0.2718735933303833,-8.196222305297852,-5.949471950531006,0.41646303653717043
16000,0.0,1.0,0.07,14.923273010082365,0.2897309362888336,-8.50345230102539,-6.725038528442383,0.47075269699096683
17000,0.0,1.0,0.07,14.926848115662951,0.40724247694015503,-9.953167915344238,-6.107387542724609,0.4275171279907227
18000,0.0,1.0,0.07,14.934029214947088,0.5537518262863159,-11.547137260437012,-6.200769424438477,0.4340538597106934
19000,0.0,1.0,0.07,14.941857981346493,0.7613174915313721,-13.466630935668945,-6.1333465576171875,0.42933425903320316
20000,0.0,1.0,0.07,14.942920035254666,1.0627729892730713,-15.838497161865234,-6.1958441734313965,0.4337090921401978
21000,0.0,1.0,0.07,14.946274963359016,1.4056228399276733,-18.181270599365234,-6.587475776672363,0.4611233043670655
22000,0.0,1.0,0.07,14.944996430081941,1.7426446676254272,-20.190523147583008,-6.596312999725342,0.46174190998077397
23000,0.0,1.0,0.07,14.943858403636552,2.1057186126708984,-22.126028060913086,-6.297940254211426,0.4408558177947998
24000,0.0,1.0,0.07,14.949845868491334,2.437495470046997,-24.331308364868164,-14.155570983886719,0.9908899688720704
25000,0.0,1.0,0.07,14.948298352844887,2.7627830505371094,-25.31839370727539,-6.741389274597168,0.4718972492218018
26000,0.0,1.0,0.07,14.952018670873072,3.0339415073394775,-26.49966049194336,-6.513064384460449,0.4559145069122315
27000,0.0,1.0,0.07,14.951647233907,3.3034512996673584,-27.620197296142578,-6.3568878173828125,0.4449821472167969
28000,0.0,1.0,0.07,14.95198769262297,3.5555601119995117,-28.610126495361328,-5.948146820068359,0.4163702774047852
29000,0.0,1.0,0.07,14.950066467265705,3.8131775856018066,-29.618900299072266,-6.076698303222656,0.42536888122558597
30000,0.0,1.0,0.07,14.953084333410676,4.0434112548828125,-30.54526710510254,-6.81788969039917,0.4772522783279419
31000,0.0,1.0,0.07,14.949371678012268,4.255165100097656,-31.28946304321289,-6.454617500305176,0.45182322502136235
32000,0.0,1.0,0.07,14.950699373349526,4.451903343200684,-31.966766357421875,-6.021220684051514,0.421485447883606
33000,0.0,1.0,0.07,14.954024724545881,4.655209541320801,-32.70606994628906,-6.3051838874816895,0.44136287212371833
34000,0.0,1.0,0.07,14.953637325266849,4.841056823730469,-33.3300666809082,-6.121081352233887,0.4284756946563721
35000,0.0,1.0,0.07,14.957820203803038,5.010449409484863,-33.90898895263672,-6.105072975158691,0.42735510826110845
36000,0.0,1.0,0.07,14.956634217369126,5.1629486083984375,-34.46311950683594,-6.835299491882324,0.47847096443176274
37000,0.0,1.0,0.07,14.953891819635723,5.339142322540283,-35.16946029663086,-8.801785469055176,0.6161249828338624
38000,0.0,1.0,0.07,14.957283250950155,5.486856937408447,-35.532379150390625,-7.091073513031006,0.49637514591217047
39000,0.0,1.0,0.07,14.95732995684957,5.628264904022217,-35.95224380493164,-6.6790056228637695,0.4675303936004639
40000,0.0,1.0,0.07,14.958921771797975,5.761364459991455,-36.36505126953125,-6.562700271606445,0.4593890190124512
41000,0.0,1.0,0.07,14.956896699379742,5.783543109893799,-36.64311218261719,-9.618223190307617,0.6732756233215332
