step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,7.213294590461395,1.0,0.07,56.71088379079353,0.0009624874219298363,-3.5127673149108887,-25.016395568847656,1.7533697598425575
2000,11.244716579735936,1.0,0.07,56.83889650893665,0.000972353620454669,-3.5874991416931152,-25.926122665405273,1.815115237544381
3000,3.6917115012587653,1.0,0.07,56.840020990952425,0.0009835981763899326,-3.60736083984375,-26.054100036621094,1.8247232024420177
4000,16.532194005379804,1.0,0.07,56.94716757199312,0.0009011328802444041,-3.5640482902526855,-26.489025115966797,1.8545584851638368
5000,10.286597581664946,1.0,0.07,56.98475605821725,0.0009191926219500601,-3.551185131072998,-26.034656524658203,1.8235104312180657
6000,3.9008721974064016,1.0,0.07,56.9637396794068,0.0009562231716699898,-3.5646066665649414,-25.755924224853516,1.8031250858842025
7000,3.1772166396922037,1.0,0.07,56.93701831904032,0.0008760102791711688,-3.5670344829559326,-26.724987030029297,1.8818426988549204
8000,3.596238950710635,1.0,0.07,56.93336456433875,0.0009117995505221188,-3.5291905403137207,-25.847429275512695,1.8100296154221296
9000,11.295331672862014,1.0,0.07,56.948113838878996,0.0009142584167420864,-3.557246446609497,-26.171432495117188,1.8353231667980932
10000,6.0687266951261245,1.0,0.07,56.94591524266877,0.0009135000291280448,-3.5706915855407715,-26.360403060913086,1.8495488790513177
11000,5.853176390048179,1.0,0.07,56.94695063167446,0.0009820073610171676,-3.6132307052612305,-26.111957550048828,1.8286845750006646
12000,15.48691488822671,1.0,0.07,56.97902021361201,0.0009462643065489829,-3.6139402389526367,-26.492046356201172,1.8611850936787395
13000,10.157342484453215,1.0,0.07,56.98949184655899,0.0009618137264624238,-3.530273199081421,-25.137611389160156,1.7628512685519857
14000,13.271172034162712,1.0,0.07,57.00505272485678,0.0010085643734782934,-3.5903401374816895,-25.41238021850586,1.7799790218585916
15000,4.92760531921147,1.0,0.07,57.00061532332563,0.0010330649092793465,-3.6739614009857178,-26.267314910888672,1.8418860275563709
16000,6.069722076752669,1.0,0.07,57.00520021772187,0.0010329291690140963,-3.585843086242676,-25.00266456604004,1.7537405922644929
17000,5.440243260390837,1.0,0.07,57.00820826358385,0.0012264261022210121,-3.7878832817077637,-25.560569763183594,1.791434818275629
18000,6.444032396111358,1.0,0.07,57.00265461666515,0.0014641247689723969,-3.9835214614868164,-25.732160568237305,1.8023784702816636
19000,5.244660777331804,1.0,0.07,57.00289796945986,0.001892786007374525,-4.303774356842041,-26.045215606689453,1.823797171128881
20000,4.861769357440353,1.0,0.07,57.0060456802796,0.00275346077978611,-4.69981050491333,-24.379695892333984,1.7085077838986826
21000,3.3102763611723907,1.0,0.07,57.005613642086686,0.00475360406562686,-5.727761268615723,-25.6544246673584,1.7974302143795546
22000,7.252786103285955,1.0,0.07,57.0050519962561,0.008929580450057983,-7.177280426025391,-25.532299041748047,1.7905048448498326
