step,episode_return
1000,0.0
2000,0.0
3000,0.0
4000,0.0
5000,0.0
6000,0.0
7000,0.0
8000,0.0
9000,0.0
10000,0.0
11000,0.0
12000,0.0
13000,0.0
14000,0.0
15000,0.0
16000,0.0
17000,0.0
18000,0.0
19000,0.0
20000,0.0
21000,0.0
22000,0.0
23000,0.0
24000,0.0
25000,0.0
26000,0.0
27000,0.0
28000,0.0
29000,0.0
30000,0.0
31000,0.0
32000,0.0
33000,0.0
34000,5.0
35000,0.0
36000,0.0
37000,0.0
38000,0.0
39000,0.0
40000,0.0
41000,0.0
42000,0.0
43000,0.0
44000,0.0
45000,7.0
46000,0.0
47000,0.0
48000,0.0
49000,0.0
50000,0.0
51000,0.0
52000,0.0
53000,0.0
54000,0.0
55000,0.0
56000,7.0
57000,0.0
58000,0.0
59000,0.0
60000,0.0
61000,0.0
62000,0.0
63000,0.0
64000,0.0
65000,0.0
66000,8.0
67000,0.0
68000,0.0
69000,0.0
70000,0.0
71000,0.0
72000,0.0
73000,0.0
74000,0.0
75000,0.0
76000,0.0
77000,0.0
78000,0.0
79000,4.0
80000,10.0
81000,0.0
82000,0.0
83000,0.0
84000,0.0
85000,0.0
86000,0.0
87000,14.0
88000,0.0
89000,0.0
90000,0.0
91000,2.0
92000,0.0
93000,0.0
94000,0.0
95000,0.0
96000,0.0
97000,0.0
98000,8.0
99000,0.0
100000,1.0
101000,0.0
102000,0.0
103000,0.0
104000,0.0
105000,2.0
106000,0.0
107000,1.0
108000,5.0
109000,1.0
110000,11.0
111000,0.0
112000,9.0
113000,0.0
114000,5.0
115000,9.0
116000,0.0
117000,0.0
118000,3.0
119000,12.0
120000,1.0
121000,0.0
122000,0.0
123000,0.0
124000,18.0
125000,0.0
126000,0.0
127000,15.0
128000,6.0
129000,0.0
130000,15.0
131000,0.0
132000,2.0
133000,0.0
134000,0.0
135000,5.0
136000,0.0
137000,24.0
138000,4.0
139000,14.0
140000,14.0
141000,3.0
142000,0.0
143000,0.0
144000,0.0
145000,0.0
146000,0.0
147000,1.0
148000,15.0
149000,9.0
150000,0.0
151000,6.0
152000,23.0
153000,0.0
154000,14.0
155000,0.0
156000,0.0
157000,2.0
158000,6.0
159000,0.0
160000,0.0
161000,0.0
162000,1.0
163000,4.0
164000,1.0
165000,5.0
166000,1.0
167000,3.0
168000,19.0
169000,26.0
170000,0.0
171000,1.0
172000,14.0
173000,7.0
174000,9.0
175000,1.0
176000,47.0
177000,31.0
178000,10.0
179000,14.0
180000,0.0
181000,0.0
182000,0.0
183000,9.0
184000,19.0
185000,11.0
186000,19.0
187000,14.0
188000,10.0
189000,25.0
190000,1.0
191000,14.0
192000,11.0
193000,4.0
194000,6.0
195000,20.0
196000,0.0
197000,21.0
198000,0.0
199000,7.0
200000,6.0
201000,37.0
202000,8.0
203000,2.0
204000,8.0
205000,4.0
206000,1.0
207000,12.0
208000,50.0
209000,3.0
210000,9.0
211000,5.0
212000,17.0
213000,35.0
214000,9.0
215000,51.0
216000,27.0
217000,15.0
218000,42.0
219000,11.0
220000,6.0
221000,28.0
222000,23.0
223000,36.0
224000,13.0
225000,38.0
226000,13.0
227000,11.0
228000,13.0
229000,6.0
230000,48.0
231000,32.0
232000,77.0
233000,38.0
234000,41.0
235000,51.0
236000,48.0
237000,61.0
238000,5.0
239000,0.0
240000,13.0
241000,19.0
242000,11.0
243000,12.0
244000,0.0
245000,0.0
246000,14.0
247000,12.0
248000,7.0
249000,38.0
250000,22.0
251000,16.0
252000,24.0
253000,25.0
254000,37.0
255000,13.0
256000,12.0
257000,6.0
258000,21.0
259000,23.0
260000,14.0
261000,60.0
262000,13.0
263000,24.0
264000,30.0
265000,33.0
266000,14.0
267000,16.0
268000,15.0
269000,20.0
270000,54.0
271000,40.0
272000,42.0
273000,25.0
274000,23.0
275000,86.0
276000,18.0
277000,59.0
278000,45.0
279000,42.0
280000,67.0
281000,63.0
282000,46.0
283000,40.0
284000,28.0
285000,51.0
286000,28.0
287000,38.0
288000,50.0
289000,36.0
290000,16.0
291000,27.0
292000,32.0
293000,11.0
294000,47.0
295000,5.0
296000,28.0
297000,23.0
298000,35.0
299000,78.0
300000,50.0
301000,59.0
302000,41.0
303000,44.0
304000,8.0
305000,62.0
306000,81.0
307000,70.0
308000,46.0
309000,34.0
310000,69.0
311000,29.0
312000,48.0
313000,42.0
314000,53.0
315000,88.0
316000,29.0
317000,98.0
318000,58.0
319000,36.0
320000,48.0
321000,52.0
322000,67.0
323000,40.0
324000,57.0
325000,57.0
326000,44.0
327000,49.0
328000,32.0
329000,37.0
330000,80.0
331000,100.0
332000,85.0
333000,84.0
334000,43.0
335000,58.0
336000,73.0
337000,73.0
338000,41.0
339000,51.0
340000,37.0
341000,74.0
342000,64.0
343000,61.0
344000,94.0
345000,75.0
346000,66.0
347000,77.0
348000,84.0
349000,60.0
350000,73.0
351000,74.0
352000,92.0
353000,32.0
354000,90.0
355000,87.0
356000,49.0
357000,66.0
358000,60.0
359000,118.0
360000,113.0
361000,47.0
362000,72.0
363000,73.0
364000,124.0
365000,93.0
366000,63.0
367000,103.0
368000,56.0
369000,69.0
370000,62.0
371000,105.0
372000,66.0
373000,88.0
374000,73.0
375000,82.0
376000,37.0
377000,95.0
378000,96.0
379000,25.0
380000,69.0
381000,76.0
382000,65.0
383000,46.0
384000,33.0
385000,126.0
386000,101.0
387000,83.0
388000,54.0
389000,97.0
390000,68.0
391000,93.0
392000,97.0
393000,96.0
394000,58.0
395000,90.0
396000,71.0
397000,121.0
398000,51.0
399000,60.0
400000,83.0
401000,68.0
402000,88.0
403000,109.0
404000,91.0
405000,68.0
406000,103.0
407000,70.0
408000,132.0
409000,104.0
410000,97.0
411000,92.0
412000,80.0
413000,72.0
414000,58.0
415000,66.0
416000,70.0
417000,54.0
418000,83.0
419000,79.0
420000,92.0
421000,111.0
422000,104.0
423000,98.0
424000,133.0
425000,84.0
426000,113.0
427000,149.0
428000,62.0
429000,59.0
430000,89.0
431000,73.0
432000,115.0
433000,50.0
434000,98.0
435000,34.0
436000,102.0
437000,106.0
438000,53.0
439000,75.0
440000,140.0
441000,81.0
442000,113.0
443000,124.0
444000,114.0
445000,165.0
446000,73.0
447000,129.0
448000,149.0
449000,117.0
450000,78.0
451000,82.0
452000,108.0
453000,70.0
454000,84.0
455000,51.0
456000,71.0
457000,96.0
458000,125.0
459000,81.0
460000,106.0
461000,139.0
462000,90.0
463000,122.0
464000,86.0
465000,118.0
466000,117.0
467000,136.0
468000,132.0
469000,105.0
470000,113.0
471000,128.0
472000,105.0
473000,82.0
474000,75.0
475000,115.0
476000,97.0
477000,87.0
478000,105.0
479000,109.0
480000,114.0
481000,97.0
482000,108.0
483000,121.0
484000,117.0
485000,117.0
486000,99.0
487000,110.0
488000,164.0
489000,112.0
490000,64.0
491000,83.0
492000,117.0
493000,89.0
494000,121.0
495000,115.0
496000,84.0
497000,133.0
498000,111.0
499000,119.0
500000,88.0
501000,76.0
502000,131.0
503000,103.0
504000,59.0
505000,104.0
506000,87.0
507000,110.0
508000,149.0
509000,95.0
510000,78.0
511000,125.0
512000,102.0
513000,112.0
514000,106.0
515000,90.0
516000,110.0
517000,158.0
518000,89.0
519000,105.0
520000,47.0
521000,98.0
522000,132.0
523000,105.0
524000,129.0
525000,138.0
526000,94.0
527000,108.0
528000,117.0
529000,99.0
530000,118.0
531000,119.0
532000,109.0
533000,84.0
534000,101.0
535000,237.0
536000,75.0
537000,148.0
538000,167.0
539000,161.0
540000,147.0
541000,175.0
542000,110.0
543000,149.0
544000,162.0
545000,140.0
546000,118.0
547000,109.0
548000,141.0
549000,131.0
550000,83.0
551000,87.0
552000,206.0
553000,175.0
554000,152.0
555000,149.0
556000,120.0
557000,225.0
558000,106.0
559000,153.0
560000,133.0
561000,148.0
562000,82.0
563000,145.0
564000,171.0
565000,191.0
566000,177.0
567000,161.0
568000,156.0
569000,187.0
570000,167.0
571000,158.0
572000,283.0
573000,166.0
574000,232.0
575000,216.0
576000,268.0
577000,196.0
578000,195.0
579000,150.0
580000,176.0
581000,113.0
582000,163.0
583000,329.0
584000,240.0
585000,231.0
586000,215.0
587000,214.0
588000,219.0
589000,213.0
590000,339.0
591000,206.0
592000,382.0
593000,298.0
594000,407.0
595000,199.0
596000,288.0
597000,332.0
598000,240.0
599000,280.0
600000,334.0
601000,354.0
602000,295.0
603000,450.0
604000,194.0
605000,316.0
606000,344.0
607000,361.0
608000,305.0
609000,389.0
610000,330.0
611000,451.0
612000,286.0
613000,352.0
614000,246.0
615000,238.0
616000,284.0
617000,416.0
618000,340.0
619000,428.0
620000,338.0
621000,410.0
622000,430.0
623000,380.0
624000,429.0
625000,344.0
626000,466.0
627000,500.0
628000,461.0
629000,419.0
630000,443.0
631000,300.0
632000,484.0
633000,339.0
634000,499.0
635000,526.0
636000,499.0
637000,365.0
638000,472.0
639000,453.0
640000,504.0
641000,458.0
642000,464.0
643000,494.0
644000,526.0
645000,523.0
646000,503.0
647000,548.0
648000,553.0
649000,535.0
650000,572.0
651000,481.0
652000,516.0
653000,535.0
654000,531.0
655000,484.0
656000,602.0
657000,563.0
658000,529.0
659000,608.0
660000,594.0
661000,638.0
662000,502.0
663000,535.0
664000,453.0
665000,506.0
666000,601.0
667000,513.0
668000,465.0
669000,489.0
670000,629.0
671000,617.0
672000,604.0
673000,513.0
674000,628.0
675000,593.0
676000,449.0
677000,616.0
678000,383.0
679000,600.0
680000,598.0
681000,607.0
682000,638.0
683000,640.0
684000,618.0
685000,673.0
686000,685.0
687000,666.0
688000,530.0
689000,654.0
690000,493.0
691000,648.0
692000,677.0
693000,573.0
694000,664.0
695000,623.0
696000,653.0
697000,616.0
698000,709.0
699000,652.0
700000,555.0
701000,459.0
702000,669.0
703000,684.0
704000,427.0
705000,282.0
706000,557.0
707000,629.0
708000,603.0
709000,537.0
710000,676.0
711000,661.0
712000,635.0
713000,641.0
714000,567.0
715000,664.0
716000,678.0
717000,644.0
718000,671.0
719000,655.0
720000,657.0
721000,621.0
722000,626.0
723000,640.0
724000,493.0
725000,636.0
726000,667.0
727000,668.0
728000,683.0
729000,595.0
730000,716.0
731000,705.0
732000,640.0
733000,650.0
734000,690.0
735000,560.0
736000,693.0
737000,650.0
738000,668.0
739000,623.0
740000,711.0
741000,614.0
742000,656.0
743000,725.0
744000,711.0
745000,649.0
746000,689.0
747000,689.0
748000,638.0
749000,730.0
750000,706.0
751000,577.0
752000,668.0
753000,729.0
754000,591.0
755000,728.0
756000,713.0
757000,559.0
758000,447.0
759000,489.0
760000,676.0
761000,691.0
762000,698.0
763000,704.0
764000,334.0
765000,696.0
766000,701.0
767000,714.0
768000,676.0
769000,716.0
770000,773.0
771000,580.0
772000,729.0
773000,506.0
774000,692.0
775000,612.0
776000,561.0
777000,507.0
778000,639.0
779000,749.0
780000,582.0
781000,719.0
782000,685.0
783000,736.0
784000,607.0
785000,720.0
786000,720.0
787000,579.0
788000,746.0
789000,600.0
790000,722.0
791000,680.0
792000,696.0
793000,618.0
794000,681.0
795000,712.0
796000,694.0
797000,729.0
798000,752.0
799000,758.0
800000,799.0
801000,758.0
802000,660.0
803000,510.0
804000,562.0
805000,770.0
806000,802.0
807000,753.0
808000,687.0
809000,803.0
810000,765.0
811000,796.0
812000,760.0
813000,753.0
814000,778.0
815000,803.0
816000,685.0
817000,714.0
818000,790.0
819000,744.0
820000,730.0
821000,810.0
822000,737.0
823000,760.0
824000,698.0
825000,814.0
826000,790.0
827000,735.0
828000,697.0
829000,674.0
830000,726.0
831000,730.0
832000,817.0
833000,774.0
834000,822.0
835000,596.0
836000,814.0
837000,710.0
838000,674.0
839000,699.0
840000,753.0
841000,693.0
842000,679.0
843000,725.0
844000,724.0
845000,770.0
846000,670.0
847000,746.0
848000,753.0
849000,785.0
850000,771.0
851000,709.0
852000,691.0
853000,736.0
854000,741.0
855000,769.0
856000,767.0
857000,761.0
858000,579.0
859000,757.0
860000,769.0
861000,685.0
862000,681.0
863000,573.0
864000,770.0
865000,825.0
866000,830.0
867000,666.0
868000,593.0
869000,744.0
870000,694.0
871000,719.0
872000,755.0
873000,757.0
874000,712.0
875000,750.0
876000,794.0
877000,715.0
878000,733.0
879000,649.0
880000,790.0
881000,780.0
882000,817.0
883000,785.0
884000,793.0
885000,655.0
886000,703.0
887000,739.0
888000,746.0
889000,845.0
890000,792.0
891000,704.0
892000,798.0
893000,604.0
894000,837.0
895000,794.0
896000,753.0
897000,847.0
898000,694.0
899000,749.0
900000,737.0
901000,800.0
902000,606.0
903000,784.0
904000,828.0
905000,791.0
906000,738.0
907000,796.0
908000,778.0
909000,814.0
910000,779.0
911000,811.0
912000,813.0
913000,681.0
914000,579.0
915000,763.0
916000,717.0
917000,804.0
918000,831.0
919000,786.0
920000,820.0
921000,730.0
922000,730.0
923000,842.0
924000,806.0
925000,811.0
926000,750.0
927000,750.0
928000,786.0
929000,811.0
930000,689.0
931000,705.0
932000,708.0
933000,779.0
934000,809.0
935000,802.0
936000,730.0
937000,801.0
938000,784.0
939000,831.0
940000,761.0
941000,701.0
942000,811.0
943000,730.0
944000,772.0
945000,819.0
946000,800.0
947000,769.0
948000,356.0
949000,701.0
950000,818.0
951000,766.0
952000,725.0
953000,805.0
954000,770.0
955000,778.0
956000,568.0
957000,832.0
958000,771.0
959000,704.0
960000,804.0
961000,811.0
962000,848.0
963000,785.0
964000,771.0
965000,732.0
966000,683.0
967000,792.0
968000,809.0
969000,698.0
970000,779.0
971000,781.0
972000,687.0
973000,795.0
974000,771.0
975000,700.0
976000,800.0
977000,791.0
978000,807.0
979000,825.0
980000,797.0
981000,823.0
982000,863.0
983000,834.0
984000,791.0
985000,767.0
986000,707.0
987000,747.0
988000,830.0
989000,757.0
990000,520.0
991000,789.0
992000,789.0
993000,788.0
994000,529.0
995000,676.0
996000,663.0
997000,501.0
998000,775.0
999000,766.0
1000000,763.0
