step,mean,std,n,ci95_low,ci95_high
10000,4.333333333333333,7.505553499465135,3,-4.160000000000001,12.826666666666668
20000,1.3333333333333333,2.3094010767585034,3,-1.2800000000000005,3.946666666666667
30000,3.0,4.358898943540674,3,-1.9325584977102235,7.9325584977102235
40000,6.333333333333333,3.214550253664318,3,2.695727282951052,9.970939383715614
50000,8.0,7.54983443527075,3,-0.5434419293397212,16.54344192933972
60000,20.0,20.663978319771825,3,-3.3834927530797536,43.38349275307975
70000,44.0,32.07802986469088,3,7.700292012193813,80.29970798780619
80000,75.0,62.74551776820397,3,3.9967625151265906,146.0032374848734
90000,84.33333333333333,60.185823358439926,3,16.22666275124,152.44000391542664
100000,99.33333333333333,7.234178138070236,3,91.14709013038744,107.51957653627922
110000,75.66666666666667,43.82160806421113,3,26.077848930765313,125.25548440256803
120000,148.33333333333334,51.53962876596351,3,90.010752991087,206.65591367557968
130000,226.0,6.082762530298219,3,219.1167062148029,232.8832937851971
140000,233.0,14.0,3,217.15750861343668,248.84249138656332
150000,221.66666666666666,62.94706771036546,3,150.43535395160353,292.8979793817298
160000,280.3333333333333,10.408329997330672,3,268.5551991668176,292.111467499849
170000,251.0,63.23764701504951,3,179.43986584696756,322.56013415303244
180000,284.6666666666667,23.544284515213743,3,258.02380062130453,311.30953271202884
190000,328.0,62.37788069500277,3,257.4127830269531,398.5872169730469
200000,320.3333333333333,26.083200212652837,3,290.81741371169335,349.8492529549733
210000,334.3333333333333,33.6501609703926,3,296.2545915240537,372.41207514261293
220000,334.0,9.539392014169456,3,323.20516172731925,344.79483827268075
230000,330.0,37.0,3,288.13055847836836,371.86944152163164
240000,331.0,46.130250378683186,3,278.79870755112154,383.20129244887846
250000,383.6666666666667,39.57692930652065,3,338.88115512058243,428.45217821275094
260000,360.6666666666667,11.239810200058235,3,347.9476240751646,373.3857092581688
270000,388.6666666666667,18.009256878986793,3,368.2872740249699,409.04605930836345
280000,376.3333333333333,57.72636601530824,3,311.0098007351102,441.6568659315564
290000,342.3333333333333,45.56680078010013,3,290.7696441281916,393.897022538475
300000,382.0,24.979991993593593,3,353.73247800036233,410.26752199963767
310000,356.6666666666667,17.009801096230756,3,337.41826471279586,375.9150686205375
320000,397.6666666666667,47.08856903042747,3,344.3809345759424,450.952398757391
330000,395.6666666666667,7.094598884597596,3,387.6383722580696,403.6949610752638
340000,418.3333333333333,21.19748412744619,3,394.3461219257705,442.32054474089614
350000,378.6666666666667,25.006665778014728,3,350.36896043846195,406.9643728948714
360000,363.6666666666667,46.918368826434424,3,310.57353423778176,416.7597990955516
370000,416.6666666666667,18.175074506954104,3,396.099633714769,437.23369961856434
380000,400.3333333333333,41.88476254359493,3,352.9362626315367,447.73040403512994
390000,407.0,43.2087954009366,3,358.10464507406317,455.89535492593683
400000,407.0,19.078784028338912,3,385.4103234546385,428.5896765453615
410000,348.3333333333333,93.40949273673064,3,242.63054161155435,454.0361250551123
420000,394.0,48.507731342539614,3,339.10833457314914,448.89166542685086
430000,383.6666666666667,12.662279942148386,3,369.3379480296853,397.99538530364805
440000,368.3333333333333,34.588051886935375,3,329.19326804070624,407.4733986259604
450000,396.6666666666667,17.214335111567145,3,377.1868126859226,416.1465206474108
460000,404.0,23.811761799581316,3,377.05445491365964,430.94554508634036
470000,437.3333333333333,20.599352740640505,3,414.02297130744927,460.64369535921736
480000,423.3333333333333,17.00980109623077,3,404.0849313794625,442.58173528720414
490000,415.6666666666667,17.925772879665,3,395.3817450635536,435.9515882697798
500000,399.3333333333333,7.371114795831996,3,390.9921317145949,407.6745349520717
510000,417.6666666666667,29.365512652316035,3,384.4364608626429,450.8968724706905
520000,399.0,19.697715603592208,3,376.7099364439369,421.2900635560631
530000,393.3333333333333,29.670411748631555,3,359.758101721656,426.90856494501065
540000,444.0,54.83611948342078,3,381.94708924366773,506.05291075633227
550000,424.6666666666667,58.14063409813599,3,358.87434560173455,490.4589877315988
560000,424.0,58.02585630561603,3,358.3375622343083,489.6624377656917
570000,289.3333333333333,250.73159620066502,3,5.603822394168219,573.0628442724984
580000,352.0,74.47818472546173,3,267.71999999999997,436.28000000000003
590000,415.6666666666667,35.388321990924254,3,375.6210105005133,455.71232283282006
600000,443.3333333333333,52.624455658309024,3,383.7831557983801,502.8835108682865
610000,422.6666666666667,53.72460640463859,3,361.8715513658101,483.4617819675233
620000,443.3333333333333,20.550750189064466,3,420.0779702720713,466.58869639459533
630000,401.6666666666667,92.57069370666578,3,296.91306540266345,506.4202679306699
640000,435.6666666666667,24.090108620206202,3,408.40614250116727,462.9271908321661
650000,444.3333333333333,20.42873792805941,3,421.21604014307326,467.45062652359337
660000,451.3333333333333,34.31229128655405,3,412.50532053615586,490.16134613051076
