step,episode_return
1000,0.0
2000,1.0
3000,0.0
4000,0.0
5000,0.0
6000,0.0
7000,0.0
8000,0.0
9000,0.0
10000,0.0
11000,3.0
12000,0.0
13000,0.0
14000,5.0
15000,0.0
16000,6.0
17000,12.0
18000,0.0
19000,0.0
20000,0.0
21000,0.0
22000,0.0
23000,0.0
24000,0.0
25000,0.0
26000,0.0
27000,0.0
28000,0.0
29000,0.0
30000,0.0
31000,0.0
32000,5.0
33000,0.0
34000,0.0
35000,8.0
36000,1.0
37000,0.0
38000,6.0
39000,9.0
40000,4.0
41000,9.0
42000,6.0
43000,2.0
44000,6.0
45000,22.0
46000,5.0
47000,1.0
48000,8.0
49000,27.0
50000,9.0
51000,5.0
52000,13.0
53000,25.0
54000,32.0
55000,3.0
56000,22.0
57000,24.0
58000,27.0
59000,32.0
60000,42.0
61000,39.0
62000,38.0
63000,33.0
64000,47.0
65000,23.0
66000,36.0
67000,48.0
68000,20.0
69000,83.0
70000,24.0
71000,10.0
72000,15.0
73000,33.0
74000,5.0
75000,44.0
76000,16.0
77000,8.0
78000,35.0
79000,10.0
80000,32.0
81000,23.0
82000,20.0
83000,26.0
84000,22.0
85000,25.0
86000,21.0
87000,53.0
88000,20.0
89000,52.0
90000,68.0
91000,16.0
92000,78.0
93000,92.0
94000,94.0
95000,154.0
96000,102.0
97000,72.0
98000,194.0
99000,92.0
100000,104.0
101000,78.0
102000,100.0
103000,100.0
104000,28.0
105000,76.0
106000,104.0
107000,70.0
108000,137.0
109000,138.0
110000,126.0
111000,234.0
112000,19.0
113000,173.0
114000,148.0
115000,213.0
116000,147.0
117000,141.0
118000,103.0
119000,163.0
120000,146.0
121000,190.0
122000,184.0
123000,207.0
124000,183.0
125000,213.0
126000,193.0
127000,204.0
128000,97.0
129000,194.0
130000,229.0
131000,243.0
132000,199.0
133000,153.0
134000,0.0
135000,38.0
136000,75.0
137000,135.0
138000,106.0
139000,210.0
140000,239.0
141000,246.0
142000,259.0
143000,79.0
144000,249.0
145000,270.0
146000,301.0
147000,193.0
148000,244.0
149000,301.0
150000,247.0
151000,206.0
152000,281.0
153000,219.0
154000,219.0
155000,293.0
156000,263.0
157000,341.0
158000,246.0
159000,282.0
160000,272.0
161000,274.0
162000,266.0
163000,237.0
164000,295.0
165000,224.0
166000,229.0
167000,167.0
168000,187.0
169000,312.0
170000,324.0
171000,304.0
172000,308.0
173000,298.0
174000,304.0
175000,281.0
176000,308.0
177000,298.0
178000,333.0
179000,340.0
180000,309.0
181000,303.0
182000,327.0
183000,316.0
184000,288.0
185000,314.0
186000,328.0
187000,348.0
188000,345.0
189000,294.0
190000,353.0
191000,321.0
192000,338.0
193000,311.0
194000,334.0
195000,294.0
196000,343.0
197000,317.0
198000,354.0
199000,328.0
200000,350.0
201000,358.0
202000,355.0
203000,329.0
204000,327.0
205000,343.0
206000,350.0
207000,335.0
208000,391.0
209000,394.0
210000,366.0
211000,388.0
212000,288.0
213000,337.0
214000,361.0
215000,355.0
216000,324.0
217000,295.0
218000,309.0
219000,291.0
220000,343.0
221000,317.0
222000,357.0
223000,331.0
224000,364.0
225000,261.0
226000,294.0
227000,362.0
228000,325.0
229000,362.0
230000,337.0
231000,362.0
232000,321.0
233000,355.0
234000,369.0
235000,341.0
236000,329.0
237000,377.0
238000,394.0
239000,385.0
240000,367.0
241000,370.0
242000,419.0
243000,410.0
244000,413.0
245000,382.0
246000,320.0
247000,348.0
248000,355.0
249000,351.0
250000,366.0
251000,364.0
252000,363.0
253000,363.0
254000,331.0
255000,382.0
256000,376.0
257000,345.0
258000,335.0
259000,376.0
260000,358.0
261000,346.0
262000,343.0
263000,361.0
264000,400.0
265000,394.0
266000,406.0
267000,394.0
268000,427.0
269000,380.0
270000,371.0
271000,396.0
272000,378.0
273000,378.0
274000,383.0
275000,397.0
276000,406.0
277000,401.0
278000,433.0
279000,406.0
280000,313.0
281000,372.0
282000,398.0
283000,429.0
284000,373.0
285000,376.0
286000,424.0
287000,362.0
288000,357.0
289000,329.0
290000,291.0
291000,355.0
292000,392.0
