step,episode_return
1000,0.0
2000,0.0
3000,0.0
4000,4.0
5000,0.0
6000,0.0
7000,0.0
8000,0.0
9000,0.0
10000,0.0
11000,3.0
12000,0.0
13000,1.0
14000,0.0
15000,3.0
16000,5.0
17000,2.0
18000,6.0
19000,0.0
20000,0.0
21000,8.0
22000,1.0
23000,8.0
24000,4.0
25000,3.0
26000,18.0
27000,15.0
28000,16.0
29000,14.0
30000,38.0
31000,24.0
32000,20.0
33000,30.0
34000,13.0
35000,19.0
36000,17.0
37000,45.0
38000,37.0
39000,16.0
40000,40.0
41000,34.0
42000,19.0
43000,4.0
44000,20.0
45000,28.0
46000,12.0
47000,0.0
48000,11.0
49000,14.0
50000,14.0
51000,0.0
52000,18.0
53000,62.0
54000,8.0
55000,15.0
56000,0.0
57000,25.0
58000,41.0
59000,49.0
60000,54.0
61000,48.0
62000,55.0
63000,20.0
64000,13.0
65000,22.0
66000,53.0
67000,59.0
68000,47.0
69000,57.0
70000,4.0
71000,30.0
72000,46.0
73000,45.0
74000,35.0
75000,59.0
76000,6.0
77000,8.0
78000,20.0
79000,15.0
80000,0.0
81000,5.0
82000,7.0
83000,0.0
84000,0.0
85000,0.0
86000,3.0
87000,0.0
88000,6.0
89000,14.0
90000,5.0
91000,6.0
92000,2.0
93000,0.0
94000,0.0
95000,13.0
96000,21.0
97000,19.0
98000,64.0
99000,29.0
100000,12.0
101000,35.0
102000,6.0
103000,50.0
104000,31.0
105000,8.0
106000,25.0
107000,13.0
108000,43.0
109000,52.0
110000,56.0
111000,41.0
112000,54.0
113000,56.0
114000,49.0
115000,71.0
116000,41.0
117000,55.0
118000,29.0
119000,3.0
120000,24.0
121000,9.0
122000,6.0
123000,3.0
124000,8.0
125000,15.0
126000,18.0
127000,36.0
128000,6.0
129000,9.0
130000,20.0
131000,7.0
132000,9.0
133000,8.0
134000,18.0
135000,14.0
136000,8.0
137000,2.0
138000,8.0
139000,0.0
140000,13.0
141000,16.0
142000,34.0
143000,77.0
144000,45.0
145000,59.0
146000,66.0
147000,88.0
148000,30.0
149000,20.0
150000,45.0
151000,68.0
152000,69.0
153000,42.0
154000,22.0
155000,18.0
156000,19.0
157000,45.0
158000,22.0
159000,54.0
160000,0.0
161000,36.0
162000,30.0
163000,47.0
164000,25.0
165000,36.0
166000,40.0
167000,52.0
168000,24.0
169000,42.0
170000,90.0
171000,45.0
172000,77.0
173000,70.0
174000,84.0
175000,84.0
176000,89.0
177000,94.0
178000,193.0
179000,152.0
180000,52.0
181000,101.0
182000,94.0
183000,130.0
184000,103.0
185000,201.0
186000,14.0
187000,171.0
188000,81.0
189000,257.0
190000,145.0
191000,35.0
192000,178.0
193000,0.0
194000,282.0
195000,137.0
196000,174.0
197000,201.0
198000,139.0
199000,117.0
200000,176.0
201000,129.0
202000,119.0
203000,229.0
204000,169.0
205000,79.0
206000,78.0
207000,22.0
208000,17.0
209000,244.0
210000,249.0
211000,197.0
212000,238.0
213000,197.0
214000,241.0
215000,179.0
216000,238.0
217000,228.0
218000,254.0
219000,260.0
220000,306.0
221000,266.0
222000,192.0
223000,314.0
224000,171.0
225000,235.0
226000,201.0
227000,266.0
228000,180.0
229000,177.0
230000,231.0
231000,237.0
232000,251.0
233000,259.0
234000,263.0
235000,296.0
236000,257.0
237000,210.0
238000,280.0
239000,279.0
240000,286.0
241000,289.0
242000,282.0
243000,268.0
244000,264.0
245000,243.0
246000,301.0
247000,273.0
248000,210.0
249000,252.0
250000,117.0
251000,216.0
252000,247.0
253000,223.0
254000,176.0
255000,304.0
256000,291.0
257000,264.0
258000,240.0
259000,225.0
260000,277.0
261000,301.0
262000,280.0
263000,283.0
264000,271.0
265000,223.0
266000,288.0
267000,99.0
268000,259.0
269000,315.0
270000,233.0
271000,227.0
272000,214.0
273000,291.0
274000,262.0
275000,261.0
276000,260.0
277000,275.0
278000,285.0
279000,269.0
280000,256.0
281000,233.0
282000,291.0
283000,240.0
284000,276.0
285000,311.0
286000,280.0
287000,271.0
288000,238.0
289000,254.0
290000,273.0
291000,320.0
292000,334.0
293000,384.0
294000,359.0
295000,272.0
296000,316.0
297000,309.0
298000,240.0
299000,318.0
300000,232.0
301000,197.0
302000,202.0
303000,225.0
304000,264.0
305000,317.0
306000,310.0
307000,335.0
308000,268.0
309000,289.0
310000,294.0
311000,317.0
312000,272.0
313000,267.0
314000,274.0
315000,335.0
316000,315.0
317000,305.0
318000,373.0
319000,320.0
320000,375.0
321000,230.0
322000,148.0
323000,224.0
324000,313.0
325000,347.0
326000,312.0
327000,351.0
328000,310.0
329000,416.0
330000,333.0
331000,355.0
332000,374.0
333000,371.0
334000,347.0
335000,396.0
336000,401.0
337000,402.0
338000,350.0
339000,375.0
340000,378.0
341000,351.0
342000,343.0
343000,289.0
344000,400.0
345000,328.0
346000,354.0
347000,376.0
348000,339.0
349000,367.0
350000,335.0
351000,401.0
352000,406.0
353000,386.0
354000,401.0
355000,358.0
356000,263.0
357000,365.0
358000,354.0
359000,352.0
360000,354.0
361000,340.0
362000,390.0
363000,375.0
364000,407.0
365000,387.0
366000,402.0
367000,366.0
368000,440.0
369000,417.0
370000,339.0
371000,369.0
372000,416.0
373000,388.0
374000,409.0
375000,406.0
376000,351.0
377000,392.0
378000,393.0
379000,393.0
380000,429.0
381000,433.0
382000,395.0
383000,395.0
384000,411.0
385000,386.0
386000,462.0
387000,398.0
388000,381.0
389000,388.0
390000,379.0
391000,342.0
392000,364.0
393000,357.0
394000,401.0
395000,425.0
396000,421.0
397000,365.0
398000,436.0
399000,399.0
400000,373.0
401000,354.0
402000,412.0
403000,388.0
404000,390.0
405000,365.0
406000,405.0
407000,402.0
408000,423.0
409000,410.0
410000,420.0
411000,405.0
412000,406.0
413000,426.0
414000,412.0
415000,420.0
416000,444.0
417000,383.0
418000,389.0
419000,400.0
420000,376.0
421000,372.0
422000,363.0
423000,384.0
424000,403.0
425000,399.0
426000,421.0
427000,444.0
428000,407.0
429000,380.0
430000,436.0
431000,394.0
432000,376.0
433000,357.0
434000,390.0
435000,408.0
436000,390.0
437000,401.0
438000,420.0
439000,440.0
440000,412.0
441000,371.0
442000,388.0
443000,359.0
444000,366.0
445000,363.0
446000,382.0
447000,361.0
448000,357.0
449000,384.0
450000,369.0
451000,371.0
452000,404.0
453000,379.0
454000,343.0
455000,361.0
456000,399.0
457000,396.0
458000,394.0
459000,440.0
460000,416.0
461000,407.0
462000,407.0
463000,463.0
464000,408.0
465000,403.0
466000,391.0
467000,380.0
468000,406.0
469000,403.0
470000,420.0
471000,411.0
472000,377.0
473000,395.0
474000,406.0
475000,414.0
476000,368.0
477000,424.0
478000,415.0
479000,402.0
480000,383.0
481000,417.0
482000,359.0
483000,354.0
484000,361.0
485000,420.0
486000,356.0
487000,373.0
488000,381.0
489000,428.0
490000,385.0
491000,406.0
492000,422.0
493000,408.0
494000,392.0
495000,396.0
496000,434.0
497000,437.0
498000,419.0
499000,387.0
500000,386.0
501000,455.0
502000,422.0
503000,383.0
504000,453.0
505000,414.0
506000,411.0
507000,408.0
508000,424.0
509000,408.0
510000,434.0
511000,405.0
512000,426.0
513000,445.0
514000,405.0
515000,446.0
516000,451.0
517000,424.0
518000,459.0
519000,411.0
520000,377.0
521000,411.0
522000,383.0
523000,389.0
524000,376.0
525000,376.0
526000,450.0
527000,420.0
528000,421.0
529000,438.0
530000,401.0
531000,355.0
532000,377.0
533000,453.0
534000,407.0
535000,434.0
536000,396.0
537000,403.0
538000,427.0
539000,451.0
540000,418.0
541000,450.0
542000,440.0
543000,433.0
544000,428.0
545000,437.0
546000,416.0
547000,458.0
548000,467.0
549000,466.0
550000,484.0
551000,401.0
552000,436.0
553000,456.0
554000,435.0
555000,468.0
556000,442.0
557000,465.0
558000,466.0
559000,470.0
560000,411.0
561000,442.0
562000,447.0
563000,508.0
564000,453.0
565000,438.0
566000,404.0
567000,480.0
568000,454.0
569000,479.0
570000,410.0
571000,434.0
572000,416.0
573000,459.0
574000,459.0
575000,394.0
576000,449.0
577000,441.0
578000,446.0
579000,441.0
580000,425.0
581000,409.0
582000,469.0
583000,453.0
584000,441.0
585000,403.0
586000,426.0
587000,423.0
588000,425.0
589000,426.0
590000,429.0
591000,461.0
592000,459.0
593000,395.0
594000,410.0
595000,449.0
596000,450.0
597000,485.0
598000,490.0
599000,429.0
600000,435.0
601000,339.0
602000,394.0
603000,369.0
604000,384.0
605000,374.0
606000,429.0
607000,448.0
608000,457.0
609000,395.0
610000,401.0
611000,390.0
612000,455.0
613000,441.0
614000,464.0
615000,446.0
616000,446.0
617000,493.0
618000,476.0
619000,510.0
620000,455.0
621000,447.0
622000,470.0
623000,448.0
624000,481.0
625000,419.0
626000,485.0
627000,400.0
628000,461.0
629000,476.0
630000,421.0
631000,433.0
632000,403.0
633000,371.0
634000,417.0
635000,437.0
636000,431.0
637000,458.0
638000,496.0
639000,484.0
640000,461.0
641000,465.0
642000,505.0
643000,416.0
644000,507.0
645000,495.0
646000,470.0
647000,463.0
648000,530.0
649000,471.0
650000,454.0
651000,426.0
652000,345.0
653000,450.0
654000,440.0
655000,493.0
656000,479.0
657000,498.0
658000,514.0
659000,504.0
660000,450.0
661000,481.0
662000,495.0
663000,476.0
664000,431.0
665000,399.0
666000,377.0
667000,463.0
668000,421.0
669000,428.0
670000,428.0
671000,418.0
672000,431.0
673000,435.0
674000,443.0
675000,462.0
676000,406.0
677000,395.0
678000,392.0
679000,415.0
680000,441.0
681000,473.0
682000,490.0
683000,447.0
684000,465.0
685000,384.0
686000,391.0
687000,379.0
688000,458.0
689000,406.0
690000,406.0
691000,443.0
692000,438.0
693000,464.0
694000,442.0
695000,411.0
696000,440.0
697000,447.0
698000,488.0
699000,495.0
700000,484.0
701000,455.0
702000,373.0
703000,430.0
704000,432.0
705000,460.0
706000,434.0
707000,418.0
708000,431.0
709000,436.0
710000,425.0
711000,453.0
712000,502.0
713000,469.0
714000,415.0
715000,481.0
716000,430.0
717000,445.0
718000,486.0
719000,496.0
720000,468.0
721000,488.0
722000,407.0
723000,459.0
724000,467.0
725000,447.0
726000,476.0
727000,463.0
728000,488.0
729000,458.0
730000,509.0
731000,504.0
732000,483.0
733000,446.0
734000,461.0
735000,484.0
736000,478.0
737000,442.0
738000,476.0
739000,433.0
740000,450.0
741000,502.0
742000,455.0
743000,496.0
744000,444.0
745000,514.0
746000,469.0
747000,500.0
748000,436.0
749000,430.0
750000,448.0
751000,437.0
752000,390.0
753000,450.0
754000,458.0
755000,486.0
756000,471.0
757000,445.0
758000,447.0
759000,468.0
760000,520.0
761000,501.0
762000,473.0
763000,508.0
764000,470.0
765000,449.0
766000,504.0
767000,532.0
768000,447.0
769000,477.0
770000,467.0
771000,462.0
772000,477.0
773000,460.0
774000,474.0
775000,237.0
776000,364.0
777000,330.0
778000,402.0
779000,416.0
780000,328.0
781000,379.0
782000,416.0
783000,445.0
784000,454.0
785000,460.0
786000,458.0
787000,449.0
788000,457.0
789000,471.0
790000,432.0
791000,412.0
792000,393.0
793000,472.0
794000,508.0
795000,475.0
796000,473.0
797000,450.0
798000,461.0
799000,424.0
800000,468.0
801000,373.0
802000,218.0
803000,284.0
804000,369.0
805000,406.0
806000,460.0
807000,466.0
808000,445.0
809000,501.0
810000,439.0
811000,450.0
812000,359.0
813000,179.0
814000,434.0
815000,451.0
816000,416.0
817000,451.0
818000,449.0
819000,419.0
820000,506.0
821000,417.0
822000,470.0
823000,492.0
824000,449.0
825000,477.0
826000,498.0
827000,520.0
828000,482.0
829000,515.0
830000,448.0
831000,497.0
832000,445.0
833000,510.0
834000,483.0
835000,463.0
836000,404.0
837000,464.0
838000,489.0
839000,485.0
840000,408.0
841000,443.0
842000,433.0
843000,481.0
844000,500.0
845000,491.0
846000,464.0
847000,452.0
848000,442.0
849000,490.0
850000,474.0
851000,469.0
852000,448.0
853000,471.0
854000,440.0
855000,475.0
856000,463.0
857000,479.0
858000,417.0
859000,382.0
860000,485.0
861000,425.0
862000,453.0
863000,482.0
864000,490.0
865000,496.0
866000,449.0
867000,454.0
868000,471.0
869000,478.0
870000,474.0
871000,468.0
872000,485.0
873000,500.0
874000,499.0
875000,435.0
876000,435.0
877000,440.0
878000,412.0
879000,501.0
880000,465.0
881000,405.0
882000,448.0
883000,426.0
884000,511.0
885000,497.0
886000,512.0
887000,522.0
888000,487.0
889000,542.0
890000,443.0
891000,487.0
892000,462.0
893000,548.0
894000,443.0
895000,509.0
896000,465.0
897000,489.0
898000,460.0
899000,505.0
900000,512.0
901000,419.0
902000,472.0
903000,516.0
904000,490.0
905000,523.0
906000,516.0
907000,521.0
908000,466.0
909000,434.0
910000,445.0
911000,465.0
912000,494.0
913000,500.0
914000,535.0
915000,435.0
916000,487.0
917000,516.0
918000,458.0
919000,490.0
920000,473.0
921000,512.0
922000,486.0
923000,505.0
924000,512.0
925000,426.0
926000,474.0
927000,468.0
928000,446.0
929000,447.0
930000,495.0
931000,500.0
932000,503.0
933000,546.0
934000,544.0
935000,422.0
936000,440.0
937000,464.0
938000,448.0
939000,521.0
940000,470.0
941000,426.0
942000,476.0
943000,474.0
944000,460.0
945000,455.0
946000,479.0
947000,474.0
948000,501.0
949000,483.0
950000,413.0
951000,490.0
952000,469.0
953000,534.0
954000,496.0
955000,500.0
956000,552.0
957000,481.0
958000,540.0
959000,504.0
960000,499.0
961000,519.0
962000,496.0
963000,419.0
964000,468.0
965000,540.0
966000,513.0
967000,487.0
968000,513.0
969000,457.0
970000,512.0
971000,454.0
972000,503.0
973000,523.0
974000,490.0
975000,440.0
976000,464.0
977000,469.0
978000,408.0
979000,466.0
980000,496.0
981000,446.0
982000,437.0
983000,487.0
984000,439.0
985000,504.0
986000,416.0
987000,452.0
988000,464.0
989000,492.0
990000,470.0
991000,499.0
992000,482.0
993000,494.0
994000,510.0
995000,442.0
996000,458.0
997000,496.0
998000,449.0
999000,390.0
1000000,399.0
