step,episode_return
1000,0.0
2000,0.0
3000,0.0
4000,3.0
5000,1.0
6000,0.0
7000,0.0
8000,0.0
9000,10.0
10000,0.0
11000,0.0
12000,0.0
13000,7.0
14000,0.0
15000,8.0
16000,10.0
17000,5.0
18000,9.0
19000,5.0
20000,25.0
21000,0.0
22000,1.0
23000,9.0
24000,0.0
25000,15.0
26000,14.0
27000,6.0
28000,20.0
29000,23.0
30000,25.0
31000,12.0
32000,36.0
33000,17.0
34000,55.0
35000,45.0
36000,10.0
37000,22.0
38000,27.0
39000,9.0
40000,49.0
41000,44.0
42000,32.0
43000,22.0
44000,38.0
45000,25.0
46000,8.0
47000,0.0
48000,28.0
49000,3.0
50000,35.0
51000,89.0
52000,30.0
53000,44.0
54000,33.0
55000,33.0
56000,39.0
57000,47.0
58000,73.0
59000,47.0
60000,18.0
61000,43.0
62000,17.0
63000,85.0
64000,65.0
65000,83.0
66000,84.0
67000,83.0
68000,48.0
69000,48.0
70000,65.0
71000,21.0
72000,49.0
73000,53.0
74000,84.0
75000,113.0
76000,73.0
77000,132.0
78000,186.0
79000,96.0
80000,76.0
81000,172.0
82000,108.0
83000,148.0
84000,142.0
85000,190.0
86000,200.0
87000,197.0
88000,126.0
89000,191.0
90000,47.0
91000,0.0
92000,0.0
93000,0.0
94000,0.0
95000,0.0
96000,0.0
97000,0.0
98000,0.0
99000,0.0
100000,0.0
101000,0.0
102000,0.0
103000,0.0
104000,0.0
105000,0.0
106000,5.0
107000,15.0
108000,26.0
109000,9.0
110000,63.0
111000,0.0
112000,86.0
113000,0.0
114000,24.0
115000,0.0
116000,15.0
117000,0.0
118000,2.0
119000,38.0
120000,83.0
121000,26.0
122000,42.0
123000,13.0
124000,20.0
125000,37.0
126000,11.0
127000,42.0
128000,13.0
129000,78.0
130000,58.0
131000,80.0
132000,27.0
133000,15.0
134000,69.0
135000,63.0
136000,64.0
137000,106.0
138000,116.0
139000,104.0
140000,82.0
141000,103.0
142000,131.0
143000,167.0
144000,164.0
145000,199.0
146000,131.0
147000,151.0
148000,142.0
149000,147.0
150000,204.0
151000,166.0
152000,129.0
153000,200.0
154000,154.0
155000,180.0
156000,142.0
157000,144.0
158000,159.0
159000,154.0
160000,158.0
161000,260.0
162000,319.0
163000,339.0
164000,292.0
165000,299.0
166000,149.0
167000,240.0
168000,212.0
169000,279.0
170000,241.0
171000,242.0
172000,238.0
173000,276.0
174000,235.0
175000,273.0
176000,259.0
177000,318.0
178000,277.0
179000,269.0
180000,280.0
181000,280.0
182000,262.0
183000,275.0
184000,249.0
185000,224.0
186000,293.0
187000,236.0
188000,216.0
189000,269.0
190000,221.0
191000,283.0
192000,281.0
193000,262.0
194000,249.0
195000,0.0
196000,0.0
197000,0.0
198000,0.0
199000,0.0
200000,0.0
201000,194.0
202000,194.0
203000,352.0
204000,294.0
205000,361.0
206000,313.0
207000,330.0
208000,323.0
209000,323.0
210000,298.0
211000,302.0
212000,286.0
213000,301.0
214000,222.0
215000,238.0
216000,244.0
217000,257.0
218000,277.0
219000,340.0
220000,299.0
221000,312.0
222000,305.0
223000,272.0
224000,284.0
225000,291.0
226000,273.0
227000,276.0
228000,309.0
229000,338.0
230000,320.0
231000,289.0
232000,221.0
233000,319.0
234000,327.0
235000,264.0
236000,316.0
237000,292.0
238000,314.0
239000,346.0
240000,354.0
241000,328.0
242000,88.0
243000,268.0
244000,301.0
245000,338.0
246000,322.0
247000,239.0
248000,277.0
249000,128.0
250000,230.0
251000,231.0
252000,193.0
253000,365.0
254000,365.0
255000,362.0
256000,347.0
257000,332.0
258000,369.0
259000,413.0
260000,379.0
261000,380.0
262000,356.0
263000,428.0
264000,370.0
265000,404.0
266000,427.0
267000,380.0
268000,385.0
269000,366.0
270000,329.0
271000,361.0
272000,238.0
273000,102.0
274000,327.0
275000,348.0
276000,354.0
277000,356.0
278000,354.0
279000,390.0
280000,336.0
281000,370.0
282000,362.0
283000,370.0
284000,353.0
285000,366.0
286000,363.0
287000,379.0
288000,380.0
289000,382.0
290000,397.0
291000,323.0
292000,387.0
293000,387.0
294000,369.0
295000,391.0
296000,392.0
297000,347.0
298000,373.0
299000,319.0
300000,385.0
301000,393.0
302000,372.0
303000,389.0
304000,417.0
305000,369.0
306000,406.0
307000,347.0
308000,414.0
309000,422.0
310000,402.0
311000,412.0
312000,218.0
313000,324.0
314000,388.0
315000,366.0
316000,356.0
317000,356.0
318000,405.0
319000,363.0
320000,341.0
321000,414.0
322000,417.0
323000,428.0
324000,416.0
325000,412.0
326000,409.0
327000,440.0
328000,450.0
329000,379.0
330000,418.0
331000,431.0
332000,420.0
333000,410.0
334000,456.0
335000,417.0
336000,399.0
337000,401.0
338000,417.0
339000,363.0
340000,421.0
341000,417.0
342000,466.0
343000,391.0
344000,301.0
345000,297.0
346000,325.0
347000,361.0
348000,402.0
349000,441.0
350000,465.0
351000,430.0
352000,362.0
353000,318.0
354000,313.0
355000,330.0
356000,349.0
357000,323.0
358000,379.0
359000,396.0
360000,305.0
361000,357.0
362000,453.0
363000,424.0
364000,338.0
365000,354.0
366000,414.0
367000,417.0
368000,421.0
369000,446.0
370000,458.0
371000,446.0
372000,440.0
373000,450.0
374000,432.0
375000,428.0
376000,395.0
377000,409.0
378000,452.0
379000,459.0
380000,456.0
381000,457.0
382000,449.0
383000,461.0
384000,413.0
385000,426.0
386000,446.0
387000,455.0
388000,423.0
389000,303.0
390000,247.0
391000,292.0
392000,263.0
393000,282.0
394000,397.0
395000,425.0
396000,429.0
397000,447.0
398000,393.0
399000,411.0
400000,408.0
401000,396.0
402000,441.0
403000,413.0
404000,427.0
405000,414.0
406000,445.0
407000,424.0
408000,452.0
409000,419.0
410000,446.0
411000,447.0
412000,469.0
413000,448.0
414000,455.0
415000,444.0
416000,470.0
417000,442.0
418000,437.0
419000,390.0
420000,435.0
421000,431.0
422000,463.0
423000,484.0
424000,447.0
425000,448.0
426000,420.0
427000,357.0
428000,424.0
429000,421.0
430000,453.0
431000,408.0
432000,449.0
433000,429.0
434000,444.0
435000,460.0
436000,355.0
437000,8.0
438000,0.0
439000,0.0
440000,0.0
441000,21.0
442000,18.0
443000,194.0
444000,12.0
445000,0.0
446000,20.0
447000,15.0
448000,132.0
449000,108.0
450000,165.0
451000,165.0
452000,282.0
453000,387.0
454000,342.0
455000,281.0
456000,395.0
457000,456.0
458000,449.0
459000,370.0
460000,394.0
461000,192.0
462000,266.0
463000,403.0
464000,365.0
465000,396.0
466000,437.0
467000,421.0
468000,424.0
469000,322.0
470000,413.0
471000,449.0
472000,414.0
473000,399.0
474000,467.0
475000,398.0
476000,429.0
477000,424.0
478000,451.0
479000,437.0
480000,480.0
481000,467.0
482000,440.0
483000,440.0
484000,402.0
485000,424.0
486000,433.0
487000,418.0
488000,402.0
489000,422.0
490000,418.0
491000,462.0
492000,456.0
493000,416.0
494000,412.0
495000,411.0
496000,365.0
497000,451.0
498000,427.0
499000,431.0
500000,447.0
501000,392.0
502000,389.0
503000,337.0
504000,405.0
505000,420.0
506000,465.0
507000,450.0
508000,447.0
509000,421.0
510000,438.0
511000,461.0
512000,435.0
513000,457.0
514000,411.0
515000,440.0
516000,455.0
517000,454.0
518000,401.0
519000,412.0
520000,431.0
521000,439.0
522000,433.0
523000,439.0
524000,447.0
525000,336.0
526000,420.0
527000,409.0
528000,396.0
529000,425.0
530000,462.0
531000,455.0
532000,429.0
533000,429.0
534000,422.0
535000,459.0
536000,430.0
537000,431.0
538000,436.0
539000,429.0
540000,348.0
541000,450.0
542000,436.0
543000,474.0
544000,472.0
545000,456.0
546000,417.0
547000,397.0
548000,434.0
549000,446.0
550000,427.0
551000,464.0
552000,447.0
553000,448.0
554000,410.0
555000,400.0
556000,418.0
557000,414.0
558000,381.0
559000,323.0
560000,351.0
561000,483.0
562000,421.0
563000,456.0
564000,465.0
565000,452.0
566000,439.0
567000,388.0
568000,428.0
569000,457.0
570000,462.0
571000,419.0
572000,454.0
573000,475.0
574000,424.0
575000,444.0
576000,471.0
577000,413.0
578000,428.0
579000,447.0
580000,475.0
581000,461.0
582000,457.0
583000,455.0
584000,463.0
585000,427.0
586000,451.0
587000,445.0
588000,420.0
589000,419.0
590000,475.0
591000,425.0
592000,449.0
593000,388.0
594000,449.0
595000,474.0
596000,438.0
597000,434.0
598000,445.0
599000,494.0
600000,459.0
601000,448.0
602000,456.0
603000,473.0
604000,409.0
605000,377.0
606000,373.0
607000,361.0
608000,324.0
609000,318.0
610000,381.0
611000,370.0
612000,357.0
613000,345.0
614000,130.0
615000,281.0
616000,341.0
617000,295.0
618000,306.0
619000,361.0
620000,390.0
621000,401.0
622000,398.0
623000,393.0
624000,380.0
625000,352.0
626000,319.0
627000,386.0
628000,397.0
629000,374.0
630000,387.0
631000,425.0
632000,431.0
633000,433.0
634000,441.0
635000,455.0
636000,446.0
637000,439.0
638000,423.0
639000,415.0
640000,428.0
641000,451.0
642000,410.0
643000,443.0
644000,425.0
645000,419.0
646000,438.0
647000,475.0
648000,429.0
649000,436.0
650000,399.0
651000,418.0
652000,431.0
653000,387.0
654000,412.0
655000,392.0
656000,397.0
657000,419.0
658000,403.0
659000,441.0
660000,450.0
661000,460.0
662000,456.0
663000,474.0
664000,457.0
665000,469.0
666000,459.0
667000,449.0
668000,458.0
669000,477.0
670000,426.0
671000,394.0
672000,396.0
673000,431.0
674000,420.0
675000,413.0
676000,464.0
677000,200.0
678000,465.0
679000,467.0
680000,466.0
681000,461.0
682000,448.0
683000,443.0
684000,438.0
685000,455.0
686000,439.0
687000,390.0
688000,454.0
689000,437.0
690000,454.0
691000,462.0
692000,451.0
693000,469.0
694000,437.0
695000,485.0
696000,483.0
697000,464.0
698000,444.0
699000,473.0
700000,479.0
701000,420.0
702000,474.0
703000,476.0
704000,466.0
705000,453.0
706000,443.0
707000,424.0
708000,470.0
709000,439.0
710000,459.0
711000,460.0
712000,442.0
713000,466.0
714000,455.0
715000,445.0
716000,410.0
717000,454.0
718000,467.0
719000,462.0
720000,454.0
721000,428.0
722000,465.0
723000,473.0
724000,478.0
725000,475.0
726000,443.0
727000,477.0
728000,499.0
729000,477.0
730000,457.0
731000,457.0
732000,459.0
733000,443.0
734000,440.0
735000,437.0
736000,411.0
737000,455.0
738000,469.0
739000,443.0
740000,425.0
741000,450.0
742000,420.0
743000,430.0
744000,458.0
745000,409.0
746000,452.0
747000,440.0
748000,429.0
749000,404.0
750000,384.0
751000,441.0
752000,440.0
753000,460.0
754000,469.0
755000,441.0
756000,428.0
757000,450.0
758000,452.0
759000,434.0
760000,470.0
761000,448.0
762000,456.0
763000,464.0
764000,465.0
765000,470.0
766000,440.0
767000,420.0
768000,462.0
769000,464.0
770000,449.0
771000,470.0
772000,477.0
773000,480.0
774000,461.0
775000,481.0
776000,485.0
777000,484.0
778000,472.0
779000,472.0
780000,430.0
781000,417.0
782000,477.0
783000,457.0
784000,483.0
785000,466.0
786000,468.0
787000,469.0
788000,414.0
789000,478.0
790000,471.0
791000,483.0
792000,484.0
793000,492.0
794000,468.0
795000,480.0
796000,473.0
797000,459.0
798000,422.0
799000,424.0
800000,485.0
801000,478.0
802000,471.0
803000,477.0
804000,460.0
805000,454.0
806000,483.0
807000,461.0
808000,464.0
809000,471.0
810000,449.0
811000,458.0
812000,476.0
813000,472.0
814000,463.0
815000,449.0
816000,469.0
817000,476.0
818000,463.0
819000,456.0
820000,453.0
821000,458.0
822000,477.0
823000,475.0
824000,484.0
825000,431.0
826000,460.0
827000,416.0
828000,474.0
829000,482.0
830000,486.0
831000,459.0
832000,438.0
833000,452.0
834000,435.0
835000,463.0
836000,489.0
837000,456.0
838000,461.0
839000,445.0
840000,458.0
841000,464.0
842000,491.0
843000,431.0
844000,447.0
845000,437.0
846000,416.0
847000,360.0
848000,349.0
849000,396.0
850000,466.0
851000,442.0
852000,462.0
853000,471.0
854000,475.0
855000,422.0
856000,478.0
857000,472.0
858000,464.0
859000,458.0
860000,448.0
861000,454.0
862000,436.0
863000,462.0
864000,483.0
865000,458.0
866000,487.0
867000,479.0
868000,486.0
869000,474.0
870000,492.0
871000,474.0
872000,439.0
873000,460.0
874000,462.0
875000,475.0
876000,458.0
877000,472.0
878000,423.0
879000,459.0
880000,423.0
881000,468.0
882000,467.0
883000,467.0
884000,476.0
885000,430.0
886000,437.0
887000,464.0
888000,486.0
889000,484.0
890000,494.0
891000,457.0
892000,457.0
893000,484.0
894000,460.0
895000,477.0
896000,472.0
897000,485.0
898000,432.0
899000,443.0
900000,486.0
901000,473.0
902000,496.0
903000,470.0
904000,450.0
905000,465.0
906000,463.0
907000,465.0
908000,456.0
909000,443.0
910000,447.0
911000,470.0
912000,440.0
913000,480.0
914000,488.0
915000,466.0
916000,481.0
917000,484.0
918000,459.0
919000,443.0
920000,470.0
921000,493.0
922000,452.0
923000,452.0
924000,458.0
925000,449.0
926000,455.0
927000,429.0
928000,444.0
929000,463.0
930000,431.0
931000,447.0
932000,457.0
933000,461.0
934000,464.0
935000,455.0
936000,449.0
937000,453.0
938000,397.0
939000,408.0
940000,407.0
941000,451.0
942000,481.0
943000,467.0
944000,477.0
945000,461.0
946000,475.0
947000,482.0
948000,471.0
949000,407.0
950000,419.0
951000,453.0
952000,455.0
953000,472.0
954000,445.0
955000,481.0
956000,468.0
957000,422.0
958000,421.0
959000,448.0
960000,462.0
961000,464.0
962000,462.0
963000,476.0
964000,473.0
965000,478.0
966000,478.0
967000,484.0
968000,484.0
969000,461.0
970000,458.0
971000,438.0
972000,485.0
973000,492.0
974000,478.0
975000,474.0
976000,449.0
977000,439.0
978000,451.0
979000,453.0
980000,428.0
981000,446.0
982000,461.0
983000,449.0
984000,437.0
985000,462.0
986000,460.0
987000,432.0
988000,440.0
989000,439.0
990000,451.0
991000,434.0
992000,480.0
993000,458.0
994000,444.0
995000,449.0
996000,448.0
997000,483.0
998000,477.0
999000,478.0
1000000,466.0
