step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,0.0,1.0,0.07,13.137903837828683,0.1966758519411087,-6.248471736907959,-6.029345512390137,0.4220541858673096
2000,5.0,1.0,0.07,14.156889389249665,0.1617564857006073,-6.1136956214904785,-5.999170303344727,0.4199419212341309
3000,0.0,1.0,0.07,14.468234218159537,0.15780124068260193,-6.170418739318848,-6.0432538986206055,0.4230277729034424
4000,0.0,1.0,0.07,14.576092224049734,0.16013936698436737,-6.24681282043457,-5.911961555480957,0.41383730888366704
5000,0.0,1.0,0.07,14.679371975634929,0.1599022001028061,-6.32977294921875,-6.56884765625,0.4598193359375
6000,0.0,1.0,0.07,14.748728599741991,0.15746711194515228,-6.272058010101318,-5.99212646484375,0.41944885253906256
7000,0.0,1.0,0.07,14.767947528482733,0.15757204592227936,-6.43102502822876,-8.126245498657227,0.5688371849060059
8000,0.0,1.0,0.07,14.800554088935252,0.15850073099136353,-6.302820205688477,-5.862873077392578,0.41040111541748053
9000,0.0,1.0,0.07,14.835867115197008,0.15786990523338318,-6.423645496368408,-7.556189060211182,0.5289332342147828
10000,0.0,1.0,0.07,14.84703945335794,0.15978679060935974,-6.430737495422363,-7.083998680114746,0.4958799076080323
11000,0.0,1.0,0.07,14.856645760443923,0.16215793788433075,-6.5503692626953125,-8.111004829406738,0.5677703380584718
12000,0.0,1.0,0.07,14.868310704867758,0.16614173352718353,-6.506206512451172,-6.368715286254883,0.44581007003784184
13000,0.0,1.0,0.07,14.884679667193511,0.17372958362102509,-6.649534702301025,-6.363841533660889,0.44546890735626227
14000,0.0,1.0,0.07,14.898893397990037,0.1854247748851776,-6.938350200653076,-7.467734336853027,0.522741403579712
15000,0.0,1.0,0.07,14.907665632933353,0.23566849529743195,-7.68353271484375,-6.378604888916016,0.44650234222412116
16000,0.0,1.0,0.07,14.910264124356859,0.339139461517334,-9.166540145874023,-6.906374454498291,0.4834462118148804
17000,0.0,1.0,0.07,14.916137259836576,0.48504674434661865,-10.849051475524902,-6.580896377563477,0.4606627464294434
18000,0.0,1.0,0.07,14.91614367645656,0.7593626976013184,-13.555350303649902,-7.960152626037598,0.5572106838226318
19000,0.0,1.0,0.07,14.911913877660014,1.0694777965545654,-15.938973426818848,-7.396208763122559,0.5177346134185792
20000,0.0,1.0,0.07,14.917790159993514,1.4068034887313843,-18.102466583251953,-5.838044166564941,0.40866309165954595
21000,0.0,1.0,0.07,14.923715080648673,1.7579604387283325,-20.225072860717773,-6.25718879699707,0.43800321578979495
22000,0.0,1.0,0.07,14.927779501043785,2.1131644248962402,-22.135700225830078,-6.222766876220703,0.43559368133544923
23000,0.0,1.0,0.07,14.930785096986657,2.411400556564331,-23.638517379760742,-6.471042156219482,0.4529729509353638
24000,0.0,1.0,0.07,14.935397568986534,2.726611614227295,-25.120458602905273,-6.549306392669678,0.4584514474868775
25000,0.0,1.0,0.07,14.941611459155652,2.99245285987854,-26.29627799987793,-6.417428493499756,0.44921999454498296
26000,0.0,1.0,0.07,14.944350105333248,3.2958316802978516,-27.557626724243164,-6.100248336791992,0.4270173835754395
27000,0.0,1.0,0.07,14.946667287619032,3.5252199172973633,-28.491809844970703,-6.122724533081055,0.4285907173156739
28000,0.0,1.0,0.07,14.944682698367872,3.756181240081787,-29.498449325561523,-7.633610248565674,0.5343527173995972
29000,0.0,1.0,0.07,14.952329256717071,3.9994640350341797,-30.510679244995117,-8.686037063598633,0.6080225944519043
30000,0.0,1.0,0.07,14.951135563890238,4.210247039794922,-31.132638931274414,-6.4938859939575195,0.4545720195770264
31000,0.0,1.0,0.07,14.954099825410676,4.419937610626221,-31.871105194091797,-6.173318862915039,0.43213232040405275
32000,0.0,1.0,0.07,14.95540424101384,4.608032703399658,-32.615013122558594,-7.303575038909912,0.5112502527236938
33000,0.0,1.0,0.07,14.957288185981492,4.799129962921143,-33.321468353271484,-7.923711776733398,0.554659824371338
34000,0.0,1.0,0.07,14.959218304954653,4.9653520584106445,-33.75388717651367,-6.002264976501465,0.4201585483551026
35000,0.0,1.0,0.07,14.961550865127192,5.091732025146484,-34.17861557006836,-5.972503662109375,0.4180752563476563
36000,0.0,1.0,0.07,14.962241814150815,5.197551727294922,-34.53339767456055,-6.032387733459473,0.42226714134216314
37000,5.0,1.0,0.07,14.967666985798438,5.412948131561279,-35.244354248046875,-6.0138349533081055,0.4209684467315674
38000,0.0,1.0,0.07,14.968917690877907,5.46768045425415,-35.44498062133789,-6.329339981079102,0.4430537986755371
39000,0.0,1.0,0.07,14.968701012897005,5.723485469818115,-36.23552322387695,-6.067008972167969,0.42469062805175783
40000,0.0,1.0,0.07,14.967632863236258,5.72653865814209,-36.264251708984375,-6.377506256103516,0.44642543792724615
41000,0.0,1.0,0.07,14.968407635780048,5.852958679199219,-36.65110397338867,-6.260032653808594,0.4382022857666016
42000,0.0,1.0,0.07,14.965543145221119,6.060546398162842,-37.28724670410156,-6.354399681091309,0.44480797767639163
43000,0.0,1.0,0.07,14.965458189119511,6.18491268157959,-37.738468170166016,-7.43065881729126,0.5201461172103883
44000,0.0,1.0,0.07,14.964106802765796,6.186216354370117,-37.64720153808594,-6.118849754333496,0.42831948280334475
45000,7.0,1.0,0.07,14.970647575815262,6.232004165649414,-37.784549713134766,-5.883587837219238,0.4118511486053467
46000,0.0,1.0,0.07,14.969268049709322,6.413023948669434,-38.31782531738281,-5.853280067443848,0.4097296047210694
47000,0.0,1.0,0.07,14.971331885277264,6.528922080993652,-38.8526496887207,-8.546730995178223,0.5982711696624756
48000,0.0,1.0,0.07,14.972754999194414,6.720221519470215,-39.419883728027344,-8.648978233337402,0.6054284763336182
49000,0.0,1.0,0.07,14.974642391801426,6.822116851806641,-39.64377212524414,-7.58900785446167,0.531230549812317
50000,0.0,1.0,0.07,14.976053386073527,6.892272472381592,-39.815799713134766,-7.128037929534912,0.4989626550674439
51000,0.0,1.0,0.07,14.976309347031773,6.9075822830200195,-39.79191589355469,-6.1537299156188965,0.4307610940933228
52000,0.0,1.0,0.07,14.976774853664347,7.041098117828369,-40.208011627197266,-6.671965599060059,0.46703759193420413
53000,0.0,1.0,0.07,14.977368015872026,7.125327110290527,-40.44428253173828,-6.639041900634766,0.46473293304443364
