step,mean,std,n,ci95_low,ci95_high
10000,0.0,0.0,3,0.0,0.0
20000,0.3333333333333333,0.5773502691896258,3,-0.3200000000000001,0.9866666666666668
30000,1.0,1.7320508075688772,3,-0.96,2.96
40000,0.0,0.0,3,0.0,0.0
50000,0.0,0.0,3,0.0,0.0
60000,0.0,0.0,3,0.0,0.0
70000,3.0,5.196152422706632,3,-2.880000000000001,8.88
80000,0.6666666666666666,1.1547005383792517,3,-0.6400000000000002,1.9733333333333336
90000,0.0,0.0,3,0.0,0.0
100000,0.0,0.0,3,0.0,0.0
110000,0.0,0.0,3,0.0,0.0
120000,0.0,0.0,3,0.0,0.0
130000,3.0,5.196152422706632,3,-2.880000000000001,8.88
140000,0.0,0.0,3,0.0,0.0
150000,0.0,0.0,3,0.0,0.0
160000,0.0,0.0,3,0.0,0.0
170000,0.0,0.0,3,0.0,0.0
180000,0.0,0.0,3,0.0,0.0
190000,0.0,0.0,3,0.0,0.0
200000,0.0,0.0,3,0.0,0.0
210000,0.0,0.0,3,0.0,0.0
220000,0.0,0.0,3,0.0,0.0
230000,0.0,0.0,3,0.0,0.0
240000,0.0,0.0,3,0.0,0.0
250000,0.0,0.0,3,0.0,0.0
260000,0.0,0.0,3,0.0,0.0
270000,0.0,0.0,3,0.0,0.0
280000,0.0,0.0,3,0.0,0.0
290000,0.0,0.0,3,0.0,0.0
300000,0.0,0.0,3,0.0,0.0
310000,0.3333333333333333,0.5773502691896258,3,-0.3200000000000001,0.9866666666666668
320000,0.0,0.0,3,0.0,0.0
330000,0.0,0.0,3,0.0,0.0
340000,1.6666666666666667,2.8867513459481287,3,-1.5999999999999999,4.933333333333334
350000,0.0,0.0,3,0.0,0.0
360000,3.6666666666666665,6.3508529610858835,3,-3.520000000000001,10.853333333333333
370000,0.0,0.0,3,0.0,0.0
380000,1.3333333333333333,2.3094010767585034,3,-1.2800000000000005,3.946666666666667
390000,0.0,0.0,3,0.0,0.0
400000,1.0,1.7320508075688772,3,-0.96,2.96
410000,1.6666666666666667,2.8867513459481287,3,-1.5999999999999999,4.933333333333334
420000,0.0,0.0,3,0.0,0.0
430000,5.0,8.660254037844387,3,-4.800000000000001,14.8
440000,10.0,17.320508075688775,3,-9.600000000000001,29.6
450000,10.0,17.320508075688775,3,-9.600000000000001,29.6
460000,8.333333333333334,14.433756729740644,3,-8.000000000000002,24.66666666666667
470000,0.0,0.0,3,0.0,0.0
480000,0.0,0.0,3,0.0,0.0
490000,3.3333333333333335,5.773502691896257,3,-3.1999999999999997,9.866666666666667
500000,0.0,0.0,3,0.0,0.0
510000,0.0,0.0,3,0.0,0.0
520000,0.0,0.0,3,0.0,0.0
530000,0.0,0.0,3,0.0,0.0
540000,0.0,0.0,3,0.0,0.0
550000,0.0,0.0,3,0.0,0.0
560000,0.0,0.0,3,0.0,0.0
570000,0.0,0.0,3,0.0,0.0
580000,0.0,0.0,3,0.0,0.0
590000,0.0,0.0,3,0.0,0.0
600000,6.0,10.392304845413264,3,-5.760000000000002,17.76
610000,0.0,0.0,3,0.0,0.0
620000,0.0,0.0,3,0.0,0.0
630000,0.0,0.0,3,0.0,0.0
640000,16.666666666666668,28.867513459481287,3,-16.000000000000004,49.33333333333334
650000,0.0,0.0,3,0.0,0.0
660000,3.3333333333333335,5.773502691896257,3,-3.1999999999999997,9.866666666666667
670000,3.0,5.196152422706632,3,-2.880000000000001,8.88
680000,0.0,0.0,3,0.0,0.0
690000,0.0,0.0,3,0.0,0.0
700000,7.0,12.12435565298214,3,-6.719999999999999,20.72
710000,0.0,0.0,3,0.0,0.0
720000,0.0,0.0,3,0.0,0.0
730000,0.0,0.0,3,0.0,0.0
740000,0.0,0.0,3,0.0,0.0
750000,0.0,0.0,3,0.0,0.0
760000,1.3333333333333333,2.3094010767585034,3,-1.2800000000000005,3.946666666666667
770000,5.0,8.660254037844387,3,-4.800000000000001,14.8
780000,4.333333333333333,7.505553499465136,3,-4.160000000000001,12.826666666666668
790000,0.0,0.0,3,0.0,0.0
800000,3.0,5.196152422706632,3,-2.880000000000001,8.88
810000,0.0,0.0,3,0.0,0.0
820000,5.666666666666667,9.814954576223638,3,-5.44,16.773333333333333
830000,0.6666666666666666,1.1547005383792517,3,-0.6400000000000002,1.9733333333333336
840000,1.6666666666666667,2.8867513459481287,3,-1.5999999999999999,4.933333333333334
850000,1.0,1.7320508075688772,3,-0.96,2.96
860000,2.6666666666666665,4.618802153517007,3,-2.560000000000001,7.893333333333334
870000,8.333333333333334,14.433756729740644,3,-8.000000000000002,24.66666666666667
880000,0.6666666666666666,1.1547005383792517,3,-0.6400000000000002,1.9733333333333336
890000,2.6666666666666665,4.618802153517007,3,-2.560000000000001,7.893333333333334
900000,1.0,1.7320508075688772,3,-0.96,2.96
910000,6.0,10.392304845413264,3,-5.760000000000002,17.76
920000,3.6666666666666665,6.3508529610858835,3,-3.520000000000001,10.853333333333333
930000,11.0,19.05255888325765,3,-10.559999999999999,32.56
940000,3.6666666666666665,6.3508529610858835,3,-3.520000000000001,10.853333333333333
950000,0.0,0.0,3,0.0,0.0
960000,0.0,0.0,3,0.0,0.0
970000,0.0,0.0,3,0.0,0.0
980000,0.0,0.0,3,0.0,0.0
990000,1.6666666666666667,2.8867513459481287,3,-1.5999999999999999,4.933333333333334
1000000,2.0,3.4641016151377544,3,-1.92,5.92
