step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,0.0,0.0001,0.07,13.208155410285123,0.3101975917816162,-7.847952365875244,-7.023138046264648,0.49161966323852546
2000,0.0,0.0001,0.07,14.11727942406403,0.1964787244796753,-6.843475818634033,-8.369453430175781,0.5858617401123047
3000,4.0,0.036496569090907136,0.07,15.989783566218346,0.16117917001247406,-6.914145469665527,-7.067244529724121,0.49470711708068854
4000,0.0,0.03161091286965804,0.07,15.778432513113973,0.1337159425020218,-6.312310218811035,-7.751153945922852,0.5425807762145997
5000,0.0,0.028275782995008193,0.07,15.64246012004011,0.1607966274023056,-6.700896263122559,-6.119358539581299,0.428355097770691
6000,0.0,0.025813432119121942,0.07,15.532511004365315,0.18033340573310852,-7.055616855621338,-6.566148281097412,0.4596303796768189
7000,0.0,0.023899448497380966,0.07,15.449518025348494,0.19723743200302124,-7.289887428283691,-6.121954917907715,0.4285368442535401
8000,0.0,0.022356486230165267,0.07,15.396082883499957,0.15350541472434998,-6.497763156890869,-6.651629447937012,0.46561406135559086
9000,0.0,0.021078336742579144,0.07,15.342635497265121,0.22519943118095398,-7.697078704833984,-5.945760250091553,0.4162032175064087
10000,0.0,0.019996999474891232,0.07,15.309081116273017,0.23708191514015198,-7.870895862579346,-5.953462600708008,0.4167423820495606
11000,0.0,0.019066651018625362,0.07,15.283242741186081,0.2067868560552597,-7.507629871368408,-7.967926025390625,0.5577548217773438
12000,0.0,0.018255136073307626,0.07,15.252509004275966,0.24949045479297638,-8.08237075805664,-6.627026557922363,0.4638918590545655
13000,0.0,0.01753913613359378,0.07,15.229085366623321,0.2638140320777893,-8.266912460327148,-6.354622840881348,0.44482359886169437
14000,0.0,0.016901273823324688,0.07,15.21373987465785,0.2787978947162628,-8.458873748779297,-6.08311653137207,0.425818157196045
15000,0.0,0.016328298434850494,0.07,15.191486669904538,0.2998411953449249,-8.781451225280762,-6.61335563659668,0.4629348945617676
16000,0.0,0.01580990582103921,0.07,15.18611098165478,0.3468373715877533,-9.366835594177246,-6.047056198120117,0.42329393386840825
17000,0.0,0.0153379461699755,0.07,15.176924229342132,0.42224329710006714,-10.330092430114746,-6.6869916915893555,0.46808941841125495
18000,0.0,0.014905877469221935,0.07,15.167101092049492,0.5504558682441711,-11.736564636230469,-6.909722805023193,0.4836805963516236
19000,0.0,0.014508379407867221,0.07,15.16090244567119,0.7537354230880737,-13.58333969116211,-6.01367712020874,0.4209573984146119
20000,1.0,0.01580980700387816,0.07,15.257668409911858,0.9235134720802307,-15.151076316833496,-6.978806972503662,0.4885164880752564
21000,0.0,0.015428865300520919,0.07,15.242386167558822,1.1658830642700195,-16.867965698242188,-5.854825973510742,0.409837818145752
22000,0.0,0.015074196598170863,0.07,15.233842908616484,1.4626078605651855,-18.88973617553711,-6.65976619720459,0.4661836338043213
23000,0.0,0.014742913400023764,0.07,15.22127655877454,1.7832332849502563,-20.791885375976562,-6.653339385986328,0.465733757019043
24000,9.0,0.02414575217186357,0.07,16.050085860290558,1.7081855535507202,-21.421525955200195,-6.349342346191406,0.4444539642333985
25000,7.0,0.028971157607505512,0.07,16.39959855122887,1.6538273096084595,-21.62582778930664,-7.6534743309021,0.535743203163147
26000,0.0,0.02840899473793496,0.07,16.34618427450231,1.8722927570343018,-22.787124633789062,-6.005064010620117,0.42035448074340825
27000,0.0,0.027878336118777457,0.07,16.299370517733845,2.026503801345825,-23.62518882751465,-6.030985355377197,0.42216897487640387
28000,0.0,0.02737634501866434,0.07,16.256568395637075,2.229728937149048,-24.92755889892578,-9.325695037841797,0.6527986526489259
29000,0.0,0.026900529889638404,0.07,16.216436190950727,2.461653709411621,-25.865392684936523,-6.033695220947266,0.4223586654663086
30000,3.0,0.028273426503017618,0.07,16.292099215572144,2.601503849029541,-26.767988204956055,-7.002443313598633,0.49017103195190437
31000,0.0,0.027814009566987617,0.07,16.251098381122596,2.782714366912842,-27.526702880859375,-5.964025497436523,0.4174817848205567
32000,0.0,0.027376283908773464,0.07,16.21065873628739,2.9916133880615234,-28.555469512939453,-7.386561870574951,0.5170593309402466
33000,4.0,0.02911684413825371,0.07,16.321382752767878,3.0827629566192627,-29.1553897857666,-7.12335205078125,0.49863464355468756
34000,15.0,0.03554073089660711,0.07,16.854372196479503,3.054226875305176,-29.935897827148438,-6.865901470184326,0.4806131029129029
35000,8.0,0.03814526399191487,0.07,17.015946745378667,2.826481580734253,-29.02907371520996,-6.023128509521484,0.42161899566650396
36000,0.0,0.03761248488756366,0.07,16.96584008672935,3.046200752258301,-30.132795333862305,-7.452719211578369,0.5216903448104859
37000,5.0,0.03887497440926544,0.07,17.0262267686087,3.0057828426361084,-29.942581176757812,-6.05548620223999,0.42388403415679937
38000,0.0,0.03836080278624636,0.07,16.976159684011566,3.410557746887207,-31.874765396118164,-7.481572151184082,0.5237100505828858
39000,13.0,0.04202553839640498,0.07,17.23444707237643,3.5303497314453125,-32.82034683227539,-6.25935173034668,0.4381546211242676
40000,0.0,0.041497800263214715,0.07,17.18533897879133,3.614961862564087,-33.14720916748047,-6.751931667327881,0.4726352167129517
41000,6.0,0.042731330496103115,0.07,17.24235831071563,3.365039348602295,-32.0419807434082,-5.893159866333008,0.4125211906433106
42000,7.0,0.04414312581372357,0.07,17.313191274081035,3.2598876953125,-31.68056869506836,-6.018956184387207,0.42132693290710455
43000,0.0,0.04362779445076045,0.07,17.260296292949434,3.72119140625,-33.81486892700195,-7.415516376495361,0.5190861463546753
44000,0.0,0.04313009970471019,0.07,17.21141362435109,3.997523307800293,-34.83051300048828,-5.9763078689575195,0.4183415508270264
45000,0.0,0.042649058012243564,0.07,17.16519866785676,4.202896595001221,-35.607566833496094,-5.960662841796875,0.4172463989257813
46000,0.0,0.042183760927802245,0.07,17.121939287299593,4.330379009246826,-36.070796966552734,-6.297004699707031,0.4407903289794922
47000,0.0,0.041733367904894965,0.07,17.078420244691078,4.461241722106934,-36.54362869262695,-6.731197357177734,0.47118381500244144
48000,0.0,0.041297099907541886,0.07,17.037291622240485,4.596776008605957,-36.97447967529297,-6.376622676849365,0.4463635873794556
