step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,0.0,0.0001,700.0,132270.04813007815,8.899912473658844e-10,-4920.142578125,-7.023138046264648,4916.196632385254
2000,0.0,0.0001,700.0,141262.97275767644,5.042746775707485e-10,-5861.78955078125,-8.369453430175781,5858.617401123047
3000,0.0,0.0001,700.0,144360.46572615847,6.441411848356893e-10,-4950.7353515625,-7.067244529724121,4947.071170806885
4000,0.0,0.0001,700.0,146117.99537878472,4.098034411814666e-10,-5428.765625,-7.751153945922852,5425.807762145996
5000,19.0,0.061533058297574404,1.137599884300881,131954.11284333502,6.61396160062111e-10,-10.354927062988281,-6.119358539581299,6.961381566623293
6000,2.0,0.05906209773251166,1.1851932573919974,120466.2365138919,8.171039955762183e-10,-11.225686073303223,-6.566148281097412,7.782154669792707
7000,0.0,0.05469394250521555,1.2798492263256556,111536.07476507885,7.848221517114951e-10,-10.959826469421387,-6.121954917907715,7.835179265284731
8000,5.0,0.05691961419677789,1.2298045408038372,104336.73954369003,7.258044165681099e-10,-10.99111557006836,-6.651629447937012,8.180204098817457
9000,0.0,0.05367367423420362,1.304177532071997,98372.84891354493,1.3805736553962333e-09,-11.409475326538086,-5.945760250091553,7.754326929256181
10000,0.0,0.05092641112364977,1.3745323586623726,93327.14573977693,1.5248171614246075e-09,-11.827549934387207,-5.953462600708008,8.183226990759401
11000,0.0,0.04856196015824428,1.4414574653061287,88985.75541659644,1.5904062511395978e-09,-15.034170150756836,-7.967926025390625,11.485426452306307
12000,0.0,0.046498950542878156,1.5054103196469089,85198.81372514258,1.2958921713490668e-09,-13.043423652648926,-6.627026557922363,9.97639416887046
13000,3.0,0.04718012428362283,1.4836756168592462,81857.56680490162,1.7632492133046185e-09,-12.865485191345215,-6.354622840881348,9.42819896335249
14000,0.0,0.045467410508475394,1.5395642553021927,78880.93524696864,1.4836267769879896e-09,-12.403675079345703,-6.08311653137207,9.3653487725383
15000,2.0,0.04541511926395673,1.5413369189488142,76207.0878773288,2.029123979951919e-09,-13.62621784210205,-6.61335563659668,10.1934092008247
16000,0.0,0.04397575423383923,1.5917862290156057,73787.94756356263,2.2412347533418142e-09,-13.118865966796875,-6.047056198120117,9.625620782251067
17000,0.0,0.04266510552407291,1.640685031483256,71585.48214671138,2.8104087945735046e-09,-14.766229629516602,-6.6869916915893555,10.971247174043553
18000,0.0,0.041465065927572965,1.6881680622977668,69569.16846121968,2.493030004657726e-09,-15.138379096984863,-6.909722805023193,11.664773358770695
19000,0.0,0.04036090477786251,1.734351605477244,67714.17531785836,2.9839131165942945e-09,-14.128730773925781,-6.01367712020874,10.429830568255799
20000,0.0,0.03934049928183656,1.7793368482315852,66000.08283035624,3.273673110371078e-09,-16.193912506103516,-6.97880744934082,12.417649251325203
21000,0.0,0.03839376944540818,1.8232124902331484,64409.909892405136,3.8266012580834285e-09,-14.658958435058594,-5.854825973510742,10.674591843046237
22000,1.0,0.03811162256584366,1.8367100450542164,62929.41107459846,4.090749960994344e-09,-16.256959915161133,-6.65976619720459,12.23205947211819
23000,0.0,0.03727504567395768,1.8779319712250737,61546.531921884365,4.456201629920997e-09,-16.603044509887695,-6.653339385986328,12.494518748354727
24000,0.0,0.03649124606462298,1.918268284838391,60250.99941217488,5.2081179369167785e-09,-16.527894973754883,-6.3493428230285645,12.179742966981951
25000,0.0,0.035754898077179034,1.957773725124343,59033.99095294199,6.294043064514199e-09,-19.667232513427734,-7.653473854064941,14.983770017414482
26000,0.0,0.03506139926907023,1.9964976144506366,57887.88128095689,6.277551811706417e-09,-16.575611114501953,-6.005064010620117,11.989095971826435
27000,8.0,0.038462208523781634,1.819968293207037,56806.03589596464,7.327788154043446e-09,-15.838940620422363,-6.030985355377197,10.976202123582473
28000,0.0,0.03777011466207617,1.8533171166219649,55782.67168752559,8.893702663215208e-09,-22.54413414001465,-9.325695037841797,17.283470238028723
29000,0.0,0.03711408555064306,1.8860763767029456,54812.65798936856,1.1069355210224785e-08,-17.14690399169922,-6.033695220947266,11.380010020454097
30000,0.0,0.036491094012379134,1.9182762779393079,53891.541849457746,1.2712016328464415e-08,-19.50876235961914,-7.002443790435791,13.432621810796388
31000,6.0,0.038493075896998956,1.8185088712398125,53015.349372908844,1.49526275805556e-08,-17.328399658203125,-5.964025497436523,10.845633275388753
32000,0.0,0.037887708461341874,1.8475648922241736,52180.548390029384,1.7338960489610145e-08,-20.518156051635742,-7.386561870574951,13.647152386316
33000,0.0,0.03731003229549078,1.8761709838685956,51383.98521442325,1.9898653391692278e-08,-20.612985610961914,-7.123352527618408,13.364627320184676
34000,0.0,0.036757998671897225,1.904347421763129,50622.82440055935,2.3076092148244243e-08,-20.76508331298828,-6.865901470184326,13.075061762825198
35000,0.0,0.036229764974204326,1.9321130029366782,49894.523107384906,2.6211424142275064e-08,-19.715259552001953,-6.023128509521484,11.637364911605074
36000,0.0,0.03572366878117413,1.9594851925424024,49196.782721371244,2.979634849964441e-08,-23.095653533935547,-7.452719211578369,14.603492939264102
37000,0.0,0.035238205825250474,1.9864802523470262,48527.52701349772,3.450151098149945e-08,-21.042888641357422,-6.05548620223999,12.029103759109631
38000,0.0,0.034772011159246725,2.013113353709059,47884.86915416992,3.924535363353243e-08,-24.547454833984375,-7.481572151184082,15.061252804286488
39000,0.0,0.03432384299353216,2.039398677274876,47267.093215985486,4.4590262149313276e-08,-22.74642562866211,-6.25935173034668,12.765313639467225
40000,0.0,0.033892568767436855,2.065349501252743,46672.636499077016,5.03277917118794e-08,-24.415571212768555,-6.751931667327881,13.945098701608241
41000,7.0,0.03593109219802581,1.9481734541831175,46100.06001512798,5.672987057891987e-08,-22.46102523803711,-5.893159866333008,11.480897612847295
42000,0.0,0.0355013009117725,1.9717587300241013,45548.059873764054,6.344331637819778e-08,-23.34055519104004,-6.018956184387207,11.86792940219803
