step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,4.0,0.06315051850925685,1.1084627910020903,65040.99392930581,1.0496545854721262e-09,-8.768562316894531,-6.009529113769531,6.661339414057293
2000,14.0,0.09446407640402482,0.741022435879313,46002.91462813656,2.127086506931164e-09,-6.548850059509277,-5.974420547485352,4.4271796670650145
3000,0.0,0.07723981268029873,0.9062683811745526,37564.54953491534,3.278930460481888e-09,-7.627829551696777,-6.0432538986206055,5.4768099277296995
4000,0.0,0.06693930248780909,1.0457234748262925,32533.381647244474,4.416305987575697e-09,-8.344291687011719,-5.911961555480957,6.182276980836999
5000,0.0,0.059897892713436235,1.1686554706506007,29099.68245131272,5.485266463267635e-09,-9.831917762756348,-6.56884765625,7.6767197493469395
6000,0.0,0.05469459372823961,1.2798339877576967,26564.91427573916,6.778275718488658e-09,-9.856023788452148,-5.99212646484375,7.668927108649407
7000,0.0,0.050647633520369446,1.3820981383433726,24594.84168040647,7.860042394725042e-09,-13.411770820617676,-8.126245498657227,11.231268775415364
8000,0.0,0.04738373299212548,1.4773002374387227,23006.830958339706,8.49124504043175e-09,-10.781256675720215,-5.862873077392578,8.66122378930515
9000,0.0,0.044679098048444235,1.5667281359194194,21691.492400781673,9.45597289359057e-09,-13.94781494140625,-7.556189060211182,11.838494000959374
10000,0.0,0.04239032547609659,1.6513201824664494,20578.77011396465,1.157815088248526e-08,-13.912263870239258,-7.083999156951904,11.697950780449993
11000,0.0,0.04042071845997513,1.7317851504622435,19621.461593598593,1.226221879591094e-08,-16.21929931640625,-8.111004829406738,14.046517718894131
12000,0.0,0.03870238781912446,1.8086739331729318,18786.491030735553,1.4062139008785834e-08,-13.7467041015625,-6.368715286254883,11.518929326049193
13000,0.0,0.037186080654409766,1.8824247882036194,18049.860351617066,1.549440575843164e-08,-14.226237297058105,-6.363841533660889,11.979453051162995
14000,0.0,0.03583507987573765,1.9533931623072485,17393.672326700806,1.6873926256266714e-08,-16.846853256225586,-7.467734336853027,14.587421191535759
15000,0.0,0.03462137936777351,2.0218720709076616,16804.28236338487,1.909196534199964e-08,-15.218632698059082,-6.378604888916016,12.896723076254359
16000,0.0,0.033523195145873264,2.08810644974028,16271.079993634834,2.2156356749292172e-08,-16.843196868896484,-6.906374454498291,14.42124504275939
17000,0.0,0.03252329386139962,2.1523035243081496,15785.68154677893,2.695689893528197e-08,-16.75586700439453,-6.580896377563477,14.164086466536606
18000,0.0,0.03160783926628818,2.214640469734974,15341.344415274956,3.533452996862252e-08,-20.512662887573242,-7.960152626037598,17.628876150889994
19000,0.0,0.030765577046563075,2.275270179202439,14932.591921856318,5.102399214251818e-08,-20.201419830322266,-7.3962082862854,16.828372152955147
20000,0.0,0.02998724665166996,2.3343256822847316,14554.933156815549,8.376321858349911e-08,-17.840368270874023,-5.838044166564941,13.627896432325104
21000,0.0,0.02926514900950411,2.3919235804084544,14204.61319982952,1.4746714782631898e-07,-20.42149543762207,-6.25718879699707,14.966717430604902
22000,0.0,0.028592823540842676,2.448166754151101,13878.486624543111,2.6219950655104185e-07,-22.34090805053711,-6.222766876220703,15.234370985196225
23000,0.0,0.02796480324614508,2.5031465225720635,13573.895603130606,4.4892149730912934e-07,-25.292694091796875,-6.471042156219482,16.197966670758024
24000,0.0,0.02737642649915553,2.556944384328585,13288.577016223891,7.223869147310324e-07,-28.040616989135742,-6.5493059158325195,16.746210982737942
25000,0.0,0.02682369065612003,2.6096334355104474,13020.585206373793,1.089908323592681e-06,-30.340456008911133,-6.417428970336914,16.747137211004596
26000,0.0,0.026303136926515605,2.661279534663965,12768.23041645603,1.5660497183489497e-06,-32.21287155151367,-6.100248336791992,16.23446605507242
27000,0.0,0.025811758910102674,2.7119422680103424,12530.055905429032,2.1598609691864112e-06,-35.01922607421875,-6.122724533081055,16.6044754566464
28000,0.0,0.025346929257696982,2.7616757552098123,12304.777078767502,2.894584213208873e-06,-42.01626205444336,-7.633610248565674,21.08155634818497
29000,0.0,0.024906340358809568,2.810529326731876,12091.288217053872,3.7622246509272372e-06,-47.86517333984375,-8.686037063598633,24.412361900323987
30000,0.0,0.024487955992003357,2.8585480969852606,11888.572021938051,4.797735527972691e-06,-44.60349655151367,-6.4938859939575195,18.563085450066506
31000,0.0,0.024089971621074603,2.9057734521680376,11695.77801650202,5.9884218899242114e-06,-46.55929946899414,-6.173318862915039,17.9382660636267
32000,0.0,0.023710781567386832,2.952243467852701,11512.114616269137,7.384393029497005e-06,-52.8452262878418,-7.303575038909912,21.561931700593824
33000,0.0,0.02334895169389519,2.997993268293162,11336.890395404253,8.963659638538957e-06,-57.69717025756836,-7.923711776733398,23.75523456654198
34000,0.0,0.023003196539564584,3.0430553370964244,11169.479369516783,1.0755000403150916e-05,-54.895328521728516,-6.002264976501465,18.265224471409727
35000,0.0,0.02267236007190518,3.087459787070938,11009.32103217117,1.2793574569514021e-05,-57.81812286376953,-5.972503662109375,18.439864884896608
36000,0.0,0.0223553993999228,3.1312345956226455,10855.903394739165,1.5033161616884172e-05,-60.980003356933594,-6.032387733459473,18.88882116521798
37000,0.0,0.022051370923983585,3.174405810926992,10708.773700796179,1.7545207811053842e-05,-63.946197509765625,-6.013835430145264,19.09035413541175
38000,0.0,0.021759418503080868,3.216997733192588,10567.515541255469,2.0338708054623567e-05,-68.01934051513672,-6.329339981079102,20.36147237173669
39000,0.0,0.02147876330117337,3.2590330745986646,10431.745433760254,2.3416085241478868e-05,-70.2519760131836,-6.067008972167969,19.772582904182258
40000,0.0,0.021208695038088397,3.3005331008950805,10301.119434539636,2.6775347578222863e-05,-74.35221099853516,-6.377506256103516,21.04917049943511
41000,0.0,0.020948564420997007,3.3415177571708985,10175.331337991869,3.0460911148111336e-05,-77.07708740234375,-6.260032653808594,20.91801027317108
42000,0.0,0.02069777657269874,3.3820057799026118,10054.073195907897,3.4462089388398454e-05,-80.5124740600586,-6.354400157928467,21.490618061928142
43000,0.0,0.020455785305186935,3.4220147970682033,9937.101905296198,3.8836726162116975e-05,-87.35496520996094,-7.43065881729126,25.427824424736006
44000,0.0,0.02022208811293658,3.461561417844839,9824.159138002758,4.35434230894316e-05,-86.00788879394531,-6.118850231170654,21.18077588179131
45000,0.0,0.019996221781396543,3.500661313184894,9715.035781980652,4.861377601628192e-05,-88.33316040039062,-5.883587837219238,20.59644832447857
46000,0.0,0.019777758523298498,3.539329288379113,9609.501539473242,5.4081392590887845e-05,-91.385009765625,-5.853280067443848,20.71668557578968
47000,0.0,0.01956630256941182,3.577579348559786,9507.388826303893,5.9946327382931486e-05,-104.18757629394531,-8.546730995178223,30.576608306045436
48000,0.0,0.019361487151895708,3.615424757965775,9408.503673785402,6.623139779549092e-05,-107.83865356445312,-8.648978233337402,31.269730035915135
49000,0.0,0.019162971827912854,3.65287809368053,9312.68519856718,7.295959949260578e-05,-107.26731872558594,-7.58900785446167,27.721720544332513
50000,0.0,0.018970440099058284,3.689951294460211,9219.775330222335,8.013773913262412e-05,-108.83724975585938,-7.128037929534912,26.30211278504883
51000,0.0,0.01878359728872298,3.72665570518942,9129.627786173223,8.775697642704472e-05,-108.45799255371094,-6.1537299156188965,22.932832698235966
52000,0.0,0.01860216864500142,3.7630021174337474,9042.11536528871,9.588045941200107e-05,-113.64571380615234,-6.671965599060059,25.106620676708122
53000,0.0,0.01842589764135671,3.799000806499968,8957.112932405742,0.00010448518878547475,-116.77954864501953,-6.639042377471924,25.221727346403306
54000,0.0,0.018254544451133177,3.8346615653645992,8874.50285498441,0.00011361876386217773,-127.77457427978516,-8.652493476867676,33.17938418031238
55000,0.0,0.01808788457528098,3.869993735788344,8794.168844425098,0.00012328408774919808,-123.85603332519531,-6.772984504699707,26.211407605779385
56000,0.0,0.017925707605433515,3.90500623689645,8716.022084071918,0.00013349601067602634,-124.06477355957031,-5.981919288635254,23.359432130731843
57000,0.0,0.017767816106836937,3.9397075914729034,8639.95680007182,0.00014429801376536489,-128.66799926757812,-6.315517425537109,24.881291945467957
