step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,0.0,0.0001,0.07,13.167855539433141,0.19913719594478607,-6.298182010650635,-6.029345512390137,0.4220541858673096
2000,9.0,0.06694767356299802,0.07,17.0435302008197,0.119436115026474,-6.310105800628662,-5.999170303344727,0.4199419212341309
3000,0.0,0.05469915294082852,0.07,16.412604982744046,0.1296095848083496,-6.331784248352051,-6.0432538986206055,0.4230277729034424
4000,0.0,0.04738669512340651,0.07,16.04664394459767,0.1357605904340744,-6.32633638381958,-5.911961555480957,0.41383730888366704
5000,0.0,0.042392445363351856,0.07,15.859043641880746,0.1360311657190323,-6.30901575088501,-6.56884765625,0.4598193359375
6000,0.0,0.038704000653822596,0.07,15.733598981525764,0.14185281097888947,-6.345249652862549,-5.99212646484375,0.41944885253906256
7000,5.0,0.04467980733617431,0.07,16.153934472579955,0.13486522436141968,-6.501208305358887,-8.126245498657227,0.5688371849060059
8000,0.0,0.04179899394108442,0.07,16.017386353798738,0.1375710815191269,-6.351341247558594,-5.862873077392578,0.41040111541748053
9000,0.0,0.039412033597500465,0.07,15.919692446034306,0.13831622898578644,-6.449608325958252,-7.556188583374023,0.5289332008361817
10000,0.0,0.03739224275142909,0.07,15.825137271615226,0.14235791563987732,-6.46675968170166,-7.083998680114746,0.4958799076080323
11000,0.0,0.03565421438966429,0.07,15.747793646344583,0.14596682786941528,-6.584310054779053,-8.111004829406738,0.5677703380584718
12000,0.0,0.03413799455804233,0.07,15.686521763380812,0.1498301774263382,-6.517734050750732,-6.368715763092041,0.4458101034164429
13000,0.0,0.03280009254559423,0.07,15.640680036739692,0.15729711949825287,-6.648672580718994,-6.363841533660889,0.44546890735626227
14000,0.0,0.03160809013907929,0.07,15.601470013301642,0.1717391461133957,-6.988212585449219,-7.467734336853027,0.522741403579712
15000,0.0,0.03053726232842308,0.07,15.564021184548192,0.20524148643016815,-7.497561931610107,-6.378604888916016,0.44650234222412116
16000,0.0,0.029568378685068855,0.07,15.526307926495003,0.2726770043373108,-8.591049194335938,-6.906374454498291,0.4834462118148804
17000,0.0,0.028686226955326268,0.07,15.49640183683079,0.3905206322669983,-10.144619941711426,-6.580896377563477,0.4606627464294434
18000,0.0,0.027878594264665713,0.07,15.464743602852826,0.5880185961723328,-12.415943145751953,-7.960152626037598,0.5572106838226318
19000,0.0,0.027135547232415118,0.07,15.43226926002438,0.8595771789550781,-14.82551383972168,-7.396208763122559,0.5177346134185792
20000,0.0,0.02644891259104742,0.07,15.412357100000415,1.12168550491333,-16.73183822631836,-5.838044166564941,0.40866309165954595
21000,0.0,0.025811895486397965,0.07,15.394876832539097,1.4277029037475586,-18.832805633544922,-6.25718879699707,0.43800321578979495
22000,0.0,0.025218794305291444,0.07,15.37767505169036,1.7740213871002197,-20.91748809814453,-6.222766876220703,0.43559368133544923
23000,0.0,0.02466478444759149,0.07,15.361310304824057,2.105027437210083,-22.74025535583496,-6.471042156219482,0.4529729509353638
24000,0.0,0.024145752171863606,0.07,15.348101878903144,2.2637882232666016,-23.55103874206543,-6.549306392669678,0.4584514474868775
25000,0.0,0.0236581653631793,0.07,15.33786072895941,2.702816963195801,-25.665040969848633,-6.417428970336914,0.449220027923584
26000,0.0,0.023198971902583986,0.07,15.325485006280198,2.990067481994629,-26.92755699157715,-6.100248336791992,0.4270173835754395
27000,0.0,0.022765518931207065,0.07,15.313815488566437,3.243319272994995,-28.0075740814209,-6.122724533081055,0.4285907173156739
28000,0.0,0.022355488114817485,0.07,15.298916861033778,3.4018819332122803,-28.751968383789062,-7.633610248565674,0.5343527173995972
29000,0.0,0.021966843291428024,0.07,15.294313425607333,3.6965765953063965,-30.013608932495117,-8.686037063598633,0.6080225944519043
30000,0.0,0.021597787796519313,0.07,15.281868876712407,3.934220790863037,-30.765960693359375,-6.4938859939575195,0.4545720195770264
31000,0.0,0.021246729420317627,0.07,15.274214257135762,4.076971530914307,-31.27307891845703,-6.173319339752197,0.43213235378265386
32000,0.0,0.020912251434760137,0.07,15.265590221539187,4.268874168395996,-32.051876068115234,-7.303575038909912,0.5112502527236938
33000,0.0,0.02059308848556631,0.07,15.258130038262504,4.508178234100342,-32.95144271850586,-7.923711776733398,0.554659824371338
34000,0.0,0.02028810641250873,0.07,15.25125929866229,4.694729804992676,-33.46555709838867,-6.002264976501465,0.4201585483551026
35000,0.0,0.019996285263178495,0.07,15.245281866666707,4.835452556610107,-33.94193649291992,-5.972503662109375,0.4180752563476563
36000,0.0,0.019716704919664534,0.07,15.238147977080855,5.021134853363037,-34.56774139404297,-6.032387733459473,0.42226714134216314
37000,0.0,0.019448532876045983,0.07,15.231895146083254,5.085376262664795,-34.770076751708984,-6.0138349533081055,0.4209684467315674
38000,0.0,0.01919101379639747,0.07,15.226230235807014,5.057744026184082,-34.685977935791016,-6.329339981079102,0.4430537986755371
39000,0.0,0.01894346055467335,0.07,15.21947357439009,5.414585590362549,-35.83928298950195,-6.067008972167969,0.42469062805175783
40000,0.0,0.018705246514178292,0.07,15.212203586294516,5.523866653442383,-36.199527740478516,-6.377506256103516,0.44642543792724615
41000,0.0,0.018475798848921546,0.07,15.207048154531545,5.7310614585876465,-36.84332275390625,-6.260032653808594,0.4382022857666016
42000,0.0,0.01825459274466462,0.07,15.198589560618206,5.836735248565674,-37.16359329223633,-6.354399681091309,0.44480797767639163
43000,0.0,0.018041146345923742,0.07,15.193126785757249,5.998027801513672,-37.729434967041016,-7.43065881729126,0.5201461172103883
44000,0.0,0.01783501633811295,0.07,15.18665940119436,6.098836898803711,-37.93302536010742,-6.118850231170654,0.42831951618194586
45000,0.0,0.017635794072584317,0.07,15.183337163486408,6.199036121368408,-38.21511459350586,-5.883587837219238,0.4118511486053467
46000,0.0,0.01744310215744175,0.07,15.177384754698831,6.23046875,-38.29385757446289,-5.853280067443848,0.4097296047210694
47000,0.0,0.017256591449376434,0.07,15.175022877386219,6.212532997131348,-38.42194366455078,-8.546730995178223,0.5982711696624756
48000,0.0,0.017075938391941707,0.07,15.172211903578626,6.441984176635742,-39.11411666870117,-8.648978233337402,0.6054284763336182
49000,0.0,0.01690084265408116,0.07,15.170030830114852,6.559983253479004,-39.38541793823242,-7.58900785446167,0.531230549812317
50000,0.0,0.016731025029685768,0.07,15.167541514445565,6.635476112365723,-39.56966781616211,-7.128037929534912,0.4989626550674439
51000,0.0,0.016566225564752124,0.07,15.164063663681473,6.75976037979126,-39.856624603271484,-6.1537299156188965,0.4307610940933228
52000,0.0,0.016406201883557896,0.07,15.160935764645282,6.845728397369385,-40.13462829589844,-6.671965599060059,0.46703759193420413
53000,0.0,0.016250727689333947,0.07,15.158068392161773,6.896240234375,-40.270870208740234,-6.639041900634766,0.46473293304443364
54000,0.0,0.016099591418334207,0.07,15.155265871380209,6.979953289031982,-40.64528274536133,-8.652493476867676,0.6056745433807373
55000,0.0,0.015952595029093682,0.07,15.151086713592292,7.0178422927856445,-40.61117172241211,-6.772984504699707,0.47410891532897953
56000,0.0,0.01580955291111497,0.07,15.148224750745324,6.6521782875061035,-39.4887580871582,-5.981919288635254,0.4187343502044678
57000,0.0,0.015670290899305956,0.07,15.144737345552993,7.090860843658447,-40.7705078125,-6.315517425537109,0.4420862197875977
58000,0.0,0.015534645382267306,0.07,15.142078981933722,7.246791839599609,-41.177520751953125,-5.932074546813965,0.4152452182769776
59000,6.0,0.018408527506671067,0.07,15.396970245199444,6.719588756561279,-40.351566314697266,-6.275432586669922,0.4392802810668946
60000,0.0,0.018254527548487536,0.07,15.389771831179452,6.874751567840576,-41.02090835571289,-9.561636924743652,0.6693145847320557
61000,0.0,0.018104328976784757,0.07,15.382078336235564,6.853928089141846,-40.69990921020508,-6.13741397857666,0.42961897850036623
62000,0.0,0.01795777793068574,0.07,15.37356043742532,7.044246673583984,-41.283729553222656,-6.86801815032959,0.4807612705230713
63000,0.0,0.017814729129012205,0.07,15.368495719287045,7.107729434967041,-41.43004608154297,-6.530508995056152,0.45713562965393073
64000,0.0,0.017675045264804668,0.07,15.36198779301129,7.22344970703125,-41.93552780151367,-9.255967140197754,0.6479176998138428
65000,0.0,0.017538596451260862,0.07,15.358551259731131,7.310076713562012,-41.965171813964844,-6.286015033721924,0.44002105236053474
66000,0.0,0.017405259714011724,0.07,15.353003428637342,7.440225124359131,-42.391292572021484,-7.332099914550781,0.5132469940185548
67000,0.0,0.017274918525222643,0.07,15.348152797145278,7.262042999267578,-41.93804931640625,-8.251017570495605,0.5775712299346925
68000,0.0,0.017147462375508588,0.07,15.342330696274795,7.526582717895508,-42.61907958984375,-7.542601108551025,0.5279820775985719
69000,0.0,0.01702278638008858,0.07,15.337094980513443,7.5788187980651855,-42.7237548828125,-7.160888195037842,0.501262173652649
70000,0.0,0.01690079091598943,0.07,15.332569588526633,7.601077556610107,-42.76924514770508,-7.1038923263549805,0.49727246284484866
71000,0.0,0.016781381287446606,0.07,15.326592065401824,7.67013692855835,-42.891883850097656,-6.355234146118164,0.4448663902282715
72000,2.0,0.017477598060013443,0.07,15.379105219539618,7.341951370239258,-42.1470832824707,-6.797194004058838,0.4758035802841187
73000,0.0,0.017357510374072346,0.07,15.376067819849071,7.564702033996582,-42.73236083984375,-6.314525604248047,0.44201679229736335
74000,0.0,0.01723986450077951,0.07,15.372145571145971,7.630868911743164,-42.93049621582031,-6.6634087562561035,0.46643861293792727
75000,0.0,0.01712457879496241,0.07,15.367590180103623,7.081902027130127,-41.33012008666992,-6.201879024505615,0.4341315317153931
76000,0.0,0.017011575382911506,0.07,15.361240432240477,7.765788555145264,-43.22749710083008,-6.001060485839844,0.4200742340087891
77000,0.0,0.01690077994130382,0.07,15.358452909764143,7.702601432800293,-43.22449493408203,-8.5617036819458,0.5993192577362061
78000,0.0,0.016792121491761926,0.07,15.352754061932705,7.814194202423096,-43.34607696533203,-6.131020545959473,0.42917143821716314
