step,mean,std,n,ci95_low,ci95_high
10000,1.3333333333333333,2.3094010767585034,3,-1.2800000000000005,3.946666666666667
20000,0.0,0.0,3,0.0,0.0
30000,1.0,1.7320508075688772,3,-0.96,2.96
40000,0.0,0.0,3,0.0,0.0
50000,0.0,0.0,3,0.0,0.0
60000,0.0,0.0,3,0.0,0.0
70000,0.0,0.0,3,0.0,0.0
80000,3.6666666666666665,6.3508529610858835,3,-3.520000000000001,10.853333333333333
90000,0.0,0.0,3,0.0,0.0
100000,0.0,0.0,3,0.0,0.0
110000,0.0,0.0,3,0.0,0.0
120000,0.0,0.0,3,0.0,0.0
130000,2.6666666666666665,4.618802153517007,3,-2.560000000000001,7.893333333333334
140000,3.0,5.196152422706632,3,-2.880000000000001,8.88
150000,1.6666666666666667,2.886751345948129,3,-1.6000000000000003,4.933333333333334
160000,0.0,0.0,3,0.0,0.0
170000,0.0,0.0,3,0.0,0.0
180000,4.666666666666667,8.082903768654761,3,-4.4799999999999995,13.813333333333333
190000,0.0,0.0,3,0.0,0.0
200000,0.0,0.0,3,0.0,0.0
210000,2.0,3.4641016151377544,3,-1.92,5.92
220000,2.6666666666666665,4.618802153517007,3,-2.560000000000001,7.893333333333334
230000,0.0,0.0,3,0.0,0.0
240000,0.3333333333333333,0.5773502691896258,3,-0.3200000000000001,0.9866666666666668
250000,0.0,0.0,3,0.0,0.0
260000,0.0,0.0,3,0.0,0.0
270000,0.0,0.0,3,0.0,0.0
280000,0.0,0.0,3,0.0,0.0
290000,0.0,0.0,3,0.0,0.0
300000,0.0,0.0,3,0.0,0.0
310000,0.0,0.0,3,0.0,0.0
320000,0.3333333333333333,0.5773502691896258,3,-0.3200000000000001,0.9866666666666668
330000,2.6666666666666665,4.618802153517007,3,-2.560000000000001,7.893333333333334
340000,0.0,0.0,3,0.0,0.0
350000,0.0,0.0,3,0.0,0.0
360000,0.0,0.0,3,0.0,0.0
370000,0.0,0.0,3,0.0,0.0
380000,0.0,0.0,3,0.0,0.0
390000,1.3333333333333333,2.3094010767585034,3,-1.2800000000000005,3.946666666666667
400000,0.0,0.0,3,0.0,0.0
410000,1.6666666666666667,2.886751345948129,3,-1.6000000000000003,4.933333333333334
420000,0.0,0.0,3,0.0,0.0
430000,0.0,0.0,3,0.0,0.0
440000,0.0,0.0,3,0.0,0.0
450000,1.3333333333333333,2.3094010767585034,3,-1.2800000000000005,3.946666666666667
460000,0.0,0.0,3,0.0,0.0
470000,3.0,5.196152422706632,3,-2.880000000000001,8.88
480000,0.0,0.0,3,0.0,0.0
490000,0.0,0.0,3,0.0,0.0
500000,0.0,0.0,3,0.0,0.0
510000,0.0,0.0,3,0.0,0.0
520000,0.0,0.0,3,0.0,0.0
530000,0.6666666666666666,1.1547005383792517,3,-0.6400000000000002,1.9733333333333336
540000,0.0,0.0,3,0.0,0.0
550000,0.0,0.0,3,0.0,0.0
560000,3.0,5.196152422706632,3,-2.880000000000001,8.88
570000,0.0,0.0,3,0.0,0.0
580000,4.0,6.928203230275509,3,-3.84,11.84
590000,0.0,0.0,3,0.0,0.0
600000,1.6666666666666667,2.8867513459481287,3,-1.5999999999999999,4.933333333333334
610000,0.0,0.0,3,0.0,0.0
620000,0.0,0.0,3,0.0,0.0
630000,0.0,0.0,3,0.0,0.0
640000,0.0,0.0,3,0.0,0.0
650000,0.0,0.0,3,0.0,0.0
660000,1.6666666666666667,2.8867513459481287,3,-1.5999999999999999,4.933333333333334
670000,0.0,0.0,3,0.0,0.0
680000,0.0,0.0,3,0.0,0.0
690000,0.0,0.0,3,0.0,0.0
700000,4.666666666666667,4.163331998932265,3,-0.04458699993961268,9.377920333272947
710000,0.0,0.0,3,0.0,0.0
720000,2.0,3.4641016151377544,3,-1.92,5.92
730000,0.0,0.0,3,0.0,0.0
740000,3.3333333333333335,3.0550504633038935,3,-0.12378171312439878,6.790448379791066
750000,0.0,0.0,3,0.0,0.0
760000,0.0,0.0,3,0.0,0.0
770000,0.0,0.0,3,0.0,0.0
780000,0.0,0.0,3,0.0,0.0
790000,0.0,0.0,3,0.0,0.0
800000,0.0,0.0,3,0.0,0.0
810000,0.0,0.0,3,0.0,0.0
820000,0.0,0.0,3,0.0,0.0
830000,0.0,0.0,3,0.0,0.0
840000,0.0,0.0,3,0.0,0.0
850000,0.0,0.0,3,0.0,0.0
860000,2.3333333333333335,4.041451884327381,3,-2.2399999999999998,6.906666666666666
870000,0.0,0.0,3,0.0,0.0
880000,0.0,0.0,3,0.0,0.0
890000,0.0,0.0,3,0.0,0.0
900000,0.0,0.0,3,0.0,0.0
910000,0.3333333333333333,0.5773502691896258,3,-0.3200000000000001,0.9866666666666668
920000,0.0,0.0,3,0.0,0.0
930000,0.0,0.0,3,0.0,0.0
940000,0.0,0.0,3,0.0,0.0
950000,0.0,0.0,3,0.0,0.0
960000,0.0,0.0,3,0.0,0.0
970000,0.0,0.0,3,0.0,0.0
980000,0.0,0.0,3,0.0,0.0
990000,0.0,0.0,3,0.0,0.0
1000000,1.0,1.7320508075688772,3,-0.96,2.96
