step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,0.0,1.0,0.07,13.191679601344894,0.3000234067440033,-7.647716522216797,-6.029345512390137,0.4220541858673096
2000,9.0,1.0,0.07,14.249882919193476,0.14782746136188507,-5.898784637451172,-5.999170303344727,0.4199419212341309
3000,7.0,1.0,0.07,14.604899944935944,0.1701418161392212,-6.447293758392334,-6.0432538986206055,0.4230277729034424
4000,0.0,1.0,0.07,14.677912707638486,0.1601327359676361,-6.287437438964844,-5.911961555480957,0.41383730888366704
5000,0.0,1.0,0.07,14.760262717905531,0.2057604193687439,-7.155195713043213,-6.56884765625,0.4598193359375
6000,9.0,1.0,0.07,14.86397017702777,0.1479092836380005,-6.135979652404785,-5.99212646484375,0.41944885253906256
7000,0.0,1.0,0.07,14.8665474677152,0.23266033828258514,-7.7396979331970215,-8.126245498657227,0.5688371849060059
8000,0.0,1.0,0.07,14.886657841690253,0.2144927680492401,-7.304912567138672,-5.862873077392578,0.41040111541748053
9000,0.0,1.0,0.07,14.912198668229324,0.17537346482276917,-6.773806571960449,-7.556189060211182,0.5289332342147828
10000,0.0,1.0,0.07,14.915260471538785,0.20433039963245392,-7.23801326751709,-7.083998680114746,0.4958799076080323
11000,0.0,1.0,0.07,14.918607256434969,0.2579067051410675,-8.144112586975098,-8.111004829406738,0.5677703380584718
12000,0.0,1.0,0.07,14.925015576219328,0.2759350538253784,-8.285848617553711,-6.368715286254883,0.44581007003784184
13000,0.0,1.0,0.07,14.936967520260842,0.2650523781776428,-8.135503768920898,-6.363841533660889,0.44546890735626227
14000,0.0,1.0,0.07,14.918247287064903,0.27923157811164856,-8.40349292755127,-7.433392524719238,0.5203374767303467
15000,0.0,1.0,0.07,14.924712376790023,0.32661116123199463,-8.975961685180664,-6.378604888916016,0.44650234222412116
16000,0.0,1.0,0.07,14.926242081704286,0.3775448799133301,-9.654828071594238,-6.906374454498291,0.4834462118148804
17000,0.0,1.0,0.07,14.931167273057577,0.45560160279273987,-10.538942337036133,-6.580896377563477,0.4606627464294434
