step,mean,std,n,ci95_low,ci95_high
10000,31.875908799454113,3.5766306675907917,3,27.828570189152302,35.92324740975592
20000,32.54668069380359,3.45088577014344,3,28.641635830267056,36.45172555734012
30000,34.918906768447506,3.9249317685333933,3,30.477428358744717,39.360385178150295
40000,31.25094247914839,5.723786112526379,3,24.773868751560535,37.72801620673624
50000,32.62569124050745,1.5699910965809,3,30.849079067324304,34.402303413690596
60000,34.240968576642,4.735089801567059,3,28.882710048361282,39.59922710492271
70000,32.56973375149763,2.895174715185934,3,29.29353514521698,35.84593235777828
80000,31.376305247404435,1.6425676053709382,3,29.51756502312322,33.23504547168565
90000,33.326293532669304,6.910806504991517,3,25.505979780559734,41.146607284778874
100000,32.8755075479724,1.3865227275138368,3,31.306509378835806,34.44450571710899
110000,29.435943769801682,1.3256158281736188,3,27.93586824553507,30.936019294068295
120000,36.00300330538257,9.974968613850368,3,24.715263709227997,47.29074290153714
130000,29.9301337497045,3.3896847450549186,3,26.094344365654667,33.765923133754335
140000,31.43998615452742,1.649750228989698,3,29.57311802647384,33.30685428258101
150000,29.824366604472786,0.9975166733109794,3,28.695570225552608,30.953162983392964
160000,30.02590699820291,0.9663998545219322,3,28.932322614542926,31.119491381862893
170000,39.521750877962916,11.399419349872076,3,26.622093530664934,52.4214082252609
180000,29.151007179620816,1.0012575467182907,3,28.017977603933954,30.284036755307678
190000,32.35403138859724,6.381030053176977,3,25.133216127535956,39.574846649658525
200000,40.2048540711618,10.392955505830148,3,28.44411777958679,51.965590362736805
210000,30.68895708855966,1.9366526738235075,3,28.497428281144394,32.88048589597493
220000,31.04089699093304,0.20696785664931955,3,30.806690813342872,31.275103168523206
230000,33.056767005517564,3.8079313882357426,3,28.747686989892642,37.365847021142486
240000,30.693096618468218,0.4343343218697449,3,30.201601064674627,31.18459217226181
250000,32.302464094392214,2.3591355937698792,3,29.632850856961195,34.972077331823236
260000,32.15542235069169,3.988341859942862,3,27.64218866763349,36.66865603374988
270000,31.516176714404622,1.752336316710881,3,29.533221499843606,33.49913192896564
280000,32.16747937307285,3.815130295726647,3,27.85025302673955,36.48470571940615
290000,30.866950071337772,2.2241297516170553,3,28.3501103261526,33.38378981652295
300000,34.48781598201739,6.3432066176273265,3,27.309801967520784,41.66582999651399
310000,31.46388244096954,3.2792158094799264,3,27.75310042551468,35.1746644564244
320000,30.19285548208589,2.4653957663834962,3,27.40299753970016,32.98271342447162
330000,30.289063486575092,2.3641096594412647,3,27.61382156396156,32.96430540918862
340000,33.50531727425811,4.890498831649946,3,27.971196873085802,39.03943767543042
350000,34.72960665236404,5.225890055772449,3,28.81595535267104,40.64325795205704
360000,35.367728641002884,3.8481019479125775,3,31.013191357829843,39.72226592417593
370000,33.443744778240905,4.13014212052156,3,28.770048994694818,38.11744056178699
380000,33.86697908746962,7.251290562487444,3,25.661371353349956,42.07258682158929
390000,34.787720274751294,4.1994451705108,3,30.035600707453984,39.53983984204861
400000,30.666197745979492,2.5016132412138257,3,27.83535587266215,33.497039619296835
410000,31.69517208132402,1.7299020193089683,3,29.73760366414539,33.65274049850265
420000,30.318389283663418,0.7733057218142653,3,29.443311481018945,31.19346708630789
430000,34.47906703042989,7.1913590841504424,3,26.34127814840579,42.616855912453985
440000,37.40216937844561,1.1902561771398004,3,36.05526771886411,38.74907103802712
450000,30.726911913196005,2.737091907734923,3,27.629600843730096,33.824222982661915
460000,30.316530167367763,2.024930646622985,3,28.02510542968828,32.607954905047244
470000,30.163613790102843,1.5527457085860004,3,28.40651661054592,31.920710969659766
480000,31.214384627688787,2.887327559921919,3,27.94706591352808,34.481703341849496
490000,34.9717400766456,5.266125043416883,3,29.012558602295787,40.93092155099542
500000,30.370965914969407,1.5258428835502118,3,28.644312147834178,32.097619682104636
510000,32.960735458258334,2.500174501277804,3,30.13152167244413,35.78994924407254
520000,31.982988033511095,2.4369033743871014,3,29.225372267895754,34.74060379912643
530000,39.193714007474526,10.016454768689329,3,27.859028407698673,50.52839960725038
540000,38.362406067275195,7.874297416092074,3,29.451799710869725,47.27301242368067
550000,30.851627362133424,1.2909862932166534,3,29.39073884567227,32.31251587859458
560000,32.85996310523463,3.516475892318146,3,28.880696031298353,36.8392301791709
570000,39.60454369712514,1.6833763876814722,3,37.699623988397434,41.50946340585284
580000,39.389729091562025,6.849969729748417,3,31.638258631436393,47.141199551687656
590000,29.986638611480103,0.8035689593694471,3,29.07731473167152,30.895962491288685
600000,32.37704505999003,2.9698756247722145,3,29.016314416803016,35.73777570317704
610000,32.82185887968797,3.7811621483457603,3,28.543071110661757,37.10064664871419
620000,35.0273369848179,3.9701103093907726,3,30.53473424337293,39.51993972626287
630000,31.281478045750486,3.2237083071244594,3,27.633508682292494,34.92944740920848
640000,29.249704767914153,2.4283153818135568,3,26.501807230754117,31.99760230507419
650000,31.55001872397651,0.8933944172840966,3,30.539047769646004,32.56098967830702
