step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,2.881953324787484,1.0,0.07,8.957641500691741,0.18431466817855835,-4.088931083679199,-3.4749574661254883,0.2432470226287842
2000,3.194179802548663,1.0,0.07,8.988192219568056,0.19496622681617737,-4.246033191680908,-3.961409568786621,0.2772986698150635
3000,5.602347582526484,1.0,0.07,9.031273952546348,0.20743146538734436,-4.419127464294434,-4.369509220123291,0.3058656454086304
4000,2.6349567865626082,1.0,0.07,9.027266433645398,0.23000559210777283,-4.617612838745117,-4.11764669418335,0.2882352685928345
5000,2.1449992158896505,1.0,0.07,9.028689661140994,0.2682758569717407,-4.979168891906738,-4.32468318939209,0.3027278232574463
6000,5.762714114723878,1.0,0.07,9.03763850332111,0.33644673228263855,-5.530069351196289,-4.112492561340332,0.28787447929382326
7000,3.0566430333618317,1.0,0.07,9.039269809741862,0.46064409613609314,-6.442132472991943,-4.387302398681641,0.30711116790771487
8000,4.663963598157061,1.0,0.07,9.046818778424699,0.7066537737846375,-7.888052463531494,-4.043605804443359,0.2830524063110352
9000,3.441210017099568,1.0,0.07,9.046917809272554,1.1715266704559326,-10.05806827545166,-3.7992637157440186,0.26594846010208134
10000,3.8331379192161648,1.0,0.07,9.052985007916025,1.6127125024795532,-11.78409194946289,-4.106704235076904,0.2874692964553833
11000,5.047914962584352,1.0,0.07,9.058102037674013,2.095350503921509,-13.413379669189453,-4.3069047927856445,0.3014833354949951
12000,4.919480031443023,1.0,0.07,9.060868178398335,2.5424962043762207,-14.755170822143555,-4.391845703125,0.30742919921875
13000,3.512347241570346,1.0,0.07,9.061560257153477,2.9680891036987305,-15.883251190185547,-3.8837814331054688,0.27186470031738286
14000,3.7017311314119743,1.0,0.07,9.061425420489366,3.3692076206207275,-16.925718307495117,-4.187246322631836,0.29310724258422854
15000,6.810211313926814,1.0,0.07,9.070925300943117,3.7486064434051514,-17.85637855529785,-4.198154926300049,0.29387084484100345
16000,2.10071853461423,1.0,0.07,9.069160016434948,4.103382587432861,-18.639698028564453,-3.835353374481201,0.2684747362136841
17000,3.689939817803938,1.0,0.07,9.068497945511028,4.423171043395996,-19.352407455444336,-4.00208854675293,0.2801461982727051
18000,2.5842228796616316,1.0,0.07,9.066674660937172,4.719031810760498,-19.983104705810547,-4.103816032409668,0.2872671222686768
19000,6.546402576887969,1.0,0.07,9.07290233703159,5.007728099822998,-20.571508407592773,-3.831563949584961,0.2682094764709473
20000,4.246799766541145,1.0,0.07,9.073744723210496,5.2652907371521,-21.139816284179688,-4.557136535644531,0.3189995574951172
21000,2.8008632656599635,1.0,0.07,9.071935483133698,5.490576267242432,-21.51865005493164,-3.733004570007324,0.26131031990051273
22000,5.115355666480526,1.0,0.07,9.074788417121209,5.7227654457092285,-22.04302978515625,-4.772100448608398,0.3340470314025879
23000,2.553276351680089,1.0,0.07,9.073135509264127,5.919196128845215,-22.345558166503906,-3.873807430267334,0.2711665201187134
24000,5.51006758456523,1.0,0.07,9.075615692116305,6.119885444641113,-22.741151809692383,-4.136106014251709,0.28952742099761963
25000,2.881202877627462,1.0,0.07,9.075468671820715,6.286445140838623,-23.0682315826416,-4.478616714477539,0.31350317001342776
26000,1.559218882289814,1.0,0.07,9.072937914469167,6.447092533111572,-23.297216415405273,-3.7143611907958984,0.26000528335571294
27000,4.496148739990394,1.0,0.07,9.07501351931442,6.594690322875977,-23.587045669555664,-4.032794952392578,0.28229564666748047
28000,2.845435383129255,1.0,0.07,9.073029527129883,6.72550106048584,-23.82171630859375,-3.880688190460205,0.29211006915527427
29000,4.318113785043681,1.0,0.07,9.074370949528095,6.8549628257751465,-24.048686981201172,-3.7740025520324707,0.2901829940397917
30000,3.094424312407347,1.0,0.07,9.07481268444794,6.979827404022217,-24.243799209594727,-3.838883399963379,0.26872183799743654
31000,3.333316688995584,1.0,0.07,9.073956528139853,7.086331367492676,-24.469520568847656,-4.100929260253906,0.314499061515114
32000,5.036374612974786,1.0,0.07,9.075844987428871,7.1865553855896,-24.622102737426758,-4.094623565673828,0.29180309644062896
33000,4.617405475871458,1.0,0.07,9.077308330347941,7.282744884490967,-24.784406661987305,-4.112471580505371,0.287873010635376
34000,5.635672794119958,1.0,0.07,9.078663605255402,7.404819011688232,-24.96727752685547,-3.751451015472412,0.26260157108306886
