step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,10.052642023289689,1.0,0.07,56.737159955823245,0.007947620004415512,-6.808452129364014,-24.959293365478516,1.7503674322489982
2000,5.312466414013835,1.0,0.07,56.767813280130035,0.007907516323029995,-6.886758804321289,-26.26418685913086,1.8387260005936614
3000,5.195202864182129,1.0,0.07,56.813463722283345,0.007970193400979042,-6.900473594665527,-26.098407745361328,1.8283983288353376
4000,4.730849890397795,1.0,0.07,56.83180408516496,0.007943743839859962,-6.894951820373535,-26.116043090820312,1.829665029663147
5000,13.17717925242168,1.0,0.07,56.91585249016759,0.008036457002162933,-6.946630954742432,-26.337135314941406,1.8443360816792698
6000,4.305525968634061,1.0,0.07,56.905393982337,0.007923613302409649,-6.867337703704834,-25.733369827270508,1.8019222672719903
7000,5.674077428029292,1.0,0.07,56.89851844089195,0.007939823903143406,-6.94742488861084,-26.760622024536133,1.8774428526272877
8000,5.680818105239004,1.0,0.07,56.90622710651732,0.007827145978808403,-6.8373823165893555,-25.736839294433594,1.8028224874916092
9000,11.686172064792725,1.0,0.07,56.922736372838045,0.007919073104858398,-6.898068428039551,-26.10346031188965,1.8325608740405268
10000,4.45366289299138,1.0,0.07,56.91697645885138,0.008018284104764462,-6.943573951721191,-26.328521728515625,1.8469505118241056
11000,9.705450507690719,1.0,0.07,56.9316389475823,0.007956703193485737,-6.9131622314453125,-26.199377059936523,1.8348398945051665
12000,4.155125503871743,1.0,0.07,56.935096374951264,0.007908978499472141,-6.920480251312256,-26.454448699951172,1.8571035802248161
13000,5.9324049218726245,1.0,0.07,56.939226559417044,0.007987475953996181,-6.855247497558594,-25.191293716430664,1.7664361733931992
14000,3.8628223325022,1.0,0.07,56.936179334019826,0.00806789193302393,-6.898847579956055,-25.46923065185547,1.7847577590707724
15000,3.845918224889241,1.0,0.07,56.93487411933786,0.008106059394776821,-6.950905799865723,-26.06926918029785,1.8248503538625889
16000,4.174717043647065,1.0,0.07,56.94067527642382,0.008263477124273777,-6.936192512512207,-25.11965560913086,1.760076592590157
17000,7.0750263944173515,1.0,0.07,56.949590388351204,0.00842607393860817,-7.026087760925293,-25.661148071289062,1.7984772595332756
18000,3.9512001144120044,1.0,0.07,56.942053579463035,0.008709737099707127,-7.113888740539551,-25.69329071044922,1.7997160132265384
19000,3.4581844165763824,1.0,0.07,56.942675922485535,0.009114631451666355,-7.257486820220947,-25.943279266357422,1.8211364883961136
20000,4.524177481208954,1.0,0.07,56.9482733140308,0.010004378855228424,-7.411630153656006,-24.48416519165039,1.7155560694942544
21000,10.288457718697245,1.0,0.07,56.96080520437254,0.011441429145634174,-7.8870649337768555,-25.600563049316406,1.7942745706171717
22000,12.768156163950191,1.0,0.07,56.970681233574226,0.01429485809057951,-8.610105514526367,-25.626296997070312,1.7986278273752037
23000,4.028183585539443,1.0,0.07,56.96638489078856,0.02283528819680214,-10.412403106689453,-25.763038635253906,1.804013958193747
24000,7.9280473622561,1.0,0.07,56.97170968335459,0.040788814425468445,-13.292025566101074,-25.510353088378906,1.7858819626097446
25000,5.850359257115273,1.0,0.07,56.973881408111296,0.062777079641819,-16.100494384765625,-26.062562942504883,1.8254870622641988
26000,5.934861107178829,1.0,0.07,56.97644940463216,0.09794405102729797,-19.70964241027832,-26.75267791748047,1.878283146912084
27000,4.031257304402876,1.0,0.07,56.97630350665734,0.14598703384399414,-23.614498138427734,-26.30909538269043,1.8448512594531825
28000,3.8468626759990987,1.0,0.07,56.97486365763347,0.20468862354755402,-27.607219696044922,-26.133602142333984,1.8303523164125879
29000,7.371613221119371,1.0,0.07,56.97860378445477,0.2839670181274414,-32.16834259033203,-25.777347564697266,1.8052664377028813
30000,14.73990466281997,1.0,0.07,56.98833557485262,0.3740025460720062,-36.6007194519043,-24.9837589263916,1.7490769137180269
31000,13.562529500872726,1.0,0.07,56.996959190473675,0.47461292147636414,-41.069271087646484,-25.73979949951172,1.8028397188238097
32000,3.581095065811071,1.0,0.07,56.99146838908511,0.5700252652168274,-44.8795166015625,-26.423377990722656,1.850949905370727
33000,4.550111115699368,1.0,0.07,56.98874540518903,0.6676996350288391,-48.4346923828125,-26.635385513305664,1.8675440465285398
34000,7.7910979558062845,1.0,0.07,56.99263869467447,0.7673655152320862,-51.73765563964844,-25.885053634643555,1.812445545401827
35000,4.664569144278633,1.0,0.07,56.9923677628199,0.8650243878364563,-54.779850006103516,-25.28903579711914,1.7731367393316453
36000,6.089895292067892,1.0,0.07,56.99243130326445,0.9697480201721191,-57.91954040527344,-25.55997085571289,1.7957947360734394
37000,4.392934825968022,1.0,0.07,56.992896607446845,1.0708293914794922,-60.81178665161133,-26.154951095581055,1.8350363906941252
38000,4.183977925661285,1.0,0.07,56.99321015987401,1.1694196462631226,-63.47737503051758,-26.356685638427734,1.8450863327140568
39000,11.16138260377398,1.0,0.07,56.993595047685744,1.2696566581726074,-66.0762939453125,-26.465213775634766,1.8564607744663075
40000,21.214397463533675,1.0,0.07,57.006199658582624,1.3680542707443237,-68.45832824707031,-25.430124282836914,1.78168575627851
41000,9.584027689613919,1.0,0.07,57.00935933055173,1.4682031869888306,-70.86788177490234,-25.55631446838379,1.7899663985089203
42000,3.7486716650425196,1.0,0.07,57.010034324729325,1.5636518001556396,-73.08161163330078,-25.583038330078125,1.7928139905912892
43000,5.143569829821409,1.0,0.07,57.011085317411755,1.6606149673461914,-75.29655456542969,-26.091346740722656,1.8293069794011017
