step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,30.52791344159372,1.0,0.07,9.82228414085538,0.1474401354789734,-4.075284481048584,-4.0472846031188965,0.30373055786247766
2000,31.50148015014121,1.0,0.07,9.848775203593584,0.15469114482402802,-4.1885528564453125,-4.16348934173584,0.31495131768108975
3000,31.38769802131043,1.0,0.07,9.882917532739585,0.16290554404258728,-4.302227020263672,-4.0878801345825195,0.31332769935214577
4000,30.355410976213715,1.0,0.07,9.892245447231044,0.17881248891353607,-4.490900039672852,-4.0898542404174805,0.30784265569626185
5000,31.99260638512143,1.0,0.07,9.897745573621577,0.20524147152900696,-4.775014877319336,-3.975980281829834,0.29098191883272234
6000,35.367142243406036,1.0,0.07,9.925602121178725,0.24208900332450867,-5.213690757751465,-3.4614553451538086,0.3300424284067793
7000,33.842703144087416,1.0,0.07,9.941205957128597,0.3252098560333252,-6.057562828063965,-4.590706825256348,0.38837429343810015
8000,28.12881544204371,1.0,0.07,9.925113298786984,0.47715869545936584,-7.186983585357666,-4.365169048309326,0.331044782494047
9000,29.637328158459503,1.0,0.07,9.920592250853737,0.76979660987854,-9.008487701416016,-4.057164669036865,0.30435273834530496
10000,28.433612071870456,1.0,0.07,9.915643752097724,1.135083794593811,-10.850590705871582,-3.786585807800293,0.28643276506445
11000,35.001423099408186,1.0,0.07,9.927485515128154,1.5609742403030396,-12.723291397094727,-4.280069828033447,0.3199942422055025
12000,31.537220046453243,1.0,0.07,9.928836862281079,1.9891573190689087,-14.300145149230957,-3.918811321258545,0.29676381616871655
13000,36.39759825006197,1.0,0.07,9.942546578327429,2.408809185028076,-15.761479377746582,-4.144000053405762,0.3303094868558748
14000,37.09700165404689,1.0,0.07,9.95559129390217,2.8402774333953857,-17.089048385620117,-4.173373222351074,0.31076928771161605
15000,34.358294992438175,1.0,0.07,9.958323514798375,3.2183172702789307,-18.20309066772461,-4.526330947875977,0.3381873676867419
16000,30.006583828036433,1.0,0.07,9.953740212992225,3.599104881286621,-19.194822311401367,-3.884341239929199,0.3112761933286521
17000,39.81481900993383,1.0,0.07,9.96911334405316,3.9120230674743652,-20.024885177612305,-4.138341426849365,0.307139070848705
18000,28.758435072172656,1.0,0.07,9.963589582862756,4.228126049041748,-20.79085922241211,-3.7796692848205566,0.30332072914236136
19000,28.457263569675426,1.0,0.07,9.959458136412602,4.545721530914307,-21.51165008544922,-3.6496706008911133,0.27739034109441785
20000,33.78298695177717,1.0,0.07,9.964142824994024,4.806005954742432,-22.162635803222656,-4.395435333251953,0.318639860708753
21000,31.886366813412046,1.0,0.07,9.962861599136843,5.046844959259033,-22.67426300048828,-3.914689064025879,0.29251001963316753
22000,32.59417459515376,1.0,0.07,9.966201328981182,5.280484676361084,-23.236495971679688,-4.355169773101807,0.33485761519782037
23000,30.452226754813264,1.0,0.07,9.964628787043702,5.504169940948486,-23.703035354614258,-4.4239091873168945,0.3250533661253064
24000,39.535135470422475,1.0,0.07,9.975050539211932,5.731376647949219,-24.160221099853516,-3.857304573059082,0.2796548311844216
25000,30.108812814738297,1.0,0.07,9.971554961514164,5.918329238891602,-24.583406448364258,-4.1952409744262695,0.32499131394501185
26000,41.142079230457334,1.0,0.07,9.982954906131402,6.102673053741455,-24.927852630615234,-3.531203269958496,0.26637058474400155
27000,32.08353012605745,1.0,0.07,9.982582171322006,6.037168979644775,-24.88075828552246,-4.203779220581055,0.35290520406566966
28000,48.45503912671161,1.0,0.07,10.00100801365332,6.443240642547607,-25.68645477294922,-4.118247032165527,0.30035749845630527
29000,31.081108425693017,1.0,0.07,9.998793301699292,6.556599140167236,-25.88947868347168,-3.7853446006774902,0.2867103663721421
30000,38.704057907735475,1.0,0.07,10.005266974447853,6.240347862243652,-25.298707962036133,-3.9758572578430176,0.3048596052127291
31000,29.568500903142397,1.0,0.07,10.001815835890543,6.740931510925293,-26.247314453125,-3.6862545013427734,0.2792972073522764
32000,30.21476944473176,1.0,0.07,9.99957559494688,6.83347749710083,-26.44576072692871,-4.029379844665527,0.3059503869056174
33000,47.549180955734606,1.0,0.07,10.013775710009053,7.134088039398193,-27.0654239654541,-4.255228519439697,0.3189134149782526
34000,32.655943144526184,1.0,0.07,10.013221340647528,6.690932750701904,-26.275470733642578,-3.8702023029327393,0.37443447361159327
35000,34.57861973386809,1.0,0.07,10.01591971983667,7.032734394073486,-26.879899978637695,-4.303906440734863,0.3183790893710045
36000,28.14272028910637,1.0,0.07,10.01078859401955,7.38333797454834,-27.54593849182129,-4.622476577758789,0.3443235751516222
37000,32.4290142157912,1.0,0.07,10.009037530477123,6.978017330169678,-26.755308151245117,-4.34636116027832,0.315495928908035
38000,32.13948175861903,1.0,0.07,10.009540652332129,7.438404083251953,-27.58681869506836,-3.680424690246582,0.2873610496829608
39000,28.968828363398757,1.0,0.07,10.00528837603183,7.813145160675049,-28.27303695678711,-4.08243465423584,0.3062507590492238
40000,28.2310491809624,1.0,0.07,10.0011910817628,7.272767543792725,-27.266721725463867,-3.9676873683929443,0.29543931211732144
41000,27.782370243488423,1.0,0.07,9.997673816154206,7.844627857208252,-28.309240341186523,-3.9943854808807373,0.3074898539870851
42000,30.526504512520585,1.0,0.07,9.996028339139123,7.181697368621826,-27.12302017211914,-4.466805458068848,0.334976418648675
43000,40.860823778363816,1.0,0.07,10.001248233371014,8.017253875732422,-28.639467239379883,-4.225238800048828,0.32117755980962204
44000,28.956927762029533,1.0,0.07,9.998707151290215,7.842586040496826,-28.32533836364746,-4.471468448638916,0.3243416138756841
45000,29.002357553399438,1.0,0.07,9.996207490043624,7.522848606109619,-27.733041763305664,-4.128718376159668,0.31563174900446933
46000,27.405009220813835,1.0,0.07,9.992452559941734,7.444550514221191,-27.606304168701172,-4.4986724853515625,0.34219303908677096
47000,35.056520676996634,1.0,0.07,9.993691012881223,8.296978950500488,-29.106948852539062,-4.08063268661499,0.32064376339863787
48000,27.568328435683583,1.0,0.07,9.990522592783964,8.102947235107422,-28.761877059936523,-4.318277359008789,0.32317940160414027
49000,36.96654074392502,1.0,0.07,9.993657244652915,8.128316879272461,-28.789512634277344,-4.017306804656982,0.297392340701814
50000,32.08182691530867,1.0,0.07,9.993473117533156,8.14428997039795,-28.832809448242188,-4.155402183532715,0.3132321676664752
51000,29.806693786896968,1.0,0.07,9.991618374946666,7.979373931884766,-28.51149559020996,-3.896618366241455,0.28738631208180004
52000,32.07313287377361,1.0,0.07,9.99233720689801,6.935207366943359,-26.603757858276367,-3.9090723991394043,0.28915476607293555
53000,39.28664491657083,1.0,0.07,9.996349389914737,6.685149192810059,-26.151195526123047,-4.016517639160156,0.3049784927232863
