step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,32.10413668296565,0.023195842945848023,0.07,52.790806546108556,0.005604848265647888,-5.12509298324585,-3.7741851806640625,1.1728807998923276
2000,30.748741901728163,0.02171798184774703,0.07,51.26919537066645,0.005535331089049578,-5.201202869415283,-4.350827217102051,1.386784911761853
3000,31.59706238345105,0.021776986199089226,0.07,51.74301227941374,0.005388861522078514,-5.232186317443848,-3.9629135131835938,1.4337909556837782
4000,35.060589765947135,0.02338212156270256,0.07,52.91147970397171,0.005854765884578228,-5.342716693878174,-4.117108345031738,1.294118482069627
5000,31.114733645556214,0.022614587064549798,0.07,52.491223136339144,0.004412038717418909,-5.443955898284912,-3.8933372497558594,1.9573222612143906
6000,38.74179521089246,0.025269222989690504,0.07,53.536167132493915,0.007718052715063095,-5.691008567810059,-3.2265710830688477,0.9877248545563231
7000,27.7302081625442,0.02428875648558774,0.07,52.248083399790076,0.01024311687797308,-6.6699371337890625,-4.416443824768066,1.3819980809866368
8000,27.27598329924287,0.023432398357245355,0.07,51.345093012530995,0.02070324867963791,-8.888381004333496,-4.34263801574707,1.5005289119389376
9000,30.754466814498453,0.023303755421931437,0.07,51.17910804925975,0.03353945165872574,-10.814396858215332,-3.9733035564422607,1.4415683861055872
10000,34.98036718942726,0.023880442546151563,0.07,51.53091735938171,0.05900263041257858,-13.966531753540039,-3.6904399394989014,1.4494368041580636
11000,29.322752673757527,0.023824234932301343,0.07,51.15837958899208,0.09352941811084747,-16.856685638427734,-4.347715854644775,1.2111337015003247
12000,32.224838137367726,0.023644804957078838,0.07,51.149263537378175,0.12133272737264633,-19.68187713623047,-3.880812644958496,1.865131422879958
13000,38.88410960650534,0.025013600934557238,0.07,51.72713707280306,0.16403822600841522,-22.792804718017578,-4.122968673706055,1.842466939414223
14000,35.645055249659066,0.02542926027045427,0.07,51.83298935054522,0.16418612003326416,-25.660757064819336,-4.186534404754639,4.658089934137559
15000,31.14766107185848,0.02524209528236422,0.07,51.54510619773681,0.28259411454200745,-28.449785232543945,-4.4691691398620605,1.0486238247789517
16000,30.707023807752186,0.025107314352664487,0.07,51.27906134561888,0.32892417907714844,-30.49196434020996,-3.8253860473632812,1.0824437125636668
17000,34.14418285852875,0.02510143926110469,0.07,51.288572928027996,0.3716253340244293,-33.93532943725586,-4.125872611999512,2.669260346388332
18000,31.418642572905146,0.025052061619671967,0.07,51.11288105569324,0.509588897228241,-37.1712532043457,-3.7474350929260254,0.6840710284362652
19000,32.5339807951105,0.02501931770542701,0.07,51.02170002662177,0.5593817830085754,-39.68752670288086,-3.6799378395080566,1.5274624551526108
20000,34.42136420145804,0.02524872646755248,0.07,51.0465859856684,0.6761600375175476,-42.83504867553711,-4.396370887756348,0.8599782879254798
21000,28.5677691557408,0.0249097975646498,0.07,50.75362338852665,0.760854959487915,-45.04732131958008,-3.9818286895751953,0.7764573361560158
22000,30.083048901728667,0.024727015661564898,0.07,50.580090892060845,0.8229560256004333,-47.5396842956543,-4.304651260375977,1.654982058965793
23000,41.58535371998196,0.026532672763575117,0.07,50.94605202880377,0.911171555519104,-50.045989990234375,-4.368398666381836,1.415282821535553
24000,46.25572117994657,0.02966317916816952,0.07,51.34614821552357,0.9847092628479004,-52.30838394165039,-3.8369579315185547,1.3563101295897015
25000,36.43514025606436,0.029716300808987295,0.07,51.188663306353476,1.0853383541107178,-54.2116584777832,-4.175241470336914,0.8835250574539925
26000,36.312771446737564,0.030149578611621635,0.07,51.01958644587519,1.1593313217163086,-55.941314697265625,-3.573221206665039,1.0073768620086465
27000,28.70828424560672,0.029813416982161545,0.07,50.62193572771585,1.1574631929397583,-57.39134979248047,-4.234495162963867,2.92950016763183
28000,46.11636568065998,0.0307431724216781,0.07,50.83843776312774,1.3147944211959839,-59.84618377685547,-4.125577926635742,1.552548404070846
29000,40.415813346939636,0.03133881299013303,0.07,50.79975588318236,1.4193403720855713,-61.691490173339844,-3.797379493713379,1.1706593416219016
30000,29.79427637159016,0.031034365936553683,0.07,50.44650084502127,1.50717294216156,-62.905704498291016,-3.925039768218994,0.9740576650316947
31000,33.25333460679281,0.03085355052937549,0.07,50.211742135255875,1.6081581115722656,-64.38546752929688,-3.633026599884033,0.7103639415064309
32000,30.602639493978934,0.03058083923678239,0.07,49.927011619468395,1.6491621732711792,-65.7049789428711,-4.085515975952148,1.5888526623778936
33000,28.520627685214922,0.030272611464229476,0.07,49.61395024052281,1.7556833028793335,-66.88126373291016,-4.2669219970703125,1.1416946168107451
34000,38.89199165811423,0.030537934416654887,0.07,49.58911301860891,1.7837824821472168,-68.53290557861328,-3.864412784576416,2.30252022791357
35000,27.658182037841446,0.030266216664764378,0.07,49.28394819689085,1.8892309665679932,-69.49874877929688,-4.274100303649902,1.7583108402916856
36000,29.392811990802787,0.030028473301766025,0.07,49.036629896563994,2.0166471004486084,-70.63646697998047,-4.540982246398926,1.0001850603185738
37000,30.49000046091065,0.0298345437738588,0.07,48.83202099172474,2.0984888076782227,-71.81893157958984,-4.319096565246582,1.0800806197167003
38000,31.62245422528019,0.029697546939079496,0.07,48.670787141027226,2.1868844032287598,-73.01652526855469,-3.729147434234619,1.0415915302550647
39000,32.830315215209694,0.029856222275494747,0.07,48.5383726874831,2.2307028770446777,-74.15021514892578,-4.013297080993652,1.6555468431798481
40000,28.494570575597514,0.029604936191459593,0.07,48.32112946248081,2.343812942504883,-75.0338363647461,-3.959529399871826,1.0565243888277691
41000,32.33652374627109,0.029489261033711727,0.07,48.203167462202344,2.448613405227661,-76.19821166992188,-3.970573902130127,0.7696756668563948
42000,39.482789205538815,0.029860658705485085,0.07,48.25409738044221,2.454995632171631,-77.54811096191406,-4.433351039886475,1.941535266790404
43000,29.821445201608594,0.029681432343780016,0.07,48.08288723188,2.5239386558532715,-78.33063507080078,-4.193103790283203,1.9417982198545283
44000,30.338078937174238,0.02951046701465711,0.07,47.933778261836096,2.680072069168091,-79.22884368896484,-4.514559745788574,0.7568149238631463
45000,39.06063536621857,0.02975104303014433,0.07,47.9817230077819,2.7684359550476074,-80.50639343261719,-4.100120544433594,0.6714369619881606
