step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,5.409856165953826,0.011774801780043413,5.944898377706866,903.9155618736827,1.1147733857796993e-05,-28.46355438232422,-3.879399061203003,25.44554068982495
2000,4.695948593247088,0.011108825835775563,6.3012960176734065,857.6516156755504,4.00189746869728e-05,-31.43906021118164,-4.128278732299805,26.01350633568658
3000,4.2153815810709965,0.010420436732860488,6.7175687348359805,851.1902133169903,4.0746625018073246e-05,-31.31793975830078,-3.8532586097717285,25.88452956424012
4000,4.1817894258041886,0.009881090221278819,7.084238523524032,863.8839649495933,2.444954589009285e-05,-31.224079132080078,-3.6407737731933594,26.952476213764132
5000,3.1939226407423518,0.009400907980478894,7.446089265564124,877.5676374319264,3.843494414468296e-05,-35.334991455078125,-4.014782428741455,29.894428346227212
6000,3.5334898953711957,0.009464935043461022,7.395719006900153,894.4936900552833,3.7007306673331186e-05,-33.57441711425781,-3.8039419651031494,28.132885892458482
7000,5.4730368141635735,0.009624284100745867,7.273268252188765,903.7039979548583,3.637224654085003e-05,-36.73033905029297,-4.300701141357422,31.280153073586924
8000,5.113608852809154,0.01000033415445597,6.999766099696704,906.3379578606413,8.930018339015078e-06,-35.84778594970703,-4.340173721313477,33.13936597402949
9000,2.5850473564098593,0.009820047048146902,7.128275420351413,907.9675109603008,2.2967478798818775e-05,-38.21185302734375,-4.59049129486084,33.860473575722686
10000,7.610248835561655,0.010425365524345288,6.714392875389949,907.8488274011911,3.696192288771272e-05,-30.229883193969727,-3.6802282333374023,24.710498229729595
11000,1.7564276612452172,0.010102040367170726,6.929293237382388,905.2864322068093,3.775918230530806e-05,-41.45460891723633,-5.179714202880859,35.891758597595846
12000,2.8478444110082815,0.00993564001492344,7.045343822326417,904.8636534092711,3.89914566767402e-05,-34.11223602294922,-4.039828777313232,28.461982719500263
13000,4.24659485505633,0.009858759312700636,7.100284912100641,905.8936313210058,4.090307265869342e-05,-36.6943244934082,-4.352027416229248,30.900634600500865
14000,1.2541133361718646,0.009618791234097989,7.277421694303392,907.4502209753117,4.4302985770627856e-05,-32.47590255737305,-3.632587432861328,26.435870590358896
15000,3.541630977078452,0.00954874229897216,7.330808373322097,910.1069542266022,5.1225411880295724e-05,-37.64244842529297,-4.246276378631592,31.128638431912304
16000,5.955395879156377,0.009779488298216274,7.1578387197178435,911.9948574180092,5.200649411563063e-06,-35.155677795410156,-3.8581085205078125,33.075879768623196
17000,5.332177440295165,0.009757901019922823,7.173673913793568,913.1995761700002,0.00013217187370173633,-39.523284912109375,-4.045987129211426,29.02459232436853
18000,4.306362567597761,0.009764854245202598,7.168565781142151,914.200639578197,0.00021507228666450828,-43.10509490966797,-4.142813205718994,29.698028984181
19000,3.2658847130537016,0.009689778870145426,7.224107065608344,915.2184715172159,0.00026881296071223915,-47.59260940551758,-4.287250518798828,32.58712834241927
