step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,7.4754367998716384,0.05280468896544497,1.325639850767941,734.1372212655265,5.302910358295776e-05,-38.74072265625,-25.183258056640625,33.39465635248583
2000,8.285483198492482,0.05173597858199913,1.353023600182864,850.811485578429,3.9288537664106116e-05,-40.16699981689453,-25.699085235595703,34.83406451759672
3000,4.138620278105936,0.043414916420629696,1.612349067352753,978.0938822870835,3.0178565793903545e-05,-47.78895568847656,-26.293331146240234,42.41579356551369
4000,3.74765915059508,0.038573865890879216,1.8147001443418067,1091.7751258616909,2.4142940674209967e-05,-50.50051498413086,-24.85749053955078,45.13602871603062
5000,7.961853636646482,0.04528233547178956,1.5458566628836825,1113.0841744875154,2.283537651237566e-05,-44.35889434814453,-25.209842681884766,39.039867455117104
6000,5.086146618462514,0.04212591291972527,1.6616850567343509,1145.379906627789,2.1877503968426026e-05,-48.21790313720703,-25.76663589477539,42.86056830818652
7000,15.156751455199947,0.047085081678737276,1.4866704591830553,1149.9303783518517,2.0897477952530608e-05,-45.74892044067383,-27.159164428710938,40.492155568309904
8000,26.55676995515394,0.057592411316666516,1.2154379092605017,1129.3491211363696,2.3027134375297464e-05,-36.98319625854492,-25.960861206054688,31.56383560060393
9000,4.771599539849561,0.05460497685568661,1.2819344321855553,1117.3205589709466,2.358274650759995e-05,-36.0472526550293,-23.8817195892334,30.621313479011917
10000,7.706396233528272,0.056253386602774305,1.2443695255948866,1105.171853271866,2.424618651275523e-05,-38.99247741699219,-26.94260025024414,33.550566780876785
11000,4.097542571022353,0.053962189846644276,1.2972045834117139,1098.4502965039412,2.5134191673714668e-05,-38.05662536621094,-25.086654663085938,32.54965397594291
12000,3.8182855284982304,0.051931300207063824,1.3479346698598245,1096.3507717912566,2.6008454369730316e-05,-39.663330078125,-25.276813507080078,34.07210640881977
13000,5.161013577633882,0.05009000307936707,1.397484441937162,1097.8042807775967,2.7079391657025553e-05,-44.08208465576172,-27.43453598022461,38.369347720246694
14000,5.307213109452222,0.04898576643899546,1.428986521772088,1100.9449849059445,2.9647169867530465e-05,-41.93292999267578,-25.13746452331543,35.93837095067298
