step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,30.94981817261465,0.021000492208653004,3.333255206806883,428.807908575226,6.850105273770168e-05,-16.851442337036133,-3.7347254753112793,13.30239799843443
2000,28.948549272580582,0.0214939505057671,3.256730305637306,430.2372521465653,7.26235020920285e-06,-18.12749671936035,-4.191679954528809,16.968062052236537
3000,28.973834910770528,0.021249268260387158,3.294231083264823,435.17926804868443,5.712568236049265e-05,-17.60996437072754,-3.974032163619995,14.320812541240764
4000,31.292047906944337,0.02051228479520847,3.4125891239746986,443.2125503538122,6.747347651980817e-05,-18.461137771606445,-4.066375732421875,14.820490840605174
5000,29.436899597089546,0.0203529907294471,3.4392979847783574,449.88364724516236,6.324874993879348e-05,-18.51295280456543,-4.018898963928223,14.935069170864317
6000,32.1463845754826,0.021511484238857966,3.254075786809412,453.4757752829262,5.745920861954801e-05,-14.899450302124023,-3.0890960693359375,11.462019608642741
7000,37.63767940081865,0.02321882484798795,3.014795126725198,453.91872230471546,1.0627201845636591e-05,-18.5953311920166,-4.476082801818848,17.115584369504923
8000,31.39237533184665,0.022997458613492196,3.0438145873619384,450.71131595489805,4.045477544423193e-05,-18.91876983642578,-4.410792350769043,16.0520630802729
9000,40.14132914312177,0.026885193518517495,2.6036636095547045,443.84760118142555,0.0001398677850374952,-16.643430709838867,-4.051851272583008,11.394236061016246
10000,28.762351400470603,0.026346607003079666,2.6568886077747194,436.8569239231796,0.0002233526174677536,-17.61314582824707,-3.8138859272003174,11.084324341022358
11000,29.59749279432017,0.025891945906613537,2.7035434205090016,431.60827304031943,0.0005559358396567404,-22.69243621826172,-4.321053981781006,12.515850418211272
12000,37.205726402430564,0.026236215038477912,2.668067779492519,427.79688067072755,0.0009011515649035573,-24.56390380859375,-3.9568610191345215,11.721791037271407
13000,26.615695924515613,0.025621364779539826,2.732094898235052,424.1197045926146,0.0015150259714573622,-28.662080764770508,-4.168717384338379,12.153928639928697
14000,34.09305256367222,0.025436370139911943,2.7519649861582938,421.787003819091,0.0022988265845924616,-32.68938446044922,-4.185041427612305,12.466352058237831
15000,30.62879879303344,0.025194797203696953,2.7783513966815567,419.5990306666991,0.003017464652657509,-37.90668869018555,-4.523170471191406,14.85750349225632
16000,29.789846520707155,0.024884715635432167,2.8129716660426825,417.9575714725731,0.004801108036190271,-40.41394805908203,-3.786667823791504,11.453657156479078
17000,31.07865167721725,0.024879312925988693,2.813582521681243,416.68462354351317,0.006146438419818878,-45.8476448059082,-4.080521583557129,13.17989167387766
18000,29.154943077728156,0.024582827033654914,2.84751627240297,415.6782374597008,0.008492253720760345,-49.90184783935547,-3.7785940170288086,11.59567639722767
19000,29.13219613862059,0.02426841346756814,2.884407754695078,415.0796595917752,0.010491668246686459,-54.42246627807617,-3.6480398178100586,11.906338865888273
20000,34.284808694898985,0.024419783137942783,2.8665283227366563,414.9278252341471,0.013587268069386482,-61.3890266418457,-4.415318489074707,13.023198349317141
21000,29.63968345573793,0.024169127404136313,2.8962568167860367,414.4632212381452,0.014878352172672749,-65.20068359375,-3.9899909496307373,14.64576353645046
22000,30.246157108592428,0.024096267219787238,2.9050142647205455,414.355752291427,0.019590772688388824,-71.12337493896484,-4.333596706390381,13.12723276559824
23000,29.412729332801078,0.02386243417174509,2.9334811149687847,414.2499907343127,0.023067116737365723,-76.68771362304688,-4.511818885803223,13.771991517728006
24000,38.883729717377356,0.02426562051914985,2.8847397471149634,414.58676055923684,0.025910645723342896,-79.58636474609375,-3.891218662261963,12.851229505268154
