step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,4.8949032323275,0.010732386946711699,0.07,25.364603190045237,0.0005426032585091889,-3.044797658920288,-3.9064440727233887,3.6356366980237294
2000,4.198063550507237,0.010172435338830204,0.07,23.847922473486378,0.005411048419773579,-3.090758800506592,-4.234390735626221,1.3365095090802683
3000,4.1464574357907305,0.009852161916760556,0.07,23.107193656567315,0.014827154576778412,-3.0835907459259033,-3.8557395935058594,0.2699017715454102
4000,5.001729248773975,0.00999410907611112,0.07,23.578449094188073,0.014366935938596725,-3.0823276042938232,-3.6594834327697754,0.2561638402938843
5000,5.080196831708517,0.010201749652147993,0.07,23.76335934584367,0.014489091001451015,-3.137695074081421,-3.9612045288085938,0.2772843170166016
6000,2.583676677640737,0.009742811667339615,0.07,22.78151258872046,0.01611737534403801,-3.156637191772461,-3.777536153793335,0.2644275307655335
7000,5.156753836054409,0.009988116715772703,0.07,23.174400340760954,0.016580605879426003,-3.2825920581817627,-4.264629364013672,0.29852405548095706
8000,3.4964709752167953,0.009980936480932656,0.07,22.786702190912674,0.0005537344259209931,-3.4074864387512207,-4.365124702453613,2.8712797393639518
9000,2.0934710048099845,0.009609528414575274,0.07,22.10820625433873,0.01093012373894453,-3.57539439201355,-4.683136940002441,1.2640427004928723
10000,5.978296084802132,0.01000464413341738,0.07,22.767773412209777,0.02687881886959076,-3.9905941486358643,-3.683891534805298,0.25787240743637085
11000,2.309223886303734,0.009799752460961405,0.07,22.253982628204888,0.0344836488366127,-4.488832473754883,-5.090267181396484,0.35631870269775395
12000,2.146033767309448,0.009545270758309054,0.07,21.794618606503718,0.04842325672507286,-5.078811168670654,-4.040618419647217,0.28284328937530523
13000,4.346378450786209,0.009494614168140915,0.07,21.91452008560939,0.08409731835126877,-6.661083221435547,-4.371053695678711,0.3059737586975098
14000,2.8752946739138023,0.009364509627201636,0.07,21.688648376570683,0.1328405737876892,-8.158671379089355,-3.6249284744262695,0.2537449932098389
15000,4.100505069563196,0.009348190694782514,0.07,21.754006548630095,0.21777644753456116,-10.44789981842041,-4.229430675506592,0.29606014728546143
16000,7.11507277606635,0.009677321407467977,0.07,22.561810336000065,0.09687847644090652,-12.982680320739746,-3.803863525390625,5.960247431390338
17000,4.946427888194336,0.009801736558841331,0.07,22.708450652463227,0.4090340733528137,-14.812214851379395,-4.126440048217773,0.28885080337524416
18000,3.9489524227041457,0.00981297452539126,0.07,22.6437347233718,0.4933740198612213,-16.1944580078125,-4.1338090896606445,0.28936663627624515
19000,2.6551292490463987,0.009676761535230512,0.07,22.40420116826886,0.47968289256095886,-17.645822525024414,-4.382351875305176,2.1288656064873326
20000,5.644128776143247,0.009700230030855914,0.07,22.66064212808377,0.748648464679718,-19.908981323242188,-4.31397819519043,0.3019784736633301
21000,5.532722785011884,0.00979918236399971,0.07,22.872576706070795,0.8830719590187073,-21.772947311401367,-3.9878787994384766,0.2791515159606934
22000,3.510724407832039,0.009713568016051123,0.07,22.750965956805487,0.997439980506897,-23.151264190673828,-3.8353958129882812,0.42943898827370347
23000,3.520109304915038,0.009689366140984729,0.07,22.649663661405697,1.163818120956421,-24.740764617919922,-4.374521255493164,0.3062164878845215
24000,3.0289624034104135,0.00961373892314165,0.07,22.498881077907203,1.3135762214660645,-26.05741310119629,-3.8734822273254395,0.2711437559127808
25000,2.206687808402333,0.009514394482671489,0.07,22.279756420616074,1.436004877090454,-26.9935245513916,-4.2132673263549805,0.2949287128448487
26000,6.5482360002718,0.009819701105585605,0.07,22.618476095438893,1.5864911079406738,-28.761898040771484,-3.893897533416748,0.2725728273391724
27000,3.63396121468009,0.009757349412869418,0.07,22.544235071593807,1.7224931716918945,-29.89569664001465,-4.396958351135254,0.3077870845794678
28000,4.48052456915483,0.009755439013031258,0.07,22.564751283131958,1.8274914026260376,-30.931943893432617,-4.123403072357178,0.4278436407542541
