step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,4.158795909628234,1.0,0.07,8.993397459492549,0.2030375450849533,-4.333231449127197,-4.01192569732666,0.2808347988128662
2000,3.343485216287919,1.0,0.07,9.010165072022426,0.2156059890985489,-4.455815315246582,-3.7806689739227295,0.2720896441801882
3000,4.3050236976105465,1.0,0.07,9.034400885955035,0.2297799438238144,-4.596122741699219,-3.7921390533447266,0.2654497337341309
4000,3.4450502882060796,1.0,0.07,9.021864420990607,0.2538006007671356,-4.870368003845215,-4.39067268371582,0.32527608576197053
5000,2.5878663257617043,1.0,0.07,9.015507283874786,0.29910987615585327,-5.2056074142456055,-3.927731990814209,0.27494123935699466
6000,4.244872640868335,1.0,0.07,9.025167269562175,0.37217238545417786,-5.806473255157471,-3.8970789909362793,0.30058549509504545
7000,2.8068043661051734,1.0,0.07,9.028594592854207,0.5303037166595459,-6.858296871185303,-3.9008893966674805,0.28349720028661374
8000,1.7825311062897078,1.0,0.07,9.02223812486172,0.8281888961791992,-8.473382949829102,-3.752936840057373,0.2627055788040161
9000,2.9817317561223247,1.0,0.07,9.024342992226448,1.254116415977478,-10.387282371520996,-4.016592025756836,0.28116144180297853
10000,5.256033218985861,1.0,0.07,9.031207050480154,1.822544813156128,-12.476787567138672,-4.064390182495117,0.28450731277465824
11000,3.4216385335436508,1.0,0.07,9.033074154866275,2.3625094890594482,-14.201485633850098,-4.337331771850586,0.31723664821006314
12000,3.8532596602944427,1.0,0.07,9.039157432997772,2.915037155151367,-15.725968360900879,-4.18080997467041,0.29297983990582976
13000,2.413482703168281,1.0,0.07,9.03527833328012,3.418922185897827,-17.010324478149414,-4.339980602264404,0.3037986421585083
14000,3.179201009298741,1.0,0.07,9.033077671966222,3.8149585723876953,-17.91560173034668,-3.889557123184204,0.27226899862289433
15000,2.8763130699560424,1.0,0.07,9.034584368989561,4.190550327301025,-18.74859619140625,-3.629281997680664,0.2540497398376465
16000,3.5838598194572966,1.0,0.07,9.038123707092504,4.49623966217041,-19.4492244720459,-3.645693778991699,0.2844803777729192
17000,5.494124847926627,1.0,0.07,9.044849932486228,4.841048240661621,-20.174091339111328,-3.9038069248199463,0.2732664847373963
18000,5.81913651798793,1.0,0.07,9.051507355084853,5.129444599151611,-20.783788681030273,-4.0526123046875,0.28368286132812504
19000,2.0893917381289127,1.0,0.07,9.052482595747053,5.36132287979126,-21.25082015991211,-3.9597785472869873,0.2902232473240663
20000,1.725273019436194,1.0,0.07,9.051246440075374,5.613748073577881,-21.736387252807617,-4.156459808349609,0.2909521865844727
21000,3.1392835706850395,1.0,0.07,9.052312929865623,5.829189777374268,-22.127092361450195,-3.877802848815918,0.2714461994171143
22000,3.888686909400286,1.0,0.07,9.053933326767398,6.030136585235596,-22.487916946411133,-3.6396231651306152,0.25477362155914307
23000,1.8310872060520726,1.0,0.07,9.052898810832943,6.209853172302246,-22.856346130371094,-4.241504669189453,0.29690532684326176
24000,3.171693917565278,1.0,0.07,9.053647153602986,6.381457805633545,-23.12074851989746,-3.569093704223633,0.24983655929565432
25000,2.709240133922836,1.0,0.07,9.0533768889981,6.532073020935059,-23.433563232421875,-4.1938629150390625,0.2950148583580734
26000,3.6747197204627877,1.0,0.07,9.055046217219973,6.697731971740723,-23.71204376220703,-3.9657812118530273,0.27760468482971196
27000,5.064681134930946,1.0,0.07,9.057301826575888,6.829291343688965,-23.952896118164062,-3.8319754600524902,0.28353019919790284
28000,4.511134333097291,1.0,0.07,9.059802304223474,6.967197418212891,-24.22579002380371,-4.4576416015625,0.312034912109375
29000,2.9684911822124667,1.0,0.07,9.05972180213198,7.081502437591553,-24.38627052307129,-3.9622926712036133,0.277360486984253
30000,3.6512472301432943,1.0,0.07,9.060620508837943,7.177538871765137,-24.54354476928711,-3.847163200378418,0.26930142402648927
31000,4.641053620197999,1.0,0.07,9.06275776502075,7.272933483123779,-24.723634719848633,-3.8230226039886475,0.28284838630890097
32000,3.1812174163941336,1.0,0.07,9.062792450087233,7.3757734298706055,-24.858003616333008,-3.4990367889404297,0.2449325752258301
33000,2.544462283075047,1.0,0.07,9.062388568747323,7.46547794342041,-25.01234245300293,-3.5879263877868652,0.2511548471450806
34000,4.281211932004112,1.0,0.07,9.063510500601957,7.551562309265137,-25.1864013671875,-3.9968338012695312,0.2797783660888672
35000,3.1838007764604392,1.0,0.07,9.063633312724715,7.623619556427002,-25.319896697998047,-4.205532073974609,0.2943872451782227
36000,3.0606137416438024,1.0,0.07,9.063777284930058,7.693525314331055,-25.429187774658203,-4.125754356384277,0.2888028049468994
37000,3.638774273606462,1.0,0.07,9.064419869697256,7.756048679351807,-25.545581817626953,-4.306588649749756,0.30146120548248295
38000,3.1597013545121415,1.0,0.07,9.064537962996303,7.813686370849609,-25.613313674926758,-3.931934356689453,0.27523540496826177
39000,2.912816045796146,1.0,0.07,9.064546476072213,7.865335941314697,-25.694067001342773,-3.890862464904785,0.272360372543335
40000,2.3352568636752684,1.0,0.07,9.064170573633676,7.908415794372559,-25.80333137512207,-4.473664283752441,0.3131564998626709
41000,2.961125574973661,1.0,0.07,9.063628321504067,7.935422897338867,-25.831958770751953,-4.283191680908203,0.29982341766357423
42000,2.437830769204888,1.0,0.07,9.06329537073787,7.973180294036865,-25.886749267578125,-3.9191722869873047,0.2948857785433594
43000,2.2517100919240574,1.0,0.07,9.061919299674496,8.048669815063477,-26.00450897216797,-4.224041938781738,0.2956829357147217
44000,1.0475765904741738,1.0,0.07,9.060177339791043,8.11794376373291,-26.127079010009766,-4.468807220458984,0.3128165054321289
45000,3.274611376086733,1.0,0.07,9.060368032090178,8.119653701782227,-26.121549606323242,-3.967308521270752,0.30402595810468663
46000,2.008715423705465,1.0,0.07,9.05921428949417,8.157727241516113,-26.179826736450195,-4.110490322113037,0.30513624758855207
47000,4.9410902756916695,1.0,0.07,9.06048878216417,8.235867500305176,-26.31431770324707,-4.387038230895996,0.312344832547645
48000,2.531965439524978,1.0,0.07,9.060275712940408,8.270732879638672,-26.335359573364258,-3.986006498336792,0.27902045488357546
49000,2.8261134975321243,1.0,0.07,9.059790508277784,8.286258697509766,-26.387216567993164,-4.122298717498779,0.3078270013016099
50000,3.1162183302440587,1.0,0.07,9.059697275041083,8.327383995056152,-26.450464248657227,-4.381525993347168,0.3067068195343018
51000,4.527616418632971,1.0,0.07,9.061144657625572,8.358702659606934,-26.502685546875,-4.366115570068359,0.3056280899047852
52000,2.0962844427813216,1.0,0.07,9.061117671078227,8.37557315826416,-26.516613006591797,-4.18869686126709,0.2932087802886963
53000,6.730133868681624,1.0,0.07,9.063167780154771,8.406098365783691,-26.56528663635254,-4.051617622375488,0.28819944394230723
54000,3.966555308599094,1.0,0.07,9.063963530728243,8.431290626525879,-26.592483520507812,-3.9105186462402344,0.2737363052368164
55000,1.7456633433795261,1.0,0.07,9.063720426295076,8.440958976745605,-26.62889862060547,-4.225320816040039,0.29577245712280276
56000,3.8354371935656557,1.0,0.07,9.06472385544769,8.454197883605957,-26.6372127532959,-4.0075178146362305,0.28052624702453616
57000,2.951569528861218,1.0,0.07,9.064772425605865,8.469071388244629,-26.653705596923828,-3.910074472427368,0.2737052130699158
58000,3.661647791301971,1.0,0.07,9.065283928119657,8.481247901916504,-26.70672607421875,-4.3754167556762695,0.3062791728973389
59000,2.1527522043919474,1.0,0.07,9.06490222851215,8.489110946655273,-26.70367431640625,-4.172913074493408,0.2921039152145386
60000,4.882647280668098,1.0,0.07,9.065656625283578,8.506644248962402,-26.718889236450195,-3.969390869140625,0.2778573608398438
61000,4.287161405042077,1.0,0.07,9.066509631323827,8.51101303100586,-26.76395606994629,-4.311531066894531,0.3136468717428542
62000,3.5103619509271016,1.0,0.07,9.06688877788189,8.528444290161133,-26.772319793701172,-4.19757080078125,0.29382995605468754
63000,5.489571865894696,1.0,0.07,9.068296266185731,8.547904014587402,-26.80440330505371,-4.149857521057129,0.29161042035234314
64000,1.9635405313589667,1.0,0.07,9.067522711652593,8.552266120910645,-26.80784034729004,-4.150587558746338,0.29054112911224367
65000,2.396890557103447,1.0,0.07,9.067105022155296,8.556242942810059,-26.79964828491211,-3.962979316711426,0.2774085521697998
66000,2.8664946596532452,1.0,0.07,9.066350043777542,8.543586730957031,-26.832782745361328,-4.468130111694336,0.33237288699413237
67000,4.946142379571866,1.0,0.07,9.06728460653562,8.575122833251953,-26.821624755859375,-3.8516063690185547,0.26961244583129884
68000,4.137337081444591,1.0,0.07,9.067974704109814,8.581259727478027,-26.850915908813477,-4.10545539855957,0.28738187789916997
69000,3.2658780387765685,1.0,0.07,9.068289134129476,8.593766212463379,-26.874326705932617,-4.150338172912598,0.29052367210388186
70000,4.184971522682165,1.0,0.07,9.068368639939182,8.597604751586914,-26.868064880371094,-3.9727210998535156,0.2780904769897461
71000,2.6296091216510264,1.0,0.07,9.068052673029264,8.605698585510254,-26.880876541137695,-3.9902830123901367,0.2793198108673096
72000,2.9634525829292184,1.0,0.07,9.068151937293486,8.612643241882324,-26.883081436157227,-3.8642778396606445,0.27049944877624515
73000,1.8939984338259026,1.0,0.07,9.067779305701968,8.599170684814453,-26.84564781188965,-3.642561435699463,0.25497930049896245
74000,2.610724258406779,1.0,0.07,9.067548091385893,8.612970352172852,-26.909481048583984,-4.259525775909424,0.2981668043136597
75000,2.07502755333953,1.0,0.07,9.067591207883627,8.592949867248535,-26.871543884277344,-3.993464946746826,0.2910472732903216
76000,3.8430503522207853,1.0,0.07,9.068018736896367,8.600881576538086,-26.900245666503906,-3.9780972003936768,0.3062323777457754
77000,2.587663303124563,1.0,0.07,9.068134107041956,8.623505592346191,-26.921964645385742,-4.180832386016846,0.29265826702117925
78000,4.326502274123542,1.0,0.07,9.06845917527908,8.628767967224121,-26.918323516845703,-3.9990978240966797,0.27993684768676763
79000,2.0895011817384637,1.0,0.07,9.068251988742853,8.626791000366211,-26.930217742919922,-4.221336841583252,0.29549357891082767
