step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,3.724027132331723,1.0,0.07,56.43307067111418,0.0005281350458972156,-3.0642948150634766,-25.22404670715332,1.7673956597656575
2000,9.014335737187825,1.0,0.07,56.73989858080032,0.0005045668222010136,-3.063602924346924,-25.544979095458984,1.7890791066542329
3000,10.180993194121013,1.0,0.07,56.79652451534977,0.0005369674181565642,-3.1617021560668945,-26.363393783569336,1.8455813406861654
4000,5.449035621128166,1.0,0.07,56.80821962606686,0.0005183893954381347,-3.035653591156006,-24.86407470703125,1.7422347233812243
5000,12.58641800785872,1.0,0.07,56.8601739710126,0.0005141484434716403,-3.066100597381592,-25.350570678710938,1.776805057217686
6000,4.021037926272949,1.0,0.07,56.8700640841839,0.0005195688572712243,-3.09820556640625,-25.731868743896484,1.8019064426505826
7000,3.1259565593639542,1.0,0.07,56.88195037952725,0.0005272351554594934,-3.2038767337799072,-27.045791625976562,1.897775969211028
8000,3.7635440527779767,1.0,0.07,56.87646705413885,0.0005245887441560626,-3.131803512573242,-26.111696243286133,1.829110237019725
9000,17.26329018166606,1.0,0.07,56.93852354888587,0.0005414076149463654,-3.011563301086426,-24.088623046875,1.6867082201790384
10000,4.931141148605697,1.0,0.07,56.94030501520209,0.000517795910127461,-3.182347297668457,-26.907852172851562,1.886663266291974
11000,3.7409502677055353,1.0,0.07,56.92661693369108,0.0005489909672178328,-3.096782684326172,-25.17827033996582,1.7629605094671004
12000,16.274178549360798,1.0,0.07,56.956673962535206,0.0005670819664373994,-3.127842426300049,-25.30461311340332,1.771505520119875
13000,5.3702562044740665,1.0,0.07,56.95685620020962,0.0005380834918469191,-3.240511894226074,-27.401206970214844,1.9193047959905554
14000,7.506342473717795,1.0,0.07,56.95727134133883,0.0005861626123078167,-3.130870819091797,-25.01697540283203,1.751890009042235
15000,5.575490145936547,1.0,0.07,56.95675655034201,0.0006202008225955069,-3.247976303100586,-26.066930770874023,1.829534599165385
16000,5.26226376130545,1.0,0.07,56.95472757803511,0.000700414995662868,-3.2576632499694824,-24.99249839782715,1.7503360802883172
17000,3.4684279134150553,1.0,0.07,56.95939515714243,0.0008494846988469362,-3.459886074066162,-25.699113845825195,1.799751982386048
18000,6.9416017267188135,1.0,0.07,56.963263705500154,0.001046857563778758,-3.646519660949707,-25.690454483032227,1.8034632128170585
19000,3.937732872190548,1.0,0.07,56.957965753099025,0.001561029814183712,-4.05886173248291,-25.751750946044922,1.808459901344306
20000,3.271135086755228,1.0,0.07,56.957381537840035,0.0027735275216400623,-4.7827982902526855,-25.472301483154297,1.7831778449305604
21000,15.737451676594866,1.0,0.07,56.9724278838775,0.005570279434323311,-6.03633451461792,-25.459781646728516,1.7842367975090343
22000,4.427321500074595,1.0,0.07,56.970716421337045,0.012949462048709393,-8.334734916687012,-26.441814422607422,1.851712056722147
23000,7.944142017811756,1.0,0.07,56.975466556909495,0.029974019154906273,-11.643997192382812,-25.412900924682617,1.7798309857218477
24000,6.9086432769211426,1.0,0.07,56.97774329521127,0.054692283272743225,-15.05592155456543,-24.718530654907227,1.7308885304258252
25000,5.203341171324435,1.0,0.07,56.978383163736915,0.0853523463010788,-18.50669288635254,-26.567182540893555,1.8603875160944576
26000,13.43266930615801,1.0,0.07,56.991244266732714,0.13256041705608368,-22.662321090698242,-27.314125061035156,1.91246484485552
27000,6.13593153702868,1.0,0.07,56.99113490952402,0.203556627035141,-27.52665901184082,-25.89371109008789,1.8138268621369538
28000,9.379590360305539,1.0,0.07,56.993256289972905,0.27411413192749023,-31.67146110534668,-26.15013313293457,1.832124303807736
29000,8.44445961813298,1.0,0.07,56.99847499462894,0.35436415672302246,-35.71363067626953,-25.442819595336914,1.7832991409359464
30000,8.471803287898055,1.0,0.07,57.00432695021759,0.44602611660957336,-39.89384460449219,-26.038921356201172,1.823400792262734
31000,4.055455015681756,1.0,0.07,57.00288183172157,0.5344075560569763,-43.5350341796875,-26.628042221069336,1.8641128877379165
32000,7.393465403027918,1.0,0.07,57.00662234161534,0.6323310136795044,-47.22026443481445,-26.98153305053711,1.8890328636313418
33000,11.791836365955481,1.0,0.07,57.013648194816554,0.7307483553886414,-50.517879486083984,-25.317901611328125,1.7804321009242434
34000,4.439610142325252,1.0,0.07,57.01347781791231,0.8317386507987976,-53.79972839355469,-25.742212295532227,1.8036041135973413
35000,5.106854751839075,1.0,0.07,57.01757102972894,0.9313821196556091,-56.8298454284668,-25.751779556274414,1.8032494853729524
36000,4.416420599903256,1.0,0.07,57.01349783769754,1.0331835746765137,-59.868595123291016,-27.372711181640625,1.9168638516256427
37000,14.079020142502234,1.0,0.07,57.02295434554954,1.133256435394287,-62.68795394897461,-28.33602523803711,1.9844489547537814
38000,4.818191684917367,1.0,0.07,57.023737659414934,1.2326759099960327,-65.16305541992188,-26.435150146484375,1.851914337454899
39000,4.899724256384854,1.0,0.07,57.024595339128496,1.3291759490966797,-67.54529571533203,-25.698659896850586,1.801695073737407
40000,6.1492224250490946,1.0,0.07,57.02200777802951,1.430181860923767,-69.94596862792969,-25.03792953491211,1.7532255962482999
41000,11.042124618678013,1.0,0.07,57.02595434105442,1.5273561477661133,-72.30955505371094,-26.17911148071289,1.8333178158019354
42000,5.022778571677055,1.0,0.07,57.025193306666786,1.6227797269821167,-74.52555847167969,-26.837968826293945,1.882098299018907
43000,6.24748194341606,1.0,0.07,57.023247740399505,1.7175471782684326,-76.50215911865234,-25.27979278564453,1.7702174306097922
44000,8.196803908737044,1.0,0.07,57.025897877237085,1.8090122938156128,-78.66534423828125,-27.980188369750977,1.9657874841222678
45000,6.756496320152673,1.0,0.07,57.0261680539662,1.90082585811615,-80.38175201416016,-25.129844665527344,1.7595269932168467
46000,10.646662629485325,1.0,0.07,57.03147621404785,1.989115595817566,-82.336181640625,-27.146312713623047,1.9012731531196474
47000,7.276537027979963,1.0,0.07,57.03230917155533,2.081122398376465,-84.19147491455078,-27.317180633544922,1.9161244237670536
48000,5.0896917060016635,1.0,0.07,57.032082151387954,2.1690514087677,-85.84786987304688,-26.45928192138672,1.8527332490114836
49000,3.7866390203883045,1.0,0.07,57.03141094658922,2.254716634750366,-87.40330505371094,-25.20236587524414,1.7665676588009005
50000,5.0754231434442385,1.0,0.07,57.03106408099077,2.3394651412963867,-89.11949157714844,-26.9713191986084,1.888709673319526
51000,20.779831094673682,1.0,0.07,57.042268006143765,2.4235854148864746,-90.62268829345703,-25.993667602539062,1.8200349048719984
52000,3.2620897299971365,1.0,0.07,57.04262460569971,2.505509614944458,-92.15933227539062,-26.66546058654785,1.8676847966079444
53000,5.0416448574330515,1.0,0.07,57.04129011511824,2.585651397705078,-93.5998306274414,-26.791902542114258,1.877655987771561
54000,4.881568185793823,1.0,0.07,57.04111387678901,2.665372371673584,-95.00957489013672,-26.883420944213867,1.884434414275201
55000,7.704955170165388,1.0,0.07,57.041849594417634,2.743156671524048,-96.34361267089844,-26.673856735229492,1.8681765728763853
56000,7.309782095753994,1.0,0.07,57.04080334452254,2.8205580711364746,-97.61017608642578,-25.895273208618164,1.8129080439774192
57000,24.75867054094216,1.0,0.07,57.0519126491934,2.8970375061035156,-98.96424102783203,-26.511531829833984,1.8579775786466528
58000,5.3611845094247155,1.0,0.07,57.051527298825555,2.97092604637146,-100.12213897705078,-25.503395080566406,1.7859834539048123
59000,7.989994289658194,1.0,0.07,57.051688006877384,3.044215440750122,-101.28339385986328,-24.86821937561035,1.7414345991215678
60000,5.247564808645981,1.0,0.07,57.05030911459053,3.1136815547943115,-102.46449279785156,-25.638320922851562,1.7956423023539028
61000,9.182737426354974,1.0,0.07,57.0524087648957,3.187727689743042,-103.68661499023438,-26.01268768310547,1.8240523376035456
62000,4.2195063369608485,1.0,0.07,57.051732664166,3.2571942806243896,-104.8162612915039,-26.406282424926758,1.8510144492340328
63000,6.764613468266305,1.0,0.07,57.051640619021995,3.3254518508911133,-105.89444732666016,-26.506805419921875,1.856092785606091
64000,4.008598359259326,1.0,0.07,57.05093079781767,3.3938820362091064,-106.8142318725586,-24.429471969604492,1.7122042364576853
65000,10.565582747916231,1.0,0.07,57.053313385329155,3.458890438079834,-107.93253326416016,-26.045026779174805,1.8242507531214924
66000,3.498040696420767,1.0,0.07,57.05158901174945,3.5249698162078857,-108.85716247558594,-24.76982879638672,1.7433527883386897
67000,7.298709550814838,1.0,0.07,57.05282533528971,3.5901498794555664,-109.89779663085938,-25.6456241607666,1.7958626505247546
68000,9.317083682758343,1.0,0.07,57.05493664966414,3.6534383296966553,-110.774169921875,-24.556209564208984,1.719538923543891
69000,7.147124850301426,1.0,0.07,57.0568868383643,3.7157015800476074,-111.76681518554688,-25.456941604614258,1.7830734124375751
70000,18.395809668759767,1.0,0.07,57.06291995423361,3.777381420135498,-112.77752685546875,-26.674877166748047,1.8729661875681345
71000,8.72926730421292,1.0,0.07,57.064246525848326,3.8369569778442383,-113.5094985961914,-24.70281982421875,1.7311867818842273
72000,4.343672209353079,1.0,0.07,57.06245775123295,3.8950090408325195,-114.43523406982422,-25.957237243652344,1.8180390711081957
