step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,32.24882370711031,1.0,0.07,9.889893388969726,0.15357227623462677,-4.176630973815918,-3.9869227409362793,0.3009499839778806
2000,32.89189487660037,1.0,0.07,9.897551440205133,0.15854854881763458,-4.313263893127441,-4.311516761779785,0.37224181253350824
3000,38.80705285946279,1.0,0.07,9.991750918315585,0.16990841925144196,-4.403181552886963,-3.8651609420776367,0.2845867877939292
4000,31.993075404492,1.0,0.07,9.987451686399632,0.18643788993358612,-4.620664596557617,-4.125277996063232,0.30823769633197295
5000,33.74454936161147,1.0,0.07,9.988270828769739,0.21512645483016968,-4.930375099182129,-3.942830801010132,0.29764285734601637
6000,34.10862757731306,1.0,0.07,9.994339375002934,0.311431884765625,-5.876934051513672,-3.227384567260742,0.29948545581676567
7000,38.57986414287335,1.0,0.07,10.019460395669862,0.6048193573951721,-8.137537956237793,-4.4717230796813965,0.345390907434178
8000,42.11376521304334,1.0,0.07,10.049843108987165,0.916532039642334,-9.945762634277344,-4.434811592102051,0.3244771967937857
9000,28.804344775187573,1.0,0.07,10.025995346526289,1.0787283182144165,-10.750043869018555,-4.028721809387207,0.33686099312737533
10000,29.094312058650107,1.0,0.07,10.012376968247537,1.7043564319610596,-13.347407341003418,-3.734161138534546,0.2761483051082776
11000,30.965997182085193,1.0,0.07,10.004254412154125,2.162403106689453,-15.039338111877441,-4.342769622802734,0.3279697249611073
12000,40.642982599622854,1.0,0.07,10.02324641954809,2.619102716445923,-16.513315200805664,-3.961611270904541,0.2920506102262381
13000,28.007677849702834,1.0,0.07,10.00971704037201,2.959144115447998,-17.529247283935547,-4.131841659545898,0.310369650723851
14000,33.243573857417275,1.0,0.07,10.008531906842743,3.264366865158081,-18.398717880249023,-4.188854694366455,0.31574433081114583
15000,35.297891192028985,1.0,0.07,10.009435747653045,3.641106367111206,-19.43695831298828,-4.459213733673096,0.33726974174441715
16000,30.246526648877722,1.0,0.07,10.002045269449948,4.007264614105225,-20.31467628479004,-3.831881523132324,0.29242754017454803
17000,38.81329731617387,1.0,0.07,10.0123605185568,4.424118995666504,-21.380952835083008,-4.1992902755737305,0.32136202214857507
18000,29.177443255169564,1.0,0.07,10.005645810212052,4.636716365814209,-21.834537506103516,-3.820739269256592,0.289345085049346
19000,27.57231072628816,1.0,0.07,9.997704130759201,4.886013984680176,-22.394567489624023,-3.6485800743103027,0.2953114449865604
