step,mean,std,n,ci95_low,ci95_high
10000,0.0,0.0,3,0.0,0.0
20000,5.666666666666667,0.5773502691896257,3,5.013333333333334,6.32
30000,11.0,10.14889156509222,3,-0.484551943081339,22.48455194308134
40000,20.0,21.0,3,-3.7637370798450007,43.763737079845
50000,44.0,36.71511950137164,3,2.452931110205455,85.54706888979455
60000,67.66666666666667,44.76978147515725,3,17.00488970963086,118.32844362370248
70000,115.66666666666667,90.52255704150946,3,13.230750222395145,218.1025831109382
80000,41.0,27.2213151776324,3,10.196182054816646,71.80381794518335
90000,125.66666666666667,70.68474611493863,3,45.679346560428726,205.6539867729046
100000,225.0,94.39809320108114,3,118.1785015395621,331.8214984604379
110000,240.66666666666666,142.89973174689072,3,78.96039742792902,402.3729359054043
120000,160.33333333333334,133.52652670287404,3,9.233844107047588,311.4328225596191
130000,113.33333333333333,176.39822372499484,3,-86.28004809297398,312.94671475964066
140000,246.33333333333334,86.7256209740428,3,148.19405452793126,344.4726121387354
150000,297.3333333333333,88.95129753597378,3,196.67546440209782,397.9912022645688
160000,303.0,133.10146505579868,3,152.3815133081821,453.6184866918179
170000,296.0,81.90238091777309,3,203.31873112651078,388.6812688734892
180000,333.0,23.515952032609693,3,306.389195176896,359.610804823104
190000,355.3333333333333,116.92020070686388,3,223.02567100377996,487.64099566288667
200000,356.6666666666667,84.09716602438712,3,261.50176463982814,451.83156869350523
210000,408.0,59.10160742314882,3,341.12023524762265,474.87976475237735
220000,394.3333333333333,47.42713709821977,3,340.6644754070544,448.00219125961223
230000,311.3333333333333,12.503332889007373,3,297.1844802192309,325.4821864474357
240000,373.3333333333333,49.369356217529656,3,317.46664757359116,429.20001909307547
250000,381.3333333333333,45.78573285788198,3,329.5218991598701,433.14476750679654
260000,364.6666666666667,39.954140377854884,3,319.45430060997325,409.8790327233601
270000,390.6666666666667,63.63437226321426,3,318.65759563314265,462.6757377001907
280000,356.6666666666667,47.50087718488294,3,302.91436397697305,410.4189693563603
290000,375.3333333333333,40.61198509471476,3,329.3765459008864,421.2901207657802
300000,384.3333333333333,40.501028793517506,3,338.50210477560086,430.1645618910658
310000,395.3333333333333,49.23751956926073,3,339.61583478535067,451.05083188131596
320000,376.6666666666667,35.83759664560854,3,336.1126083685821,417.2207249647513
330000,375.3333333333333,51.38417395787668,3,317.18666666666667,433.47999999999996
340000,398.0,10.392304845413264,3,386.24,409.76
350000,401.6666666666667,70.8825319337094,3,321.4555308368387,481.87780249649467
360000,394.0,65.13831437794502,3,320.2890582522965,467.7109417477035
370000,399.6666666666667,36.63786747797057,3,358.207016670824,441.1263166625094
380000,397.0,55.65069631190611,3,334.02530878731255,459.97469121268745
390000,411.6666666666667,31.21431295629191,3,376.34434637041335,446.98898696292
400000,404.3333333333333,20.647840887931434,3,380.968101803463,427.6985648632036
410000,357.6666666666667,8.386497083606079,3,348.1764518230618,367.15688151027155
420000,418.6666666666667,46.06878914550862,3,366.53492415044366,470.7984091828897
430000,398.0,57.4543296888929,3,332.984305484496,463.015694515504
440000,376.6666666666667,51.92622972384317,3,317.9066061569028,435.4267271764306
450000,377.0,7.54983443527075,3,368.45655807066026,385.54344192933974
460000,380.6666666666667,63.75996654118738,3,308.5154723283576,452.8178610049758
470000,380.0,40.59556626036888,3,334.06179222767463,425.93820777232537
480000,395.3333333333333,30.022213997860533,3,361.36,429.3066666666666
490000,374.6666666666667,40.673496694202896,3,328.64027230671513,420.69306102661824
500000,392.0,50.20956084253277,3,335.1825332020748,448.8174667979252
510000,409.6666666666667,22.007574453658755,3,384.7627517580067,434.5705815753267
520000,398.6666666666667,33.20140559273558,3,361.0957393720446,436.2375939612888
530000,380.3333333333333,21.548395145191982,3,355.94902872747855,404.7176379391881
540000,413.6666666666667,12.22020185321558,3,399.83820648083577,427.4951268524976
550000,392.0,2.6457513110645907,3,389.0060505459622,394.9939494540378
560000,418.3333333333333,59.76899976855337,3,350.69834304641813,485.9683236202485
