step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,0.0,0.0001,0.006,0.6628855731086499,0.400080144405365,-0.4413752853870392,-3.6812775135040283,0.02208766508102417
2000,0.0,0.0001,0.006,0.945935092967008,0.6957945227622986,-0.8250401020050049,-5.999170303344727,0.03599502182006836
3000,6.0,0.0446840637720548,0.006,4.025192888806265,0.04039713740348816,-0.8452845811843872,-6.0432538986206055,0.036259523391723635
4000,0.0,0.038705613690171364,0.006,3.539392633949377,0.054435309022665024,-0.8612607717514038,-5.911961555480957,0.03547176933288574
5000,5.0,0.046857220572969975,0.006,3.7993208830736136,0.047942131757736206,-0.8713006973266602,-6.56884765625,0.0394130859375
6000,0.0,0.04278173989488538,0.006,3.50515960837993,0.05289139971137047,-0.842073917388916,-5.99212646484375,0.035952758789062504
7000,0.0,0.039612919012916185,0.006,3.2779911425782613,0.059608783572912216,-0.8490760922431946,-8.126245498657227,0.04875747299194336
8000,0.0,0.037057806669167435,0.006,3.0972838549544752,0.0591965913772583,-0.7887572050094604,-5.862873077392578,0.03517723846435547
9000,4.0,0.04079306051249673,0.006,3.2766079725629798,0.060193296521902084,-0.8492307066917419,-7.556189060211182,0.045337134361267094
10000,1.0,0.03996998573900172,0.006,3.1781704850383603,0.06215984746813774,-0.8348815441131592,-7.083998680114746,0.042503992080688474
11000,8.0,0.046661073536553306,0.006,3.7094053400764406,0.07498308271169662,-1.0644139051437378,-8.111004829406738,0.04866602897644043
12000,8.0,0.05157302786976801,0.006,3.9968699175984805,0.033817779272794724,-0.7732211351394653,-6.368715286254883,0.038212291717529295
13000,9.0,0.056072642752989954,0.006,4.2400222644572425,0.037514280527830124,-0.859416127204895,-6.363841533660889,0.03818304920196533
14000,13.0,0.06198822285925862,0.006,4.619621605469721,0.0333738848567009,-0.888742983341217,-7.467734336853027,0.04480640602111816
15000,5.0,0.0625949153721843,0.006,4.570288048781574,0.04496490955352783,-1.0073981285095215,-6.378604888916016,0.03827162933349609
16000,0.0,0.06061461850905733,0.006,4.435868576144404,0.03331748768687248,-0.8511208295822144,-6.906374454498291,0.041438246726989744
17000,0.0,0.05881111041532774,0.006,4.313865512490287,0.026911629363894463,-0.7471649050712585,-6.580896377563477,0.03948537826538086
18000,9.0,0.061349126058422174,0.006,4.421416594737088,0.05141883343458176,-1.0503491163253784,-7.960152626037598,0.04776091575622559
19000,8.0,0.06312059644242214,0.006,4.467821941490387,0.036884378641843796,-0.9024361968040466,-7.396208763122559,0.04437725257873535
20000,0.0,0.06152844291434949,0.006,4.363491688406642,0.04794047400355339,-0.9904284477233887,-5.838044166564941,0.03502826499938965
21000,1.0,0.06044333042999469,0.006,4.276634164288673,0.10816990584135056,-1.4440937042236328,-6.25718879699707,0.03754313278198242
22000,0.0,0.0590585179402372,0.006,4.186620827090839,0.03844707831740379,-0.8582460880279541,-6.222766876220703,0.03733660125732422
23000,26.0,0.06677125049467711,0.006,5.013925920062328,0.04621163010597229,-1.1166644096374512,-6.471042156219482,0.038826252937316896
24000,31.0,0.0745143682241902,0.006,5.746909020101788,0.03247840702533722,-1.0749903917312622,-6.549306392669678,0.03929583835601807
25000,20.0,0.0782451231194101,0.006,5.927648646125125,0.0409654825925827,-1.238256573677063,-6.417428970336914,0.038504573822021486
26000,38.0,0.08561754947055811,0.006,6.543908046677303,0.03204290196299553,-1.2076776027679443,-6.047204971313477,0.03628322982788086
27000,11.0,0.08638441281884261,0.006,6.497646695416725,0.01994093880057335,-0.9542845487594604,-6.122724533081055,0.03673634719848633
28000,17.0,0.08829318535789243,0.006,6.524140464705533,0.028248747810721397,-1.142337679862976,-7.633610248565674,0.045801661491394044
29000,0.0,0.08676932625799738,0.006,6.41481137197315,0.017549799755215645,-0.9019225239753723,-8.686037063598633,0.0521162223815918
30000,4.0,0.08608810948271935,0.006,6.3261224826956735,0.048770722001791,-1.4360301494598389,-6.4938859939575195,0.03896331596374512
31000,4.0,0.08544577562837358,0.006,6.242379025940448,0.01724231243133545,-0.8567266464233398,-6.173319339752197,0.037039916038513185
32000,18.0,0.0873420903045779,0.006,6.289806080997542,0.06878158450126648,-1.6934013366699219,-7.303575038909912,0.04382145023345947
33000,28.0,0.09074326154738493,0.006,6.473288100232693,0.047695379704236984,-1.4612611532211304,-7.923711776733398,0.04754227066040039
34000,10.0,0.09101325826478474,0.006,6.427307075177244,0.03168037161231041,-1.1800087690353394,-6.002264976501465,0.03601358985900879
35000,12.0,0.09157433694989836,0.006,6.397806332534995,0.061093781143426895,-1.6171908378601074,-5.972503662109375,0.03583502197265625
36000,52.0,0.09784420346882428,0.006,6.973746484070883,0.028857402503490448,-1.2208571434020996,-6.032387733459473,0.036194326400756836
37000,15.0,0.09856379337659886,0.006,6.9482229865435015,0.043575529009103775,-1.483594298362732,-5.5283308029174805,0.03316998481750488
38000,27.0,0.10078736430225858,0.006,7.026615015524574,0.0812564268708229,-2.0409486293792725,-6.329339981079102,0.03797603988647461
39000,48.0,0.10537990223420303,0.006,7.35376922930759,0.027103275060653687,-1.2470585107803345,-6.067008972167969,0.03640205383300781
40000,23.0,0.10673546358394496,0.006,7.366128032697058,0.05892159789800644,-1.8263020515441895,-6.377506256103516,0.038265037536621097
41000,59.0,0.1119034209490815,0.006,7.772777250874776,0.028842894360423088,-1.355751395225525,-5.947567462921143,0.03568540477752686
42000,30.0,0.11368403823841985,0.006,7.811481112322332,0.040747109800577164,-1.6149451732635498,-6.354399681091309,0.03812639808654785
43000,37.0,0.11603931095764211,0.006,7.899809510003112,0.04246487095952034,-1.672498106956482,-7.43065881729126,0.04458395290374756
44000,25.0,0.11711507087082638,0.006,7.896402094414606,0.1008470356464386,-2.5386157035827637,-5.16686487197876,0.031001189231872558
45000,18.0,0.1174917306127224,0.006,7.857691941179988,0.024987278506159782,-1.2773956060409546,-5.883587837219238,0.03530152702331543
46000,0.0,0.11622553482677182,0.006,7.773872369189395,0.015548879280686378,-1.0044528245925903,-5.848102569580078,0.03508861541748047
47000,7.0,0.11562779489969782,0.006,7.704136633735059,0.01638038456439972,-1.0373010635375977,-8.546730995178223,0.051280385971069334
48000,41.0,0.11800751880834534,0.006,7.813557233829373,0.03147426247596741,-1.438096046447754,-8.648978233337402,0.05189386940002442
49000,5.0,0.11723807637845331,0.006,7.7420740962554,0.014718604274094105,-0.9848044514656067,-7.58900785446167,0.04553404712677002
50000,22.0,0.11790448689240174,0.006,7.725797530639823,0.05457843840122223,-1.8476712703704834,-7.128037929534912,0.042768227577209474
51000,56.0,0.12124027233896476,0.006,7.946096726109147,0.036342669278383255,-1.5517466068267822,-6.153729438781738,0.03692237663269043
52000,12.0,0.121015232860204,0.006,7.8915949132846315,0.02309465780854225,-1.239311695098877,-6.671965599060059,0.040031793594360356
53000,28.0,0.12200442350734583,0.006,7.897925701704497,0.06578385829925537,-2.065523147583008,-6.639042377471924,0.039834254264831545
54000,34.0,0.12338614860639079,0.006,7.9335728295854,0.025371700525283813,-1.3156137466430664,-8.652493476867676,0.051914960861206054
55000,38.0,0.12498427029457644,0.006,7.987557794676333,0.019329048693180084,-1.1511396169662476,-6.772984504699707,0.04063790702819824
56000,20.0,0.12526939055106107,0.006,7.958070787436699,0.038967397063970566,-1.6068274974822998,-5.981919288635254,0.03589151573181153
57000,8.0,0.12472942186017247,0.006,7.8994374245189,0.021509746089577675,-1.1964404582977295,-6.315517425537109,0.03789310455322266
58000,14.0,0.12460839440497976,0.006,7.854967473904782,0.018597813323140144,-1.1068042516708374,-5.932074546813965,0.03559244728088379
59000,8.0,0.12409509236637105,0.006,7.799409822177986,0.017368528991937637,-1.0655345916748047,-6.275432586669922,0.03765259552001953
60000,0.0,0.12307290050157015,0.006,7.735804096216373,0.016057901084423065,-1.0342645645141602,-8.997539520263672,0.053985237121582035
61000,3.0,0.12227072666323142,0.006,7.67629690524074,0.01310053188353777,-0.9154345989227295,-6.13741397857666,0.036824483871459965
62000,0.0,0.12129572331024017,0.006,7.615669746180928,0.010933837853372097,-0.8375405669212341,-6.868018627166748,0.04120811176300049
63000,0.0,0.120343671396079,0.006,7.556593816768675,0.011241525411605835,-0.8403789401054382,-6.5305094718933105,0.039183056831359864
64000,0.0,0.11941368464345348,0.006,7.498900685239509,0.009489739313721657,-0.7857205867767334,-9.202165603637695,0.055212993621826176
