step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,4.0,0.06315051850925683,0.09501109637160775,9079.837716892025,2.223872996864884e-08,-1.9470980167388916,-6.241934776306152,0.5930530665769137
2000,0.0,0.0446877891515079,0.1342648655017999,6422.204301065032,4.202227543714798e-08,-2.2369470596313477,-6.855388641357422,0.9204378338944209
3000,5.0,0.05469915294082859,0.10969091251724805,5244.213904037221,6.554954268267466e-08,-2.0056586265563965,-6.044266223907471,0.6630010775975916
4000,15.0,0.07723659348290303,0.07768338464238653,4541.847816195675,8.502038184587946e-08,-1.8061158657073975,-6.201999187469482,0.48179228843196054
5000,0.0,0.06912246800510409,0.08680245617903794,4062.475202121447,1.1031888647039523e-07,-1.8584468364715576,-5.865326404571533,0.5091247382085746
6000,0.0,0.06312419592109769,0.09505071569544776,3708.589482610936,1.3569882639785646e-07,-2.073493480682373,-7.441799640655518,0.7073483819064329
7000,0.0,0.0584577155975976,0.10263829057744737,3433.538324130579,1.6040240780057502e-07,-1.9771207571029663,-5.86505651473999,0.6019793748130339
8000,7.0,0.06213265593362866,0.0965675764192234,3211.824609924971,1.8215308728031232e-07,-1.9504008293151855,-6.0021538734436035,0.5796134528537029
9000,0.0,0.05859148135267654,0.1024039649020738,3028.1713938713733,1.8795702771967626e-07,-2.024782180786133,-6.9523515701293945,0.7119483661744083
10000,0.0,0.05559405606633678,0.10792520683938926,2872.8005443939824,2.2251295206388022e-07,-1.9895319938659668,-5.878100872039795,0.6343952524376892
11000,0.0,0.053014103491262635,0.11317743024719587,2739.1274052713675,2.497583011518145e-07,-2.3765203952789307,-8.90300178527832,1.0076188635439973
12000,1.0,0.05157302786976795,0.11633988245078768,2622.532888740253,2.503234668438381e-07,-2.348957061767578,-8.912184715270996,1.0368425221543343
13000,0.0,0.04955469894463811,0.12107832612812611,2519.6648183203442,2.7721290507543017e-07,-2.0524306297302246,-5.994479656219482,0.7258015627841597
14000,0.0,0.04775617970150707,0.12563819043948055,2428.025956124516,3.0723205668437004e-07,-2.155565023422241,-6.445065021514893,0.8097463065679229
15000,0.0,0.046140266042784484,0.13003826190417672,2345.7118073371767,3.329643050165032e-07,-2.127206563949585,-5.949471950531006,0.7736589916947041
16000,0.0,0.04467801201706905,0.13429424741879126,2271.241253622147,3.517687616749754e-07,-2.250209331512451,-6.725038528442383,0.9031339880395453
17000,0.0,0.043346513277306944,0.13841943783610297,2203.4430731313187,3.9668407225690316e-07,-2.233172655105591,-6.107387542724609,0.8453811503111588
18000,0.0,0.042127376838313184,0.1424251982986806,2141.3771037253086,4.317425350564008e-07,-2.2901830673217773,-6.200769424438477,0.8831458148800456
19000,0.0,0.041005639359032155,0.14632133759617635,2084.2786862673397,4.800010628969176e-07,-2.3414716720581055,-6.1333465576171875,0.8974394722514506
20000,0.0,0.03996898642690102,0.15011639114175074,2031.5185850467265,5.623262495646486e-07,-2.4535012245178223,-6.1958441734313965,0.9300977673921648
21000,0.0,0.03900717861601867,0.15381784104570032,1982.574167395593,6.835033445895533e-07,-2.6523499488830566,-6.587475776672363,1.0132713019085908
22000,0.0,0.03811162256584366,0.1574322895760757,1937.0065965603696,8.945065701482235e-07,-2.8704617023468018,-6.596312999725342,1.0384726583071926
23000,0.0,0.03727504567395768,0.16096559753357775,1894.4448721431058,1.3006692825001664e-06,-3.174306869506836,-6.297940254211426,1.0137517162499148
24000,0.0,0.03649124606462298,0.16442299584329065,1854.5727709370742,2.048242322416627e-06,-4.981706619262695,-14.155570983886719,2.327501389043012
25000,0.0,0.035754898077179034,0.16780917643922938,1817.118089201636,3.340993998790509e-06,-4.452665328979492,-6.741389274597168,1.1312669822264048
26000,0.0,0.03506139926907023,0.1711283669529117,1781.8466244063436,5.298192263580859e-06,-5.215989589691162,-6.513064384460449,1.1145700719718876
27000,0.0,0.03440674885264395,0.17438439259973662,1748.5534186827485,7.958801688801032e-06,-6.041447162628174,-6.3568878173828125,1.1085420208589671
28000,0.0,0.03378745020778536,0.1775807278472132,1717.0596475102495,1.1372143490007147e-05,-6.846649646759033,-5.948146820068359,1.056276241649826
29000,0.0,0.03320043203076785,0.18072053985440967,1687.2095058131315,1.552253706904594e-05,-7.7455620765686035,-6.0766987800598145,1.0981842840650422
30000,0.0,0.032642984050213285,0.18380672522985217,1658.8653770247595,2.0453226170502603e-05,-8.755433082580566,-6.81788969039917,1.253173976970642
31000,0.0,0.03211270423293389,0.1868419413226049,1631.9042335324025,2.616477468109224e-05,-9.553430557250977,-6.454617500305176,1.2059932642518782
32000,0.0,0.03160745512890301,0.18982863300858982,1606.2179315517903,3.270967863500118e-05,-10.329341888427734,-6.021220684051514,1.143000091496545
33000,0.0,0.031125327542628194,0.19276905574030034,1581.708999723165,4.006405288237147e-05,-11.227056503295898,-6.3051838874816895,1.2154443442588014
34000,0.0,0.030664610120796285,0.19566529547789321,1558.2899835477062,4.823683048016392e-05,-12.020434379577637,-6.121081352233887,1.1976831914290655
35000,0.0,0.030223763750229046,0.1985192860023772,1535.8830042654085,5.729724944103509e-05,-12.837833404541016,-6.105072975158691,1.211974728020912
36000,0.0,0.02980139989207774,0.2013328240192841,1514.416640611475,6.716023199260235e-05,-13.787018775939941,-6.835299491882324,1.376170149718246
37000,0.0,0.02939626215646652,0.20410758238799195,1493.8270966978791,7.782577449688688e-05,-14.974891662597656,-8.80178451538086,1.7965109581344505
38000,0.0,0.02900721055995499,0.2068451217533862,1474.0570389330453,8.941562555264682e-05,-15.405412673950195,-7.091073513031006,1.4667539641651104
39000,0.0,0.028633208016058804,0.20954690080954,1455.052836648025,0.00010162492253584787,-16.067834854125977,-6.6790056228637695,1.3995649287605942
40000,0.0,0.028273308693883222,0.21221428538705367,1436.7666950762202,0.00011456960783107206,-16.771446228027344,-6.562700271606445,1.3926987483483848
41000,0.0,0.027926647947055287,0.2148485565247607,1419.1541441650393,0.00012839885312132537,-18.147354125976562,-9.618223190307617,2.0664613687705704
42000,0.0,0.02759243356861288,0.21745091766117935,1402.175448830872,0.000142831020639278,-18.152830123901367,-6.415982246398926,1.3951612271772813
43000,0.0,0.02726993817035288,0.22002250106027132,1385.7933632884556,0.00015822345449123532,-19.00625228881836,-7.15739107131958,1.5747870845781888
44000,0.0,0.026958492519665624,0.22256437356885342,1369.9735678910736,0.00017565081361681223,-19.474756240844727,-5.922075271606445,1.318042973052686
45000,0.0,0.02665747969485327,0.22507754178870906,1354.6849550394465,0.00019231026817578822,-20.24359130859375,-6.474947452545166,1.45736525582993
46000,0.0,0.026366329942705297,0.22756295673452287,1339.8985665451914,0.00020939887326676399,-20.840627670288086,-6.378298282623291,1.4514644161284855
47000,0.0,0.026084516140741275,0.23002151803876592,1325.5874377942257,0.00022786516638007015,-21.436038970947266,-6.199535846710205,1.4260266465960274
48000,0.0,0.0258115497818519,0.23245407775625315,1311.7261539620697,0.0002465267607476562,-22.38191795349121,-7.684443473815918,1.7862802207759374
49000,0.0,0.025546977411719872,0.2348614438139932,1298.2924846538485,0.0002649793750606477,-22.927217483520508,-7.635858535766602,1.793368760469548
50000,0.0,0.02529037745989262,0.23724438314593171,1285.264363274706,0.0002854322665371001,-23.568727493286133,-7.816915988922119,1.854519411895399
51000,0.0,0.025041357414112928,0.23960362454706594,1272.621999541056,0.00030566283385269344,-23.681053161621094,-5.9745707511901855,1.431528807098055
52000,0.0,0.024799551294813444,0.2419398612770399,1260.3467839976147,0.0003269311273470521,-24.309619903564453,-6.286652565002441,1.5209918494736376
53000,0.0,0.024564617392805476,0.24425375343958297,1248.421399762834,0.00034832058008760214,-25.047121047973633,-7.154025554656982,1.7473975939276625
54000,0.0,0.024336236238348994,0.24654593016093473,1236.8293319401419,0.00037043815245851874,-25.399368286132812,-6.466941833496094,1.5943981896359551
55000,0.0,0.024114108774145982,0.24881699158763515,1225.5559392742834,0.00039272839785553515,-26.11380958557129,-7.3407697677612305,1.8265082495518126
56000,0.0,0.023897954708492777,0.2510675107216493,1214.5861637340386,0.00041560878162272274,-26.579944610595703,-7.244276523590088,1.8188024737570467
57000,0.0,0.023687511027965062,0.2532980351087332,1203.906748645873,0.00043510989053174853,-26.656558990478516,-6.095272541046143,1.5439205580992035
58000,0.0,0.02348253065168763,0.25550908839413333,1193.5059226478004,0.0004629676404874772,-28.163867950439453,-9.720117568969727,2.4835783791312545
59000,0.0,0.023282781211531108,0.25770117175814117,1183.3710587060614,0.00048671136028133333,-27.778390884399414,-6.485828399658203,1.6714055784141484
60000,0.0,0.023088043944542124,0.25987476524265557,1173.4914159847308,0.0005116871325299144,-28.28943634033203,-6.712737083435059,1.7444709736933544
61000,0.0,0.02289811268560358,0.2620303289786978,1163.855916374891,0.0005361579824239016,-28.639493942260742,-6.450815677642822,1.6903093541936902
62000,0.0,0.02271279294977913,0.26416830432376864,1154.4552514950647,0.0005611611995846033,-29.057456970214844,-6.472207546234131,1.7097520927201697
63000,0.0,0.022531901095055196,0.26628911491701635,1145.2799153897636,0.0005875036586076021,-29.331464767456055,-5.901953220367432,1.5716258993332777
64000,0.0,0.022355263557286932,0.2683931676593559,1136.3213276202875,0.0006133549613878131,-29.822765350341797,-6.261811256408691,1.68062735839254
65000,0.0,0.022182716150102772,0.2704808536249607,1127.5709186035076,0.0006400555139407516,-30.489023208618164,-7.254666328430176,1.9622483412780536
66000,0.0,0.02201410342334782,0.27255254890991804,1119.0203008166545,0.0006679909420199692,-31.04325294494629,-7.7841572761535645,2.121591906731339
67000,0.0,0.021849278074368657,0.27460861542325227,1110.6632607354322,0.0006952510448172688,-30.998149871826172,-6.236553192138672,1.7126112371066649
68000,0.0,0.021688100407071226,0.2766494016250381,1102.4910998670716,0.0007239297265186906,-31.86870574951172,-7.970890522003174,2.2051420933308656
69000,0.0,0.021530437834237335,0.278675243215858,1094.4980822745827,0.0007514217868447304,-31.631650924682617,-5.846199035644531,1.6291909381465544
70000,0.0,0.021376164419069525,0.2806864637814744,1086.677208494943,0.0007791343377903104,-32.18832015991211,-6.612088203430176,1.855923656032018
71000,0.0,0.021225160452362165,0.28268337539621546,1079.0231127234458,0.000807515112683177,-32.635833740234375,-6.981091499328613,1.973438508980039
72000,0.0,0.021077312062071946,0.284666279188267,1071.5299311310505,0.0008358057821169496,-32.65420150756836,-5.887401580810547,1.6759447020964595
73000,0.0,0.020932510852394615,0.286635465869763,1064.191345128618,0.0008654991979710758,-33.10389709472656,-6.266017913818359,1.796062963875606
74000,0.0,0.02079065356974782,0.2885912162343234,1057.002208914375,0.0008950523915700614,-33.3212776184082,-5.885458946228027,1.6984917553891257
75000,0.0,0.020651641793321667,0.2905338016244443,1049.958159812974,0.0009255257318727672,-33.74123764038086,-6.19181489944458,1.7989315216905102
76000,0.0,0.02051538164808923,0.29246348437094905,1043.053994195731,0.0009566043736413121,-34.087589263916016,-6.246761322021484,1.8269495822720794
77000,0.0,0.02038178353837594,0.2943805182065088,1036.285757937108,0.0009867913322523236,-35.284725189208984,-9.279274940490723,2.73163776556233
78000,0.0,0.020250761900269316,0.2962851486550837,1029.6482213859103,0.0010183185804635286,-35.39874267578125,-8.57798957824707,2.541530917352692
79000,0.0,0.020122234971314813,0.29817761339897286,1023.1373755921471,0.001050132093951106,-35.571163177490234,-8.101337432861328,2.4156374610703524
80000,0.0,0.019996124576089062,0.30005814262503006,1016.7495147336622,0.0010814747074618936,-36.36606979370117,-9.762992858886719,2.929465503698981
81000,0.0,0.019872355926373167,0.30192695935146924,1010.4807382566408,0.001113700564019382,-36.08075714111328,-7.812624931335449,2.3588420900715934
82000,0.0,0.019750857434765418,0.3037842797365755,1004.3272344948937,0.0011463644914329052,-36.66468048095703,-8.756757736206055,2.660165341721042
83000,0.0,0.01963156054067803,0.30563031337053215,998.2863285832234,0.0011790860444307327,-36.65700912475586,-7.780753135681152,2.3780340191169813
84000,0.0,0.019514399547757355,0.307465263551475,992.3543136546863,0.0012125596404075623,-36.471317291259766,-6.230706214904785,1.915725728477513
85000,0.0,0.019399311471851387,0.3092893275468083,986.5275896519222,0.0012465451145544648,-36.775123596191406,-6.28648042678833,1.9443413038375352
86000,0.0,0.0192862358987255,0.3111026968407299,980.8029958348853,0.0012815524823963642,-37.36137390136719,-7.231786251068115,2.2498282056830026
87000,0.0,0.019175114850796277,0.3129055573688436,975.1782406804392,0.001315718051046133,-37.3583869934082,-6.346695899963379,1.9859164180285958
88000,0.0,0.01906589266221538,0.31469808974067853,969.6497598037025,0.0013508637202903628,-38.054412841796875,-7.676596641540527,2.4158102988025125
89000,0.0,0.018958515861692452,0.31648046945085984,964.2157013807574,0.0013861500192433596,-38.344173431396484,-7.726937294006348,2.4454247422244855
90000,0.0,0.018852933062496337,0.3182528670796402,958.8727608299475,0.001421441207639873,-38.34758377075195,-6.900672912597656,2.1961589392130154
91000,0.0,0.018749094859121056,0.32001544848343016,953.6185006643994,0.0014594171661883593,-38.8347282409668,-7.51303768157959,2.4042881231436026
92000,0.0,0.018646953730144158,0.32176837497593846,948.450465341441,0.0014953697100281715,-38.622276306152344,-6.046851634979248,1.9456856243078693
93000,0.0,0.01854646394684378,0.3235118035004767,943.3663048635949,0.0015323952538892627,-38.95918655395508,-6.275928497314453,2.0303369468062353
94000,0.0,0.018447581487175253,0.3252458867939516,938.3639647083122,0.0015698831994086504,-39.616424560546875,-7.492178916931152,2.4368003758562207
95000,0.0,0.018350263954739647,0.32697077354302984,933.4413860953139,0.0015996134607121348,-39.58491134643555,-6.886750221252441,2.2517660470405425
96000,0.0,0.018254470502405515,0.32868660853292564,928.5966015235049,0.0016468362882733345,-39.753440856933594,-6.297329902648926,2.0698480085146542
97000,0.0,0.018160161760271222,0.330393532789236,923.8277393223043,0.0016896144952625036,-39.924766540527344,-5.904775619506836,1.9508996772566132
98000,0.0,0.01806729976767952,0.3320916837132111,919.1319596175812,0.0017264371272176504,-40.318603515625,-6.408731460571289,2.1282864212069463
99000,0.0,0.01797584790901741,0.3337811952108339,914.5082379429457,0.0017682670149952173,-40.903053283691406,-7.331991195678711,2.4472807845689513
100000,0.0,0.01788577085305492,0.33546219781604714,909.9543087232639,0.0018075491534546018,-40.86228942871094,-6.484570503234863,2.175328272908278
101000,0.0,0.01779703449559447,0.3371348188084513,905.4690225818134,0.0018465439788997173,-41.10921859741211,-6.525346755981445,2.19992159624012
102000,0.0,0.017709605905219507,0.33879918232577017,901.0496546407189,0.0018847609171643853,-41.497039794921875,-7.021914482116699,2.3790188849026217
103000,0.0,0.01762345327194613,0.34045540947137143,896.6954066947816,0.0019274646183475852,-41.36992645263672,-5.8815202713012695,2.0023953922800453
104000,0.0,0.017538545858596228,0.34210361841709924,892.404835626017,0.0019671160262078047,-41.972984313964844,-6.9946136474609375,2.3928826382260113
105000,0.0,0.01745485395472292,0.34374392450167274,888.1758087963753,0.002007911214604974,-41.82828140258789,-5.903738021850586,2.0293740768606625
106000,0.0,0.017372348832931886,0.34537644032487436,884.0073452634092,0.0020490791648626328,-42.04623031616211,-5.877899169921875,2.030087891896151
107000,0.0,0.01729100270745242,0.3470012758377512,879.897876574651,0.002089407993480563,-42.492774963378906,-6.549276351928711,2.2726072499332757
108000,0.0,0.01721078869482257,0.34861853842903484,875.8456290452872,0.002132224850356579,-43.30571746826172,-8.211419105529785,2.8626529269980465
109000,0.0,0.017131680776562182,0.35022833300796663,871.8498745178384,0.0021754999179393053,-42.9500617980957,-6.524363994598389,2.2850171257653917
110000,0.0,0.017053653763715988,0.3518307620837144,867.9094629059699,0.002218695590272546,-43.284332275390625,-6.830454349517822,2.403163959168877
111000,0.0,0.016976683263157176,0.3534259258415458,864.0226785844254,0.0022628195583820343,-43.9282341003418,-8.000120162963867,2.827449875439123
112000,0.0,0.016900745645548863,0.355013922215924,860.1884677450684,0.0023074334021657705,-43.566932678222656,-6.329696178436279,2.2471302667418085
113000,0.0,0.01682581801486811,0.35659484696067134,856.4054458609501,0.0023520742543041706,-43.65217208862305,-5.939685344696045,2.1180611864864285
114000,0.0,0.01675187817940309,0.358168793716347,852.673006375156,0.0023950356990098953,-44.37468719482422,-7.38655948638916,2.6456351009540455
115000,0.0,0.016678904624139998,0.3597358540749719,848.9893331967407,0.002440423471853137,-44.090728759765625,-5.976920127868652,2.15011246693672
116000,0.0,0.016606876484461748,0.3612961176422255,845.3536624131159,0.0024860615376383066,-44.478553771972656,-6.445858001708984,2.32886347089053
117000,0.0,0.016535773521085425,0.3628496720972358,841.7651058330068,0.0025309529155492783,-44.829917907714844,-6.840059280395508,2.4819132670171644
118000,0.0,0.016465576096170033,0.3643966032500756,838.2227525068193,0.002575281308963895,-44.95138931274414,-6.624392986297607,2.413906302800473
119000,0.0,0.016396265150530588,0.3659369950970717,834.7263248658743,0.0026217615231871605,-45.3125114440918,-7.0282697677612305,2.5719039195461386
120000,0.0,0.016327822181898537,0.3674709298740258,831.2735894045018,0.002670734189450741,-45.22532653808594,-6.165979385375977,2.265818178328184
121000,0.0,0.016260229224172067,0.36899848810744584,827.8640461040243,0.0027191101107746363,-45.50674819946289,-6.33526611328125,2.337703617559116
122000,0.0,0.016193468827603634,0.37051974866387544,824.4972834976655,0.0027666871901601553,-45.630008697509766,-6.104999542236328,2.262022895982479
123000,0.0,0.016127524039874948,0.37203478879740826,821.1717882312578,0.0028146705590188503,-45.86079025268555,-6.168182373046875,2.2947784264203905
124000,0.0,0.01606237838801289,0.37354368419546813,817.8867219961804,0.002861188957467675,-46.43315887451172,-7.186122417449951,2.6843306428938987
125000,0.0,0.015998015861102614,0.3750465090229301,814.641828592292,0.0029104663990437984,-46.62534713745117,-7.136311054229736,2.6764485481906086
126000,0.0,0.015934420893756438,0.3765433359646582,811.4355974365208,0.00296015408821404,-46.487823486328125,-6.21390438079834,2.3398042849112106
127000,0.0,0.015871578350299936,0.3780342362665282,808.26755919784,0.003011532826349139,-48.56584167480469,-11.137063980102539,4.210191475969524
128000,0.0,0.01580947350963884,0.37951927977499533,805.1378049290737,0.003062410745769739,-47.29401779174805,-7.215581893920898,2.738452443538356
129000,0.0,0.015748092050771996,0.3809985349752811,802.0444074510899,0.0031152276787906885,-47.083866119384766,-6.085004806518555,2.318377916601113
130000,0.0,0.015687420038918574,0.38247206902822345,798.986993485688,0.003164757275953889,-47.493160247802734,-6.654625415802002,2.5452083513895936
131000,0.0,0.015627443912228457,0.3839399478058601,795.9656502177984,0.0032162857241928577,-48.404014587402344,-8.498632431030273,3.262964491990953
132000,0.0,0.015568150469047477,0.3854022359257878,792.978678272178,0.0032686912454664707,-48.25530242919922,-7.5732574462890625,2.9187503530414265
133000,0.0,0.015509526855710042,0.3868589967843551,790.0256264673434,0.003323228331282735,-48.19742965698242,-6.86159086227417,2.6544681573240836
134000,0.0,0.015451560554833661,0.388310292588734,787.106069442446,0.003376023843884468,-48.15651321411133,-6.239466667175293,2.422849127128491
135000,0.0,0.01539423937409118,0.3897561843879161,784.2196079635852,0.0034266680013388395,-48.46147537231445,-6.555448532104492,2.5550266068244123
136000,0.0,0.015337551435437783,0.3911967321026781,781.3653890159526,0.003478345926851034,-48.98822021484375,-7.426542282104492,2.9052390715816427
137000,0.0,0.01528148516477125,0.39263199455455644,778.5425801788032,0.0035298506263643503,-48.64847946166992,-6.095480918884277,2.3932808309507743
138000,0.0,0.015226029282004807,0.39406202949387614,775.751412106164,0.0035857325419783592,-48.838043212890625,-6.053069591522217,2.3852848879029125
139000,0.0,0.015171172791533565,0.39548689362686346,772.9908826449979,0.0036381781101226807,-49.20133590698242,-6.515016078948975,2.5766034709925982
140000,0.0,0.015116904973076054,0.3969066426418829,770.259371997352,0.003694550832733512,-49.29713439941406,-6.24479341506958,2.4785999883674052
141000,0.0,0.015063215372873513,0.3983213312348344,767.5577916780934,0.0037483556661754847,-49.40683364868164,-6.060474395751953,2.4140162292305463
142000,0.0,0.0150100937952306,0.3997310131337405,764.8851751063621,0.003802296007052064,-49.51129150390625,-5.869844436645508,2.346358863597759
143000,0.0,0.014957530294381972,0.4011357411225563,762.241031243906,0.003860819386318326,-49.924068450927734,-6.386486053466797,2.561847816226273
144000,0.0,0.014905515166669964,0.4025355670642317,759.6246688591455,0.003922353498637676,-51.12983703613281,-8.832845687866211,3.555534547756079
145000,0.0,0.014854038943019529,0.4039305419230522,757.0355746747998,0.003978692460805178,-50.15567398071289,-5.952094554901123,2.404232779138459
146000,0.0,0.014803092381696947,0.40532071578629114,754.4736851733223,0.004035758785903454,-50.34695053100586,-5.963250637054443,2.4170290166239634
147000,0.0,0.014752666461339959,0.4067061378851936,751.9382799867968,0.004096318036317825,-50.87162780761719,-6.7510833740234375,2.7457070455900143
148000,0.0,0.014702752374247315,0.4080868566153187,749.4290494943497,0.004155049566179514,-51.129764556884766,-6.914727687835693,2.8218094864797787
149000,0.0,0.014653341519916306,0.4094629195562672,746.9449429770132,0.00421069236472249,-50.99540328979492,-6.1696953773498535,2.5262614819824765
150000,0.0,0.014604425498817684,0.4108343734908118,744.4866385545475,0.004273036494851112,-51.1574592590332,-6.064520835876465,2.491513618129282
151000,0.0,0.014555996106397632,0.41220126442345556,742.0529141413208,0.004333266988396645,-51.31769943237305,-5.992631912231445,2.470170451446152
152000,0.0,0.014508045327297091,0.4135636375984376,739.6435435094232,0.004389298148453236,-51.48223114013672,-5.995523452758789,2.479530488429669
153000,0.0,0.014460565329779136,0.4149215375172086,737.2586872278794,0.004453406203538179,-52.55745315551758,-8.09151840209961,3.357345256247957
154000,0.0,0.01441354846035577,0.4162750079553902,734.8970124370563,0.004513419698923826,-51.86628341674805,-5.992284774780273,2.4944383922926217
155000,0.0,0.014366987238605501,0.41762409197924344,732.559097359136,0.004575161263346672,-52.26563262939453,-6.501976013183594,2.7153818285766196
156000,0.0,0.014320874352174046,0.4189688319616562,730.2430752563988,0.004634373355656862,-53.17911911010742,-8.274884223937988,3.4669185779212346
157000,0.0,0.014275202651950291,0.4203092695976736,727.949392651089,0.004699722398072481,-52.96025848388672,-7.270931243896484,3.056039800417036
