step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,9.0,1.0,0.006,1.2750537973903957,0.27600181102752686,-0.7073122262954712,-6.241934776306152,0.037451608657836914
2000,0.0,1.0,0.006,1.2567644621675866,0.31456851959228516,-0.7460063695907593,-6.855388641357422,0.041132331848144535
3000,0.0,1.0,0.006,1.2448291472644781,0.317152738571167,-0.7373075485229492,-6.044266223907471,0.036265597343444825
4000,0.0,1.0,0.006,1.2431844840111141,0.3469230830669403,-0.7694535851478577,-6.202617168426514,0.037215703010559084
5000,0.0,1.0,0.006,1.2414580522593945,0.36627575755119324,-0.7865313291549683,-5.865326404571533,0.0351919584274292
6000,0.0,1.0,0.006,1.2395945273897981,0.37085744738578796,-0.7995399236679077,-7.441799640655518,0.0446507978439331
7000,0.0,1.0,0.006,1.237566056695048,0.3814171254634857,-0.7994984984397888,-5.86505651473999,0.035190339088439944
8000,0.0,1.0,0.006,1.2375787637125835,0.3935028612613678,-0.8123436570167542,-6.0021538734436035,0.036012923240661625
9000,0.0,1.0,0.006,1.2363697769635114,0.39975085854530334,-0.823419451713562,-6.9523515701293945,0.04171410942077637
10000,0.0,1.0,0.006,1.2358931961832043,0.3900662660598755,-0.8071492314338684,-5.878100872039795,0.03526860523223877
11000,0.0,1.0,0.006,1.2364500066936444,0.3891271650791168,-0.8247162103652954,-8.90300178527832,0.053418010711669926
12000,0.0,1.0,0.006,1.2361631277810032,0.3977949619293213,-0.8331333994865417,-8.912184715270996,0.05347310829162598
13000,0.0,1.0,0.006,1.2352635843793343,0.3992110788822174,-0.8164453506469727,-5.994479656219482,0.03596687793731689
14000,0.0,1.0,0.006,1.234533951198174,0.3891409933567047,-0.8087869882583618,-6.445065021514893,0.038670390129089356
15000,0.0,1.0,0.006,1.2341768339159727,0.39948928356170654,-0.8157603144645691,-5.949471950531006,0.035696831703186035
16000,0.0,1.0,0.006,1.23396960670256,0.39004310965538025,-0.8110066056251526,-6.725038528442383,0.0403502311706543
17000,0.0,1.0,0.006,1.2338800983799494,0.39603739976882935,-0.8131435513496399,-6.107387542724609,0.03664432525634766
18000,1.0,1.0,0.006,1.2358449482974927,0.4157648980617523,-0.834075391292572,-6.200769424438477,0.03720461654663086
19000,0.0,1.0,0.006,1.23609164271571,0.3919309079647064,-0.8106476664543152,-6.1333465576171875,0.036800079345703125
20000,4.0,1.0,0.006,1.2421591925961257,0.396565705537796,-0.819405734539032,-6.1958441734313965,0.03717506504058838
21000,0.0,1.0,0.006,1.2418123085878678,0.39864495396614075,-0.8235844969749451,-6.587475776672363,0.03952485466003418
22000,0.0,1.0,0.006,1.2411431914931,0.38743361830711365,-0.8121171593666077,-6.596312999725342,0.03957787799835205
23000,0.0,1.0,0.006,1.2405353004834665,0.39546242356300354,-0.8179081678390503,-6.297940254211426,0.037787641525268555
24000,0.0,1.0,0.006,1.240550974803674,0.3988346457481384,-0.8683830499649048,-14.155570983886719,0.08493342590332031
25000,7.0,1.0,0.006,1.249097631551781,0.4010782539844513,-0.8315110206604004,-6.741389274597168,0.04044833564758301
26000,0.0,1.0,0.006,1.248653726966295,0.3891493082046509,-0.8180115222930908,-6.513064384460449,0.0390783863067627
27000,1.0,1.0,0.006,1.249056164497058,0.3833908438682556,-0.8115389347076416,-6.3568878173828125,0.03814132690429688
28000,6.0,1.0,0.006,1.2552718670111067,0.3779028654098511,-0.8073522448539734,-5.948146820068359,0.03568888092041016
29000,7.0,1.0,0.006,1.2620067325786568,0.4988515377044678,-0.9278083443641663,-6.0766987800598145,0.03646019268035889
30000,0.0,1.0,0.006,1.2611840522695734,0.39609748125076294,-0.8346496224403381,-6.81788969039917,0.04090733814239502
31000,5.0,1.0,0.006,1.2649225563922206,0.40985971689224243,-0.8485347628593445,-6.454617500305176,0.03872770500183106
32000,0.0,1.0,0.006,1.2639318780684634,0.38601988554000854,-0.8214145302772522,-6.021220684051514,0.036127324104309085
