step,mean,std,n,ci95_low,ci95_high
10000,44.771959934769306,10.436664448349735,3,32.96176231852414,56.582157551014475
20000,35.9136650367222,4.886821373503086,3,30.3837060711939,41.4436240022505
30000,46.62456319876927,14.58308032879725,3,30.122254306017016,63.126872091521534
40000,71.96026487285758,28.929040364770497,3,39.2239739585419,104.69655578717325
50000,77.22545153103039,46.914336380685135,3,24.136882244077597,130.3140208179832
60000,49.68368292953889,21.624311464952523,3,25.213470920690813,74.15389493838697
70000,82.40682627371324,9.169158381737908,3,72.0309467962334,92.78270575119308
80000,100.04505092778662,19.937972968409845,3,77.48311056938908,122.60699128618415
90000,125.92172235471237,52.36536387310619,3,66.66473477514526,185.17870993427948
100000,151.65708384447063,28.502631625368046,3,119.40331984309343,183.91084784584785
110000,189.56363669716436,5.712602704156113,3,183.09921818748924,196.02805520683947
120000,139.225901438671,89.17418355976854,3,38.31581322799596,240.13598964934604
130000,85.37567254539186,42.60857830894041,3,37.15952719874203,133.5918178920417
140000,212.47542407271496,8.941039059261199,3,202.3576859096241,222.5931622358058
150000,194.2117209484027,80.20989483997262,3,103.44568036844436,284.97776152836104
160000,198.7122354828778,23.48522435620687,3,172.13620229896958,225.288268666786
170000,207.09250537775668,12.743737961382662,3,192.67160831448348,221.51340244102988
180000,121.69428206657476,78.44423931672185,3,32.92626880224057,210.46229533090894
190000,154.55008403428218,66.22031440432467,3,79.61474399385152,229.48542407471285
200000,157.11001738145748,65.53755880225775,3,82.94728803708918,231.27274672582578
210000,60.41344191428635,44.31176072641121,3,10.26996422631315,110.55691960225955
220000,189.7759989082433,57.243681454324665,3,124.99867531000663,254.55332250648
230000,87.50643968355887,85.16077190012581,3,-8.862045695071686,183.87492506218942
240000,94.05876556847909,95.15804509640577,3,-13.62269941737901,201.7402305543372
250000,218.50516378923726,8.651282716839972,3,208.71531579464715,228.29501178382736
260000,207.0244547760353,1.3946637013864072,3,205.44624422772338,208.6026653243472
270000,194.7498360649944,29.58157920133694,3,161.27512794370003,228.2245441862888
280000,236.58139199968198,21.193703444599002,3,212.5984588375079,260.56432516185606
290000,189.59624797797255,13.368349192111301,3,174.46853676878726,204.72395918715785
300000,165.86590871918082,120.85375903857587,3,29.10700610472091,302.62481133364076
310000,275.67892004239974,85.00206231059367,3,179.49003147127831,371.86780861352116
320000,213.35412846428437,34.930526581704875,3,173.8265165715143,252.88174035705444
330000,228.84460390585227,42.680135599358145,3,180.54748386226754,277.141723949437
340000,142.0742864312165,89.62197376985992,3,40.657475895801454,243.49109696663157
350000,191.8114052491658,130.21280430400006,3,44.46174592013881,339.1610645781928
360000,322.25450870889773,89.11203613334224,3,221.41474693164096,423.0942704861545
370000,85.78857089239591,99.0268379420126,3,-26.270845331528207,197.84798711632004
380000,214.7030448854695,180.39037844145517,3,10.572115122779962,418.833974648159
390000,115.75646721009343,91.99023052305833,3,11.659721873698658,219.8532125464882
400000,96.24500810773263,73.95880727490699,3,12.552739021074672,179.9372771943906
410000,161.3808679338818,110.07204070893442,3,36.82262816011452,285.9391077076491
420000,202.81065343257038,126.93357106633107,3,59.17179584085076,346.44951102429
430000,265.3292721515124,116.66276190940616,3,133.31292924562268,397.3456150574021
440000,223.28155270301582,159.08429604086496,3,43.26072486266625,403.3023805433654
450000,347.96991650914106,109.24534026733582,3,224.3471763514662,471.5926566668159
460000,209.60284127058648,20.54801711079263,3,186.35057097853732,232.85511156263564
470000,199.8805410702353,48.56133219188409,3,144.9282205723807,254.8328615680899
