step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,3.6332525924351087,1.0,0.006,0.7569777752093346,0.36924734711647034,-0.5057037472724915,-2.73262357711792,0.04572070867224233
2000,8.355454864037501,1.0,0.006,0.8065350436616362,0.3620493412017822,-0.503661036491394,-3.0607662200927734,0.01836459732055664
3000,8.2858357537664,1.0,0.006,0.8225737821440566,0.46489042043685913,-0.5744144916534424,-2.2600131034851074,0.013560078620910646
4000,12.120945437656896,1.0,0.006,0.8434288411491881,0.4315735101699829,-0.5671148896217346,-2.1717653274536133,0.01303059196472168
5000,18.66655576954652,1.0,0.006,0.8829494576936215,0.60904461145401,-0.724378228187561,-5.106533050537109,0.03531289605578032
6000,27.545135086199934,1.0,0.006,0.9658847868097815,0.35661742091178894,-0.5891181826591492,-0.13465595245361328,0.012316385233857668
7000,24.4327241715083,1.0,0.006,1.008392901346464,0.5225091576576233,-0.7518455982208252,-3.821807384490967,0.0229308443069458
8000,25.922419316534445,1.0,0.006,1.0430360758693014,0.5119554400444031,-0.7723774313926697,-1.7207374572753906,0.02607406668618782
9000,24.508332779232823,1.0,0.006,1.0588019689314443,0.5543390512466431,-0.8376980423927307,-0.6178545951843262,0.04937812413917046
10000,33.803455188498134,1.0,0.006,1.1004665795248993,0.7095109820365906,-0.9783805012702942,-1.6359186172485352,0.05143028016485801
11000,30.417458838483427,1.0,0.006,1.1187202504400149,0.5882585048675537,-0.945620059967041,-6.421013832092285,0.08758385414289475
12000,29.60586950561159,1.0,0.006,1.1312825108580846,0.6910020709037781,-1.0156686305999756,-2.2568297386169434,0.0752726416935855
13000,45.659751712230424,1.0,0.006,1.1858178253564486,0.8377751111984253,-1.1448559761047363,-1.8508667945861816,0.05947630288068251
14000,39.449569333018026,1.0,0.006,1.21145157717195,0.2594439685344696,-0.6169901490211487,0.011748790740966797,-7.049274444580078e-05
15000,44.4055594177422,1.0,0.006,1.2417744912048194,0.7907515168190002,-1.165737271308899,-1.8970837593078613,0.06149916255064681
16000,49.405369855910365,1.0,0.006,1.2888464769591255,0.7114967107772827,-1.138405203819275,-0.2513103485107422,0.051259692200453115
17000,53.1058593692236,1.0,0.006,1.3358755936558164,0.9414085745811462,-1.4048254489898682,-3.7920541763305664,0.10867594001968327
18000,53.17096349555665,1.0,0.006,1.3766140087569192,0.5763553977012634,-1.1073652505874634,-1.7623145580291748,0.062266521395813734
19000,55.80617323340024,1.0,0.006,1.413079219294356,0.7644387483596802,-1.308985948562622,-1.958730697631836,0.07349982243367766
20000,51.809311396963004,1.0,0.006,1.4379802260042687,0.7750978469848633,-1.3433144092559814,-2.5409975051879883,0.07732175330211852
21000,53.885841674435014,1.0,0.006,1.4710017098827535,0.6235308647155762,-1.2362676858901978,-3.840257167816162,0.0747063439112976
22000,63.33126026658917,1.0,0.006,1.514810724924889,0.8953748941421509,-1.5542629957199097,-5.216374397277832,0.12088478323775023
23000,68.32727330733593,1.0,0.006,1.5624576112736428,0.9260913729667664,-1.6057806015014648,-4.038499355316162,0.10217085299430065
24000,69.52139315199022,1.0,0.006,1.6066263769712934,0.7548252940177917,-1.4741750955581665,-1.7134287357330322,0.0783270779226797
25000,69.39236177999778,1.0,0.006,1.6458614722094251,0.9434231519699097,-1.7189058065414429,-4.180429935455322,0.12028092717885283
26000,71.27297035354188,1.0,0.006,1.6811160498814806,0.9060730934143066,-1.7038952112197876,-1.0712342262268066,0.1036765951190952
27000,70.84179528758952,1.0,0.006,1.7098228603294212,0.8226483464241028,-1.641319990158081,-4.377567291259766,0.09051117221557281
28000,79.44821131419498,1.0,0.006,1.754222095853549,0.940552830696106,-1.8275983333587646,-1.967326283454895,0.12631677258930293
29000,76.17530955571895,1.0,0.006,1.7889083550091183,0.41075748205184937,-1.1648352146148682,0.1636338233947754,0.01831731699683947
30000,74.39429200040375,1.0,0.006,1.8158015080503886,0.7092729806900024,-1.6006507873535156,1.0164443254470825,0.07141277578255267
31000,77.57548133610516,1.0,0.006,1.8458643777007222,0.7513730525970459,-1.7308348417282104,-2.884303092956543,0.13080682356151407
32000,78.53969391064163,1.0,0.006,1.8776084901635703,0.8180191516876221,-1.7983006238937378,-3.749601364135742,0.10010855756265864
33000,70.2753112905095,1.0,0.006,1.8917194051764072,0.5279636383056641,-1.4462065696716309,-1.3821210861206055,0.07166235073184923
34000,87.17124103274445,1.0,0.006,1.9279972823442662,0.941042423248291,-2.0296413898468018,-5.49910306930542,0.15934267247834144
35000,85.82113953763434,1.0,0.006,1.9592723751774899,0.7180566787719727,-1.7351586818695068,-1.2195487022399902,0.0749059360572191
36000,86.12332786088297,1.0,0.006,1.9863189408018196,0.9248367547988892,-2.0105483531951904,-0.4323709011077881,0.1003365097018914
37000,88.50369610265548,1.0,0.006,2.0164121396634833,0.8175593614578247,-1.9213978052139282,-1.2040395736694336,0.09817827903806085
