step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,5.356366962055505,1.0,0.009,6.990518027853411,0.005689280107617378,-0.7535836696624756,-24.367599487304688,0.22630767678926855
2000,13.10587942845942,1.0,0.009,7.1136999430446055,0.005194542929530144,-0.7483537197113037,-26.12599754333496,0.23564681136957416
3000,3.205204807279655,1.0,0.009,7.071214190782725,0.009038327261805534,-0.8848122358322144,-23.58960723876953,0.2125511079224353
4000,15.926336436458534,1.0,0.009,7.149863093815062,0.007292579859495163,-0.8436651825904846,-25.883926391601562,0.23309117451258032
5000,5.528239281833222,1.0,0.009,7.138427193289231,0.012797740288078785,-1.0373681783676147,-25.369632720947266,0.22981865193860523
6000,3.88558029228218,1.0,0.009,7.120040229019683,0.01615719124674797,-1.1346067190170288,-25.50328826904297,0.22957166628096348
7000,6.386499265427395,1.0,0.009,7.118769301396656,0.01779070869088173,-1.1892287731170654,-26.545578002929688,0.2397144512164845
8000,9.429612750075396,1.0,0.009,7.131305033071613,0.024744058027863503,-1.3560667037963867,-25.9249267578125,0.23429504451473404
9000,3.676117654641364,1.0,0.009,7.122006043392373,0.04223222658038139,-1.6910542249679565,-25.270475387573242,0.2274478022586111
10000,10.876837636415376,1.0,0.009,7.138137017366114,0.05903422832489014,-1.9769086837768555,-26.197046279907227,0.2425583185907677
11000,3.862081447064463,1.0,0.009,7.132543858147314,0.08014953136444092,-2.262800693511963,-26.838964462280273,0.24352805262017874
12000,4.706958089140339,1.0,0.009,7.130930806751216,0.11154968291521072,-2.6260828971862793,-26.83199691772461,0.24441927004063166
13000,9.066353396141082,1.0,0.009,7.1396176065531405,0.14666533470153809,-2.9680638313293457,-25.878374099731445,0.23381097841244292
14000,4.002939011480635,1.0,0.009,7.136250321677302,0.18648049235343933,-3.3073229789733887,-24.51145362854004,0.22564859356920536
15000,8.63443579385395,1.0,0.009,7.142940907697251,0.22665095329284668,-3.6375272274017334,-26.17279815673828,0.2369250303161134
16000,10.566636609778605,1.0,0.009,7.1532128281842144,0.26357266306877136,-3.9072694778442383,-25.91291618347168,0.23485805233405949
17000,5.098733446666692,1.0,0.009,7.152288952668226,0.2932782471179962,-4.107598304748535,-25.553369522094727,0.23426364791278945
18000,7.172677235253045,1.0,0.009,7.154315667646334,0.31879717111587524,-4.271061420440674,-25.584108352661133,0.23158279986280525
19000,3.9716459701010116,1.0,0.009,7.152056262048136,0.3351203501224518,-4.365570068359375,-24.87989616394043,0.22527486045352751
20000,3.744189755008817,1.0,0.009,7.150209766267562,0.34965890645980835,-4.445763111114502,-24.118972778320312,0.2177041323869775
21000,4.893599149476892,1.0,0.009,7.149864788569512,0.3592359721660614,-4.525043487548828,-26.332307815551758,0.2396792635475573
22000,7.669618200019395,1.0,0.009,7.153127185810441,0.36768245697021484,-4.574363708496094,-25.940637588500977,0.2369348239945703
23000,3.4377752341939436,1.0,0.009,7.150218762229497,0.3717539608478546,-4.59151554107666,-25.70598602294922,0.2319110441750181
24000,4.357025462288452,1.0,0.009,7.149470288940156,0.3759062886238098,-4.615044116973877,-25.689895629882812,0.23161817475858074
25000,5.74386257239759,1.0,0.009,7.150195503399357,0.37858426570892334,-4.63438606262207,-26.034812927246094,0.23492766044055333
26000,8.240302671906427,1.0,0.009,7.154133680065133,0.3825969398021698,-4.658753871917725,-25.529827117919922,0.23360617702531927
27000,18.284853666367376,1.0,0.009,7.1692954991500315,0.3899286091327667,-4.714250564575195,-26.36127281188965,0.23743716412813798
