step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,30.207599846061484,1.0,0.006,1.4211521279254167,0.26990678906440735,-0.7660496830940247,-1.1346306800842285,0.027724849096005984
2000,29.933955834335816,1.0,0.006,1.517728324686623,0.39750373363494873,-1.012002944946289,-3.774001121520996,0.055107092733333515
3000,31.432780178654067,1.0,0.006,1.5659208144644028,0.37500643730163574,-1.0054755210876465,-3.7115769386291504,0.046540443692368656
4000,33.58917178460017,1.0,0.006,1.6032195844450006,0.42644938826560974,-1.0941131114959717,-3.1114401817321777,0.04716104554019242
5000,31.556057909029644,1.0,0.006,1.613359055477391,0.40370845794677734,-1.085007905960083,-3.458662509918213,0.05991094663521185
6000,40.09646479830364,1.0,0.006,1.6593076668253661,0.30824655294418335,-0.9703571200370789,-4.539386749267578,0.04911013455385413
7000,30.325453287613563,1.0,0.006,1.6390385532154876,0.28494346141815186,-0.9380889534950256,-5.7953362464904785,0.06316856624654622
8000,30.566062415606027,1.0,0.006,1.6231168653059236,0.340728223323822,-1.0062605142593384,-3.3959527015686035,0.05881585538674539
9000,36.46724600199533,1.0,0.006,1.633543894881768,0.2968660593032837,-0.9513548016548157,-3.8097376823425293,0.06131159347332449
10000,42.17116351424798,1.0,0.006,1.6634259134326284,0.7101957201957703,-1.4965813159942627,-3.4916934967041016,0.09476053099010712
11000,61.0013771893231,1.0,0.006,1.7438551075429585,0.40463730692863464,-1.1632782220840454,-1.6080660820007324,0.053992575701162115
12000,51.023713480091175,1.0,0.006,1.7630725918798427,0.5519580841064453,-1.3859061002731323,-3.2610082626342773,0.0760510032165473
13000,59.24641775441209,1.0,0.006,1.8076106683470414,0.522229790687561,-1.3757938146591187,-4.390832901000977,0.06951543358347172
14000,35.403209456769666,1.0,0.006,1.8002856701541152,0.29521164298057556,-1.0427255630493164,-4.184883117675781,0.06456939543455734
15000,33.58444317244509,1.0,0.006,1.7901241893262543,0.2804705798625946,-0.990515947341919,-4.127729415893555,0.042475610379914416
16000,59.890218143930994,1.0,0.006,1.8275257401631377,0.585050642490387,-1.4652875661849976,-3.0667648315429688,0.06743877738309008
17000,59.73649473679001,1.0,0.006,1.8525547703417407,0.6124565005302429,-1.4943493604660034,0.3493509292602539,0.044547336086093056
18000,57.50331272002333,1.0,0.006,1.8761895402027466,0.5358320474624634,-1.4414417743682861,-2.53898286819458,0.06806074792944584
19000,65.06861185930958,1.0,0.006,1.9129330856316018,0.7064242959022522,-1.8119975328445435,-1.5831336975097656,0.20419541089257998
20000,34.71733390492463,1.0,0.006,1.8976611788355884,0.5835137963294983,-1.5363401174545288,-3.606703042984009,0.08675322274212187
21000,36.35065104229349,1.0,0.006,1.8879225409931726,0.2971589267253876,-1.0700315237045288,-2.5446133613586426,0.040881755491040575
22000,61.48876895296419,1.0,0.006,1.9126705518777165,0.5325677990913391,-1.4861348867416382,-3.663318634033203,0.09032070576889817
23000,35.586471400292744,1.0,0.006,1.9038401823017277,0.2747819721698761,-1.0535614490509033,-4.323486328125,0.05557508259757592
24000,34.724596310275366,1.0,0.006,1.8946341846358672,0.27617010474205017,-1.034262776374817,-2.1349916458129883,0.03859670614150225
25000,67.23651180628427,1.0,0.006,1.92305861377218,0.6045796275138855,-1.5981801748275757,-2.5505077838897705,0.10291137565069094
26000,34.15140248303595,1.0,0.006,1.913525093608092,0.3197021186351776,-1.1297404766082764,-3.4193859100341797,0.04779113597913016
27000,69.54217503910454,1.0,0.006,1.9401882573215088,0.6326078176498413,-1.6706043481826782,-4.568068981170654,0.12744370985924833
28000,44.31424116042932,1.0,0.006,1.9392924762192694,0.5769827961921692,-1.5646990537643433,-2.419982433319092,0.09162448898794756
29000,61.72503548291299,1.0,0.006,1.9549645061530936,0.5256131887435913,-1.4797695875167847,-3.082296848297119,0.06243617606895781
30000,62.73727682647138,1.0,0.006,1.9712882799031652,0.5595917701721191,-1.5355421304702759,-3.0151078701019287,0.060902913649595734
31000,61.88216901199376,1.0,0.006,1.984560358329569,0.49216562509536743,-1.4479200839996338,-2.1432175636291504,0.055661310429971946
32000,69.61115145538643,1.0,0.006,2.0052168991080346,0.5905167460441589,-1.6006038188934326,-2.7863359451293945,0.05969323070131733
33000,47.63969557883958,1.0,0.006,2.006417079093281,0.35925284028053284,-1.2371752262115479,-2.55873441696167,0.03457505997742126
34000,74.75390611246914,1.0,0.006,2.033174549782114,0.9354679584503174,-2.260708808898926,-3.3059639930725098,0.2942308445466355
35000,83.7124529290069,1.0,0.006,2.0649003532349735,0.7443013787269592,-1.8574998378753662,-5.187735080718994,0.07605044705121894
36000,91.54187722238774,1.0,0.006,2.1064415662375886,0.6496634483337402,-1.7804392576217651,-3.8590269088745117,0.08261155020299246
37000,73.00434952666812,1.0,0.006,2.1212528810362263,0.8544456362724304,-2.102872848510742,-0.45735597610473633,0.1420665993848489
38000,74.32367347032601,1.0,0.006,2.1319029005503674,0.6107504367828369,-1.714781641960144,-1.0458436012268066,0.04868846723009594
39000,87.54123826482291,1.0,0.006,2.1546107278750433,0.9045840501785278,-2.178931474685669,-0.3170609474182129,0.1296894600319845
40000,103.8185725126222,1.0,0.006,2.1937426227807935,0.8018563985824585,-2.0158045291900635,-1.879664421081543,0.05138628828002141
41000,120.21007861766375,1.0,0.006,2.256373202505647,1.1661745309829712,-2.7490437030792236,-2.363734245300293,0.3123964341469348
42000,108.82170426404198,1.0,0.006,2.3013116409878593,0.9165645837783813,-2.3287758827209473,-2.045097827911377,0.12556029672050226
43000,87.84304881103223,1.0,0.006,2.3163585947036993,0.6556478142738342,-1.9220632314682007,-0.5663695335388184,0.04645946021704976
44000,127.11540841960627,1.0,0.006,2.378733359236643,0.5444889664649963,-1.7768523693084717,-0.29814815521240234,0.021597096364087007
45000,86.50279227024754,1.0,0.006,2.395598560411031,0.4711034595966339,-1.7286142110824585,-5.104846954345703,0.08434781986266798
46000,105.83969904885153,1.0,0.006,2.4210159829464146,1.0214407444000244,-2.651467800140381,-4.048604965209961,0.20463540814590866
47000,76.20916315167734,1.0,0.006,2.4219425894970508,0.4904438555240631,-1.7815206050872803,0.0852503776550293,0.08539326526931806
48000,143.506571285506,1.0,0.006,2.484332009549619,0.6276634931564331,-2.170610189437866,-4.424776077270508,0.20239268209533562
49000,149.31869066514312,1.0,0.006,2.5518953292198767,0.7932354807853699,-2.510979652404785,-2.736083507537842,0.23816541527144353
50000,128.28904339442553,1.0,0.006,2.5911255055780176,0.674385130405426,-2.129128932952881,0.8266572952270508,0.0012721873812121297
51000,112.73446165511263,1.0,0.006,2.6184071903934654,0.4073196053504944,-1.745664358139038,-3.2617619037628174,0.07455505169128894
52000,108.00534985137605,1.0,0.006,2.634827035721802,0.6518586277961731,-2.2216343879699707,-1.3391642570495605,0.09433394994140769
53000,64.83344378696712,1.0,0.006,2.6286728706167564,0.2914822995662689,-1.528859257698059,-3.0719990730285645,0.10966237385369684
54000,146.90768562542678,1.0,0.006,2.6762692180864023,0.9586917757987976,-2.817525625228882,-1.0312824249267578,0.1971152692613123
55000,61.448353991853025,1.0,0.006,2.668083550544355,0.23724965751171112,-1.3462979793548584,0.6901001930236816,0.046720312696192624
56000,141.73770021525294,1.0,0.006,2.711881338492273,1.4272123575210571,-3.423717498779297,-2.7487354278564453,0.1839414623809273
57000,121.4622533133626,1.0,0.006,2.738286672336628,0.40994253754615784,-1.8520569801330566,-3.040010452270508,0.09882076859797587
58000,90.31819238609816,1.0,0.006,2.7357705072974885,0.03702159970998764,-0.5815035104751587,-5.592645645141602,0.055114007190556716
59000,150.40929726515304,1.0,0.006,2.7788613469946353,0.5362975597381592,-2.343064308166504,-4.38015604019165,0.30803926410884425
60000,74.51847668750493,1.0,0.006,2.7728526300840453,0.24587079882621765,-1.4360175132751465,-2.3722057342529297,0.061088507471109915
61000,183.735172076429,1.0,0.006,2.8470885583579166,0.9280774593353271,-2.926440477371216,-2.0073699951171875,0.1836472088725229
62000,104.00481959943471,1.0,0.006,2.8549832831756143,0.9390153884887695,-2.9165396690368652,-1.0099220275878906,0.14998061154188727
63000,83.56223184245931,1.0,0.006,2.850288201741601,0.4970191717147827,-2.221492052078247,-2.351468324661255,0.2120505621555381
64000,87.17917028747958,1.0,0.006,2.8499671314576838,0.30366891622543335,-1.620898723602295,-1.2086496353149414,0.050391220756272476
65000,91.94708840060574,1.0,0.006,2.8504109495873395,0.3012039363384247,-1.5854523181915283,3.0360360145568848,0.02108838648406553
66000,54.93044375424452,1.0,0.006,2.837839911380185,0.12266233563423157,-1.009265422821045,-0.9873380661010742,0.015363671404891883
67000,106.1730238221949,1.0,0.006,2.8491641553647953,0.4065231382846832,-1.9499653577804565,-6.008490562438965,0.1333620196165292
68000,54.7621819761553,1.0,0.006,2.8370625611554865,0.16473083198070526,-1.2140748500823975,-3.265692710876465,0.06259486623547386
69000,59.28186649471648,1.0,0.006,2.8281921114136006,0.2577848434448242,-1.5531086921691895,-0.5002880096435547,0.11716445858569015
70000,86.23963986014651,1.0,0.006,2.8251820542503476,0.03992171213030815,-0.5956470966339111,-0.5138645172119141,0.031163974035120494
71000,75.20942294805172,1.0,0.006,2.8206261017711394,0.49387016892433167,-2.004026174545288,3.326761245727539,0.02180611752325233
72000,97.51587194653418,1.0,0.006,2.824957400566752,0.48627129197120667,-2.055699348449707,0.5658388137817383,0.08576738998484854
73000,95.99967928900357,1.0,0.006,2.827559371844676,0.4266415536403656,-2.0545291900634766,-1.2647557258605957,0.20762941799590373
74000,102.00553631303758,1.0,0.006,2.8344048654486285,0.46911731362342834,-2.013528347015381,-5.436307430267334,0.07218382566648732
75000,89.61916975807354,1.0,0.006,2.8330728169231376,0.06674911826848984,-0.7581008076667786,-0.41694068908691406,0.026152302697823492
76000,113.21894176629728,1.0,0.006,2.841915766399795,0.5406847596168518,-2.362968683242798,-2.4390616416931152,0.2732717028417102
77000,109.38051278019269,1.0,0.006,2.8492133823614365,0.5362200736999512,-2.1451802253723145,4.70423698425293,0.05878544315594482
78000,107.26683944210211,1.0,0.006,2.856310283178666,0.7189173698425293,-2.6723036766052246,-3.8323073387145996,0.25046681775550944
79000,168.63671987732317,1.0,0.006,2.8956807466665393,0.954260528087616,-3.030412435531616,-0.695927619934082,0.201730136362157
80000,117.69910615079033,1.0,0.006,2.9044699082088563,0.7029702663421631,-2.50307297706604,1.3786890506744385,0.06786893149830979
81000,116.71328491537047,1.0,0.006,2.911480868323941,0.4133836328983307,-1.9580156803131104,-2.4618303775787354,0.08608156460907834
82000,85.0053082104324,1.0,0.006,2.908283100775093,0.1884855329990387,-1.3634597063064575,-2.583540439605713,0.10083094803137703
83000,127.52131191418657,1.0,0.006,2.920405939162146,1.0628308057785034,-3.1320550441741943,-0.881220817565918,0.12130105186497928
84000,157.34423229634817,1.0,0.006,2.9515354851363886,0.7351996898651123,-2.5990397930145264,-0.32691097259521484,0.06828170792763569
85000,104.58031144695413,1.0,0.006,2.951318270818969,0.578788161277771,-2.3839972019195557,4.290704250335693,0.1386895582055038
86000,164.95161796144828,1.0,0.006,2.9733524837275835,1.1464606523513794,-3.43216872215271,2.8168797492980957,0.24851394601042517
87000,45.77859748013371,1.0,0.006,2.959358501331323,0.042131755501031876,-0.6362830400466919,0.14026975631713867,0.0288444731317688
88000,189.7752088487882,1.0,0.006,2.993602906494777,0.9597511887550354,-3.0472559928894043,-1.8775739669799805,0.11451611630812264
89000,109.81921780941943,1.0,0.006,2.9957372920699896,0.5197920203208923,-2.427335023880005,2.166299819946289,0.26751028004387767
90000,165.36562830119024,1.0,0.006,3.0159279555733285,1.1048290729522705,-3.2731213569641113,4.346268653869629,0.10305365006391273
91000,175.3262416662116,1.0,0.006,3.0509293239577615,1.8860173225402832,-4.457363605499268,0.6765217781066895,0.2674508694992048
92000,192.93548594104055,1.0,0.006,3.0967926585967973,1.5610885620117188,-4.108076572418213,0.8827357292175293,0.23883444752272343
93000,170.4456311717446,1.0,0.006,3.1185755532451367,1.1905012130737305,-3.4983971118927,7.415330410003662,0.09571619675011672
94000,161.1664551454118,1.0,0.006,3.1423232197708115,0.5362637639045715,-2.4378695487976074,0.7270369529724121,0.1367451558210553
95000,192.75925989694724,1.0,0.006,3.1741989177371406,1.3653205633163452,-3.89982271194458,6.934524059295654,0.1908689183501509
96000,195.87921455203124,1.0,0.006,3.2149196543042904,1.2724652290344238,-3.8419978618621826,-1.3744158744812012,0.21545279548562984
97000,180.61202715844954,1.0,0.006,3.2449342033043895,0.4971669316291809,-2.338576316833496,-0.9429049491882324,0.050571030146794434
98000,190.63020695303658,1.0,0.006,3.279546249148886,0.6163029670715332,-2.7568376064300537,-4.219267845153809,0.1822309322517002
99000,102.77775526537154,1.0,0.006,3.275770897762336,0.025684410706162453,-0.5560982823371887,-1.6481423377990723,0.03111159331081375
100000,136.50810820565422,1.0,0.006,3.282659608640637,0.5342738032341003,-2.530224561691284,-1.6115474700927734,0.1307961563706888
