step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,6.812720193863767,0.019666340786087772,0.009,16.95539988577817,0.005930150859057903,-1.5397939682006836,-23.72563362121582,0.23410144238093103
2000,10.03496541769376,0.04149373415234807,0.009,15.857500058558466,0.0063634831458330154,-1.4942606687545776,-24.345117568969727,0.22928503443953777
3000,8.263749251878831,0.04105397096343486,0.009,14.781399477760395,0.008665774017572403,-1.6014294624328613,-23.85678482055664,0.22542694613793024
4000,10.639622434387135,0.04970613362517845,0.009,14.387663717325621,0.009181367233395576,-1.6073665618896484,-24.09370231628418,0.22874856661906937
5000,16.918051176712467,0.056438962005959555,0.009,14.658890688895479,0.010431312024593353,-1.735962152481079,-25.43181800842285,0.23879401130701022
6000,4.658949732505269,0.052181851562177924,0.009,13.9261366889319,0.013554203324019909,-1.8681166172027588,-24.509538650512695,0.24680066985449564
7000,11.029043750638785,0.056359671652048166,0.009,13.77100626671123,0.01700204238295555,-2.088075876235962,-27.80976104736328,0.29244839178856674
8000,8.60209010174784,0.05565755009744412,0.009,13.499533667988254,0.02316221408545971,-2.2782933712005615,-24.766498565673828,0.2237808532076737
9000,4.199182280664225,0.05296021374267482,0.009,13.095504198182462,0.03026743233203888,-2.5320661067962646,-24.732467651367188,0.2537709600615748
10000,12.995343292194947,0.05243418396396322,0.009,13.20864789987536,0.039570849388837814,-2.928335666656494,-27.19770622253418,0.3008156762363732
11000,4.666436245384458,0.050338561643595216,0.009,12.92652915000033,0.051163047552108765,-3.1893582344055176,-25.102996826171875,0.26547434584569185
12000,14.199045964605912,0.05467906167435076,0.009,13.097039394982891,0.059051208198070526,-3.4344260692596436,-24.73670196533203,0.2517861289446476
13000,4.141905244770689,0.05279851614761884,0.009,12.843125205769358,0.06726117432117462,-3.5836422443389893,-26.4583683013916,0.2528085172448187
14000,7.417720973440814,0.05180513689992222,0.009,12.731299914660585,0.0783902034163475,-3.802277088165283,-25.29286766052246,0.2377357610834929
15000,3.463879066163714,0.050261536072934904,0.009,12.516904150939485,0.08719401806592941,-3.9725184440612793,-26.475170135498047,0.27644803115841776
16000,6.2581049448645345,0.04989986773771069,0.009,12.41069080728614,0.0980660542845726,-4.1343841552734375,-25.086669921875,0.2479141171043444
17000,5.481378343292173,0.04868361217530254,0.009,12.297166257130632,0.11296381801366806,-4.378477096557617,-25.63068962097168,0.24538834968324705
18000,3.5074846386572776,0.04746566946559,0.009,12.14415538190116,0.12579940259456635,-4.530574798583984,-24.785402297973633,0.22325975814275792
19000,14.113013371795114,0.05125448583461118,0.009,12.340140302355794,0.13273285329341888,-4.761477470397949,-25.09296417236328,0.2656535336285495
20000,7.915154364796404,0.05180016883427263,0.009,12.302765825618767,0.14106430113315582,-4.854191780090332,-25.499858856201172,0.23345371721962474
21000,17.90393130734173,0.055363649433395896,0.009,12.557488867080265,0.1442883312702179,-5.020063877105713,-26.16047477722168,0.2500640140400663
22000,9.465658467553324,0.05580507997844668,0.009,12.535590486134792,0.1526559740304947,-5.157678604125977,-26.477256774902344,0.2598716141169369
23000,12.258807341719967,0.05712837301378505,0.009,12.577666078522881,0.15341272950172424,-5.176196575164795,-24.83843231201172,0.24978409410013033
24000,11.424128163321823,0.05825284539240405,0.009,12.5922993448099,0.1595255732536316,-5.246035099029541,-24.05242919921875,0.2165884787647691
25000,7.945509839460319,0.058352762887708666,0.009,12.535172464346672,0.1762780398130417,-5.574155330657959,-27.092121124267578,0.31120294399515663
26000,5.366631172869631,0.05746358359962062,0.009,12.440063642535147,0.16440844535827637,-5.3036394119262695,-27.14812660217285,0.2595280867827077
27000,16.210972677026323,0.059628403809632316,0.009,12.555260860441571,0.1626254767179489,-5.318146705627441,-26.408580780029297,0.25500614642702457
28000,4.92862376037259,0.05872569316717665,0.009,12.458170647181653,0.15501436591148376,-5.146153926849365,-26.667034149169922,0.24114021095511542
29000,7.544576121500487,0.05855615235749412,0.009,12.406437336503592,0.14637324213981628,-5.043125152587891,-26.28659439086914,0.2965771297330615
30000,3.6633146998200012,0.0576790301697655,0.009,12.304961469709527,0.16807544231414795,-5.293947219848633,-26.425249099731445,0.24928197925663312
31000,5.786858800478776,0.05684606918510291,0.009,12.237326821906771,0.16517911851406097,-5.2570085525512695,-26.28070831298828,0.2834852486110224
32000,4.715285993499133,0.0560672895450595,0.009,12.160399279876302,0.1456165313720703,-4.8852949142456055,-27.187740325927734,0.24491887806438603
33000,4.740039270212477,0.055377667332732784,0.009,12.088494706474629,0.16823646426200867,-5.174704074859619,-23.040409088134766,0.21641041176236428
34000,6.9328264264599175,0.05488513156726566,0.009,12.050331827910966,0.2534905672073364,-6.521882057189941,-25.112106323242188,0.4547996470236405
35000,4.547020232628195,0.05419753531152427,0.009,11.983989060464975,0.15841889381408691,-5.024549961090088,-26.297866821289062,0.25469827878471835
36000,13.966583088516458,0.055312834193538794,0.009,12.063279575428481,0.23976291716098785,-6.250535011291504,-28.67681121826172,0.3436787882121005
37000,15.196229179237271,0.05554998498691041,0.009,12.156216540963264,0.18250344693660736,-5.488702297210693,-26.724178314208984,0.29551491307818234
38000,7.087068927939158,0.054996211664662877,0.009,12.121044364711118,0.19799281656742096,-5.6942830085754395,-27.81049919128418,0.30085653507379395
39000,7.151188445071558,0.054338984274568715,0.009,12.088624229694087,0.18810078501701355,-5.499126434326172,-24.57331085205078,0.256219484298393
40000,9.414349042055877,0.05372725023648697,0.009,12.086728596253684,0.3697245121002197,-7.721435546875,-24.049592971801758,0.3721026048148778
41000,12.710859667897513,0.05314446424121224,0.009,12.135275742477365,0.3860347867012024,-8.006524085998535,-28.827049255371094,0.4666711550010555
42000,8.649238275024226,0.05370979545748592,0.009,12.12439970028281,0.15281710028648376,-4.980854511260986,-25.902000427246094,0.24120477001693455
43000,25.10841594930428,0.0533350864795464,0.009,12.397657751850215,0.4348602294921875,-8.827617645263672,-22.88844871520996,0.6521146006527325
44000,19.493557362820212,0.054659586637410454,0.009,12.537499134280575,0.17332684993743896,-5.533462047576904,-28.6283016204834,0.3137821583366187
45000,2.1917430062303276,0.05410707288625416,0.009,12.453950903914956,0.1086263582110405,-4.344878196716309,-26.625782012939453,0.24024099601277915
46000,32.7037882440746,0.0554967828747673,0.009,12.835861191805252,0.48653915524482727,-9.3546781539917,-26.823986053466797,0.40136265607236277
47000,7.994592819691836,0.0555947346043326,0.009,12.801184389930805,0.11064363270998001,-4.520911693572998,-29.008909225463867,0.26283585709845936
48000,2.6356984489911013,0.055108898105204536,0.009,12.722367765309244,0.11563360691070557,-4.544429302215576,-24.226226806640625,0.2181953549662683
49000,40.468944273114715,0.056226204223401376,0.009,13.229050476799857,0.5046992897987366,-9.839550018310547,-24.133750915527344,0.4413421334265648
50000,2.272406105836884,0.05572570687082545,0.009,13.144817661991437,0.09741879254579544,-4.349735260009766,-27.438385009765625,0.24697671423662668
51000,2.313318959340748,0.055228062226275625,0.009,13.063677425230907,0.13912272453308105,-5.066910266876221,-21.525009155273438,0.19426823025767515
52000,3.5979470877131146,0.05484840045059665,0.009,12.99452918404665,0.10188396275043488,-4.3737006187438965,-24.556629180908203,0.22594207200708544
53000,24.172161581749858,0.05476559925791677,0.009,13.159947487123782,0.3205024003982544,-7.7446770668029785,-25.01006507873535,0.2944452547533263
54000,21.65887744562399,0.05549622143836101,0.009,13.278409501878267,0.10987317562103271,-4.6378679275512695,-25.588214874267578,0.23645726608450632
55000,4.860163171240363,0.05505130493331849,0.009,13.218097427969944,0.10936618596315384,-4.592827320098877,-24.48324203491211,0.22152844982207975
56000,21.84688365342531,0.054914597937814724,0.009,13.334872670876237,0.15334126353263855,-5.490151882171631,-26.705787658691406,0.2683742899958505
57000,8.607410270539143,0.05494226548031782,0.009,13.305405304471465,0.1622658669948578,-5.65847110748291,-26.905176162719727,0.298756191726887
58000,7.563318627030137,0.055277543846983496,0.009,13.26874234396523,0.1019120141863823,-4.477338790893555,-26.784610748291016,0.2414699910104715
59000,22.73542939061875,0.054966226496940156,0.009,13.390012877002494,0.5495703816413879,-10.423624992370605,-22.349956512451172,0.49720409064535265
60000,2.787235175653302,0.05453435311109382,0.009,13.321333730930517,0.14614196121692657,-5.3802714347839355,-26.352100372314453,0.28772338824138094
61000,10.366075617599293,0.05482095147962483,0.009,13.30864725593644,0.12150938808917999,-4.95487117767334,-26.89533233642578,0.31571672141927115
62000,4.390845390988974,0.05441468373236483,0.009,13.252447407228633,0.12995849549770355,-5.0162882804870605,-26.44558334350586,0.23881347034478595
63000,20.3440317299879,0.05475357089675507,0.009,13.339683675179568,0.12040168046951294,-4.89392614364624,-26.085548400878906,0.26519704676720685
64000,16.61116196041052,0.05438253867972288,0.009,13.383986493349196,0.5922564268112183,-10.957464218139648,-22.670520782470703,0.6573897531810491
65000,3.5595345490544887,0.05401359071187273,0.009,13.32552571504346,0.22052650153636932,-6.594000816345215,-24.153486251831055,0.3363009106642886
66000,7.226339634134781,0.0539963542482726,0.009,13.291835921020445,0.21363970637321472,-6.412835121154785,-25.766769409179688,0.2691924195225481
67000,9.67384094591562,0.054112340082581825,0.009,13.276947121279226,0.1431979537010193,-5.323188781738281,-24.633438110351562,0.29899202520241874
68000,6.1154006597547665,0.05397365962854464,0.009,13.237780107770803,0.11367219686508179,-4.705511093139648,-25.5338077545166,0.24235293874518044
69000,6.8870252251376485,0.05364256247492379,0.009,13.204531246712952,0.3326355814933777,-8.029550552368164,-26.064550399780273,0.4138934926753401
70000,5.281094347723139,0.05332420074770929,0.009,13.162445811028919,0.15471956133842468,-5.45963191986084,-25.28556251525879,0.28226191611020135
71000,11.192190013605662,0.0530733749553798,0.009,13.162639932681536,0.17161545157432556,-5.703765392303467,-25.665283203125,0.2509453014328327
72000,19.504571607249865,0.05322754846475875,0.009,13.238165150662313,0.17905382812023163,-5.860307216644287,-27.23607635498047,0.25860997984633605
73000,12.741585088943056,0.052934875379977125,0.009,13.248916631021567,0.09768649935722351,-4.362595081329346,-24.401920318603516,0.2216673676455026
74000,6.2388648204675015,0.05293917701885365,0.009,13.214490858600408,0.1224612146615982,-4.853139877319336,-25.059858322143555,0.22880027868336297
75000,8.276369993409572,0.05307330310576179,0.009,13.193701760096092,0.12233791500329971,-4.879311561584473,-26.60062026977539,0.2645722471443515
76000,3.164993618163315,0.05276646719149753,0.009,13.144240403391043,0.133668452501297,-5.089345455169678,-24.909826278686523,0.28371976195109105
77000,7.8215198958945225,0.052905730089089206,0.009,13.122294484943103,0.10778797417879105,-4.529759407043457,-24.549589157104492,0.22156835904875408
78000,10.727236826616268,0.05329958513537247,0.009,13.120109008660721,0.11051379144191742,-4.578237533569336,-24.06907081604004,0.21663925411411228
79000,4.832710762235976,0.05299154565284396,0.009,13.081248713814253,0.1173352599143982,-4.7120747566223145,-25.672988891601562,0.2311934918627745
80000,8.279216397827284,0.052812955382099284,0.009,13.063186932658603,0.11026068031787872,-4.544974327087402,-22.995357513427734,0.20727505818507838
