step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,41.71076470030672,0.048744569408406074,0.006,102.6699806674263,9.676541594672017e-06,-1.2059614658355713,-1.8481637239456177,0.8865845100222401
2000,32.19303623549661,0.03782466965223373,0.006,74.35105716839853,0.00016876919835340232,-1.5622097253799438,-2.553135871887207,0.5963061359552132
3000,39.654844718439556,0.04719180647595114,0.006,62.47485966138691,0.0005795408505946398,-2.0534088611602783,-3.7569479942321777,0.5494105882964823
4000,28.41363495753048,0.042176937799684074,0.006,55.00372567021267,0.001432698336429894,-2.6090359687805176,-4.337364196777344,0.527089848067485
5000,35.84240944113207,0.04104133163743482,0.006,50.523306397831135,0.00237504905089736,-3.2458834648132324,-4.410155296325684,0.7836565551428858
6000,29.16540539769087,0.03865689373061427,0.006,47.026720984897146,0.004730513785034418,-3.8915107250213623,-3.9124367237091064,0.6570722946235875
7000,29.27994061851686,0.036506768176105125,0.006,44.478843296951574,0.00771113159134984,-4.683528423309326,-4.067717552185059,0.7777053430148122
8000,41.52173098046769,0.039461255510266434,0.006,43.11200811797444,0.012328539043664932,-5.333743095397949,-4.020756244659424,0.5468462767523116
9000,38.647495814008394,0.03971156381246274,0.006,41.7976474766944,0.01870504580438137,-6.351535797119141,-2.1561594009399414,0.6350218509454687
10000,33.193887248134274,0.03824260005504488,0.006,40.478887805377674,0.02388744428753853,-7.318194389343262,-0.33550000190734863,1.061953677521885
11000,73.25246895699303,0.04082742700554512,0.006,42.11831773263459,0.03007248044013977,-8.838445663452148,-6.366748809814453,1.5345321204360725
12000,25.15956222690429,0.039598413477830455,0.006,40.650690028330395,0.04364035651087761,-8.98008918762207,6.561054706573486,0.48804882134703403
13000,37.41408086675423,0.03828212767285042,0.006,39.883530452214394,0.050325535237789154,-9.80542278289795,-3.897951364517212,0.8582097751584387
14000,15.636358769353008,0.03754055330391303,0.006,38.57439982955582,0.03390342742204666,-7.4484429359436035,3.0354018211364746,0.3457840514855536
15000,36.51561118181275,0.0384359584817608,0.006,37.942610930834945,0.06557823717594147,-10.228068351745605,5.230451583862305,0.5116303976066139
16000,17.556591521813157,0.037634518512289196,0.006,36.90276192281483,0.04698444902896881,-8.358392715454102,3.125652313232422,0.35938799542415706
17000,25.225840070576883,0.0370440350829603,0.006,36.10070569979081,0.07615923136472702,-10.500758171081543,4.234582424163818,0.5380608358085252
18000,47.46052126870431,0.03675358069617401,0.006,36.28142235096656,0.09303264319896698,-11.954436302185059,-2.552689552307129,0.888147934725106
19000,61.995829795711764,0.039513425613290916,0.006,37.075581476566825,0.08538226783275604,-11.328767776489258,5.452553749084473,0.4951931514540121
20000,42.53643580379492,0.039373153014419786,0.006,36.86000913496207,0.07189016789197922,-10.460371971130371,-3.7384300231933594,0.5773400775992118
21000,26.242815734572673,0.03863186330930732,0.006,36.23645117499512,0.09238885343074799,-11.515581130981445,4.593086242675781,0.5013175895788909
