step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,3.865347481028989,0.01797487353864766,0.500698932910385,902.8036851823693,9.186052238874254e-07,-13.830538749694824,-25.87705421447754,12.96525667932802
2000,9.538858518151821,0.04870578192837745,0.1847829896917501,644.721339484654,1.6018004771467531e-06,-5.38652229309082,-24.139633178710938,4.5705485376228365
3000,4.20634971440591,0.04080648625665134,0.2205531724391738,534.0575627571437,4.154595899308333e-06,-6.8347015380859375,-25.734447479248047,5.746141308684639
4000,4.99409457672639,0.039015489956421824,0.23067761061190079,470.06432121387513,8.11113841336919e-06,-7.231375694274902,-24.660512924194336,5.892629639420929
5000,3.356737033767411,0.035539612973482015,0.2532385483971189,428.5354019524246,2.3753251298330724e-05,-8.452713012695312,-24.948001861572266,6.364146338227737
6000,4.164559340462768,0.0332465658771249,0.2707046506175363,399.6782055655028,4.442075078259222e-05,-9.922159194946289,-26.339923858642578,7.258347912637988
7000,5.951812995283797,0.031970172922687425,0.2815123966255812,378.68725764030006,8.413961040787399e-05,-10.719260215759277,-25.67230987548828,7.245651105223022
8000,13.06874769647118,0.03320107999094166,0.27107551930405555,362.1930535532092,0.00013214428327046335,-10.94112491607666,-24.982379913330078,6.777569972514971
9000,7.898667834928946,0.03225694502947452,0.2790096827761067,348.9832630844095,0.00019362485909368843,-11.918498992919922,-25.252174377441406,7.062426858206088
10000,5.9644946226460736,0.032213444094638735,0.27938645658499656,337.98769226770537,0.0002587870985735208,-12.781074523925781,-25.761852264404297,7.343912502906066
11000,5.257829547838126,0.03132371343588941,0.2873222556584933,329.0845691345732,0.0003692180325742811,-13.926271438598633,-26.433029174804688,7.602895584971576
12000,3.8263278012005184,0.030437901280563597,0.2956839867848258,321.8406518628966,0.0004875513550359756,-14.36255168914795,-24.496379852294922,7.256128883668833
13000,15.854667692861353,0.04029643867793476,0.22334479907595794,313.31693645970967,0.000607389840297401,-13.394750595092773,-25.290149688720703,5.672966087305352
