step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,39.17828810409979,0.043778220359237945,0.1370544519801134,41.29764645921665,4.285537670511985e-06,-2.3792786598205566,-4.8692851066589355,2.2937862357845353
2000,28.8258907291581,0.03361202467139823,0.1785075448045125,41.58126610803612,3.4409375075483695e-05,-2.440262794494629,-3.7880399227142334,2.196349122163627
3000,35.42911243911282,0.0317439165070792,0.18901259391423683,45.773959438624374,0.0008435872732661664,-2.5364770889282227,-4.0945048332214355,1.2069918267842221
4000,34.43449454046586,0.03021436908324567,0.1985810123477671,48.77756506629601,0.00026707511278800666,-2.5192513465881348,-3.6123533248901367,1.7221071675336397
5000,29.607777051692338,0.028120283957080078,0.21336911139154163,50.15670504061969,0.000865123700350523,-2.5933094024658203,-3.6603469848632812,1.1180512020566118
6000,28.91097311458273,0.026802933026621914,0.22385609791437833,51.52086008675226,8.73131284606643e-05,-2.8131227493286133,-4.310461044311523,2.331704196938899
7000,30.434637436281484,0.02588319569179719,0.2318106338739887,53.12669384674411,0.0007930750725790858,-2.813467502593994,-3.9896152019500732,1.3173355006569794
8000,33.792595662304876,0.02551106067736696,0.23519210258956863,55.19988123685099,0.0005011491593904793,-2.967912197113037,-4.242880821228027,1.7321878058114704
9000,29.823553616286514,0.024863367685455905,0.24131887827527745,56.310611621908876,0.0005839855875819921,-3.0280680656433105,-3.8789243698120117,1.6672773510230452
10000,31.53013131953897,0.024373639806075858,0.24616758300105512,57.58545255263551,0.00028774834936484694,-3.3294620513916016,-4.203693389892578,2.352631641588995
11000,31.61257600199124,0.023897450573234946,0.2510728071855488,58.76315827056457,4.1104947740677744e-05,-3.5410923957824707,-3.7108421325683594,3.164343392102584
12000,32.602182351743274,0.0239817551175327,0.2501901954462662,59.94156597014808,0.0006717515061609447,-4.084597587585449,-3.98643159866333,2.5310220973101227
13000,29.30323735633339,0.0235628920011243,0.25463767349583877,60.57556352529629,0.002245898125693202,-4.75068998336792,-4.178835868835449,1.8799591557327484
14000,28.36390412797561,0.02323737484316891,0.2582047258132439,61.10047021163699,0.004067296627908945,-5.444831848144531,-3.8950083255767822,1.5481271853597782
15000,29.832521052505705,0.023006039453901183,0.26080108277752984,61.7605798204027,0.005886216647922993,-6.396140098571777,-4.121526718139648,1.6577641810849153
16000,29.73719590539326,0.022810192258841597,0.26304030811815293,62.37797410181034,0.007019835989922285,-7.351624011993408,-4.052854061126709,2.1253191783821945
17000,44.327746354666736,0.027080837790862813,0.2215588766616528,63.38387040355508,0.010244748555123806,-8.00433349609375,-4.141909599304199,1.5888506561441034
18000,37.493092202600785,0.027258367051376697,0.22011590014512505,63.67460909178186,0.013733374886214733,-8.878588676452637,-3.9997382164001465,1.41659414078394
19000,29.465238781591303,0.026945341878813582,0.222672995836718,63.47294421718893,0.016194971278309822,-9.81213665008545,-3.8925044536590576,1.7346039628942398
20000,30.173265275709564,0.02660159739381832,0.22555036493388478,63.360912186824685,0.0216083861887455,-11.013632774353027,-4.055535793304443,1.699711479133264
21000,28.775557385209353,0.026425592986165248,0.22705261536197946,63.22155447937775,0.027806933969259262,-12.025583267211914,-3.815856695175171,1.4831296534752099
22000,30.359908445417084,0.026108994388234736,0.2298058634806604,63.19928679617824,0.030748838558793068,-13.18094253540039,-4.348240852355957,2.098728371571037
23000,34.35662770365745,0.02618188003130651,0.22916612530596,63.384427183054235,0.0377558134496212,-14.387411117553711,-4.417452335357666,2.071275973128296
24000,31.582654593572414,0.02598807122488373,0.23087515606987274,63.4311984804474,0.045203421264886856,-15.44009017944336,-4.468482494354248,1.9539231589067962
25000,31.246793344391644,0.026066294367735842,0.23018231572749515,63.459894367150845,0.05534797161817551,-16.412227630615234,-4.091523170471191,1.4825585608039165
26000,29.408156053321054,0.025796383489832136,0.23259074289870715,63.41802432384451,0.06411389261484146,-17.42637825012207,-4.011871337890625,1.3684761522448958
27000,28.0362097529466,0.02558740465736495,0.23449037056882557,63.3439779363244,0.05431195721030235,-18.494380950927734,-4.0104780197143555,3.7321137822732977
28000,35.75092645840328,0.025773924786022646,0.23279341620698124,63.60689194474446,0.07669253647327423,-19.573156356811523,-3.8365087509155273,1.9582343438284187
29000,30.262396744302187,0.025572239010255408,0.23462943536519346,63.62033441343383,0.08737539499998093,-20.653526306152344,-4.232895374298096,1.8477820163175442
30000,39.32224411163637,0.026603059360783776,0.22553796984886437,63.92819132591053,0.09773962199687958,-21.53227996826172,-4.478346824645996,1.5461955367110387
31000,30.637585185160617,0.026430615339523546,0.22700947075673192,63.8835014757646,0.10555693507194519,-22.150550842285156,-3.9853861331939697,1.3951032575829507
32000,30.79579178090379,0.026428757043221913,0.22702543256905827,63.85043423588226,0.09832651168107986,-23.11809730529785,-4.2688093185424805,3.096480302835964
33000,31.65710904951931,0.026305789615721956,0.22808667170416477,63.853383594812385,0.12062140554189682,-23.797208786010742,-3.6888861656188965,1.6205513000218073
34000,30.676685836172094,0.026272306618215224,0.2283773589883446,63.829119870450334,0.11224020272493362,-24.72245979309082,-3.9334444999694824,3.3382564506080223
35000,32.92341213321602,0.026257886233959065,0.22850277994731577,63.87760629909933,0.10301772505044937,-25.606088638305664,-4.123063087463379,5.103692874092572
36000,33.117405398850345,0.026501735637029955,0.22640026608734293,63.92636116319834,0.11291225999593735,-26.50801658630371,-4.610532283782959,5.027212521730325
37000,34.12473935610762,0.0265868363656145,0.22567559063777773,63.99056621102155,0.15587392449378967,-26.9779052734375,-3.917880058288574,1.7138718300175086
38000,27.708082802350823,0.026381695505587235,0.2274304166208458,63.86939129646056,0.15148687362670898,-27.701923370361328,-4.205514430999756,2.8431175771562844
39000,31.72765698210624,0.026403495019579202,0.2272426432769893,63.870506415380284,0.17449061572551727,-28.419763565063477,-4.120224952697754,1.7397284285076084
40000,33.60757952349322,0.026335207184977647,0.22783188899393095,63.926460694777575,0.18212895095348358,-29.161794662475586,-4.329835414886475,1.8801735149485252
41000,30.003850791939833,0.02624665793537073,0.22860053324786286,63.885255558196604,0.1881140172481537,-29.655960083007812,-3.968815803527832,1.9475751846782459
42000,34.25649647258672,0.026561474891904066,0.22589107059822192,63.94470823638078,0.19919557869434357,-30.258342742919922,-4.450305938720703,1.718967113157575
43000,37.148048609672685,0.026694895732949208,0.22476206912448315,64.07692217612447,0.20746144652366638,-30.900094985961914,-4.332002639770508,1.714380836017559
44000,31.34056489078064,0.026641685540627156,0.22521097589153355,64.05111583912864,0.2133779525756836,-31.31575584411621,-3.8797175884246826,1.728718979312522
45000,30.70379656548782,0.026588160801689336,0.22566434905940455,64.00997808478668,0.21528710424900055,-31.866607666015625,-4.308833599090576,2.1665907683277874
46000,39.59427127058657,0.027021773104124444,0.22204316411361605,64.18528973258468,0.22865012288093567,-32.50384521484375,-4.4291839599609375,1.812125241240341
47000,31.300397688013664,0.026952862506371102,0.22261086363579094,64.142332517434,0.23526224493980408,-32.79417037963867,-4.076711177825928,1.6826748734349373
48000,32.77119375255366,0.026892013198237585,0.22311457144432834,64.1382409726878,0.2397179901599884,-33.340267181396484,-4.2902703285217285,1.9375373738788926
49000,30.97378330368787,0.026761873481103732,0.22419955031311747,64.09872329792195,0.23702596127986908,-33.74738311767578,-4.239302635192871,2.5407173071351252
50000,40.91523460182025,0.02810585249681461,0.21347866963579962,64.22698616487861,0.20584645867347717,-33.61494827270508,-3.9296481609344482,4.474966451260743
51000,27.749717207260268,0.027931780728811476,0.21480907566380233,64.07526881111548,0.25659099221229553,-33.996009826660156,-3.577205181121826,1.5388020520451708
52000,30.154981344640508,0.027795168294383815,0.2158648559509653,63.9798612376951,0.2589963674545288,-34.32790756225586,-3.795473098754883,1.7674796012983325
53000,37.89554470629644,0.028010289076472364,0.2142070002783293,64.04067494778577,0.26878276467323303,-34.647438049316406,-4.031822204589844,1.446023160096082
54000,29.8636927611035,0.02786288178412537,0.2153402525441014,63.94071218503697,0.2653923034667969,-34.963172912597656,-4.181652069091797,2.023324206419365
55000,38.04771826359424,0.02797173228739955,0.214502267444581,64.00295889626993,0.26888611912727356,-35.08356857299805,-3.58669376373291,1.8953272099678127
56000,31.374121659968456,0.027909111400813234,0.21498355550743792,63.934361401994195,0.25548213720321655,-33.662227630615234,-4.251854419708252,1.3464529650051547
57000,32.989966177786364,0.027858737113712496,0.21537228968813193,63.89962218603797,0.2725471258163452,-35.54176330566406,-3.952136516571045,2.1822949110990577
58000,28.215064371293906,0.027722168107391244,0.2164332882174641,63.7869242484786,0.2773759961128235,-35.03285217285156,-3.909317970275879,1.4385120531607931
59000,34.14588016327856,0.02766353668893142,0.21689200724651692,63.7786436275397,0.2816908061504364,-36.254234313964844,-4.047540187835693,2.404006456765648
60000,29.040848872730894,0.027530283124610574,0.21794181966244752,63.69053147392778,0.27520230412483215,-35.962127685546875,-4.119274139404297,2.5502459123429317
61000,32.15324127166164,0.027425348420434974,0.2187757073499684,63.66168995022853,0.29062849283218384,-36.6749267578125,-4.364721775054932,2.354930598038941
62000,32.454125446234634,0.027370553769932342,0.2192136867391862,63.63861489755463,0.29909253120422363,-36.7359619140625,-3.534393310546875,1.9324147612335583
63000,34.460194827439516,0.027329802550018868,0.21954055427289787,63.65381879035352,0.27367502450942993,-37.23794937133789,-4.281315326690674,3.9381152024596524
64000,31.065576967271806,0.027248398664002135,0.2201964259986625,63.61620445416545,0.3028089106082916,-37.01593017578125,-4.005912780761719,2.0091608341828455
65000,29.412631108687904,0.0271223610252861,0.22121967900973727,63.557179039274956,0.31188201904296875,-37.32878494262695,-3.7637805938720703,1.8343880570625346
66000,33.7051070482791,0.027049764262729526,0.2218133933339704,63.56772532343312,0.27837276458740234,-37.44701385498047,-3.723810911178589,3.908020294846488
67000,48.1283762564983,0.02856100933393756,0.21007660933293812,63.78013061757443,0.3084183931350708,-36.99369430541992,-3.2444849014282227,1.5731217947612102
68000,31.639275853712974,0.028458329441077717,0.210834582276618,63.713208456772286,0.3223535716533661,-37.756019592285156,-3.852966547012329,1.5820869505100017
69000,32.49814546864875,0.02835332074733611,0.21161542429077623,63.648260310364336,0.3193339705467224,-37.6307487487793,-3.2990097999572754,1.6633431895220592
70000,30.36723316112479,0.02822173832436954,0.21260207046916685,63.561241702911786,0.2948622405529022,-36.10246276855469,-4.636104583740234,1.5879337214891978
71000,30.949464108876445,0.028084070499941365,0.21364424362958806,63.485354993369384,0.31083378195762634,-36.92830276489258,-3.2036495208740234,1.533650599178774
72000,39.04547601425225,0.028184693538804442,0.21288150576266696,63.542966351333405,0.3303055167198181,-38.241241455078125,-3.8960914611816406,1.721695599470496
73000,31.76938710366263,0.02807609570292705,0.21370492761835383,63.48296141583532,0.3149956464767456,-38.09388732910156,-4.110626220703125,2.4644145050931066
74000,33.95883919540617,0.02798660149170494,0.21438830298056605,63.45902532043693,0.3288893699645996,-38.07479476928711,-4.113080978393555,1.6817551572401386
75000,39.420422895625144,0.028009678087226143,0.21421167288374904,63.49394082420648,0.307489275932312,-36.75001525878906,-3.0708446502685547,1.5415358651122015
76000,30.090390569202402,0.027922542517866047,0.21488014553692383,63.43009730320631,0.28278180956840515,-35.420082092285156,-4.400384426116943,1.6897094367219991
77000,29.394463301923402,0.02779602292744136,0.2158582188416803,63.34016718272175,0.281289666891098,-35.34822082519531,-2.6676387786865234,1.7546527249926254
78000,31.566934759937183,0.027699152737166284,0.21661312376350397,63.30296962341472,0.3433768153190613,-38.88926696777344,-4.41063928604126,1.7947601106271853
79000,33.205846422871176,0.027656567703384784,0.21694666035025317,63.27344708928306,0.31859031319618225,-36.73676300048828,-1.807767391204834,1.0228185064702546
80000,29.34823356254835,0.027545434759059944,0.21782193864362753,63.21051374211212,0.30482080578804016,-36.322322845458984,-2.959847927093506,1.423431510686342
81000,33.725534120427206,0.027537607422438437,0.2178838527239308,63.20698206780219,0.33909767866134644,-38.66913604736328,-4.35378885269165,1.8623904217572989
82000,31.581377451433127,0.027452248348759107,0.21856133325674257,63.170635501284735,0.3399588465690613,-39.267642974853516,-3.8364944458007812,2.4353787187056306
83000,35.06614794971113,0.027427704896030074,0.21875691104101272,63.18917900065678,0.3454645276069641,-38.77024841308594,-3.950989007949829,1.6300304163444101
84000,31.22321444630247,0.027329630621975375,0.21954193538113478,63.15356531110069,0.3344864547252655,-38.1530647277832,-3.9489588737487793,1.6283224309967168
85000,34.25372937933763,0.027284389419793567,0.21990596555726025,63.16313599792919,0.34097668528556824,-39.666378021240234,-4.346922874450684,2.78339626289732
86000,34.85818479158069,0.02722524349568483,0.220383703857451,63.177615525017465,0.33440229296684265,-39.6310920715332,-4.901531219482422,3.097035888615914
87000,33.65040158137769,0.027157832126083897,0.22093074189958137,63.18229453103923,0.3078698217868805,-38.791683197021484,-3.216174840927124,3.7343456579076753
88000,35.8105949665475,0.027090803611579128,0.22147737239642037,63.21029394444461,0.36207717657089233,-39.934696197509766,-3.696411371231079,1.8992602931625089
89000,35.86782125398338,0.02705949370127859,0.22173363870871293,63.245600922012216,0.37630727887153625,-40.65519332885742,-4.587326526641846,1.8578770000752884
90000,34.812694730192824,0.027009251979917978,0.2221461003237388,63.26507110735072,0.35520437359809875,-40.383811950683594,-4.387799263000488,2.6784505574433064
91000,32.448722440187886,0.026934603291626266,0.2227617735831048,63.24964667340983,0.2763022482395172,-35.336021423339844,-4.79170560836792,2.0891850467791
92000,35.04762800002157,0.02691685170354604,0.22290868434697203,63.26768904591546,0.35075658559799194,-39.081199645996094,-4.293020725250244,1.61109442655638
93000,36.34445785863363,0.026885224038137992,0.22317091319338495,63.31139136903017,0.36695900559425354,-40.23341369628906,-3.9949331283569336,1.8811857557834517
94000,34.398330075569575,0.026842834859688962,0.22352333616634723,63.33219016432077,0.3707285225391388,-40.797882080078125,-3.58016300201416,2.236507352170139
95000,37.815907558477456,0.027024532485224444,0.22202049205774332,63.384675887693334,0.3686583638191223,-40.38698196411133,-4.123641014099121,1.901556149929411
96000,33.500484872564016,0.02695281030899677,0.22261129474863026,63.38887862196166,0.3279806673526764,-38.12080001831055,-4.435177803039551,1.818246900344389
97000,41.75866305876629,0.02698220397426339,0.2223687881732352,63.49586760188661,0.38703110814094543,-41.25131607055664,-4.170629978179932,1.749378695070154
98000,37.91389365618737,0.026946219268781952,0.22266574542986778,63.54686365823533,0.348946750164032,-40.87333297729492,-3.1180419921875,3.3351116532311944
99000,43.324017583765695,0.027033909596832724,0.2219434809644757,63.66156132767277,0.38060468435287476,-41.4884033203125,-6.170218467712402,2.2135699207560515
100000,42.76207096611503,0.02704644094135631,0.22184064857219307,63.759601436204186,0.3828514516353607,-41.81372833251953,-4.270088195800781,2.362477232750041
101000,35.35230102364843,0.027072034930712464,0.22163091970575025,63.776776421040445,0.3318830132484436,-38.3950080871582,-3.8903932571411133,1.653660160024956
102000,47.1507628695546,0.027246135577342057,0.22021471569676884,63.91753568650862,0.39128926396369934,-42.555782318115234,-3.2696893215179443,2.5733702403030434
103000,45.85556587393491,0.02733462879891278,0.21950179181649054,64.0325363673354,0.3961185812950134,-41.4764404296875,-1.41375732421875,1.1756695853781047
104000,38.87838348572201,0.027464237741344107,0.21846592126486444,64.07261995058836,0.36293351650238037,-40.56229782104492,-4.3686628341674805,1.9624142065897863
105000,49.07876252074723,0.02755002591456271,0.21778563906280943,64.21900326775204,0.4067625105381012,-43.603515625,-3.425548553466797,2.645959156582113
106000,43.75050020998458,0.02752896490149778,0.21795225579562405,64.29254865033982,0.42469722032546997,-44.13735580444336,-4.05870246887207,2.238677568802152
107000,47.54860207839852,0.02756316709685975,0.21768180626396796,64.40268524139675,0.42257747054100037,-44.37847900390625,-3.7329602241516113,2.5128920038501983
108000,50.829648993237626,0.027622399190601724,0.21721502026664818,64.55018719956061,0.38512977957725525,-44.81156539916992,-4.361443042755127,4.752479770951864
