step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,5.137188806624883,0.01832027284697528,0.009,88.09488298516811,4.240332782501355e-05,-1.0559031963348389,-23.850746154785156,0.4822483632706275
2000,13.68608112269903,0.05073658706573173,0.009,63.12211517309459,0.0002521444112062454,-1.255312442779541,-26.547222137451172,0.2529928840917679
3000,4.25917075973938,0.04293025572172989,0.009,51.830685446040924,0.0006187401595525444,-1.5143508911132812,-24.32436180114746,0.22508912975204115
4000,4.680832537748894,0.03893902820449494,0.009,45.17542353957561,0.001355780870653689,-1.902911901473999,-25.820636749267578,0.239510903404151
5000,10.456544556774304,0.04957966746855328,0.009,40.84465838396597,0.0020861646626144648,-2.113959789276123,-25.38690948486328,0.24839828305902836
6000,9.779541685214161,0.0509763471891452,0.009,37.63100699150879,0.0024252200964838266,-2.30950665473938,-25.27298355102539,0.45631029810793566
7000,5.035975640634847,0.047899006757559946,0.009,35.04132664822929,0.00427400553599,-2.567889928817749,-26.598831176757812,0.2770324381856117
8000,12.216342670774878,0.05494290711753861,0.009,33.135727786611724,0.0057739680632948875,-2.7527806758880615,-26.10089683532715,0.2349083702110882
9000,9.049834462411237,0.055393458782472295,0.009,31.48557375835401,0.007400379981845617,-2.9373066425323486,-25.405614852905273,0.22874575368692815
10000,17.317952125099044,0.06003490680527499,0.009,30.274806728000765,0.008957913145422935,-3.1696205139160156,-25.972259521484375,0.3042235786804313
11000,4.794529690386232,0.05739149690777128,0.009,29.004893569762945,0.011329307220876217,-3.3433029651641846,-26.91817283630371,0.2560445589649895
12000,9.69185200733169,0.05795396587898934,0.009,27.98250469828317,0.013547543436288834,-3.53918719291687,-26.97333526611328,0.28219396552778125
13000,11.691194416574882,0.05969469339328727,0.009,27.118919520456018,0.01604313775897026,-3.7120232582092285,-25.885482788085938,0.2770999789440207
14000,4.3647303564927755,0.05773573791269229,0.009,26.247579274795886,0.018787086009979248,-3.836714506149292,-24.768688201904297,0.2390639542091416
15000,5.525528476445446,0.055991647055170846,0.009,25.485591892957345,0.022365007549524307,-4.079033374786377,-25.720083236694336,0.2676796685677956
16000,12.56418650897868,0.05724235625089994,0.009,24.908875318361435,0.026354381814599037,-4.3107171058654785,-25.078081130981445,0.26700213114812915
17000,4.585587644048495,0.055674098201749914,0.009,24.27295326471389,0.02941049076616764,-4.439862251281738,-25.71435546875,0.27717552678221596
18000,4.7793568865579426,0.05423535221909237,0.009,23.696708559554562,0.03398345038294792,-4.600002288818359,-25.31939697265625,0.23160871543071265
19000,3.8158570918158112,0.05287549684955079,0.009,23.15951912434484,0.03802234306931496,-4.770248889923096,-24.942520141601562,0.25430056664561584
20000,2.707685673312818,0.05162464909366954,0.009,22.654003089775102,0.042054709047079086,-4.87267541885376,-24.27996063232422,0.22696343240360667
21000,10.763068699855769,0.05321286098908632,0.009,22.29259489257267,0.045667096972465515,-5.023588180541992,-25.93073844909668,0.2596916707144581
22000,5.775388094571485,0.05231612306470365,0.009,21.889664892277732,0.04847989231348038,-5.117402076721191,-26.258987426757812,0.2977025570150578
23000,3.5121017211596177,0.051256856555690775,0.009,21.490819781991874,0.052598752081394196,-5.165502548217773,-25.280166625976562,0.23670835811614266
24000,17.433163446211726,0.05485298394061065,0.009,21.315174851180192,0.05708599463105202,-5.338989734649658,-25.624814987182617,0.24622448142868086
25000,13.509831999439474,0.056229886240029496,0.009,21.077927778093756,0.060798533260822296,-5.451406955718994,-26.394855499267578,0.25414655967570704
26000,6.896668749704618,0.05551344876294203,0.009,20.774889209908252,0.062402524054050446,-5.506749629974365,-25.772632598876953,0.31707910172396014
27000,15.861241714816222,0.056924757825080954,0.009,20.601083522525084,0.0638461634516716,-5.457129955291748,-26.29315948486328,0.2516899007770109
28000,5.619198324579676,0.05603948856984655,0.009,20.317566128749764,0.07060549408197403,-5.708968162536621,-25.765098571777344,0.31024634065813766
29000,2.8715768977993723,0.05511580040206877,0.009,20.02711930858762,0.06910903006792068,-5.510216236114502,-24.817535400390625,0.2453683244055378
30000,4.528043293776875,0.05430689247520833,0.009,19.766128546971633,0.07193471491336823,-5.722657680511475,-24.783084869384766,0.4212542532884418
31000,6.753797548582868,0.05354912666646019,0.009,19.53986297183369,0.08091859519481659,-5.829202175140381,-25.84173011779785,0.2708543979034573
