step,mean,std,n,ci95_low,ci95_high
10000,5.820889702183074,1.801286458162343,3,3.7825421880280676,7.85923721633808
20000,6.361993512267408,4.504032174565529,3,1.2652013029560871,11.458785721578728
30000,6.401577881503794,2.5257752634659822,3,3.5433941060856116,9.259761656921977
40000,4.800432662540444,1.8363896047469541,3,2.722362198570582,6.878503126510305
50000,13.818627843354093,6.147096083676023,3,6.862533789210195,20.77472189749799
60000,10.639327687824613,3.7028072621779238,3,6.44920681945619,14.829448556193036
70000,4.077669909615127,0.6657183989984888,3,3.3243386237572494,4.831001195473005
80000,9.35820122413154,7.815672119735577,3,0.5139356357662503,18.20246681249683
90000,8.718940412757759,3.285390745070896,3,5.001170799880576,12.436710025634941
100000,6.497704230011337,2.8855778509029086,3,3.232365497997961,9.763042962024713
110000,6.187800126656476,2.226837968102616,3,3.6678957460180555,8.707704507294896
120000,4.90756999621155,0.7535023666759135,3,4.054901799510247,5.760238192912853
130000,10.080999477578661,5.657752042330094,3,3.6786503348696886,16.483348620287636
140000,10.360136981202386,6.157550672919416,3,3.392212445627165,17.328061516777606
150000,9.108148790908633,6.853170359795709,3,1.353056476929015,16.86324110488825
160000,4.891599446926297,1.9038423848747323,3,2.7371989766582874,7.045999917194306
170000,8.66051157060611,2.471756062748969,3,5.863456275335665,11.457566865876554
180000,13.357083044200428,7.20300456721166,3,5.2061160575270655,21.50805003087379
190000,12.520663453462234,3.8917787354737503,3,8.11670123237986,16.924625674544608
200000,5.638269923570896,2.9915971640035326,3,2.2529590447999492,9.023580802341844
210000,9.03039044266098,1.968081876371047,3,6.803296144485286,11.257484740836674
220000,8.845813441984406,3.4620100439836503,3,4.928180277555355,12.763446606413456
230000,7.323437442188985,2.963522382372707,3,3.9698961695727526,10.676978714805218
240000,7.715722170500936,2.8301417039663437,3,4.513115344226616,10.918328996775255
250000,5.713394797914777,1.69878047897698,3,3.791043718925153,7.6357458769044015
260000,5.829073055412203,1.767536021568939,3,3.828917755616036,7.82922835520837
270000,4.853369021376025,1.7516374848315588,3,2.8712046095313517,6.835533433220698
280000,4.089256307772952,0.7522641713520533,3,3.2379892609825873,4.940523354563316
290000,8.729325822188663,8.622039085700473,3,-1.027429888512918,18.486081532890246
300000,8.952354205556933,4.624846768256571,3,3.7188474133940765,14.18586099771979
310000,5.171696278081733,0.8596870303793017,3,4.198868822801426,6.144523733362039
320000,7.608352204720755,3.128001978732242,3,4.06868474720514,11.14801966223637
330000,5.748449873053978,1.237017801043221,3,4.34863245462164,7.148267291486317
340000,9.570641407249507,2.7761915982125656,3,6.429084872811503,12.712197941687512
350000,4.7836392968068475,1.251878895132905,3,3.367004967295171,6.200273626318523
360000,9.12135007983093,3.6006797543356726,3,5.046797365985512,13.19590279367635
370000,8.374128493808682,3.244596576510666,3,4.702521828362746,12.045735159254617
380000,9.959240860099484,5.981141241023405,3,3.190942389190056,16.727539331008913
390000,12.498927213357668,5.715729562368649,3,6.03097033051833,18.966884096197006
400000,5.222920395060891,1.9636325771126255,3,3.0008609529693246,7.444979837152458
