step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,4.870838024421016,1.0,0.006,0.7691630141445509,0.5700798034667969,-0.6080774664878845,-2.6494903564453125,0.027331523986349526
2000,6.864552125578654,1.0,0.006,0.789419689882688,0.3370629549026489,-0.5051364302635193,-2.5250320434570312,0.046822035145180546
3000,8.25189250505464,1.0,0.006,0.7629270220192527,0.3930157423019409,-0.49572187662124634,-2.9059300422668457,0.017435580253601073
4000,13.507361653831769,1.0,0.006,0.7627539521266763,0.4600123167037964,-0.5211592316627502,-0.6378974914550781,0.003827384948730469
5000,17.04250726796905,1.0,0.006,0.8099372701103553,0.3333505392074585,-0.4960538148880005,-4.737374305725098,0.028424245834350586
6000,22.24224048049761,1.0,0.006,0.8640883564684807,0.689296305179596,-0.7589030861854553,1.4317331314086914,0.04150350346656893
7000,35.341638092498194,1.0,0.006,0.9745403065414363,0.6583837866783142,-0.8189502954483032,-4.699997901916504,0.028199987411499025
8000,27.67629793222728,1.0,0.006,1.0103917692837883,0.8703832626342773,-0.9836295247077942,-1.7898402214050293,0.04099134147052419
9000,32.19128807796407,1.0,0.006,1.0661022876351443,0.6277002692222595,-0.8846747279167175,-3.1731715202331543,0.040028130222534535
10000,26.505950192994078,1.0,0.006,1.0815253133773262,0.43165823817253113,-0.7835532426834106,-1.5322785377502441,0.07298353261208165
11000,29.9695276331776,1.0,0.006,1.097060786087464,0.7374602556228638,-0.9986245036125183,-4.334936618804932,0.05651802345270033
12000,39.18261506700474,1.0,0.006,1.1313413858284054,0.329111248254776,-0.6811001300811768,-5.3449554443359375,0.03206973266601563
13000,35.858593607249745,1.0,0.006,1.1446570464110037,0.5470765829086304,-0.8946523666381836,0.8326272964477539,0.04801114570447892
14000,40.794894153376276,1.0,0.006,1.1748951823343636,0.8488371968269348,-1.1538211107254028,-0.8314013481140137,0.07136250001835423
15000,40.48123665489564,1.0,0.006,1.199972268045296,1.0500339269638062,-1.2993396520614624,-1.3353023529052734,0.06971419792727847
16000,41.72788251318288,1.0,0.006,1.2276971145276043,1.0704702138900757,-1.3778595924377441,-3.1545238494873047,0.10764086386699527
17000,45.4541592190715,1.0,0.006,1.254437497495754,0.7505756616592407,-1.1488261222839355,-2.7302353382110596,0.06203465177495605
18000,44.35700618931438,1.0,0.006,1.2762999218607067,0.3549776077270508,-0.7750207781791687,-2.4335522651672363,0.014601313591003418
19000,61.17707541110726,1.0,0.006,1.3287348166599273,0.8957769870758057,-1.3469583988189697,-1.267989993095398,0.0893707922141626
20000,72.15766055160684,1.0,0.006,1.4018177995887404,1.0521996021270752,-1.511381983757019,-1.6347107887268066,0.0734423611653695
21000,74.20630250180238,1.0,0.006,1.4694233250145519,1.0883479118347168,-1.6005809307098389,-2.2778403759002686,0.06762121259126919
22000,73.60547266776041,1.0,0.006,1.5265832091339735,0.943976640701294,-1.598017692565918,-4.8294453620910645,0.11481293094650678
23000,77.97214225898979,1.0,0.006,1.5828476979435093,1.0351347923278809,-1.7117677927017212,-2.544053792953491,0.1013536067599471
24000,79.68282257344784,1.0,0.006,1.6394825647950693,0.9407077431678772,-1.7022031545639038,-1.7770994901657104,0.11206749557268005
25000,83.17984441241087,1.0,0.006,1.6976273533219828,0.9822826385498047,-1.7999770641326904,-4.904534816741943,0.11745577508955304
26000,83.47189518281371,1.0,0.006,1.7472093906332244,0.8846344947814941,-1.7019144296646118,1.6895194053649902,0.05857638128358712
