step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,5.281956182074573,1.0,0.009,6.98805074184269,0.0032496016938239336,-0.6142816543579102,-23.60137176513672,0.21592586388687277
2000,12.011862720884384,1.0,0.009,7.095308084079684,0.003776018274948001,-0.6747512817382812,-26.50385284423828,0.23874947293992002
3000,7.632689303764037,1.0,0.009,7.100617684877625,0.0025431611575186253,-0.5662376284599304,-23.110458374023438,0.2081551342045322
4000,7.021412660922907,1.0,0.009,7.1023470419853805,0.0036764356773346663,-0.6632848381996155,-25.616931915283203,0.2326438606191515
5000,4.3106038998963765,1.0,0.009,7.090367143139302,0.004389316774904728,-0.7009718418121338,-25.546552658081055,0.23122140234276406
6000,4.214142759066781,1.0,0.009,7.080290894873071,0.005974393337965012,-0.7806940674781799,-25.218673706054688,0.23342868490444457
7000,3.5692736408890413,1.0,0.009,7.071907813868809,0.009596042335033417,-0.9334315061569214,-26.39847755432129,0.24067168687169294
8000,4.511444972079005,1.0,0.009,7.071586583227298,0.014276068657636642,-1.0776575803756714,-25.802169799804688,0.23272667670022984
9000,14.365532324478082,1.0,0.009,7.104328680548237,0.02155204676091671,-1.2756824493408203,-25.852706909179688,0.23272332217372468
10000,7.784728133555199,1.0,0.009,7.111689587941693,0.03373074531555176,-1.5450809001922607,-26.431116104125977,0.23895290496311025
11000,6.214282113514412,1.0,0.009,7.114053356839737,0.049282923340797424,-1.821527361869812,-26.808704376220703,0.24222481007289398
12000,4.811049213706551,1.0,0.009,7.113478246853009,0.07035980373620987,-2.13576602935791,-26.874155044555664,0.24888589379997123
13000,14.270295901490583,1.0,0.009,7.135364290839957,0.09827439486980438,-2.4705891609191895,-25.897836685180664,0.233741803790621
14000,10.763176464680264,1.0,0.009,7.146569327433825,0.13396532833576202,-2.8428289890289307,-24.53375244140625,0.22709360867902562
15000,4.1798355727511,1.0,0.009,7.143529317785151,0.17200523614883423,-3.1914801597595215,-25.422359466552734,0.22880750044087556
16000,9.459291258088655,1.0,0.009,7.151064815409717,0.21759600937366486,-3.5707590579986572,-26.05916404724121,0.23498862021561112
17000,12.728154852387803,1.0,0.009,7.163486093222809,0.2538560926914215,-3.8532094955444336,-25.970876693725586,0.24394899722104474
18000,7.882834494070153,1.0,0.009,7.16563340124147,0.28688281774520874,-4.069496154785156,-25.643787384033203,0.23147933635589396
19000,4.254197576182849,1.0,0.009,7.162673097039424,0.3103448152542114,-4.214330673217773,-24.827919006347656,0.22410592781133928
20000,11.527163870621157,1.0,0.009,7.171372053041076,0.33402910828590393,-4.363212585449219,-24.18863296508789,0.21850025936570872
21000,9.768652687884748,1.0,0.009,7.176936408519957,0.3486611843109131,-4.472076416015625,-25.984886169433594,0.23427224073570352
22000,4.470908571466352,1.0,0.009,7.17436709523794,0.35760363936424255,-4.533105373382568,-26.156049728393555,0.24283618977491167
23000,11.16511593947594,1.0,0.009,7.18061039438737,0.36673879623413086,-4.578488826751709,-25.46428108215332,0.22998579071684702
24000,9.894489939892233,1.0,0.009,7.1853780424049125,0.37355172634124756,-4.617819309234619,-25.0468807220459,0.2261969132047503
25000,14.613807249466749,1.0,0.009,7.195474083720789,0.3808917999267578,-4.67657470703125,-26.07138442993164,0.23578499678600914
26000,6.268244864698934,1.0,0.009,7.195192323055337,0.38147586584091187,-4.682568550109863,-25.96866798400879,0.2385494050089954
27000,5.939532471635211,1.0,0.009,7.194584229431267,0.3828175365924835,-4.694003582000732,-26.940593719482422,0.24255197887326058
28000,7.120989532042944,1.0,0.009,7.195277233930792,0.3830190598964691,-4.684106826782227,-25.558284759521484,0.23105534180323692
29000,4.58246550529161,1.0,0.009,7.193193832041539,0.3838338553905487,-4.687326908111572,-25.606857299804688,0.23083214567757282
30000,6.780620357972632,1.0,0.009,7.193526385283867,0.3828105926513672,-4.680379390716553,-25.4683837890625,0.22962327768959281
31000,4.921651924998332,1.0,0.009,7.1919713265559535,0.3848685026168823,-4.696575164794922,-26.055370330810547,0.234836372837933
32000,11.838349419067052,1.0,0.009,7.196492390172848,0.38788294792175293,-4.716763019561768,-25.995235443115234,0.23476976766846477
33000,5.693407923290512,1.0,0.009,7.1954818547474275,0.3871591091156006,-4.726785659790039,-27.03325080871582,0.24960482070645226
34000,10.077615586849463,1.0,0.009,7.198601790582919,0.3882702887058258,-4.721502780914307,-26.105192184448242,0.23595762332377943
35000,3.318615288003944,1.0,0.009,7.195836605099252,0.3842869997024536,-4.690118789672852,-25.359603881835938,0.22935583847730728
36000,9.327725410990286,1.0,0.009,7.198101550633605,0.38411423563957214,-4.689139366149902,-25.27057647705078,0.22797535151433324
37000,10.8936135138545,1.0,0.009,7.201869351049991,0.3866119086742401,-4.708556652069092,-25.492568969726562,0.2305695096306872
38000,4.254274161172342,1.0,0.009,7.2000720097809285,0.3845701515674591,-4.70297908782959,-26.438396453857422,0.23794636990232412
39000,4.212377254784963,1.0,0.009,7.197583963791297,0.38570451736450195,-4.716552257537842,-26.79425048828125,0.24648385682525026
40000,6.846498308284792,1.0,0.009,7.1977051551076014,0.38670864701271057,-4.70572566986084,-25.196582794189453,0.22976747626876098
41000,4.780847756240349,1.0,0.009,7.196386410946603,0.38261333107948303,-4.685141563415527,-25.70186996459961,0.23376301218332493
42000,6.083915246099743,1.0,0.009,7.196240300395161,0.386528879404068,-4.708687782287598,-25.79239273071289,0.23468136077223825
43000,7.611349212120746,1.0,0.009,7.196982933633074,0.384242445230484,-4.699398517608643,-26.34501838684082,0.23818319848557368
44000,12.070173086878931,1.0,0.009,7.200948827063854,0.3881714344024658,-4.721526622772217,-25.889358520507812,0.2350902760793115
45000,6.313093778953706,1.0,0.009,7.200616234733653,0.38343748450279236,-4.681425094604492,-24.647998809814453,0.22263611874306333
46000,21.42362477079458,1.0,0.009,7.210470424411555,0.3924550712108612,-4.75399112701416,-25.810100555419922,0.23690341556168668
47000,8.304563446825574,1.0,0.009,7.211382937501915,0.38740986585617065,-4.728409767150879,-26.554716110229492,0.23988287937000963
48000,12.285351915731749,1.0,0.009,7.2148480448619425,0.39392411708831787,-4.7675981521606445,-26.139129638671875,0.2393156540522137
49000,6.531885194426367,1.0,0.009,7.214482422129858,0.38304340839385986,-4.6995344161987305,-25.972150802612305,0.23445511032492844
50000,8.476973961625603,1.0,0.009,7.215605996646013,0.39343854784965515,-4.764535427093506,-26.18846321105957,0.23856969296894928
51000,11.829700593645029,1.0,0.009,7.218568886077455,0.3931596875190735,-4.7768425941467285,-27.259777069091797,0.2506232147191131
52000,12.604131888518493,1.0,0.009,7.221906976721698,0.38320639729499817,-4.698483943939209,-25.261301040649414,0.2278584369281691
53000,4.525140640571416,1.0,0.009,7.22034911849006,0.38928139209747314,-4.7426066398620605,-26.10411262512207,0.2376558976204869
54000,10.361258386526918,1.0,0.009,7.222234479959363,0.37884286046028137,-4.6849775314331055,-26.54938316345215,0.23967679704224437
55000,4.248101365437199,1.0,0.009,7.220529688455664,0.38483893871307373,-4.715243339538574,-25.964792251586914,0.23596009363443227
56000,3.3595348777950393,1.0,0.009,7.2181454457946765,0.3859977424144745,-4.720232963562012,-26.138790130615234,0.23569213067910963
57000,4.398086042286251,1.0,0.009,7.216591729807347,0.38933712244033813,-4.73838472366333,-26.07158660888672,0.23545625254575253
58000,13.802186901768346,1.0,0.009,7.219923597112675,0.3867851495742798,-4.72730827331543,-26.20332145690918,0.23708948378484043
59000,9.354943618258096,1.0,0.009,7.220972904593047,0.38407567143440247,-4.694882392883301,-24.416616439819336,0.2197683086651241
60000,10.059062906120152,1.0,0.009,7.222395877415099,0.39215782284736633,-4.74788761138916,-24.66689682006836,0.22504226384278253
61000,6.530656651386221,1.0,0.009,7.222304878159325,0.3762669861316681,-4.662423610687256,-25.72935676574707,0.2322183938554892
62000,4.5077892689610985,1.0,0.009,7.22096892934207,0.40249067544937134,-4.859282493591309,-28.379425048828125,0.27814407948641307
63000,4.672997024940273,1.0,0.009,7.21975906000828,0.38429903984069824,-4.710351943969727,-25.575773239135742,0.2346888247674095
64000,3.6795626960502115,1.0,0.009,7.217929206619976,0.38567888736724854,-4.713828086853027,-25.56922721862793,0.23127380984653112
65000,4.841474878767187,1.0,0.009,7.216881713589252,0.3741200268268585,-4.639266014099121,-25.003698348999023,0.22503522575815516
66000,4.094803290311388,1.0,0.009,7.215443359604372,0.38058188557624817,-4.692169189453125,-26.262550354003906,0.2408669855441975
67000,6.092638830976104,1.0,0.009,7.2149096234989925,0.3796950578689575,-4.675506591796875,-25.41482925415039,0.2297224701427926
68000,9.418290652470404,1.0,0.009,7.215857133138123,0.3779381811618805,-4.676851749420166,-26.75313377380371,0.2407827437318776
69000,3.9452538528710592,1.0,0.009,7.214442117421142,0.388261616230011,-4.745742321014404,-27.561527252197266,0.25037726741556365
70000,4.818347452922616,1.0,0.009,7.213409661029536,0.3804935812950134,-4.673736572265625,-24.763689041137695,0.22420570425991898
71000,15.871893357361627,1.0,0.009,7.216950460849742,0.3791181445121765,-4.681617736816406,-26.361738204956055,0.23795621428549527
72000,12.262476288938757,1.0,0.009,7.219061552916796,0.38952934741973877,-4.750297546386719,-26.70401382446289,0.2447163994377127
73000,7.478968755988298,1.0,0.009,7.21920490607014,0.3797520697116852,-4.679566860198975,-25.48759651184082,0.2308019896248813
74000,3.9953886086762176,1.0,0.009,7.217895907334197,0.3867150843143463,-4.724650859832764,-25.974266052246094,0.23609952789767835
75000,11.385953402686226,1.0,0.009,7.219363954825428,0.3833947479724884,-4.704877853393555,-25.67206382751465,0.2347283214310978
76000,3.597461302435822,1.0,0.009,7.2179660468499875,0.38297131657600403,-4.693470001220703,-25.10356903076172,0.22665494662299282
77000,4.922811392513542,1.0,0.009,7.2172488661662,0.37975719571113586,-4.683149814605713,-26.006057739257812,0.23556053627416654
78000,12.208697561640804,1.0,0.009,7.219167316235357,0.38076937198638916,-4.686882495880127,-25.74563980102539,0.23218620059763675
79000,4.154815829734645,1.0,0.009,7.218042783806671,0.37756964564323425,-4.66166353225708,-25.11817741394043,0.22641466829390475
80000,4.287262099546462,1.0,0.009,7.216993131042723,0.37222737073898315,-4.630959510803223,-25.231019973754883,0.22784038096174097
81000,5.0817021850661614,1.0,0.009,7.216106298385518,0.3674927353858948,-4.607306957244873,-25.768661499023438,0.23281844520870204
82000,6.742826126431731,1.0,0.009,7.215889291903368,0.37245336174964905,-4.621096611022949,-24.113794326782227,0.2173145098662925
