step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,25.404884789867264,1.0,0.006,1.3910792614378815,0.31335484981536865,-0.8086562752723694,-2.862226963043213,0.029956435600949766
2000,32.87375370475301,1.0,0.006,1.5329706696311243,0.3646255433559418,-0.9756056070327759,-4.0260210037231445,0.04993296416113832
3000,30.897845831986412,1.0,0.006,1.5622777507818575,0.3919326364994049,-1.0223641395568848,-3.9424939155578613,0.04430761011268448
4000,32.28773085006253,1.0,0.006,1.597046626284151,0.40612053871154785,-1.0634808540344238,-4.146843910217285,0.04572152947486531
5000,28.81954132653464,1.0,0.006,1.5884260939985007,0.30709588527679443,-0.9451921582221985,-4.894927978515625,0.0649462865462947
6000,30.54167040850757,1.0,0.006,1.5879403193165131,0.4074796140193939,-1.06227445602417,-3.8518452644348145,0.0486265418938321
7000,31.253750935282735,1.0,0.006,1.5958483205056047,0.46273040771484375,-1.1302098035812378,-3.575625419616699,0.044645295068730564
8000,48.20561924737612,1.0,0.006,1.6717690202115565,0.559430718421936,-1.3919050693511963,-3.918943405151367,0.14150362500791663
9000,67.08985630706667,1.0,0.006,1.8103980873133731,0.772067129611969,-1.65621817111969,-3.2450978755950928,0.06546942049142984
10000,59.10583414841204,1.0,0.006,1.867049986999117,0.5854275226593018,-1.4816721677780151,-0.4300398826599121,0.05313177553944918
11000,57.66953364582117,1.0,0.006,1.9031814565541953,0.5583415031433105,-1.460425615310669,0.7460880279541016,0.03832556343101318
12000,64.91940355476008,1.0,0.006,1.956500518156772,0.45839589834213257,-1.3892930746078491,-3.617187976837158,0.06464556892760634
13000,33.41167217404412,1.0,0.006,1.9354010947918616,0.2907729744911194,-1.1148929595947266,-3.939666748046875,0.07125954853691854
14000,34.30767503052656,1.0,0.006,1.91574392446204,0.26116159558296204,-1.0280327796936035,-2.696157455444336,0.049011529705519946
15000,55.96122681734412,1.0,0.006,1.9315790057683977,0.6120889782905579,-1.5777455568313599,-4.005993843078613,0.06655328996365979
16000,31.34804338467502,1.0,0.006,1.9104981536327839,0.28818830847740173,-1.083713412284851,-3.466135025024414,0.05809745241504993
17000,31.553183429877045,1.0,0.006,1.893424816951822,0.2739274799823761,-1.040305733680725,-4.1206207275390625,0.049323418701842155
18000,63.301320174535526,1.0,0.006,1.9239579670638414,0.4498319625854492,-1.3870152235031128,-1.2038183212280273,0.09662606583345057
19000,59.46890598811637,1.0,0.006,1.942231281027231,0.5015872120857239,-1.4603779315948486,-2.5676121711730957,0.0848349827032084
20000,33.32911817369904,1.0,0.006,1.9282089564644296,0.2434448003768921,-1.0069355964660645,-4.109635353088379,0.05555490449967863
21000,63.3245611211969,1.0,0.006,1.9508234109520248,0.5200599431991577,-1.4581056833267212,-1.381591796875,0.05126586890344349
22000,65.3372035555541,1.0,0.006,1.974746912211506,0.574262261390686,-1.5799931287765503,-6.734133243560791,0.08352798786863418
23000,65.5615251950949,1.0,0.006,1.996882861793188,0.5302607417106628,-1.5277132987976074,-4.929465293884277,0.07360309937952084
24000,91.81867166284586,1.0,0.006,2.0720989876188414,0.952552080154419,-2.1220133304595947,-5.7122039794921875,0.09967012839722357
25000,60.51375210542292,1.0,0.006,2.087964131955707,0.2734285593032837,-1.1424732208251953,-4.076293468475342,0.05066840738659226
26000,70.07642623081718,1.0,0.006,2.1087269587123414,0.9180231690406799,-2.177053451538086,-1.2066991329193115,0.15660781135393767
27000,79.06941606701545,1.0,0.006,2.1389535568049842,0.6684325337409973,-1.8592413663864136,-3.0805821418762207,0.1104816879464052
28000,54.52497354865599,1.0,0.006,2.140853271227092,0.3918844163417816,-1.4699344635009766,-5.773026466369629,0.12974589963317168
29000,70.4599988730403,1.0,0.006,2.154752616547582,0.695728600025177,-1.992805004119873,-1.1165883541107178,0.19551819625302572
30000,78.38449378970624,1.0,0.006,2.1760544766466965,0.6540340781211853,-1.8104567527770996,-1.403261423110962,0.05062986924934474
31000,93.53811359902289,1.0,0.006,2.215454703744614,0.5839461088180542,-1.7287957668304443,1.593719482421875,0.03582582383086684
32000,100.41489982208982,1.0,0.006,2.25604489198948,0.7937533855438232,-2.055717706680298,-0.17248153686523438,0.04574314078374881
33000,44.36027658402041,1.0,0.006,2.2462877248132207,0.25053128600120544,-1.214803695678711,-3.214719772338867,0.09046705619561947
34000,90.10852978555826,1.0,0.006,2.274309169440241,0.8111118674278259,-2.22952938079834,-2.487184524536133,0.18124678422840543
35000,105.76513478379796,1.0,0.006,2.3165323256619677,0.8252114653587341,-2.175483465194702,-3.319382429122925,0.07111871823345275
36000,83.86429924112353,1.0,0.006,2.332704810078115,0.7565167546272278,-2.063852548599243,0.2685256004333496,0.03491335971105569
37000,58.359908055540664,1.0,0.006,2.33371707560272,0.3316723108291626,-1.3728171586990356,-2.394474744796753,0.028806145607057673
38000,98.41549034389874,1.0,0.006,2.3620080860071715,0.7268425822257996,-2.1058239936828613,-0.6057863235473633,0.09209265961471003
39000,77.16069372406022,1.0,0.006,2.375841832294279,0.4151555597782135,-1.6922481060028076,-1.2249383926391602,0.16143225943982042
40000,108.16160563092181,1.0,0.006,2.409466973731334,0.6814584136009216,-2.01875901222229,2.2525038719177246,0.029732056273296115
41000,121.49268592692809,1.0,0.006,2.451625529779267,1.0734539031982422,-2.664464235305786,1.6729657649993896,0.1243934079801955
42000,47.23359727285563,1.0,0.006,2.440466431794698,0.19555220007896423,-1.1190240383148193,-0.39624691009521484,0.03981837679956852
43000,34.61613846042406,1.0,0.006,2.424502986738793,0.26983511447906494,-1.3278335332870483,1.7896924018859863,0.06840947282357723
44000,133.31022856853698,1.0,0.006,2.478147619988103,0.9811087250709534,-2.598818302154541,-1.9888474941253662,0.14419016679908164
45000,117.45551162440884,1.0,0.006,2.5095215185048656,0.9075202345848083,-2.5008392333984375,-4.289278507232666,0.11017220907324157
46000,131.42947837562468,1.0,0.006,2.5560336550163196,0.96876460313797,-2.645129919052124,-0.9770317077636719,0.1293322942535169
47000,41.097416415600584,1.0,0.006,2.54249395413269,0.17786668241024017,-1.113687515258789,-3.002800464630127,0.04140979468909739
48000,43.82299443468775,1.0,0.006,2.5311773458187035,0.17993561923503876,-1.1755155324935913,-3.1267282962799072,0.1018200223954501
49000,150.14396436755408,1.0,0.006,2.5880267031200668,1.2120932340621948,-3.064523935317993,-2.218109607696533,0.2152328762278145
50000,35.886946619652,1.0,0.006,2.5731948702919856,0.1644756942987442,-1.1037453413009644,-2.7787885665893555,0.06017061691603891
51000,157.11187519725036,1.0,0.006,2.6326503226905986,1.3272475004196167,-3.231476306915283,-0.8458380699157715,0.19849909403711286
52000,53.965722931932916,1.0,0.006,2.624850681048278,1.3868001699447632,-3.166126012802124,-2.448699951171875,0.07503671881882337
53000,155.03021778854782,1.0,0.006,2.6771426654002806,1.0719187259674072,-2.92557430267334,3.303577423095703,0.15383448532355903
54000,164.54381306183518,1.0,0.006,2.73779751671031,1.2089074850082397,-3.1552040576934814,3.8403005599975586,0.1449866831132158
55000,112.51994026179591,1.0,0.006,2.7579421967991813,1.1977412700653076,-3.0590660572052,0.9318723678588867,0.04073645557496806
56000,99.6742382726317,1.0,0.006,2.7686375866748634,0.6526217460632324,-2.2798261642456055,-0.47933006286621094,0.043182173890478376
57000,121.04586405414392,1.0,0.006,2.7944980335788228,1.0656872987747192,-3.096816062927246,-1.3133654594421387,0.21199596345718286
58000,162.1278657763297,1.0,0.006,2.8408519313057288,1.1617870330810547,-3.2326927185058594,-3.3517978191375732,0.1706454682026035
59000,160.7502371849692,1.0,0.006,2.8925225162709496,1.2240735292434692,-3.478057384490967,-2.7850265502929688,0.27783233119994616
60000,177.4597862133965,1.0,0.006,2.9465213647067263,1.3274694681167603,-3.6043028831481934,-2.0153088569641113,0.2094427884786451
61000,179.0384504337432,1.0,0.006,2.9968122119684404,1.2579269409179688,-3.530749797821045,1.2418031692504883,0.16960465302613947
62000,189.28660696951127,1.0,0.006,3.0567292023420563,1.2984741926193237,-3.7130651473999023,-0.12649846076965332,0.22990349921993145
63000,190.37871396693694,1.0,0.006,3.1161024606058305,1.3477203845977783,-3.828826665878296,-0.9282469749450684,0.21130098855866847
64000,156.3148387239661,1.0,0.006,3.152115499492506,1.125030755996704,-3.4312567710876465,-0.024897098541259766,0.08788751750895198
65000,105.55197678516888,1.0,0.006,3.1560064329846247,0.31769171357154846,-1.7710788249969482,2.961459159851074,-0.007777291037022311
66000,179.1734712723045,1.0,0.006,3.196568045849105,1.261958122253418,-3.8471713066101074,0.8031349182128906,0.2562456664542487
67000,191.25076103666848,1.0,0.006,3.245335132746963,1.2160558700561523,-3.697878837585449,0.23881912231445312,0.11908781751082055
68000,181.22751608402612,1.0,0.006,3.2841787966121734,1.1024272441864014,-3.706778049468994,0.7581920623779297,0.25850399017482295
69000,155.63605566687178,1.0,0.006,3.311262257209101,1.2095041275024414,-3.979888677597046,0.9820246696472168,0.33824622266109833
70000,156.34392427259615,1.0,0.006,3.3396700525383394,0.5030648708343506,-2.392989158630371,-0.9287052154541016,0.024259308245930707
71000,97.84966370944461,1.0,0.006,3.336239013633289,0.660694420337677,-2.809718370437622,-1.392831802368164,0.09791943466411886
72000,83.21771484785815,1.0,0.006,3.325257158017776,0.6939212083816528,-2.8166708946228027,1.9248771667480469,0.04666757229783938
73000,186.82176605740915,1.0,0.006,3.354664562890557,1.006052851676941,-3.5282342433929443,6.429352760314941,0.1634326942376779
74000,158.06467321497715,1.0,0.006,3.3811413872482317,0.6314855813980103,-2.715841054916382,-2.8718085289001465,0.028981092907148502
75000,168.15681198944785,1.0,0.006,3.4128481697538287,0.5736695528030396,-2.629284381866455,-0.7242293357849121,0.04435978525998842
76000,167.73572146671546,1.0,0.006,3.4310995347091846,0.4901798963546753,-2.612821340560913,-1.4551935195922852,0.21061071989120234
77000,183.32483560173588,1.0,0.006,3.4696080324267045,1.087060809135437,-3.9359841346740723,3.319769859313965,0.3184943598364494
78000,169.54676503403516,1.0,0.006,3.4979118557888076,1.0758200883865356,-3.9523253440856934,2.4963040351867676,0.3242300342335674
79000,77.37117120730224,1.0,0.006,3.488612006766142,0.18787629902362823,-1.5900909900665283,-4.0735321044921875,0.07796261885019985
80000,142.2316167360636,1.0,0.006,3.5025361418316265,0.4519383907318115,-2.611107587814331,-3.5293681621551514,0.25648015756184095
81000,157.07224181050378,1.0,0.006,3.5235052844116113,0.4774821400642395,-2.655336618423462,-1.6890640258789062,0.22059138735527328
82000,193.2566858736224,1.0,0.006,3.551882522670406,1.077446699142456,-3.914555072784424,2.470583915710449,0.2276963860515541
83000,199.96326843224003,1.0,0.006,3.584245513830953,0.9762186408042908,-3.7359015941619873,-0.588320255279541,0.19453148092212075
84000,191.63399884117447,1.0,0.006,3.6113588290316043,1.0461456775665283,-3.8966033458709717,3.561687469482422,0.20286002516586352
85000,203.841635190086,1.0,0.006,3.6539151782236226,0.9298176765441895,-3.8411028385162354,1.2317190170288086,0.3177402786614704
86000,185.70029431823272,1.0,0.006,3.6756530571394443,0.735268771648407,-3.2667503356933594,-2.8172450065612793,0.11495835618445835
87000,189.37667406296833,1.0,0.006,3.6962997185294024,0.9377922415733337,-3.829068899154663,1.7237043380737305,0.24958405164004244
88000,189.26320677021891,1.0,0.006,3.727623566328183,0.7391932010650635,-3.1939566135406494,3.9478092193603516,-0.010917689081387058
89000,196.27566665543503,1.0,0.006,3.7604996492866096,1.505708932876587,-4.877552509307861,-3.043734312057495,0.2631435352927944
90000,252.94391348848586,1.0,0.006,3.825054082893085,1.4124819040298462,-4.585585594177246,5.333434581756592,0.039589703113443425
91000,208.94575753595544,1.0,0.006,3.849763998182873,0.7691426277160645,-3.479360342025757,6.4481611251831055,0.10308718082458825
92000,192.81710231073387,1.0,0.006,3.868263580535503,0.819673478603363,-3.755434274673462,0.011677742004394531,0.25327024962788985
93000,163.16149801594034,1.0,0.006,3.8769077097610207,0.6368041634559631,-3.241983413696289,2.5256128311157227,0.14821041241401034
94000,163.77700441888723,1.0,0.006,3.8865436675920897,0.5733684301376343,-3.0908455848693848,1.3406381607055664,0.14791201818619032
95000,250.10768405735539,1.0,0.006,3.942798345671395,1.8085113763809204,-5.561297416687012,0.37842845916748047,0.2589865599715251
96000,193.19017630776636,1.0,0.006,3.961339248840236,0.8371137976646423,-3.8771584033966064,-5.08793830871582,0.2527738787629825
97000,215.1325784192481,1.0,0.006,3.9938275704481128,0.8330743908882141,-3.8026463985443115,5.674863338470459,0.15736396898469787
98000,276.14096423350105,1.0,0.006,4.054962192478699,1.3632127046585083,-4.998381614685059,1.865455150604248,0.26394186556052684
99000,188.09110059121568,1.0,0.006,4.068557739111191,0.8708494305610657,-4.045670032501221,-1.448598861694336,0.24891961012914227
100000,238.48376060990367,1.0,0.006,4.106791018016781,1.2584589719772339,-4.968028545379639,3.0546975135803223,0.3609872217949099
101000,155.49091744945494,1.0,0.006,4.108788210272008,0.51772141456604,-2.958738088607788,6.657668590545654,0.002347565729054424
102000,191.1806950522062,1.0,0.006,4.120823908223908,0.5714940428733826,-3.3250670433044434,3.9574246406555176,0.20983847507606135
103000,275.3679469793464,1.0,0.006,4.175713697314694,1.5416535139083862,-5.570218086242676,1.810816764831543,0.3855126109845641
104000,178.4442440054487,1.0,0.006,4.182486331048783,0.6863886713981628,-3.6180152893066406,6.820101737976074,0.15288470806702414
105000,254.17661182090166,1.0,0.006,4.223489567943466,1.625620722770691,-6.098389625549316,3.976614475250244,0.713446955626829
106000,196.99612956882532,1.0,0.006,4.235963204325783,0.6149915456771851,-3.522094249725342,-2.223111867904663,0.2001928776582854
107000,142.50922210642287,1.0,0.006,4.235784314660809,0.7065148949623108,-3.7726328372955322,1.8102679252624512,0.2122678277103393
108000,149.20862354833378,1.0,0.006,4.233249231041312,0.5483003854751587,-3.2215914726257324,-0.3645000457763672,0.08698445707431228
109000,242.20416968961973,1.0,0.006,4.268599547509824,0.9256168603897095,-4.164310455322266,2.8018712997436523,0.05753416321652144
110000,251.74117211856068,1.0,0.006,4.307889939676142,1.507604956626892,-5.826549053192139,-2.355390787124634,0.5371251278791197
111000,24.3748134710218,1.0,0.006,4.289413653162025,0.024759666994214058,-0.7161522507667542,-3.5693745613098145,0.041204278993870816
112000,46.864975592704155,1.0,0.006,4.272739137688893,0.05075963959097862,-0.9896323680877686,-1.3985710144042969,0.02698853523312552
113000,105.29028116888485,1.0,0.006,4.262967842597249,0.3480425775051117,-2.566422462463379,2.7955527305603027,0.051478792814970246
114000,159.45903110782376,1.0,0.006,4.26478871059753,0.8407939076423645,-4.131194591522217,3.261749744415283,0.22060451047067042
115000,161.6895733115582,1.0,0.006,4.266838090474361,0.6246730089187622,-3.500643730163574,3.583916187286377,0.12829443043295513
116000,198.4644700162338,1.0,0.006,4.282836676759384,1.8001999855041504,-6.200152397155762,-2.1484739780426025,0.4538044048982748
117000,206.2119739823199,1.0,0.006,4.296949854307258,0.7595171332359314,-3.923631429672241,2.963195323944092,0.1788274496808216
118000,220.69970991704315,1.0,0.006,4.31694859552989,1.801912784576416,-6.709035396575928,-2.144808292388916,0.9141643403999419
119000,187.2669683032136,1.0,0.006,4.324930611552937,0.5623674988746643,-3.356539726257324,5.532235622406006,0.11322382162945716
120000,235.0633777183174,1.0,0.006,4.3530540837065095,0.8560052514076233,-4.042116165161133,0.7458219528198242,0.014646601550848834
121000,180.74714790616335,1.0,0.006,4.35849281587709,0.6910420060157776,-3.82883620262146,1.6695995330810547,0.20566747028551233
122000,247.7318814229175,1.0,0.006,4.390774670625575,1.0803139209747314,-4.8510613441467285,0.48967766761779785,0.28737123652914326
123000,273.78535658175224,1.0,0.006,4.432616495296342,1.0498367547988892,-4.981045246124268,0.7582073211669922,0.4393173793187994
124000,202.47926565072996,1.0,0.006,4.442636807945999,0.7528077960014343,-4.056682109832764,3.3836121559143066,0.20205051377675734
125000,205.56346052140344,1.0,0.006,4.454243057969122,0.7213234901428223,-3.954824209213257,4.552030563354492,0.1718014441116003
126000,276.3026284741791,1.0,0.006,4.494454934035234,0.6192328929901123,-3.691695213317871,0.6284666061401367,0.15494800305897805
127000,325.6588593525716,1.0,0.006,4.554919786401994,1.7637434005737305,-6.260484218597412,5.781431198120117,0.21127747240193032
128000,183.91006490754188,1.0,0.006,4.5587032014143345,0.5172677636146545,-3.434183120727539,6.085593223571777,0.1555030976857734
129000,141.35289215299298,1.0,0.006,4.553795851029986,0.13504338264465332,-1.7331691980361938,-0.05507946014404297,0.05972895791038324
130000,243.0338847364269,1.0,0.006,4.576439263517904,1.126753807067871,-5.175584316253662,6.022374153137207,0.31775536785744146
