step,episode_return
1000,0.0
2000,0.0
3000,0.0
4000,2.0
5000,0.0
6000,0.0
7000,0.0
8000,3.0
9000,0.0
10000,0.0
11000,0.0
12000,0.0
13000,0.0
14000,0.0
15000,0.0
16000,3.0
17000,0.0
18000,0.0
19000,0.0
20000,0.0
21000,0.0
22000,0.0
23000,0.0
24000,0.0
25000,0.0
26000,0.0
27000,0.0
28000,0.0
29000,0.0
30000,0.0
31000,0.0
32000,0.0
33000,0.0
34000,12.0
35000,9.0
36000,74.0
37000,95.0
38000,26.0
39000,49.0
40000,49.0
41000,100.0
42000,111.0
43000,108.0
44000,12.0
45000,72.0
46000,0.0
47000,90.0
48000,164.0
49000,190.0
50000,149.0
51000,119.0
52000,48.0
53000,273.0
54000,269.0
55000,159.0
56000,232.0
57000,268.0
58000,305.0
59000,304.0
60000,272.0
61000,258.0
62000,228.0
63000,203.0
64000,258.0
65000,230.0
66000,252.0
67000,238.0
68000,230.0
69000,184.0
70000,196.0
71000,59.0
72000,228.0
73000,192.0
74000,269.0
75000,257.0
76000,345.0
77000,369.0
78000,154.0
79000,38.0
80000,267.0
81000,225.0
82000,207.0
83000,184.0
84000,286.0
85000,319.0
86000,199.0
87000,368.0
88000,342.0
89000,369.0
90000,376.0
91000,380.0
92000,325.0
93000,352.0
94000,376.0
95000,404.0
96000,389.0
97000,348.0
98000,389.0
99000,364.0
100000,94.0
101000,405.0
102000,374.0
103000,404.0
104000,298.0
105000,297.0
106000,351.0
107000,399.0
108000,439.0
109000,438.0
110000,333.0
111000,407.0
112000,435.0
113000,433.0
114000,405.0
115000,444.0
116000,445.0
117000,419.0
118000,414.0
119000,428.0
120000,460.0
121000,423.0
122000,434.0
123000,433.0
124000,434.0
125000,472.0
126000,459.0
127000,431.0
128000,466.0
129000,457.0
130000,457.0
131000,430.0
132000,434.0
133000,351.0
134000,459.0
135000,460.0
136000,464.0
137000,472.0
138000,488.0
139000,473.0
140000,462.0
141000,486.0
142000,481.0
143000,471.0
144000,476.0
145000,406.0
146000,451.0
147000,439.0
148000,469.0
149000,439.0
150000,476.0
151000,232.0
152000,464.0
153000,460.0
154000,462.0
155000,455.0
156000,455.0
157000,482.0
158000,457.0
159000,455.0
160000,460.0
161000,452.0
162000,454.0
163000,490.0
164000,452.0
165000,469.0
166000,442.0
167000,457.0
168000,451.0
169000,439.0
170000,457.0
171000,446.0
172000,445.0
173000,454.0
174000,465.0
175000,472.0
176000,463.0
177000,464.0
178000,453.0
179000,479.0
180000,467.0
181000,473.0
182000,471.0
183000,469.0
184000,478.0
185000,455.0
186000,474.0
187000,469.0
188000,467.0
189000,460.0
190000,474.0
191000,452.0
192000,470.0
193000,471.0
194000,467.0
195000,443.0
196000,447.0
197000,450.0
198000,435.0
199000,449.0
200000,465.0
201000,450.0
202000,310.0
203000,435.0
204000,467.0
205000,460.0
206000,471.0
207000,450.0
208000,457.0
209000,458.0
210000,470.0
211000,449.0
212000,461.0
213000,462.0
214000,445.0
215000,467.0
216000,450.0
217000,459.0
218000,469.0
219000,455.0
220000,467.0
221000,478.0
222000,454.0
223000,472.0
224000,463.0
225000,452.0
226000,424.0
227000,431.0
228000,473.0
229000,459.0
230000,467.0
231000,479.0
232000,450.0
233000,470.0
234000,450.0
235000,460.0
236000,468.0
237000,479.0
238000,475.0
239000,488.0
240000,482.0
241000,488.0
242000,468.0
243000,464.0
244000,475.0
245000,470.0
246000,481.0
247000,474.0
248000,478.0
249000,461.0
250000,479.0
251000,482.0
252000,482.0
253000,466.0
254000,439.0
255000,465.0
256000,495.0
257000,458.0
258000,482.0
259000,490.0
260000,479.0
261000,486.0
262000,476.0
263000,492.0
264000,486.0
265000,490.0
266000,484.0
267000,483.0
268000,486.0
269000,497.0
270000,495.0
271000,483.0
272000,492.0
273000,485.0
274000,461.0
275000,499.0
276000,502.0
277000,465.0
278000,495.0
279000,490.0
280000,500.0
281000,468.0
282000,478.0
283000,470.0
284000,488.0
285000,480.0
286000,468.0
287000,496.0
288000,483.0
289000,477.0
290000,487.0
291000,474.0
292000,492.0
293000,488.0
294000,492.0
295000,477.0
296000,475.0
297000,478.0
298000,486.0
299000,490.0
300000,486.0
301000,480.0
302000,489.0
303000,496.0
304000,501.0
305000,485.0
306000,481.0
307000,496.0
308000,466.0
309000,487.0
310000,480.0
311000,490.0
312000,471.0
313000,488.0
314000,489.0
315000,495.0
316000,491.0
317000,486.0
318000,496.0
319000,506.0
320000,492.0
321000,505.0
322000,497.0
323000,497.0
324000,481.0
325000,497.0
326000,498.0
327000,496.0
328000,489.0
329000,496.0
330000,477.0
331000,490.0
332000,476.0
333000,480.0
334000,498.0
335000,483.0
336000,493.0
337000,467.0
338000,496.0
339000,494.0
340000,497.0
341000,506.0
342000,493.0
343000,489.0
344000,501.0
345000,490.0
346000,480.0
347000,490.0
348000,486.0
349000,481.0
350000,503.0
351000,481.0
352000,492.0
353000,479.0
354000,484.0
355000,502.0
356000,505.0
357000,498.0
358000,500.0
359000,502.0
360000,505.0
361000,469.0
362000,492.0
363000,484.0
364000,497.0
365000,503.0
366000,494.0
367000,494.0
368000,504.0
369000,497.0
370000,501.0
371000,499.0
372000,486.0
373000,477.0
374000,506.0
375000,497.0
376000,508.0
377000,510.0
378000,491.0
379000,492.0
380000,486.0
381000,513.0
382000,507.0
383000,507.0
384000,503.0
385000,501.0
386000,487.0
387000,502.0
388000,482.0
389000,509.0
390000,480.0
391000,512.0
392000,497.0
393000,506.0
394000,493.0
395000,522.0
396000,486.0
397000,495.0
398000,505.0
399000,488.0
400000,508.0
401000,511.0
402000,502.0
403000,519.0
404000,499.0
405000,508.0
406000,485.0
407000,493.0
408000,510.0
409000,511.0
410000,521.0
411000,497.0
412000,491.0
413000,497.0
414000,509.0
415000,508.0
416000,491.0
417000,495.0
418000,489.0
419000,497.0
420000,501.0
421000,511.0
422000,517.0
423000,512.0
424000,471.0
425000,506.0
426000,511.0
427000,507.0
428000,502.0
429000,499.0
430000,508.0
431000,501.0
432000,511.0
433000,508.0
434000,520.0
435000,514.0
436000,507.0
437000,507.0
438000,504.0
439000,508.0
440000,514.0
441000,505.0
442000,497.0
443000,500.0
444000,516.0
445000,513.0
446000,510.0
447000,523.0
448000,508.0
449000,502.0
450000,509.0
451000,513.0
452000,500.0
453000,522.0
454000,514.0
455000,508.0
456000,515.0
457000,521.0
458000,503.0
459000,510.0
460000,519.0
461000,510.0
462000,515.0
463000,509.0
464000,522.0
465000,510.0
466000,502.0
467000,521.0
468000,490.0
469000,500.0
470000,513.0
471000,525.0
472000,512.0
473000,520.0
474000,506.0
475000,519.0
476000,512.0
477000,513.0
478000,514.0
479000,499.0
480000,518.0
481000,516.0
482000,523.0
483000,508.0
484000,527.0
485000,508.0
486000,520.0
487000,525.0
488000,528.0
489000,503.0
490000,477.0
491000,522.0
492000,512.0
493000,502.0
494000,533.0
495000,531.0
496000,520.0
497000,505.0
498000,507.0
499000,514.0
500000,526.0
501000,514.0
502000,507.0
503000,495.0
504000,522.0
505000,508.0
506000,526.0
507000,515.0
508000,521.0
509000,519.0
510000,524.0
511000,537.0
512000,513.0
513000,530.0
514000,522.0
515000,521.0
516000,492.0
517000,531.0
518000,519.0
519000,521.0
520000,518.0
521000,521.0
522000,533.0
523000,514.0
524000,520.0
525000,527.0
526000,516.0
527000,511.0
528000,516.0
529000,513.0
530000,535.0
531000,536.0
532000,531.0
533000,526.0
534000,501.0
535000,450.0
536000,534.0
537000,533.0
538000,524.0
539000,529.0
540000,539.0
541000,529.0
542000,531.0
543000,531.0
544000,524.0
545000,527.0
546000,532.0
547000,525.0
548000,537.0
549000,522.0
550000,531.0
551000,535.0
552000,523.0
553000,529.0
554000,505.0
555000,486.0
556000,525.0
557000,528.0
558000,524.0
559000,531.0
560000,520.0
561000,502.0
562000,526.0
563000,515.0
564000,520.0
565000,534.0
566000,530.0
567000,541.0
568000,535.0
569000,527.0
570000,537.0
571000,520.0
572000,525.0
573000,521.0
574000,501.0
575000,533.0
576000,523.0
577000,529.0
578000,535.0
579000,533.0
580000,542.0
581000,529.0
582000,528.0
583000,531.0
584000,539.0
585000,543.0
586000,530.0
587000,535.0
588000,524.0
589000,519.0
590000,541.0
591000,534.0
592000,543.0
593000,537.0
594000,542.0
595000,536.0
596000,522.0
597000,510.0
598000,532.0
599000,530.0
600000,535.0
601000,543.0
602000,529.0
603000,518.0
604000,539.0
605000,534.0
606000,531.0
607000,527.0
608000,535.0
609000,519.0
610000,539.0
611000,512.0
612000,533.0
613000,527.0
614000,541.0
615000,542.0
616000,533.0
617000,539.0
618000,528.0
619000,539.0
620000,527.0
621000,521.0
622000,528.0
623000,534.0
624000,528.0
625000,542.0
626000,546.0
627000,540.0
628000,546.0
629000,539.0
630000,541.0
631000,552.0
632000,537.0
633000,529.0
634000,528.0
635000,544.0
636000,538.0
637000,538.0
638000,554.0
639000,530.0
640000,529.0
641000,550.0
642000,538.0
643000,531.0
644000,531.0
645000,537.0
646000,544.0
647000,538.0
648000,545.0
649000,539.0
650000,537.0
651000,544.0
652000,539.0
653000,537.0
654000,540.0
655000,547.0
656000,535.0
657000,534.0
658000,547.0
659000,535.0
660000,546.0
661000,523.0
662000,524.0
663000,549.0
664000,543.0
665000,546.0
666000,535.0
667000,545.0
668000,538.0
669000,548.0
670000,547.0
671000,529.0
672000,544.0
673000,545.0
674000,531.0
675000,544.0
676000,548.0
677000,540.0
678000,542.0
679000,544.0
680000,529.0
681000,537.0
682000,538.0
683000,551.0
684000,543.0
685000,550.0
686000,540.0
687000,539.0
688000,538.0
689000,549.0
690000,536.0
691000,546.0
692000,546.0
693000,547.0
694000,537.0
695000,540.0
696000,544.0
697000,534.0
698000,545.0
699000,544.0
700000,539.0
701000,534.0
702000,529.0
703000,541.0
704000,553.0
705000,551.0
706000,541.0
707000,544.0
708000,547.0
709000,540.0
710000,544.0
711000,549.0
712000,553.0
713000,529.0
714000,541.0
715000,551.0
716000,539.0
717000,538.0
718000,538.0
719000,549.0
720000,546.0
721000,543.0
722000,540.0
723000,532.0
724000,543.0
725000,551.0
726000,542.0
727000,536.0
728000,544.0
729000,544.0
730000,536.0
731000,539.0
732000,541.0
733000,544.0
734000,549.0
735000,545.0
736000,532.0
737000,547.0
738000,547.0
739000,541.0
740000,537.0
741000,539.0
742000,546.0
743000,541.0
744000,546.0
745000,543.0
746000,544.0
747000,548.0
748000,541.0
749000,530.0
750000,542.0
751000,540.0
752000,541.0
753000,548.0
754000,542.0
755000,547.0
756000,542.0
757000,534.0
758000,552.0
759000,552.0
760000,551.0
761000,546.0
762000,548.0
763000,528.0
764000,541.0
765000,551.0
766000,546.0
767000,513.0
768000,549.0
769000,546.0
770000,544.0
771000,543.0
772000,552.0
773000,545.0
774000,547.0
775000,538.0
776000,548.0
777000,550.0
778000,534.0
779000,535.0
780000,540.0
781000,534.0
782000,537.0
783000,545.0
784000,543.0
785000,532.0
786000,548.0
787000,549.0
788000,535.0
789000,542.0
790000,543.0
791000,542.0
792000,543.0
793000,546.0
794000,541.0
795000,549.0
796000,549.0
797000,546.0
798000,544.0
799000,535.0
800000,551.0
801000,547.0
802000,545.0
803000,537.0
804000,547.0
805000,538.0
806000,549.0
807000,550.0
808000,549.0
809000,532.0
810000,541.0
811000,544.0
812000,530.0
813000,545.0
814000,552.0
815000,540.0
816000,543.0
817000,547.0
818000,525.0
819000,541.0
820000,547.0
821000,550.0
822000,538.0
823000,543.0
824000,543.0
825000,539.0
826000,545.0
827000,537.0
828000,538.0
829000,545.0
830000,541.0
831000,542.0
832000,546.0
833000,549.0
834000,545.0
835000,540.0
836000,551.0
837000,538.0
838000,555.0
839000,545.0
840000,547.0
841000,547.0
842000,545.0
843000,538.0
844000,548.0
845000,548.0
846000,535.0
847000,548.0
848000,554.0
849000,548.0
850000,549.0
851000,545.0
852000,535.0
853000,544.0
854000,542.0
855000,532.0
856000,536.0
857000,550.0
858000,548.0
859000,549.0
860000,506.0
861000,542.0
862000,551.0
863000,548.0
864000,547.0
865000,545.0
866000,544.0
867000,543.0
868000,556.0
869000,550.0
870000,536.0
871000,554.0
872000,537.0
873000,538.0
874000,540.0
875000,552.0
876000,538.0
877000,546.0
878000,517.0
879000,548.0
880000,539.0
881000,554.0
882000,543.0
883000,546.0
884000,549.0
885000,541.0
886000,544.0
887000,544.0
888000,543.0
889000,549.0
890000,546.0
891000,547.0
892000,541.0
893000,542.0
894000,543.0
895000,543.0
896000,556.0
897000,540.0
898000,549.0
899000,545.0
900000,550.0
901000,539.0
902000,545.0
903000,541.0
904000,546.0
905000,543.0
906000,537.0
907000,549.0
908000,561.0
909000,559.0
910000,544.0
911000,548.0
912000,541.0
913000,539.0
914000,547.0
915000,542.0
916000,545.0
917000,551.0
918000,552.0
919000,545.0
920000,551.0
921000,543.0
922000,556.0
923000,550.0
924000,548.0
925000,544.0
926000,548.0
927000,547.0
928000,543.0
929000,537.0
930000,560.0
931000,548.0
932000,558.0
933000,556.0
934000,545.0
935000,548.0
936000,547.0
937000,548.0
938000,542.0
939000,551.0
940000,546.0
941000,548.0
942000,548.0
943000,549.0
944000,550.0
945000,542.0
946000,531.0
947000,554.0
948000,548.0
949000,548.0
950000,540.0
951000,549.0
952000,548.0
953000,549.0
954000,537.0
955000,550.0
956000,543.0
957000,543.0
958000,553.0
959000,556.0
960000,546.0
961000,542.0
962000,547.0
963000,543.0
964000,547.0
965000,545.0
966000,548.0
967000,531.0
968000,551.0
969000,551.0
970000,548.0
971000,561.0
972000,544.0
973000,552.0
974000,553.0
975000,551.0
976000,553.0
977000,548.0
978000,557.0
979000,554.0
980000,548.0
981000,554.0
982000,545.0
983000,543.0
984000,543.0
985000,542.0
986000,548.0
987000,541.0
988000,544.0
989000,542.0
990000,553.0
991000,549.0
992000,558.0
993000,548.0
994000,544.0
995000,557.0
996000,544.0
997000,541.0
998000,546.0
999000,548.0
1000000,549.0
