step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
1000,-241.03309856175377,1.0,0.07,0.5729154188672184,2.102078437805176,-1.2340850830078125,-4.59862756729126,0.8201328803339722
2000,-158.77788735289835,1.0,0.07,0.5430148454221193,5.82283878326416,-1.9185965061187744,-4.060261249542236,1.3236914253331353
3000,-187.57256184384502,1.0,0.07,0.5250918501296518,0.014584986492991447,-0.6550371050834656,-1.9829766750335693,-0.029481709107548465
4000,-144.01088118669844,1.0,0.07,0.509571837223928,0.12384658306837082,-2.2732505798339844,-3.743847608566284,0.12474241259879446
5000,-198.5073246406666,1.0,0.07,0.5031502255129541,0.013102298602461815,-1.5481376647949219,-1.105402946472168,0.34924541481329224
6000,-154.2648131378773,1.0,0.07,0.4953431654103055,0.6176339387893677,-1.47074556350708,-3.2618982791900635,0.10542773803967459
7000,-214.74975433431786,1.0,0.07,0.49388276028468947,0.9131786823272705,-2.4063897132873535,-5.332418441772461,0.9459289518132101
8000,-288.3751356536935,1.0,0.07,0.5033228383131207,0.035314757376909256,-1.0965100526809692,-2.1721267700195312,-1.1892403649055598
9000,-132.70821772839648,1.0,0.07,0.4982376555721196,0.020886460319161415,-0.28258058428764343,-0.6862106323242188,-0.7364312349546357
10000,-261.9268734463183,1.0,0.07,0.49923144713170853,3.0220232009887695,-1.8439302444458008,-3.9701337814331055,0.49412034117127046
11000,-247.51169475780978,1.0,0.07,0.5015152415764679,0.0011321277124807239,-0.4700135290622711,-4.129966735839844,0.04223950715293842
12000,-212.50399488902332,1.0,0.07,0.5025817961132875,0.1577354520559311,-2.4356069564819336,-2.3358054161071777,-0.04786081956799884
13000,-249.9734840131963,1.0,0.07,0.5033674248169161,0.17835696041584015,-2.1784565448760986,-4.682724952697754,0.2954571066681572
14000,-168.22167503306085,1.0,0.07,0.5031317560978826,0.024548161774873734,-1.0093622207641602,-4.057983875274658,-0.5186002074957043
15000,-233.56063575109562,1.0,0.07,0.5037386880968268,0.24573394656181335,-0.2693236172199249,-3.7727701663970947,-0.06189483315596972
16000,-183.94576771291577,1.0,0.07,0.5041496506645249,0.08312404155731201,-2.818281650543213,-3.7431154251098633,-0.17194619502002417
17000,-135.40440583054485,1.0,0.07,0.5061493140545238,0.3036808669567108,-4.5912699699401855,-3.2835521697998047,0.3563604432370322
18000,-156.3820670494291,1.0,0.07,0.5070946015810224,0.17271345853805542,-5.053080081939697,-3.2219138145446777,0.26418130671067985
19000,-143.44063935952795,1.0,0.07,0.5080849589161808,3.829911708831787,-4.205825328826904,-2.638115882873535,-1.112520706639859
20000,-175.87741636929684,1.0,0.07,0.507962394394404,0.45716580748558044,-3.27524995803833,-3.3484508991241455,0.3288556571737057
21000,-133.16564925816027,1.0,0.07,0.5047274010259502,0.054851677268743515,-3.8830976486206055,-1.0810799598693848,-0.41668250957066905
22000,-101.08298133701916,1.0,0.07,0.5006194094715882,0.044129710644483566,-6.043014049530029,-3.287919044494629,0.44937654034350905
23000,-89.7374564798381,1.0,0.07,0.49882155965436253,0.11448297649621964,-5.516419410705566,-3.4484121799468994,-0.08640423626238944
24000,-84.40096853370407,1.0,0.07,0.49792711844793275,0.4363726079463959,-4.5249247550964355,-1.7822742462158203,-0.48529971688128415
25000,-184.73581586340427,1.0,0.07,0.4997903191272209,0.5189000368118286,-5.005936622619629,-4.4191389083862305,0.6361889120092463
26000,-146.0518659425408,1.0,0.07,0.5031613189619725,1.673192024230957,-3.925185203552246,-5.930558681488037,0.40897593299696305
27000,-78.66975052410405,1.0,0.07,0.5079797428312071,0.20742547512054443,-6.500739574432373,-3.9362988471984863,-0.9001455038039399
28000,-65.25532831748656,1.0,0.07,0.5107757074521592,0.738531231880188,-8.046919822692871,-1.9525752067565918,0.37036606912181297
29000,-110.79221203495035,1.0,0.07,0.5107935417986907,0.016490735113620758,-7.630502700805664,-1.2927618026733398,0.08454377726612805
