step,mean,std,n,ci95_low,ci95_high
10000,-196.4105839305927,99.56319519438365,3,-309.07694552243174,-83.74422233875366
20000,-128.60813085399113,144.08763191540896,3,-291.65863567757503,34.44237396959275
30000,-86.41234036731238,91.02605339513073,3,-189.4180165719704,16.59333583734565
40000,-71.6258277487669,200.35848099871498,3,-298.35279270927083,155.10113721173707
50000,-79.60307012604723,203.6117372351968,3,-310.0114410797473,150.8053008276529
60000,82.90140671684128,72.38899078924807,3,0.9855522125073719,164.8172612211752
70000,48.11442303045349,274.4882738026102,3,-262.49829935743855,358.7271454183456
80000,87.99313231554633,287.5480899203167,3,-237.3981632405505,413.3844278716432
90000,278.92629061624143,73.11374165559198,3,196.19030330066053,361.66227793182236
100000,355.6732743648304,157.9736506306635,3,176.90926012052668,534.437288609134
110000,392.63403253650694,195.17761590127475,3,171.76976833894182,613.498296734072
120000,472.41133057247316,255.45589077850968,3,183.33577705065863,761.4868840942877
130000,375.0062700328103,586.5328201113808,3,-288.71809786370767,1038.7306379293282
140000,358.9297125922457,144.0662330963889,3,195.9034228119481,521.9560023725434
150000,547.9705783888721,47.59387990085069,3,494.1130332187038,601.8281235590405
160000,578.5041762920787,590.2174116763949,3,-89.38969947099201,1246.3980520551495
170000,916.9515038684494,307.10166500273914,3,569.4332551109385,1264.4697526259604
180000,932.4665761841862,317.0167114421808,3,573.7283961542303,1291.2047562141422
190000,1061.697405570865,307.1918194972267,3,714.0771373988985,1409.3176737428314
200000,917.016249228137,607.6733098549979,3,229.3691651408344,1604.6633333154396
210000,1165.1913890893484,258.9941174517864,3,872.1119551678843,1458.2708230108124
220000,1181.1947470193586,121.77890928637818,3,1043.388938345464,1319.000555693253
230000,1266.8758715178817,262.41765241897195,3,969.9223430800437,1563.8293999557197
240000,1328.629425648643,262.25788964853143,3,1031.8566858047047,1625.4021654925814
250000,1380.672655218471,191.98888178153825,3,1163.4167833656177,1597.9285270713242
260000,1378.834792895791,270.66798706103435,3,1072.5451319220144,1685.1244538695676
270000,1477.9955050782346,211.59545393481977,3,1238.5527081926389,1717.4383019638303
280000,1439.0847579918616,264.5002112717277,3,1139.7745923621096,1738.3949236216135
290000,1201.8329635147916,831.4198235740192,3,260.9928639726912,2142.673063056892
300000,1587.8720801799225,93.93250406882369,3,1481.5774454207321,1694.1667149391128
310000,1622.3825251139951,172.74644154673646,3,1426.901524238021,1817.8635259899693
320000,1605.477671685382,193.23447878908945,3,1386.8122741280101,1824.1430692427537
330000,1651.685454177863,191.1861654392323,3,1435.3379413777836,1868.0329669779424
340000,1663.637205023046,195.3726374175262,3,1442.552253204666,1884.7221568414259
350000,1835.7842285289846,285.572100969684,3,1512.6289749679122,2158.939482090057
360000,1719.0778960096122,201.0462772475367,3,1491.5726163242748,1946.5831756949497
370000,1718.8418959586859,146.2024853200228,3,1553.3982092174992,1884.2855826998725
380000,1805.394554880706,91.57750554309528,3,1701.7648518257458,1909.0242579356661
390000,1831.502647696274,143.2941245711012,3,1669.3500809632164,1993.6552144293314
400000,1897.2287322076472,294.89725776810724,3,1563.5210703424768,2230.9363940728176
410000,1874.809695313045,204.39247051860903,3,1643.5178414795118,2106.1015491465782
420000,1879.9241873845567,110.05872389065433,3,1755.3810170092822,2004.4673577598312
430000,1911.4376492523254,111.22950055957739,3,1785.5696203561222,2037.3056781485286
440000,1934.4217869295915,212.6192601399472,3,1693.8204442592641,2175.023129599919
450000,2028.2036524206248,188.40256355016294,3,1815.0060816884886,2241.4012231527613
460000,817.1538918955443,1091.9895469451537,3,-418.54860751129786,2052.8563913023863
470000,2061.7266070023543,145.18806072812842,3,1897.4308497511252,2226.0223642535834
480000,1951.9980849492456,183.8217423830065,3,1743.9842013516852,2160.0119685468057
490000,2008.9370277691453,264.51309112941607,3,1709.6122872083583,2308.2617683299322
500000,1956.3773577973898,166.60911170876332,3,1767.8413994281718,2144.9133161666077
510000,2077.0825830991103,183.27913143619256,3,1869.6827215909182,2284.4824446073026
520000,2052.911701195888,206.51067725452384,3,1819.2228707931627,2286.600531598613
530000,2054.8497125126055,103.35937339520895,3,1937.8875708887354,2171.8118541364756
540000,2008.2615452606397,212.81153816306616,3,1767.4426195242347,2249.080470997045
550000,2119.4461140707263,265.6525163165206,3,1818.8319925304868,2420.0602356109657
560000,1758.5382594446573,644.9404675511371,3,1028.7194164428704,2488.3571024464445
570000,1501.9991708411223,1017.0548701764695,3,351.0932408101935,2652.905100872051
580000,2167.9261927477405,201.20205812654606,3,1940.244630402839,2395.607755092642
590000,1924.8671446509927,552.6808382687199,3,1299.4499003802216,2550.284388921764
600000,2221.3126639919215,199.24406346353243,3,1995.846781188715,2446.778546795128
610000,2237.4853961669996,244.80272662769306,3,1960.465032737968,2514.5057595960316
620000,1962.278316757311,871.985535377442,3,975.5337929412437,2949.022840573378
630000,2272.851248068727,64.15578178305051,3,2200.2521466189974,2345.4503495184563
640000,2215.588994440568,200.66172611040858,3,1988.5188753322054,2442.6591135489307
650000,2270.2167170846037,272.1786636510409,3,1962.2175646204655,2578.215869548742
660000,2306.6571149905967,297.8129960313316,3,1969.6499846739546,2643.664245307239
670000,2303.5871643099567,168.3985685205256,3,2113.0262449316697,2494.148083688244
680000,2316.395043092458,150.72608798944063,3,2145.8324180422364,2486.9576681426793
690000,2347.7175929016353,169.44770385129178,3,2155.969465134705,2539.4657206685656
700000,2310.0759778130455,191.772411039009,3,2093.0650656654752,2527.0868899606157
710000,1691.9153340807372,1055.3912212162033,3,497.6277389684333,2886.202929193041
720000,1699.9537457713616,1355.3963591350737,3,166.17837827302537,3233.729113269698
730000,1954.7440005252845,820.2292840519564,3,1026.5671885538468,2882.920812496722
740000,2294.5088736514012,212.8145293415411,3,2053.686563077909,2535.3311842248936
750000,2408.2012345276103,214.04919497086672,3,2165.9817682685552,2650.4207007866653
760000,2311.002915455849,205.6031558233051,3,2078.341042228638,2543.6647886830597
770000,2363.6528769279307,246.1989059007902,3,2085.052587919746,2642.2531659361152
