step,mean,std,n,ci95_low,ci95_high
10000,199.66780266688505,0.0,1,199.66780266688505,199.66780266688505
20000,425.6344036371755,0.0,1,425.6344036371755,425.6344036371755
30000,357.52330762300085,0.0,1,357.52330762300085,357.52330762300085
40000,371.36693412104466,0.0,1,371.36693412104466,371.36693412104466
50000,665.9845517530291,0.0,1,665.9845517530291,665.9845517530291
60000,427.0013156596837,0.0,1,427.0013156596837,427.0013156596837
70000,403.482413169556,0.0,1,403.482413169556,403.482413169556
80000,374.7550647045427,0.0,1,374.7550647045427,374.7550647045427
90000,556.6547619945054,0.0,1,556.6547619945054,556.6547619945054
100000,390.49223316276687,0.0,1,390.49223316276687,390.49223316276687
