step,mean,std,n,ci95_low,ci95_high
10000,186.7183081597335,0.0,1,186.7183081597335,186.7183081597335
20000,181.415551284704,0.0,1,181.415551284704,181.415551284704
30000,220.3484397693261,0.0,1,220.3484397693261,220.3484397693261
40000,213.8440861285896,0.0,1,213.8440861285896,213.8440861285896
50000,287.14335408427405,0.0,1,287.14335408427405,287.14335408427405
60000,266.68874979147165,0.0,1,266.68874979147165,266.68874979147165
70000,225.3620873618374,0.0,1,225.3620873618374,225.3620873618374
80000,264.2628511711284,0.0,1,264.2628511711284,264.2628511711284
90000,258.06555561124634,0.0,1,258.06555561124634,258.06555561124634
100000,245.0450709644576,0.0,1,245.0450709644576,245.0450709644576
