step,mean,std,n,ci95_low,ci95_high
10000,-223.34690392566029,9.126732074669441,3,-233.67477351711898,-213.0190343342016
20000,-101.82439428297694,133.7347899322708,3,-253.15955553910953,49.51076697315567
30000,235.4979269430006,124.07013443057781,3,95.09935293970179,375.8965009462994
40000,505.4702085358785,122.17423078439829,3,367.2170514743192,643.7233655974378
50000,269.5106339513648,333.1793769233426,3,-107.51732384067753,646.5385917434071
60000,770.2707351500165,232.17917231061813,3,507.5352681878472,1033.006202112186
70000,919.6944322055975,240.7890537783333,3,647.215967172599,1192.172897238596
80000,826.9938870039855,418.9651201590782,3,352.8902221903664,1301.0975518176047
90000,1083.7418201465607,470.23642459033323,3,551.6192125593684,1615.864427733753
100000,1335.2111105152742,392.67773632422217,3,890.8544208430116,1779.5678001875367
110000,1374.8292582410147,392.90810269526804,3,930.2118844795343,1819.446632002495
120000,1535.4867364359663,513.5773738741212,3,954.3192277263533,2116.6542451455794
130000,1242.625248544453,572.5416552301377,3,594.7333741564407,1890.517122932465
140000,1403.4336707177688,576.8835791121608,3,750.6284469224664,2056.238894513071
150000,1573.4801113765031,538.9429336119337,3,963.608769691058,2183.351453061948
160000,1596.0449270943557,584.7759197515742,3,934.3086791133583,2257.781175075353
170000,1584.8455942214703,728.4392241560719,3,760.5390131980813,2409.1521752448593
180000,1799.083998704706,676.0567188069967,3,1034.0538026669833,2564.1141947424285
190000,1676.702581008308,561.2627673460067,3,1041.5739697741787,2311.8311922424373
200000,1637.9739666822813,619.9366319383396,3,936.4496272752651,2339.4983060892973
210000,1894.5336349368065,667.0419058427731,3,1139.7046600945978,2649.362609779015
220000,1963.867636869547,661.8480286610431,3,1214.9160873497972,2712.8191863892966
230000,1743.044142368556,477.0206531418188,3,1203.2444574676933,2282.843827269419
240000,2095.697722076741,800.4193962123452,3,1189.937908495862,3001.4575356576197
250000,917.6282036748438,1385.1495333013947,3,-649.816049927268,2485.0724572769554
260000,1928.5681060888826,781.8666033818217,3,1043.8027539804511,2813.333458197314
270000,1975.8881260779663,763.2933239925876,3,1112.1404181655475,2839.635833990385
280000,1862.624738779595,765.4623069062984,3,996.4225956437429,2728.8268819154473
290000,2152.19376007201,823.0594389119012,3,1220.8143263869067,3083.5731937571127
300000,1791.9625599137053,725.0928271287512,3,971.4427836104127,2612.4823362169977
