step,mean,std,n,ci95_low,ci95_high
10000,-201.45551910351162,6.623255443771444,3,-208.9504381977229,-193.96060000930035
20000,-85.7876232934712,35.09802593963593,3,-125.5047785530468,-46.07046803389559
30000,111.19748022432033,207.95619835921454,3,-124.12711129627338,346.52207174491406
40000,334.15941803441325,54.64628132698234,3,272.3213293750965,395.99750669373
50000,356.0030041429947,28.16061285479123,3,324.13627081496793,387.8697374710215
60000,370.6419183251819,40.779672830104325,3,324.49537435676774,416.78846229359607
70000,444.36383580833575,110.9891330249442,3,318.7678083833493,569.9598632333223
80000,509.25685151158046,31.232852111489798,3,473.91355218628877,544.6001508368721
90000,539.2515822138442,81.45045368199429,3,447.0817171503678,631.4214472773207
100000,549.2248934801956,60.07075640748152,3,481.24843341091923,617.2013535494721
110000,562.1725313916969,89.95725478560516,3,460.3763146702803,663.9687481131135
120000,550.1253232150424,131.14292669324814,3,401.7231313188645,698.5275151112203
130000,529.7856701791171,145.9984426133229,3,364.5728794967436,694.9984608614907
140000,570.5181014715234,68.56085776904399,3,492.9341872814182,648.1020156616287
150000,658.0384459829215,92.49441138289245,3,553.3711662944415,762.7057256714015
160000,369.32886680829216,487.9528224512433,3,-182.84173224407135,921.4994658606556
170000,599.5574502483136,103.76754510552531,3,482.13341885266306,716.981481643964
180000,801.4147745284114,158.3977821554385,3,622.1708102821065,980.6587387747163
190000,687.1528086193357,557.5974057085742,3,56.17194454018238,1318.1336726984891
200000,815.4832185145441,347.17521105687314,3,422.61748345762845,1208.3489535714598
210000,1016.9285285594087,338.94968333277853,3,633.3708543681292,1400.4862027506883
220000,1095.3844233524326,317.772811224289,3,735.7906358735173,1454.978210831348
230000,1233.4364391702557,418.4775557448681,3,759.8845054303879,1706.9883729101234
240000,837.117737779893,859.7306295330093,3,-135.7590545873477,1809.9945301471337
250000,1221.0053105937207,372.4997750193608,3,799.4821336479347,1642.5284875395066
260000,1017.171227523317,407.6368947294686,3,555.8866565521006,1478.4557984945336
270000,1167.489276344543,398.6322986554861,3,716.3943650691515,1618.5841876199345
280000,1115.1408842335115,261.0123110687815,3,819.7776492410716,1410.5041192259514
290000,1351.6106332469874,465.97874264458216,3,824.3060463421014,1878.9152201518734
300000,1379.301869234019,454.7481408234,3,864.7059046589902,1893.8978338090478
310000,1394.3210849664802,460.79967692368297,3,872.8771626382935,1915.7650072946667
320000,1459.807323528914,483.71419686346064,3,912.4331808597872,2007.1814661980407
330000,1523.6008819548133,581.1874927856202,3,865.9253213523472,2181.2764425572796
340000,1537.1909041903025,532.796212156272,3,934.2752326274947,2140.1065757531105
350000,1463.6911933619565,531.4893024789204,3,862.2544293210387,2065.127957402874
360000,1389.3341198948158,431.34837773832174,3,901.217479971428,1877.4507598182036
370000,1554.8348920147043,686.9844817304568,3,777.4387681206017,2332.231015908807
380000,1492.2048116273288,522.6080184002499,3,900.8181666234082,2083.5914566312495
390000,1749.4484189403702,722.0618198350854,3,932.3585502758284,2566.538287604912
400000,1671.679552913065,648.7927107698913,3,937.501486338988,2405.857619487142
410000,1672.4897046129756,766.5622235519604,3,805.0428886210636,2539.936520604888
