step,episode_return
1000,-556.7334509234885
2000,-461.6924247022818
3000,-557.052177199641
4000,-589.4727881766421
5000,-740.8349327494589
6000,-710.2987942998222
7000,-778.4641367117675
8000,-704.1572664379753
9000,-565.1005595103545
10000,-589.9233531705642
11000,-636.817950704607
12000,-505.280558295382
13000,-407.0611786494463
14000,-392.48994873629056
15000,-618.4970632864981
16000,-568.343951455414
17000,-539.2302397300267
18000,-672.9884359156706
19000,-972.3366222796504
20000,-863.7931063645187
21000,-659.9028958526065
22000,-888.9266202512985
23000,-606.3351356301622
24000,-597.529829527784
25000,-603.7322956136541
26000,-603.0077994726639
27000,-590.2236448407175
28000,-621.2473388946737
29000,-604.3732955543907
30000,-602.5653704337417
31000,-600.3689277884845
32000,-601.2227302963998
33000,-600.853796182596
34000,-600.7195584970991
35000,-598.1804951536399
36000,-600.5510885384458
37000,-599.2639621808302
38000,-600.3814681677718
39000,-598.6756055192379
40000,-598.9442287978512
41000,-599.4076323105597
42000,-599.6203237650192
43000,-598.315879982314
44000,-600.888666452077
45000,-601.510536224943
46000,-616.7637266310729
47000,-388.73503249350426
48000,-478.3309054664603
49000,-422.0434701052834
50000,-514.9899519196401
51000,-505.7642055941865
52000,-366.39611643304283
53000,-654.9278138424686
54000,-717.3758200900256
55000,-938.5371740720851
56000,-748.5402388150557
57000,-516.0387119145853
58000,-675.2679306259386
59000,-532.0341245251699
60000,-965.9792652896261
61000,-745.2640044994383
62000,-721.7204370747614
63000,-770.9244301164216
64000,-635.737625619384
65000,-596.4834796089599
66000,-594.7231848605206
67000,-594.1963229830861
68000,-595.1105483294962
69000,-594.5611341537999
70000,-595.8879412208443
71000,-594.8264449518416
72000,-595.8787768906786
73000,-596.9893541501361
74000,-596.8993111012048
75000,-596.8645584742177
76000,-595.397989377802
77000,-596.3811961825619
78000,-597.1533801726899
79000,-595.5500890020717
80000,-589.8202320601964
81000,-595.3855166668252
82000,-595.7994103474183
83000,-596.3729452625549
84000,-593.3053986314161
85000,-594.8487092654193
86000,-597.183240253546
87000,-593.1329870447312
88000,-593.39864003619
89000,-594.0126704030687
90000,-597.995951666432
91000,-592.5873298538896
92000,-593.4285079949791
93000,-602.8868341113991
94000,-598.8744471689279
95000,-594.6266900541214
96000,-594.713267092261
97000,-594.6561797948092
98000,-592.539243020854
99000,-590.1826235735341
100000,-592.2519993511096
101000,-589.6866357357644
102000,-602.620223052725
103000,-594.7842499009729
104000,-590.3588015835425
105000,-594.645045902157
106000,-595.7383008235338
107000,-591.2496681119023
108000,-597.951982336875
109000,-589.4897291292169
110000,-594.0363954087767
111000,-598.0133110144639
112000,-594.3439593681967
113000,-610.0231372849286
114000,-597.840806385564
115000,-595.8025028465328
116000,-594.881819527928
117000,-594.5040005004514
118000,-592.5420106511626
119000,-593.7572980076101
120000,-594.2400769277347
121000,-594.0934265509534
122000,-594.3955061010445
123000,-593.7901413208027
124000,-591.1589618885523
125000,-593.2887496674206
126000,-596.3718511043019
127000,-589.0358112539492
128000,-595.4056036891543
129000,-594.8547789957597
130000,-596.0410786051798
131000,-593.9534595574945
132000,-591.6523479434834
133000,-596.321886467038
134000,-592.5285696837838
135000,-594.0113910733529
136000,-586.086075125978
137000,-611.6181104335993
138000,-597.8000417709999
139000,-592.819120016354
140000,-592.7022003710097
141000,-590.2454727573576
142000,-591.2116051009347
143000,-592.8220132718109
144000,-593.4983473265588
145000,-591.9576292649967
146000,-594.2466849093166
147000,-594.9232155372474
148000,-596.0989352369924
149000,-598.2880931711078
150000,-595.1227470037195
151000,-596.3905401336564
152000,-593.4451327030359
153000,-593.0287091255185
154000,-596.6048126359672
155000,-595.3121292168455
156000,-598.6069101281159
157000,-595.9853844095003
158000,-594.5711365798961
159000,-596.0162324914752
160000,-594.3318985106623
161000,-595.7638027488806
162000,-596.117713460792
163000,-595.4085977597543
164000,-595.4984732459194
165000,-596.4953070438949
166000,-595.1016550344812
167000,-597.0730957626082
168000,-595.3545370666292
169000,-595.9269381783839
170000,-596.2660724848052
171000,-594.7828917333331
172000,-597.2433311551735
173000,-595.4757523286756
174000,-599.26987976984
175000,-597.1648257978942
176000,-596.5331045870373
177000,-596.5789803376659
178000,-594.5917067687341
179000,-595.6840419788867
180000,-596.9345762773153
181000,-596.3501895520786
182000,-595.5294063063862
183000,-595.6270522050947
184000,-595.7498394521698
185000,-596.1142928356047
186000,-597.4750208625165
187000,-594.136191347708
188000,-595.0995054867143
189000,-597.4338039095928
190000,-598.2310874899065
191000,-596.109268353977
192000,-594.5414226311781
193000,-595.0403158359666
194000,-597.2958411325483
195000,-596.8491828393603
196000,-594.7172779144535
197000,-594.1669026969716
198000,-594.6364595624676
199000,-594.8018713438856
200000,-594.6710642410759
201000,-597.4960900116495
202000,-593.6735006203363
203000,-597.0020248329805
204000,-596.6096382067544
205000,-594.2763937929028
206000,-604.0480872784723
207000,-597.2154856879198
208000,-595.8475176650555
209000,-595.9379984340956
210000,-591.7076119903255
211000,-595.2523678505954
212000,-595.9255850384144
213000,-596.2308619429905
214000,-596.6420064345037
215000,-595.1502993051705
216000,-596.2059696107923
217000,-593.1180770262253
218000,-596.5431246718283
219000,-592.9224482634851
220000,-594.1558761422542
221000,-594.8792204397843
222000,-599.7305124765562
223000,-593.3825933215264
224000,-596.1724184919974
225000,-595.1067217833065
226000,-595.6240318442419
227000,-595.4936963178523
228000,-591.3941132229475
229000,-593.6228307369287
230000,-593.3593639102535
231000,-593.1519686274374
232000,-595.7345010950476
233000,-592.6529923310974
234000,-595.4631327514835
235000,-596.3333307202732
236000,-595.8776569438694
237000,-594.8391970156846
238000,-596.2345420874743
239000,-596.1561171671251
240000,-594.714611299792
241000,-597.0097716556733
242000,-594.6993301221952
243000,-597.3881797637212
244000,-594.8571765351824
245000,-594.3706688842321
246000,-595.9785179977589
247000,-595.6494146146679
248000,-596.4302853284812
249000,-596.7289070625687
250000,-596.9893325279434
251000,-596.8230186554133
252000,-596.072873528151
253000,-596.0899368782409
254000,-595.5679382988451
255000,-595.7925781476735
256000,-596.924214741292
257000,-595.4067849954397
258000,-595.7719513751808
259000,-596.2584191154655
260000,-597.1758895925966
261000,-597.0443472996545
262000,-594.7891268080305
263000,-595.6461419488279
264000,-595.9007239721669
265000,-593.8307095052646
