step,mean,std,n,ci95_low,ci95_high
10000,-560.5930443034996,55.18236594093079,3,-623.0377698113126,-498.14831879568663
20000,-662.6565096516161,177.46611388562667,3,-863.4783225544667,-461.8346967487656
30000,-597.3188053241703,4.578512413721403,3,-602.4998798582885,-592.137730790052
40000,-618.568198840601,37.875730213727074,3,-661.428622388513,-575.707775292689
50000,-510.1553847257222,88.6307552470464,3,-610.4505259104318,-409.8602435410125
60000,-488.19664267736806,540.2284059859526,3,-1099.5226332923176,123.12934793758137
70000,-594.130108003048,2.6435630628233984,3,-597.121581221092,-591.138634785004
80000,-593.4846830382576,3.6888219413581016,3,-597.6589780262956,-589.3103880502196
90000,-596.2697399077299,1.6689722523793096,3,-598.158359802925,-594.3811200125348
100000,-592.9192104291734,2.579397706231821,3,-595.8380737108519,-590.000347147495
110000,-594.2278773157045,1.42137937679616,3,-595.8363194966996,-592.6194351347094
120000,-593.7525957607694,2.578472065790052,3,-596.6704115816817,-590.8347799398571
130000,-595.124238376065,2.419989652890321,3,-597.8627144640284,-592.3857622881017
140000,-593.423339631735,3.064034122777484,3,-596.8906206458948,-589.9560586175751
150000,-595.316758148741,1.5801249175884107,3,-597.1048378199258,-593.5286784775561
160000,-595.1654386441107,1.5935534537388336,3,-596.9687141344597,-593.3621631537618
170000,-594.618208635362,2.223055391619836,3,-597.1338326277613,-592.1025846429626
180000,-595.7271579541962,2.13550624698945,3,-598.143710763045,-593.3106051453474
190000,-595.0628255438086,2.817423322837051,3,-598.2510401669763,-591.8746109206409
200000,-594.6044689441145,3.1144046284436397,3,-598.1287495512853,-591.0801883369437
210000,-593.3821047947855,2.3873818793946544,3,-596.0836817134103,-590.6805278761607
220000,-594.7537785686944,0.7495649805090249,3,-595.6019911935075,-593.9055659438814
230000,-594.2491975889036,1.8574273831995454,3,-596.3510745402968,-592.1473206375103
240000,-594.1581058321691,2.6789514017789364,3,-597.1896247255766,-591.1265869387616
250000,-595.0393078716471,2.6425225485412063,3,-598.0296036369374,-592.0490121063568
260000,-594.041563036073,4.370208269878953,3,-598.9869192412905,-589.0962068308554
270000,-593.9590893595192,3.932222693734418,3,-598.4088182277718,-589.5093604912666
280000,-594.4260126093653,2.428288482123052,3,-597.17387970666,-591.6781455120706
290000,-594.3224178332265,2.5767756442099308,3,-597.2383139724052,-591.4065216940478
300000,-593.6319792285865,3.3460035121379743,3,-597.4183386443334,-589.8456198128396
310000,-595.9152070220244,2.5497602683120664,3,-598.8005323854912,-593.0298816585577
320000,-596.1576666869738,2.0299001528940064,3,-598.4547149503886,-593.860618423559
330000,-594.820504135108,2.707294388145232,3,-597.8840961368995,-591.7569121333164
340000,-594.1565195043722,2.3179594597006927,3,-596.7795375597087,-591.5335014490357
350000,-595.3529647440042,2.4295887713019666,3,-598.1023032570215,-592.603626230987
360000,-596.1219051407667,2.0023992229209875,3,-598.3878331723085,-593.8559771092248
370000,-595.3720837462785,2.617549180101135,3,-598.3341194848255,-592.4100480077315
380000,-595.1586454086874,2.104691003757288,3,-597.5403274871447,-592.7769633302302
390000,-595.3868428513483,3.7622165329905726,3,-599.644191638369,-591.1294940643277
400000,-596.4938356339712,1.9462197614933021,3,-598.6961906202439,-594.2914806476986
410000,-595.561340496137,2.880367694046521,3,-598.8207833806417,-592.3018976116322
