step,mean,std,n,ci95_low,ci95_high
10000,-242.59643260348025,11.90043161355164,3,-256.06303869877155,-229.12982650818898
20000,-146.29755114398586,34.04403270763423,3,-184.82200078216982,-107.77310150580189
30000,-45.99847698976891,219.4033628721778,3,-294.27675459587647,202.27980061633866
40000,172.63843969351933,44.716337157484475,3,122.03714067522579,223.2397387118129
50000,311.88498772473423,88.08239542934554,3,212.21037408921478,411.5596013602537
60000,330.08132387603297,144.2727955034568,3,166.82128672753817,493.34136102452777
70000,341.44203379840604,73.57713644360271,3,258.181665915851,424.7024016809611
80000,399.97466233771803,50.36467681742607,3,342.9816652900667,456.96765938536936
90000,503.6206083395545,65.45880954294012,3,429.54699217107463,577.6942245080344
100000,475.8084395652235,13.989642722280108,3,459.9776685417363,491.63921058871074
110000,514.0866253595788,122.75669167986655,3,375.174351746629,652.9988989725285
120000,401.84840393282207,458.8661433160793,3,-117.40751914364375,921.1043270092879
130000,592.9192282112042,122.8613603466596,3,453.88851085167505,731.9499455707333
140000,645.3044115378096,55.16610625941028,3,582.8780855917422,707.7307374838771
150000,618.9558570596919,28.219504664777226,3,587.0224813750621,650.8892327443217
160000,607.0708425425496,116.30537885616212,3,475.4589166325686,738.6827684525306
170000,602.0887750510543,97.57875935110293,3,491.6680140130983,712.5095360890103
180000,633.4363303897453,84.67746201886965,3,537.6147616276035,729.2578991518872
190000,670.9029232453055,122.07064311387207,3,532.7669866678937,809.0388598227173
200000,661.0373061332841,122.50975103488305,3,522.4044721661303,799.670140100438
210000,723.0085118983989,59.17379362052053,3,656.0470607738722,789.9699630229255
220000,708.5231098165403,83.03147902689425,3,614.5641461524556,802.4820734806251
230000,591.9392807262709,175.31050505194685,3,393.55676885058983,790.321792601952
240000,703.2033930900889,36.95518704425606,3,661.3846622016986,745.0221239784792
250000,712.2389953209064,21.80414910000549,3,687.5652778703221,736.9127127714906
260000,746.9336665999214,60.38513986070045,3,678.6014481628093,815.2658850370334
270000,796.619726277109,87.80531158781365,3,697.2586625253628,895.9807900288552
280000,730.1896996137481,20.243395702039546,3,707.2821408962942,753.0972583312019
290000,343.3052567614822,482.8753641427476,3,-203.1196573253115,889.730170848276
300000,703.9917027513878,99.083761184912,3,591.867871814226,816.1155336885497
310000,675.6525489461051,60.72547381267248,3,606.9352063873736,744.3698915048366
320000,682.7785601133037,52.8673095576169,3,622.9535675206378,742.6035527059696
330000,736.5269257996229,82.43540478877743,3,643.2424836343323,829.8113679649134
340000,764.6956119481952,22.978560882730292,3,738.6929224581754,790.6983014382149
350000,741.6600570661284,44.636708825528935,3,691.1488659880586,792.1712481441982
360000,751.3615519108544,41.729760364070046,3,704.1398826872021,798.5832211345066
370000,828.5449601390109,97.49016639020643,3,718.2244514739058,938.865468804116
380000,773.6437890762123,36.97929847994268,3,731.797773529809,815.4898046226157
390000,842.4868410663152,59.47992365515106,3,775.1789711963027,909.7947109363276
400000,841.3206626071724,61.53914511231448,3,771.6825642944357,910.9587609199091
410000,829.7317015499087,79.65010426203888,3,739.5991236420357,919.8642794577818
420000,865.1792994076046,53.50444348370108,3,804.633321905219,925.7252769099903
430000,850.4708163756733,112.5830305854698,3,723.0711240668518,977.8705086844948
440000,415.41517269233435,696.0203555903136,3,-372.2060050442578,1203.0363504289264
450000,717.5630734383994,228.83438986894961,3,458.61258412066303,976.5135627561358
460000,876.7534907152044,169.14182790402504,3,685.3514941668406,1068.1554872635684
470000,316.80577598365204,473.3903903352308,3,-218.8858798283299,852.4974317956339
480000,710.9948980907634,54.98190961188981,3,648.7770102733942,773.2127859081326
490000,875.2593077969365,58.6764578854089,3,808.8606450366767,941.6579705571962
500000,853.0061645347045,179.41746331763093,3,649.9761918769466,1056.0361371924623
510000,896.5290340952652,102.64749829495392,3,780.372454981688,1012.6856132088424
520000,926.2005405820046,166.38966710910347,3,737.9129071542109,1114.4881740097983
530000,1027.2015155041502,261.093544088077,3,731.7463566968178,1322.6566743114827
540000,1031.4292552218428,197.23160536892593,3,808.240683135038,1254.6178273086475
550000,1108.6172575306994,339.87135063658985,3,724.0166186021407,1493.217896459258
560000,981.371437843684,80.45588789373451,3,890.3270299183416,1072.4158457690264
570000,1124.2086558524052,307.2087498922333,3,776.5692291349342,1471.8480825698762
580000,824.4554367566569,121.17937999310891,3,687.3280593445203,961.5828141687936
590000,1118.4215210401783,279.8711884993765,3,801.7174572438487,1435.1255848365079
600000,1111.9839587789136,164.92738236714962,3,925.3510563103418,1298.6168612474853
610000,850.1915270224134,933.3920174490112,3,-206.04097274351022,1906.424026788337
620000,953.2463703936974,862.6375921142571,3,-22.919959806006318,1929.412700593401
630000,1291.5241485404706,501.8853814026288,3,723.587374832385,1859.4609222485562
640000,1223.7848864740415,417.33778063628637,3,751.5227296870542,1696.0470432610289
650000,1235.9685443011965,490.7520789095013,3,680.6302883682091,1791.3068002341838
660000,1111.9225179285263,152.6319156002548,3,939.203245913405,1284.6417899436476
670000,1090.5740399758079,125.39170244314657,3,948.6799709828034,1232.4681089688122
680000,1219.9524607983656,332.323687866201,3,843.8928063289904,1596.0121152677407
690000,1326.620303720252,426.9384199873343,3,843.4940007743733,1809.7466066661307
700000,1339.632000540499,456.2077691990593,3,823.3843109676868,1855.879690113311
710000,1389.3419718891364,442.92446704307207,3,888.1257537442775,1890.5581900339953
720000,1184.4641423100818,164.87341688205285,3,997.8923075367112,1371.0359770834523
730000,1316.8315058455034,412.11140383519876,3,850.483551162385,1783.1794605286218
740000,1335.4821900226038,614.8246594449568,3,639.742592058071,2031.2217879871368
750000,1400.9533774058166,549.8694192921535,3,778.7175532007793,2023.1892016108538
760000,1445.9082029849094,520.2988680026607,3,857.1346076441378,2034.681798325681
770000,1452.1338651014696,533.932839900401,3,847.931978163941,2056.335752038998
780000,995.3532045038113,185.07909835139236,3,785.916488684894,1204.7899203227284
790000,1335.8912517395902,296.0150642757773,3,1000.9186727337335,1670.8638307454469
800000,806.905858729242,611.4233109885174,3,115.01524888069764,1498.7964685777865
810000,1326.0707898313638,307.33332819167384,3,978.290389497047,1673.8511901656805
820000,1326.8838492436696,370.11266142642205,3,908.0619456218037,1745.7057528655355
830000,1430.7773850528354,443.32246761719074,3,929.1107868603107,1932.44398324536
840000,1387.1308468398563,411.0481779346244,3,921.9860455261535,1852.2756481535591
850000,1457.6531423169356,476.51260189093927,3,918.4283715279294,1996.8779131059418
860000,1457.132875942074,385.780154258108,3,1020.5815351605634,1893.6842167235845
