step,mean,std,n,ci95_low,ci95_high
10000,-216.53078808621117,93.79802179858304,3,-322.67324183054916,-110.38833434187322
20000,-101.41745553362034,62.0254708628634,3,-171.6058832402238,-31.229027827016893
30000,52.338916472968286,185.87909139858482,3,-158.00307670019586,262.6809096461324
40000,243.19989504383213,189.71813986713792,3,28.5136095638357,457.88618052382856
50000,201.12779706299065,388.1719994288823,3,-238.13017132680469,640.385765452786
60000,421.86851269625475,93.66515878687957,3,315.8764076032386,527.8606177892709
70000,381.8171174242705,265.5900343151414,3,81.27370092464997,682.3605339238911
80000,519.0331674409321,516.2742508318637,3,-65.18614483822773,1103.2524797200917
90000,823.4416644693762,343.76541746649485,3,434.434474097141,1212.4488548416114
100000,684.3544434337118,822.8684707412381,3,-246.8088894229029,1615.5177762903265
110000,691.2444322954175,887.0658429247885,3,-312.56506597961857,1695.0539305704535
120000,830.210681497941,401.61796138649015,3,375.7371747868985,1284.6841882089834
130000,735.4289251856775,235.81286771439673,3,468.5815447852397,1002.2763055861153
140000,696.3656469302908,160.95171448731318,3,514.231636186158,878.4996576744237
150000,414.5651295629814,385.57820092437737,3,-21.757679507806813,850.8879386337696
160000,1078.5581458578702,657.9406831453068,3,334.0281740293618,1823.0881176863786
170000,1014.4456861399145,508.9564397270023,3,438.50725667484505,1590.384115604984
180000,1070.258504919642,644.0676213639367,3,341.4273803608919,1799.0896294783922
190000,639.3986449235513,40.21581671509519,3,593.8901642155151,684.9071256315874
200000,1108.4280611740721,554.0726875677201,3,481.4357911511006,1735.4203311970437
210000,1119.469975804001,612.9060068137152,3,425.90153768120035,1813.0384139268017
220000,1224.7533882258283,615.5355873685143,3,528.2092995823363,1921.2974768693202
230000,1117.1405345196615,573.9666517805863,3,467.63612473333774,1766.6449443059853
240000,1212.7429296635912,590.5801884155809,3,544.4385333743919,1881.0473259527905
250000,1179.5055547501984,564.0325255973448,3,541.2426669989486,1817.7684425014481
260000,1187.4669221857382,606.9241499639859,3,500.6675923213297,1874.2662520501467
270000,1350.3048158923996,782.5947599005707,3,464.71547711422886,2235.89415467057
280000,1285.433671701125,698.4736975649456,3,495.03627617157554,2075.8310672306743
290000,1117.8467592200848,766.0683851972701,3,250.9587739339254,1984.7347445062442
300000,1351.9744120498383,813.9326818026678,3,430.9228762854698,2273.025947814207
310000,1419.9714097533808,814.8849840253505,3,497.8422425775657,2342.100576929196
320000,1407.9473497129702,779.1415158085956,3,526.2657244907149,2289.6289749352254
330000,1392.8584444058095,711.2123945159401,3,588.0458562532477,2197.6710325583713
340000,1344.2858765938383,614.0629014394515,3,649.4082889607956,2039.163464226881
350000,1352.8927269708083,610.5194968126589,3,662.0248791434135,2043.7605747982032
360000,1305.9593241145683,652.1727144413014,3,567.9564233225722,2043.9622249065644
370000,1199.3582742160218,359.27147136467335,3,792.8043320351095,1605.9122163969341
380000,1102.0426223810275,207.9128108251813,3,866.7671284771627,1337.3181162848923
390000,1327.003611755879,676.7664405937352,3,561.1702899114953,2092.836933600263
400000,1284.7486284749982,454.90286420313856,3,769.9775779134831,1799.5196790365135
410000,1317.7158676111824,593.6053141005997,3,645.9882193499701,1989.4435158723945
420000,1321.4714213386635,783.998589017792,3,434.29350036779385,2208.649342309533
430000,1349.5225053794818,663.0702064916926,3,599.1879314486669,2099.8570793102967
440000,1322.052931063776,723.442518879214,3,503.4006543482311,2140.705207779321
