step,episode_return
1000,-195.4625124314152
2000,-199.3625045708747
3000,-228.1920738165584
4000,-146.32990677204373
5000,-190.835304614844
6000,-265.60302055065694
7000,-243.8056645760185
8000,-216.68320122861863
9000,-160.6266542278956
10000,-120.60277335919629
11000,-176.53060187035393
12000,-256.1614562564299
13000,-215.41289924851318
14000,-194.4006527638708
15000,-152.15497865899476
16000,-246.18707679917503
17000,-176.4419857409286
18000,-196.5191396543143
19000,-211.18475775401404
20000,-206.29966840790163
21000,-230.0113286198816
22000,-210.40352938891402
23000,-186.92577681056108
24000,-257.62679223869696
25000,-146.2050180675691
26000,-217.40414230436397
27000,-153.39128710926403
28000,-149.52521426349554
29000,-199.90208130781696
30000,-77.92147338284703
31000,-134.3519511151558
32000,-113.45679962947496
33000,-37.09139665234832
34000,-139.8561249720221
35000,-67.56011920440311
36000,-24.12980626022191
37000,-15.624551534810134
38000,69.06523975657173
39000,92.42236393172527
40000,61.60877080094196
41000,41.175447841918256
42000,-68.98948543593404
43000,5.30594245362959
44000,151.6924595699039
45000,181.10306708008625
46000,226.66808092106038
47000,252.9117422086988
48000,55.676082332949996
49000,227.10530241797863
50000,108.50146712274295
51000,274.6689626654608
52000,437.9287533297322
53000,-20.45504137373137
54000,292.9051441111384
55000,-157.16207654038627
56000,-99.61846580705843
57000,-216.3542018986656
58000,-139.48545550958949
59000,379.4034466769211
60000,-53.37048684797871
61000,430.9708357803132
62000,426.7656200230002
63000,139.43879341192428
64000,-117.55008849809538
65000,416.7997831508809
66000,-156.2400229849692
67000,444.82213930850804
68000,-73.85121011220374
69000,26.393180308804958
70000,8.897218350422094
71000,-112.30465550079043
72000,112.00136380887784
73000,427.4781810064711
74000,-92.99799097882659
75000,-120.03407587956228
76000,3.9110479258481714
77000,-24.863563463461006
78000,-136.6962250924641
79000,464.8466565904621
80000,-59.48889013090695
81000,425.9143943001555
82000,516.991600357668
83000,522.3714306373238
84000,-34.292446531660644
85000,-127.80015804608264
86000,636.6572963221086
87000,555.7506813074938
88000,561.5073923070497
89000,787.368462619102
90000,761.3762936867266
91000,102.06779820937489
92000,123.78470047894672
93000,6.839042718668489
94000,681.2558031621394
95000,729.3298376146398
96000,714.4227289243349
97000,638.9659222564987
98000,589.3515830971492
99000,307.2314015511062
100000,-41.107155843489146
101000,1.7068040283750618
102000,-32.02928713388431
103000,25.219480706880493
104000,-17.7272189722556
105000,273.7960173169093
106000,400.5226365834114
107000,314.58949976552645
108000,313.11737353266557
109000,279.1991793156899
110000,-86.18434013388774
111000,656.5266745390488
112000,639.7516792375541
113000,868.015036794795
114000,-144.0520615264403
115000,549.5520708981821
116000,694.9858466785029
117000,739.5886756469606
118000,648.0469872111496
119000,805.2897676716756
120000,848.3884350744842
121000,836.0301515316486
122000,793.7332906174771
123000,815.402008054866
124000,824.9420162994375
125000,877.6702710492978
126000,784.3605702639169
127000,951.9897047919586
128000,866.6126530947907
129000,918.3795800873742
130000,836.7903052015714
131000,906.2937045209816
132000,929.8986178120834
133000,895.0526413333957
134000,912.6843538121475
135000,301.7434987472634
136000,748.280232091566
137000,935.4959198096268
138000,55.88626554918199
139000,1052.8521640512135
140000,950.5553124950046
141000,950.730066168816
142000,928.6113096837381
143000,1044.5606426737966
144000,1054.3846982469015
145000,992.5528153631128
146000,1170.1051284481835
147000,1155.6681262201482
148000,1179.4206856914773
149000,1052.332194693173
150000,686.7979877126096
151000,1177.7458560012858
152000,-4.86255943430175
153000,1233.9069651764867
154000,635.0296710718274
155000,1118.3808973624855
156000,1075.2343047858094
157000,1012.8404644983848
158000,918.1898116273059
159000,855.1970436292028
160000,900.8232707407348
161000,1101.9843212779454
162000,1164.8772253577476
163000,1145.8191029331733
164000,1109.7391470308544
165000,1110.731696203964
166000,977.5304578851313
167000,1148.896632873853
168000,1126.1818202771792
169000,961.6412255687335
170000,805.4663222878073
171000,-91.87374591119631
172000,-166.64678954981295
173000,783.707130958128
174000,10.196826122547678
175000,1022.9646094823189
176000,1223.108813254167
177000,1263.2800988229233
178000,1174.1440178861003
179000,1081.7316766071099
180000,1056.5421770551352
181000,978.7374153163701
182000,1020.9850193169406
183000,1005.143352223434
184000,1119.8668891139125
185000,655.3387554489807
186000,-231.27858081339264
187000,1161.3818911793646
188000,1141.7029123557227
189000,1057.2619644405318
190000,996.8305118940216
191000,502.89243493669034
192000,608.4969466112716
193000,388.1514147089326
194000,649.5882377174389
195000,1192.2360467578696
196000,1364.2091581326117
197000,1194.0415596065936
198000,1171.3931433630814
199000,1131.6705296411276
200000,1141.5452756714349
201000,1187.363238943769
202000,1237.9919923362463
203000,956.1539609478131
204000,667.2961495759903
205000,-284.0015514125791
206000,748.4332514533547
207000,1270.9957721439805
208000,1003.1825676455464
209000,874.8361082358829
210000,908.3762530307788
211000,785.3784375739834
212000,1053.8769669714525
213000,1169.0297845740868
214000,1240.2046484319621
215000,1105.561173796362
216000,1153.2848327385557
217000,1152.5215972969866
218000,1075.5622141440388
219000,1085.8409002211047
220000,1063.216414416119
221000,62.84794132076694
222000,98.9307171841761
223000,1114.1888640387983
224000,-262.0891934278729
225000,315.7561760193976
226000,940.9437924914656
227000,-393.4669903134619
228000,-301.36473300166506
229000,1145.8193824085647
230000,1354.4281055965218
231000,1147.5488343387594
232000,-154.12348384232314
233000,1253.54809233569
234000,1222.7829600204211
235000,1216.5896411375609
236000,1274.8022460700001
237000,1317.8063731589177
238000,1110.961709351251
239000,857.6033533689716
240000,1277.3798784870014
241000,793.1495498612555
242000,221.968338746023
243000,633.8901592147616
244000,666.8842588982548
245000,1352.7974224654067
246000,1275.4647737613534
247000,1259.1609470794558
248000,934.4881875073748
249000,1259.366680494166
250000,1252.3573177893545
251000,985.9455412036192
252000,1295.8314285150384
253000,134.45550986686052
254000,641.0587535374882
255000,1309.6683044994763
256000,1114.4876588289694
257000,1273.9379545878223
258000,1304.2244623987988
259000,177.86390632743323
260000,1295.983614288525
261000,965.9232727019008
262000,414.860582806146
263000,1258.6671527944782
264000,293.8836567791126
265000,-270.1745581869078
266000,1508.034366118365
267000,1363.8348120788464
268000,1350.199284940675
269000,1427.2223716206627
270000,1348.224781917924
271000,1249.8688720546295
272000,1346.3436493966055
273000,1304.1401412581092
274000,1475.7481440528584
275000,-9.281309074070586
276000,1376.6795486062442
277000,1163.746054371053
278000,1249.6504552489369
279000,1280.3298565586858
280000,1344.0550598970647
281000,1477.6244191138587
282000,1371.1061301334792
283000,1434.7744158711448
284000,1292.5321749762072
285000,421.99228242156966
286000,1433.0365719875554
287000,1334.0445935556936
288000,1381.8485266301684
289000,1335.7980669447488
290000,1382.4604888027911
291000,1326.8080466555773
292000,1259.3243583047986
293000,1337.4224223882636
294000,1282.5823823592434
295000,1344.7396017637661
296000,1313.6681252165831
297000,-93.14625293596686
298000,-230.69056315092652
299000,1412.6293082186426
300000,1351.9052413674547
301000,1300.2795127433967
302000,1367.4450903779461
303000,1307.8842920198806
304000,1353.0002100839706
305000,1410.3526042773435
306000,1323.5518541460651
307000,1336.2180264208941
308000,1304.5251348284237
309000,1450.2594134729388
310000,1222.2368647473133
311000,1436.034415962365
312000,607.5848846857973
313000,1528.4245575456803
314000,1429.7086649274315
315000,1516.0910805140436
316000,1565.7938824812281
317000,1449.7032950728992
318000,132.5701049651471
319000,121.38004690591391
320000,-145.95675247602443
321000,1351.8719433548767
322000,1461.776748603471
323000,1487.2085577583425
324000,1522.0949028195714
325000,1433.8399417048297
326000,1388.8442742495054
327000,1515.8001087036682
328000,1397.4859482933894
329000,1434.1921748680793
330000,1424.238839647858
331000,1536.5679366068025
332000,1414.2142228963842
333000,1532.6295603486087
334000,1446.0683855605703
335000,1438.6047441987112
336000,1374.3940592017289
337000,1521.162684367835
338000,1471.0082576575126
339000,1447.875900574498
340000,1309.8925526276455
341000,-162.39357349158763
342000,263.6613646264105
343000,1440.3459002892896
344000,1554.286965617852
345000,1386.7431751621755
346000,1435.4210468633748
347000,1579.5688422337255
348000,1509.579691176662
349000,1538.5477922022285
350000,1583.4819091380505
351000,1483.8833161421144
352000,1606.488516398905
353000,1540.5224723033875
354000,1518.5548455072026
355000,-135.79819123202543
356000,1546.1865251525985
357000,1520.7203004818716
358000,1669.6341920459236
359000,-247.5050812242483
360000,1741.8777803018575
361000,1591.897422941811
362000,1482.5195901287054
363000,1586.459721974992
364000,1623.152871077672
365000,1563.2709115499824
366000,1237.2967996215543
367000,1538.2652594198112
368000,1695.1441867486087
369000,1612.3538280081345
370000,1624.6683011405328
371000,1631.2829138857453
372000,1654.6825356239588
373000,1497.3624911617235
374000,-640.2421976447204
375000,-383.5147596423203
376000,-379.1499498900785
377000,-284.0354095074183
378000,-294.06638783450563
379000,-250.09356554786825
380000,-260.6358204833947
381000,-26.968701808672815
382000,-74.82452455065047
383000,-227.95552691624957
384000,-220.5124575036906
385000,-165.68180335888465
386000,511.1509431564824
387000,418.73841156857543
388000,-143.87398535443245
389000,-138.96753167012014
390000,893.7169326774161
391000,1422.199910724621
392000,1413.6107078731457
393000,1593.873124989877
394000,1537.7532857371768
395000,1606.766399184205
396000,1482.3750065996057
397000,1559.0381616443487
398000,-268.3391107365839
399000,1607.6902637136284
400000,1528.604472350827
401000,1585.429293193154
402000,1549.1626011964033
403000,1588.8232274328714
404000,1471.9443693022508
405000,1634.745941780679
406000,1630.4650798097505
407000,1616.4352525861395
408000,1774.843239209935
409000,1691.5435883177356
410000,1675.7487942074617
411000,1814.1298181738964
412000,1696.7555035275068
413000,1847.7130033039111
414000,1700.6971569300172
415000,1832.7561538937437
416000,1690.1834006144807
417000,1875.3141215403566
418000,1745.5464192153643
419000,1786.5316355120046
420000,1779.8595528949272
421000,1813.643147201358
422000,1816.4421626709272
423000,191.0428127063661
424000,1840.250421358643
425000,1781.5303033597781
426000,-228.05905105784987
427000,-136.3773074321605
428000,1752.486779049386
429000,1672.4078262575122
430000,1749.7138516413272
431000,1765.4944942346613
432000,1937.7513199880934
433000,1804.1146464113654
434000,613.319171655864
435000,-166.30868382219296
436000,1897.1479628252748
437000,-276.82110051645236
438000,-282.0024517658641
439000,-255.78934472059666
440000,-280.75405703001366
441000,-231.4555617572277
442000,-251.84482922346575
443000,-128.5019911000839
444000,-221.73740276674368
445000,-210.745681508101
446000,-178.11510167925817
447000,-141.30259117247948
448000,-235.92156419809075
449000,1232.0118500881172
450000,577.5385765930524
451000,375.1488330072082
452000,-7.652240626618233
453000,1316.7609539304683
454000,1693.8419990584296
455000,1809.6337856748762
456000,1832.478409588524
457000,1912.50290328329
458000,1691.1991860318237
459000,1922.3363709551884
460000,-243.09736670239764
461000,1720.653974897978
462000,1869.4171682174485
463000,1852.1575019834963
464000,1865.879910330531
465000,1775.00463216841
466000,2059.497476285307
467000,1592.822798080823
468000,1963.5484762511699
469000,1728.958915910018
470000,1890.9945220453449
471000,1735.436848586304
472000,1529.0880803840835
473000,1940.7491763070518
474000,1771.8364631527938
475000,1930.8083624623532
476000,1732.0243702391385
477000,1965.8571251062708
478000,2059.5715520628087
