step,mean,std,n,ci95_low,ci95_high
10000,-234.32086327875632,46.35871028468096,3,-286.7806824485594,-181.86104410895325
20000,-134.72536130329524,46.842494970878775,3,-187.73263438195835,-81.71808822463215
30000,93.31506762117722,64.87680072465427,3,19.900056430597147,166.7300788117573
40000,101.69579279789718,103.01776718215167,3,-14.879785005404571,218.27137060119895
50000,357.8553264040188,28.34583705931018,3,325.7789921570867,389.9316606509509
60000,333.3551831872192,131.66745870029405,3,184.35942744792695,482.3509389265115
70000,466.2470533854132,54.17215467822467,3,404.9454895367453,527.5486172340811
80000,654.9385790691673,86.52501967313026,3,557.0263020053252,752.8508561330094
90000,453.85984863415814,329.573392711997,3,80.91244611413913,826.8072511541772
100000,649.2500723645325,173.69023725420692,3,452.70106610525283,845.7990786238121
110000,699.0884062779547,172.593713382973,3,503.78023358904545,894.396578966864
120000,712.011234311563,195.7184093838026,3,490.5350046790796,933.4874639440466
130000,579.6039124828894,211.76010875926175,3,339.9747911231524,819.2330338426265
140000,496.377464224928,170.20333974779308,3,303.77425394501915,688.9806745048369
150000,587.8696346439132,94.27197785516579,3,481.1908491321451,694.5484201556812
160000,672.8234512316008,124.32115168783561,3,532.1408244614458,813.5060780017557
170000,706.5647575396978,89.06443866509875,3,605.7788573682031,807.3506577111924
180000,741.3792212995692,61.663449206377784,3,671.6004596625817,811.1579829365567
190000,709.8889903132036,63.86009564943463,3,637.624489222398,782.1534914040093
200000,620.0441520750851,108.59890310111349,3,497.1529244343982,742.935379715772
210000,729.012275855419,34.06028412803261,3,690.4694360038293,767.5551157070088
220000,807.9374717896379,108.68389049875698,3,684.950071855013,930.9248717242629
230000,873.6209743727823,43.32559400559017,3,824.5934493834035,922.648499362161
240000,444.00365498133965,514.683792171615,3,-138.4158838959862,1026.4231938586654
250000,487.32385869119616,444.0897834445722,3,-15.211039100333153,989.8587564827255
260000,612.3542963013139,285.06469285367433,3,289.77322907648124,934.9353635261465
270000,636.6062341914377,223.22686078045868,3,384.00126139400993,889.2112069888655
280000,654.4150699811305,150.1951791242036,3,484.4532248683782,824.3769150938829
290000,548.3833501105213,411.1839327018111,3,83.08492781611568,1013.681772404927
300000,717.3724254376874,237.90937553173717,3,448.15262310595836,986.5922277694165
310000,574.476058416871,321.53055410576104,3,210.62998456419564,938.3221322695463
320000,796.9126653461,199.7742543770785,3,570.8468150442444,1022.9785156479555
330000,843.8775078050053,113.97527970767874,3,714.9023373014305,972.85267830858
340000,907.3866660127518,148.14419603696933,3,739.7457267495349,1075.0276052759687
350000,945.2976313259975,116.51964916189564,3,813.4432357393752,1077.15202691262
360000,962.0253052653328,107.35761864718566,3,840.5387232153336,1083.5118873153322
370000,964.8380783004435,85.78359057141422,3,867.7648072478646,1061.9113493530224
380000,988.1978663889439,111.67580883282979,3,861.8247921374011,1114.5709406404867
390000,998.3071766726422,120.91307868719014,3,861.4811475565948,1135.1332057886896
400000,896.726345831317,128.28821727980508,3,751.5545617418258,1041.8981299208083
410000,630.6738952192776,634.4295843684102,3,-87.25076376197205,1348.5985542005274
420000,1104.1365910753614,210.39722498417697,3,866.0497178918863,1342.2234642588364
430000,1087.2497176354384,178.06298089749234,3,885.7524861258446,1288.7469491450322
440000,1161.4251074446831,227.84529289437523,3,903.593886719816,1419.2563281695502
450000,1243.1915802811736,240.66732652107433,3,970.8508626070775,1515.5322979552698
460000,1224.9026493089434,237.55728002112448,3,956.0812805553664,1493.7240180625204
470000,1259.8708345829707,285.2081226922391,3,937.1274612165639,1582.6142079493775
480000,1291.7427161488151,249.96283424118496,3,1008.8831412611772,1574.6022910364532
490000,1314.0146515741408,360.96594891331,3,905.5432275382998,1722.4860756099818
500000,1338.7434947948339,397.8375615453721,3,888.5479132209825,1788.9390763686852
510000,1346.7055529486074,308.41706209621947,3,997.6987922537128,1695.712313643502
520000,1414.385616411452,378.5682654424814,3,985.9952960901139,1842.7759367327901
530000,1435.0569941605493,379.27639843885515,3,1005.8653459180975,1864.248642403001
540000,1423.825213715496,376.5248565753853,3,997.7472282067433,1849.9031992242485
550000,1424.5004823877334,285.2477653518276,3,1101.7122491289642,1747.2887156465026
560000,1504.6946215723594,474.275636643893,3,968.0012152589512,2041.3880278857678
570000,1502.0574440246237,458.94118697730823,3,982.7166010512553,2021.398286997992
580000,1450.413329707387,352.35914786263174,3,1051.6814179223484,1849.1452414924256
590000,1511.2443126830592,379.7505487205476,3,1081.5161128867753,1940.972512479343
600000,1504.6497525911318,423.13524221931243,3,1025.8271504332142,1983.4723547490494
610000,1505.0814533337964,366.7395188311109,3,1090.0766198913495,1920.0862867762432
620000,1581.0501577205807,527.5967193154345,3,984.0182661967349,2178.0820492444263
630000,1600.6058936341813,573.6905094201982,3,951.4139683454226,2249.7978189229398
640000,1690.3228977202552,716.8080571087811,3,879.1782212513223,2501.4675741891883
650000,1219.8295511007552,260.68130168917577,3,924.8408884829778,1514.8182137185327
660000,1491.4491909021137,245.7039018072013,3,1213.4090517574286,1769.4893300467988
670000,1345.5829486627479,159.3629906709074,3,1165.246748159832,1525.9191491656638
680000,1164.8975748476712,360.91235959810246,3,756.4867928307293,1573.308356864613
690000,1533.561001545997,272.4162163378496,3,1225.2930329108144,1841.8289701811796
700000,1615.2632592384755,415.53088705108144,3,1145.0457950272057,2085.4807234497453
710000,1533.1716604538776,324.3586697376157,3,1166.125272491355,1900.2180484164003
720000,1652.3459771769676,540.2670038840873,3,1040.9763089285368,2263.715645425398
730000,1480.5720001347026,159.2105410798043,3,1300.4083125842108,1660.7356876851945
740000,1538.414857136936,475.8205094320209,3,999.9732626921526,2076.8564515817193
750000,1531.9101740369442,396.23439787582294,3,1083.5287429363848,1980.2916051375037
760000,1525.0430279391276,289.60475404439336,3,1197.3243978351209,1852.7616580431343
770000,1524.3348509956604,582.7274134895096,3,864.9167060726686,2183.7529959186522
780000,1582.241744095074,398.37601322188164,3,1131.4368470892812,2033.0466411008667
790000,1663.5637342649743,517.663992290177,3,1077.7717814798946,2249.3556870500543
800000,1627.8348956643674,458.7987935083143,3,1108.655186070002,2147.014605258733
810000,1665.6758579280367,490.89065826821934,3,1110.180784688132,2221.1709311679415
820000,1710.791186291747,546.0255501583191,3,1092.9051094898416,2328.677263093652
830000,1744.3647639588708,547.7218242680111,3,1124.5591723018192,2364.1703556159223
840000,1645.7156172545617,342.6235841650682,3,1258.0005328996654,2033.430701609458
850000,1739.8167407863396,417.9109012399622,3,1266.9060369831238,2212.7274445895555
