step,episode_return,reward_scale,alpha_scaled,td_sigma,q_loss,policy_loss,log_prob,r_ent_for_scaler
32,2.50539028787962,1.0,0.07,2.0200142293462733,0.03823557123541832,-0.6032090187072754,-4.816484451293945,0.20821703287386195
62,4.579388132887116,1.0,0.07,2.203104309229414,0.0004125212726648897,-0.5001570582389832,-4.878194332122803,0.4554106371395649
98,16.891076007538757,1.0,0.07,3.2187889742996214,0.029073627665638924,-0.5007479190826416,-4.327188014984131,-0.048087479439827496
114,4.446851790938551,1.0,0.07,3.09141009987346,0.007221579551696777,-0.38497596979141235,-2.5970005989074707,0.12226832219569189
125,-0.7756991238833564,1.0,0.07,2.9588685908720755,0.07322157919406891,-0.47947046160697937,-3.541153907775879,-0.3211841839123239
139,0.8201801044150774,1.0,0.07,2.8342416673098527,0.09517533332109451,-0.4716852307319641,-3.4895143508911133,-0.402692494152836
158,1.6947864202703444,1.0,0.07,2.7221921847047357,0.015378632582724094,-0.5142043232917786,-3.545252799987793,0.8517850570027135
173,2.8555965737797955,1.0,0.07,2.652486450829178,0.05149224400520325,-0.6166596412658691,-4.290802001953125,1.2185593156874213
195,-3.1134539148771943,1.0,0.07,2.517451328542484,0.05260052904486656,-0.6238143444061279,-4.160325050354004,0.0464417795203666
223,7.404002856028722,1.0,0.07,2.5651896181372917,0.013335117138922215,-0.6403307914733887,-3.9242467880249023,0.3441084488710844
238,4.290657590479185,1.0,0.07,2.540640975813471,3.5117322113364935e-05,-0.6129704713821411,-4.44080924987793,0.6280262506107159
254,-3.9872257276848093,1.0,0.07,2.4637045703190132,0.030194297432899475,-0.5135570764541626,-3.5035018920898438,0.08545129616985822
271,0.2797125237627941,1.0,0.07,2.4058771980723646,0.000972087262198329,-0.6547329425811768,-4.108340263366699,0.7297441138122294
296,10.388623952913584,1.0,0.07,2.5072479934438685,0.04627734795212746,-0.6151026487350464,-3.8415727615356445,0.07573926972723385
307,1.9174397744319482,1.0,0.07,2.4762204432061177,0.011483513750135899,-0.6178063154220581,-3.628448247909546,0.35245174089692805
325,-4.781509115211528,1.0,0.07,2.413222446140124,0.08788551390171051,-0.5093686580657959,-3.8645682334899902,-0.2060430222988846
349,-5.788511193304295,1.0,0.07,2.333900650590696,0.06243819743394852,-0.6294934749603271,-4.162168025970459,0.04630678165690866
361,-3.0120918401514634,1.0,0.07,2.296959907689173,0.3147270679473877,-0.5891331434249878,-4.366173267364502,-0.6994736901358435
377,-1.7276998161346957,1.0,0.07,2.2544041281812586,0.1289345771074295,-0.6008764505386353,-4.291547775268555,-0.2086228117515015
399,3.120697221223761,1.0,0.07,2.2422427926340545,0.02033100835978985,-0.597302258014679,-3.047861099243164,0.2775879725997653
411,1.3024533644406293,1.0,0.07,2.220346099066556,0.13458827137947083,-0.6071852445602417,-3.950852394104004,-0.2073771324572412
431,-0.9600616046205912,1.0,0.07,2.1829517279552375,0.105121910572052,-0.570885181427002,-3.4062376022338867,-0.13688255054891094
449,6.471726323260095,1.0,0.07,2.2053700313519333,0.0026333448477089405,-0.6553279161453247,-4.073626518249512,0.768498981333253
468,4.884064914615827,1.0,0.07,2.210118990953713,0.02758197672665119,-0.7325515747070312,-4.225876808166504,0.3654989554743572
492,-2.7978835559341295,1.0,0.07,2.1649703366177695,0.04841621592640877,-0.6273728013038635,-3.648789644241333,0.15099952334178446
523,14.314373540934108,1.0,0.07,2.3268315629980165,0.05732429772615433,-0.6441962718963623,-3.529036045074463,0.0870947262951936
533,-1.1845235245936716,1.0,0.07,2.3069009370642473,0.08344870805740356,-0.6229085326194763,-3.5445618629455566,-0.04349722219715291
547,4.151547657925695,1.0,0.07,2.302209653253495,0.05715853348374367,-0.5476937890052795,-3.514301300048828,-0.0027150267962455787
575,4.873025501134318,1.0,0.07,2.303544367597463,0.0031427275389432907,-0.6664885878562927,-3.755356788635254,0.5373517995303276
589,-1.8581338980037316,1.0,0.07,2.279562631735418,0.0729241669178009,-0.5300674438476562,-4.329882621765137,-0.08551656327808899
604,0.7367849112173418,1.0,0.07,2.2598408873560394,0.14762002229690552,-0.6837292313575745,-4.155805587768555,-0.18453220187071612
628,2.8544794024519815,1.0,0.07,2.2490029222324663,0.00156510213855654,-0.623798668384552,-4.020107269287109,0.5348250347228913
641,2.0008077764422554,1.0,0.07,2.236781478578474,0.03553655371069908,-0.9598701596260071,-4.68501091003418,0.5382112943915995
665,5.484656708716688,1.0,0.07,2.2458470947733606,0.07602168619632721,-0.5263333916664124,-3.629654884338379,-0.09289225560775055
691,6.796392661967667,1.0,0.07,2.2638670640272514,0.02988070249557495,-0.8299949169158936,-4.2492170333862305,0.43866206872631197
721,14.062973480376506,1.0,0.07,2.3636868118169785,0.008491050451993942,-1.0478365421295166,-4.264601230621338,1.2656429756783576
734,-1.2012472211975034,1.0,0.07,2.344635757414558,0.04011378809809685,-0.682125985622406,-3.4719924926757812,0.2125323328411889
742,-2.0584754129384955,1.0,0.07,2.3317963395512615,0.05481427162885666,-0.72303706407547,-3.6953024864196777,0.17710646819510945
758,4.9983431450743545,1.0,0.07,2.331320495965667,0.0020120039116591215,-1.1928207874298096,-3.823395013809204,1.0882485634104362
772,2.4307778318539692,1.0,0.07,2.321503655967646,0.045781269669532776,-1.1493245363235474,-4.9295148849487305,0.6526026951566487
790,7.068132942793516,1.0,0.07,2.333608986209203,0.04070454463362694,-1.065699577331543,-3.6586828231811523,0.5948854004705515
829,14.850183062832926,1.0,0.07,2.4389653282153767,0.06278222054243088,-0.719727635383606,-3.474733829498291,0.10861120615588152
881,-1.8292822009492757,1.0,0.07,2.4088768798686404,0.39849022030830383,-0.7128448486328125,-4.736998081207275,-0.8077846733927392
905,8.88124690990732,1.0,0.07,2.4320301771541506,0.06805449724197388,-1.2576191425323486,-4.080365180969238,0.6231690828888017
918,2.0386481956294435,1.0,0.07,2.4222607087915353,0.023091664537787437,-1.0822350978851318,-4.369649887084961,0.7141497111068471
929,0.3482357213009895,1.0,0.07,2.4103555022828287,0.09450209885835648,-0.5668203830718994,-2.805713653564453,-0.1741517614536458
948,4.20101449711329,1.0,0.07,2.4045206270707427,0.14660616219043732,-1.0835156440734863,-3.6281490325927734,0.1628444288643404
976,7.9997549745435395,1.0,0.07,2.423680959571073,0.1276358664035797,-0.7182679176330566,-4.109869956970215,-0.14762036861319744
990,2.810616398534187,1.0,0.07,2.416629861286452,0.07097561657428741,-0.6641583442687988,-4.582364082336426,0.02033797182615721
1010,-0.37062072164582927,1.0,0.07,2.3989188265391306,0.051010120660066605,-0.6812689304351807,-4.278101921081543,0.13946295140680168
1049,18.48036080789138,1.0,0.07,2.5159772871933677,0.020452428609132767,-1.076324701309204,-3.522184371948242,0.716509747957423
1073,14.09757527021287,1.0,0.07,2.5629105660435445,0.038456425070762634,-1.4278117418289185,-3.3858723640441895,0.9252170143116277
1121,16.080612599659034,1.0,0.07,2.651625844292236,0.11285214126110077,-1.1690785884857178,-4.0045647621154785,0.27830534900719706
